證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 其他投資活動,　　　　 處分投資損失（利益）,　　 處分採用權益法之投資,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 支付之股利,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資
1203,2015年01月01日至2015年09月30日,,                619691,                619691,,,                104371,                 20043,                 -8829,                 11650,                -20946,                 -4232,                 48224,                    -62,                   -618,                              0,                -34523,                115078,,,                -22714,                -40298,                 34129,               -199515,                 15336,                  3552,               -209510,,                 -7413,                              0,                  5044,                 43096,                              0,                -47069,                 -6342,               -215852,               -100774,                518917,                 20957,                  4232,                -11719,               -152925,                379462,,                104611,                              0,                              0,                 43428,                              0,                              0,                   -404,                              0,                -90498,                              0,                 -7243,                     -1,                -11734,                              0,                -32387,                  5772,,               -216830,                 -3094,                 13466,                              0,                -75018,               -281476,                 77299,                181057,                727297,                908354,                908354,,,,,,,,,,,
1203,2015年01月01日至2015年06月30日,,                413955,                413955,,,                 70208,                 14107,                 -9791,                  8840,                 -8845,,                 46485,                    464,,                              0,                -17980,                103488,,,                 -8562,                 30113,                 34129,               -231216,                              0,                 -1808,               -177344,,                  3042,,                 74762,                -13613,,                -33361,                 30830,               -146514,                -43026,                370929,                  8845,                              0,                 -8838,                -98825,                272111,,                104611,                              0,                              0,                 35577,                              0,,                   -404,                              0,                -35944,                              0,                    968,                              0,                 -6720,                              0,                -13992,                 84095,,               -176830,                 -1237,                  9860,,                -74870,               -243077,                 64204,                177333,                727297,                904630,                904630,                     -1,                              0,,,,,,,,,
1203,2015年01月01日至2015年03月31日,,                256886,                256886,,,                 35616,                  7855,                 -9398,                  6057,                 -4793,,                 32372,                              0,,                              0,                 -2383,                 -1112,,,                -26514,                 27198,                 34129,                 59277,                              0,                 -4021,                 90069,,                -56996,,,                -41138,,                 -8426,               -106560,                -16491,                -17603,                239283,                  4793,,                 -6055,                -20863,                217158,,                   -341,,,               -102219,,,                              0,                              0,                -16406,                              0,                    922,,,                 -2826,,                -33958,,               -127449,                              0,                    -94,,                -13304,               -140847,                113374,                155727,                727297,                883024,                883024,,                     -1,                -66438,                 86913,,,,,,,
1203,2014年度,,                533233,                533233,,,                158801,                 25682,                 11995,                 26597,                -13722,                 -9530,                 38227,                    887,,                              0,                 36634,,,,                 11633,                -54397,                 -8719,                -22996,                              0,                -23065,                -97544,,                 19523,                              0,                 36460,                 16769,,                 47477,                120229,                 22685,                298256,                831489,                 13722,                  9530,                -26568,               -113524,                714649,,               -103994,                              0,                 -3758,,,                              0,                              0,                              0,               -101203,                              0,                   -979,                     -1,                -14776,,                 -5109,               -387381,,                 33198,                 -2475,                  1573,               -240000,                -50842,               -258546,                119082,                187804,                539493,                727297,                727297,,,,,,                              0,                275571,                              0,                              0,               -157561,                              0
1203,2014年01月01日至2014年09月30日,,                397410,                397410,,,                119379,                 18783,                  7901,                 22449,                -10123,                 -7236,                 36470,                  5502,                              0,                              0,                 29751,                222876,,,                  5236,                -51727,                  2975,               -118609,                -27864,                -29404,               -219393,,                 19216,                              0,                -58603,                 26054,                  1674,                 90647,                 78988,               -140405,                 82471,                479881,                 10123,                  7236,                -22466,               -105728,                369046,,                              0,                              0,                 -3757,                -43211,                              0,                              0,                              0,                              0,                -39050,                              0,                   -243,                     -1,                 -9788,                              0,                  2078,                -93972,,                169496,                 -2475,                    -15,               -240000,                -50841,               -123835,                107752,                258991,                539493,                798484,                798484,,,,,,,,,,,
1203,2014年01月01日至2014年06月30日,,                317132,                317132,,,                 82839,                 11889,                  1927,                 15873,                 -6547,,                 27587,                    810,,                              0,                  5480,                139858,,,                 11508,                -47659,                   -368,               -155755,                              0,                -19278,               -211552,,                 13662,,                 19512,                 34639,,                 19831,                 87644,               -123908,                 15950,                333082,                  6547,                              0,                -15890,                -57995,                265744,,                              0,                              0,                 -3757,                -34161,                              0,,                              0,                              0,                -24104,                              0,                    -47,                              0,                 -2511,                              0,                  2120,                -62461,,                 98811,                 -2475,                    -60,,                -50841,                 45435,                 65503,                314221,                539493,                853714,                853714,                     -1,                              0,,,,,,,,,
1203,2014年01月01日至2014年03月31日,,                176235,                176235,,,                 43224,                  5519,                    349,                  9446,                 -2856,,                  5853,                    153,,                              0,                  4784,                 66472,,,                 45817,                -50879,                  2728,               -168605,                 13709,                -14042,               -171272,,                -13691,,,                -47556,,                  6590,                -54657,               -225929,               -159457,                 16778,                  2856,,                 -8368,                -10648,                    618,,                              0,,,                   -799,,,                              0,                              0,                -10731,                              0,                     34,,,                  2364,,                 -9133,,                111054,                 -2475,                    599,,                              0,                109178,                 48061,                148724,                539493,                688217,                688217,,                     -1,                              0,                              0,,,,,,,
1203,2013年度,,                530696,                530696,,,                175648,                 17147,                 -1358,                 30059,                 -6761,                 -5804,                  1058,                  9516,,                -27006,                  3534,,,,                -18102,                 95769,                 -8263,                -33637,                              0,                 53939,                 89706,,                -24935,                              0,                  1293,                 44106,,                144375,                164839,                254545,                455026,                985722,                  6761,                  5804,                              0,               -123632,                844581,,                              0,                              0,                   -712,,,                              0,                -16916,                              0,               -100477,                              0,                 -3505,                122999,                -75808,,                   -224,                -45257,,               -423697,                 -2475,                   -625,                -72000,                -43710,               -542507,                -33490,                223327,                316166,                539493,                539493,,,,,,                  4448,                200481,                              0,                -30074,                 29386,                              0
1203,2013年01月01日至2013年12月31日,,                530696,                530696,,,                175648,                 17147,                 -1358,                 30059,                 -6761,                 -5804,                  1058,                  9516,,                -27006,                  3534,,,,                -18102,                 95769,                 -8263,                -33637,                              0,                 53939,                 89706,,                -24935,                              0,                  1293,                 44106,,                144375,                164839,                254545,                455026,                985722,                  6761,                  5804,                              0,               -123632,                844581,,,                              0,                   -712,,,                              0,                -16916,                              0,               -100477,                              0,                 -3505,                122999,                -75808,,                   -224,                -45257,,               -423697,                 -2475,                   -625,                -72000,                -43710,               -542507,                -33490,                223327,                316166,                539493,                539493,,,,,,                  4448,                200481,                              0,                -30074,                 29386,                              0
1203,2013年01月01日至2013年09月30日,,                415133,                415133,,,                140394,                 11337,                    338,                 26720,                 -6033,                 -5057,                 14421,                  7985,,                -30599,                  6311,,,,                -24916,                -25517,                    459,               -172647,                -23392,                 37613,               -208400,,                -11346,                              0,                  3241,                 37399,                              0,                165446,                194740,                -13660,                152157,                567290,                  6033,                  5057,                -26735,                -99541,                452104,,,                              0,                   -709,,,                              0,                              0,                              0,                -63756,                    218,                 -6096,                122999,                -63912,                              0,                -12038,                  5076,,               -326890,                 -2475,                   -634,                              0,                -43710,               -373709,                -37803,                 45668,                316166,                361834,                361834,,,,,,,                165817,,,                 28370,                              0
1203,2013年01月01日至2013年06月30日,,                260827,                260827,,,                105472,                  5805,                    200,                 17916,                 -4759,,                  5496,                    595,,                -30599,                  4371,,,,                -32253,                 16194,                      4,               -238358,                 34408,                -14446,               -234451,,                  1014,,                 59622,                 26669,,                180785,                268090,                 33639,                138136,                398963,                  4759,                              0,                -17931,                -60886,                324905,,,                              0,                              0,,,,                              0,                              0,                -34473,                    218,                 -3440,                122999,                -59484,                              0,                 -1774,                 52416,,               -216973,                 -1237,                   -777,,                -43710,               -262697,                -15545,                 99079,                316166,                415245,                415245,,                              0,,,,,                104497,,,                              0,                 28370
1203,2013年01月01日至2013年03月31日,,                141538,                141538,,,                 56223,                  3086,                  4098,                 10585,                 -2537,,                 21579,                    252,,                -30599,                  8715,,,,                -14806,                 -9376,                   -896,                -48488,                 53677,                -36300,                -56189,,                 18332,,,                  9282,,                150921,                178535,                122346,                193748,                335286,                  2537,,                -10580,                     -1,                327242,,,,,,,,                -16916,                   -107,                -15447,,                 -3428,,,                -17469,,                 98003,,               -294885,                 -2475,                   -368,,,               -297728,                 34311,                161828,                316166,                477994,                477994,,                123000,,,,,                 71402,,,                 28370,
1203,2012年01月01日至2012年12月31日,,                279639,                279639,,,                198371,                 12109,                   -398,                 35685,                -32707,                 -4582,                111706,                  3515,,                              0,                -71554,,,,                 10878,                -42574,                 -7707,                409301,                              0,                 -9790,                360108,,                -16875,                              0,                -75688,                 24984,,                -37156,               -104735,                255373,                509362,                789001,                 32707,                  4582,                              0,                -94235,                693019,,,                              0,                              0,,,                    885,                 -2340,                -48225,                -56999,                              0,                 -2593,                -24917,                 -7200,,                              0,               -169759,,               -310660,                 -8856,                  1118,               -120000,                -16605,               -455003,                  4598,                 72855,                243311,                316166,                316166,,,,,,                  1844,                253989,                              0,                -39036,                              0,                -28370
1203,2012年01月01日至2012年09月30日,,                148197,                148197,,,                161966,                  7942,                 17752,                 30562,                -24153,,                 92644,                     24,,                              0,                -54190,,,,                -28525,                -25516,                 -7406,                421972,                 14162,                 27374,                402061,,                214792,                              0,               -111859,               -104579,,                 88392,                 86746,                488807,                721354,                869551,                 24153,                              0,                -30622,                -71755,                791327,,,                              0,                              0,,,                    885,                              0,                -31587,                -23910,                              0,                 -1828,                -47843,                -23007,                              0,                              0,               -128090,,               -561491,                 -8009,                    287,,                -16605,               -585818,                -12225,                 65194,                243311,                308505,                308505,,,,,,,                232547,,,                   -800,                              0
1203,2012年01月01日至2012年06月30日,,                 85638,                 85638,,,                112647,                  4246,                 14651,                 23379,                -19031,,                 76408,                      9,,                              0,                -55539,,,,                -22915,                -95665,                 -7169,                303185,                 31193,                 12495,                221124,,                294809,,               -115540,               -104419,,                102031,                176881,                398005,                554775,                640413,                 19031,                              0,                -23394,                -57953,                578097,,,                              0,,,,,                              0,                -15571,                -12717,                              0,                 -1853,                 38428,                -20313,                              0,                              0,                -12026,,               -428927,                 -8135,                    317,,                -16605,               -453350,                -10797,                101924,                243311,                345235,                345235,,                              0,,,,,                156770,,,,                              0
1203,2012年01月01日至2012年03月31日,,                 -1820,                 -1820,,,                 51443,                  2150,                  3370,                 13580,                 -9390,,                 68780,                      1,,                              0,                 -8535,,,,                  5891,                -65977,                 -7516,                 29029,                 12635,                -59051,                -84989,,                316589,,,                -19096,,                -56224,                241269,                156280,                277679,                275859,                  9390,,                -13526,                     -1,                271722,,,,,,,,                              0,                              0,                 -4946,,                    -51,,,                  2395,,                 61322,,               -435892,                174538,                    156,,,               -261198,                  1318,                 73164,                243311,                316475,                316475,,                 98084,,,,,                121399,,,                -34160,
