證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　 取得無形資產,　　 其他金融資產減少,　　 短期借款減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款
3305,2015年01月01日至2015年09月30日,,                132558,                132558,,,                 55092,                    885,                 26564,                 19052,                -19670,                -20000,                  1447,                    486,                  2257,                  1973,                              0,                 68086,,,                    682,                  6458,                200624,                240946,                 58081,                -26296,                480495,,                -26438,                 95874,                 10834,                 -9371,                     -7,                 70892,                551387,                619473,                752031,                 19670,                -54738,                716963,,                              0,                              0,                  9258,               -100036,                  7901,                  3343,                 -1076,                -80610,,                111805,                              0,               -242979,                -71979,                -18796,               -221949,                 22813,                437217,              1888071,              2325288,              2325288,,,,,,,,,,,,,,
3305,2015年01月01日至2015年06月30日,,                 84854,                 84854,,,                 36665,                    594,                 27322,                 11762,                -14500,,,                    351,                 -1872,                  1973,                              0,                 62295,,,                    682,                  1438,                236530,                 91745,                 21775,                 -6006,                346164,,                -27322,                 90600,                -30547,                 -9164,                              0,                 23567,                369731,                432026,                516880,                 14500,                -37535,                493845,,                              0,                  9258,,                -22041,                  3014,                    740,                   -357,                 -9386,,                 83039,                              0,,,                -11395,                 71644,                -54719,                501384,              1888071,              2389455,              2389455,                              0,,,,,,,,,,,,,
3305,2015年01月01日至2015年03月31日,,                 44115,                 44115,,,                 18508,                    300,                 19259,                  5981,                 -6936,,,                    223,                   -156,,,                 37179,,,                    682,                  3295,                155404,                 -7593,                -78516,                -12521,                 60751,,                 -9531,                 91513,                -17375,                 -3267,                              0,                 61340,                122091,                159270,                203385,                  6936,                -18516,                191805,,                              0,,,                -15402,                  1274,,                              0,                -14739,,                -75249,,,,                 -5763,                -81012,                -16391,                 79663,              1888071,              1967734,              1967734,,                              0,                   -611,                              0,                              0,,,,,,,,,
3305,2014年度,,                442257,                442257,,,                 73263,                  1487,                   -693,                 20026,                -25432,,,                  3947,                -10057,,                  2502,,,,,                  6009,                 24544,                  2225,                -62992,                  1987,                -28227,,                     11,                -66979,                -29892,                  3335,,                -93750,               -121977,                -56934,                385323,                 25432,               -113809,                296946,,                -14757,                              0,,               -486109,                 22444,                  3922,,               -468669,,                222192,,               -237752,,                -18450,                 18766,                 85728,                -67229,              1955300,              1888071,              1888071,,                              0,,                              0,,,                              0,                              0,                 65043,                   -225,                  5831,               -225224,                278000,
3305,2014年01月01日至2014年09月30日,,                359768,                359768,,,                 54917,                  1135,                 -2032,                 13812,                -18096,                              0,                              0,                  2450,                 -2178,                              0,                  2502,                 52510,,,                              0,                 -1046,               -102388,                 28875,               -117400,                 -3320,               -195279,,                  3360,                 -2383,                -14634,                 -3431,                   -171,                -17259,               -212538,               -160028,                199740,                 18096,                -87983,                129853,,                -14815,                              0,                              0,               -100396,                  7220,                  4561,                 -3700,               -107130,,                336584,               -225224,               -237752,                              0,                -14836,               -141228,                 22784,                -95721,              1955300,              1859579,              1859579,,,,,,,,,,,,,,
3305,2014年01月01日至2014年06月30日,,                242769,                242769,,,                 36822,                    757,                 -3202,                  9262,                -12199,,,                  2272,                    -59,                              0,                  2502,                 36155,,,                     36,                    905,                -20671,                 29459,                -26399,                -14825,                -31495,,                  2488,                 22907,                -28841,                 -8377,                   -115,                -11938,                -43433,                 -7278,                235491,                 12199,                -42824,                204866,,                -14852,                              0,,                -36953,                  1974,                  2103,                 -2770,                -50498,,               -221143,               -225224,,,                -10784,               -457151,                  2134,               -300649,              1955300,              1654651,              1654651,                              0,,,,,,,,,,,,,
3305,2014年01月01日至2014年03月31日,,                127555,                127555,,,                 19448,                    379,                 -2356,                  5643,                 -5212,,,                  1747,                   -253,,,                 19396,,,                              0,                  2038,                 10103,                160185,                 -1594,                 -3662,                167070,,                  2490,                 21035,                -36003,                 -5942,                    -59,                -18479,                148591,                167987,                295542,                  5212,                -18826,                281928,,                -14852,,,                 -5833,                  1964,,                -11455,                -25620,,               -351486,,,,                 -6284,               -357770,                 27576,                -73886,              1955300,              1881414,              1881414,,                              0,                  4556,                              0,                              0,,,,,,,,,
3305,2013年度,,                509057,                509057,,,                 75187,                  1586,                 -6686,                 25917,                -15533,,,                  1202,                   -237,,                              0,,,,,                 -7193,                350971,                -18203,                 24224,                  4181,                353980,,                  6686,                 14134,                 56228,                  8593,,                 85343,                439323,                520759,              1029816,                 15535,               -191589,                853762,,                              0,               -230000,,                -63686,                  1942,                 -1414,,               -340418,,                189929,,               -213977,,                -25032,                -49080,                 67275,                531539,              1423761,              1955300,              1955300,,                              0,,                              0,,,                              0,                              0,                 81436,                   -298,                -47260,                              0,                              0,
3305,2013年01月01日至2013年12月31日,,                509057,                509057,,,                 75187,                  1586,                 -6686,                 25917,                -15533,,,                  1202,                   -237,,,,,,,                 -7193,                350971,                -18203,                 24224,                  4181,                353980,,                  6686,                 14134,                 56228,                  8593,,                 85343,                439323,                520759,              1029816,                 15535,               -191589,                853762,,,               -230000,,                -63686,                  1942,                 -1414,,               -340418,,                189929,,               -213977,,                -25032,                -49080,                 67275,                531539,              1423761,              1955300,              1955300,,                              0,,                              0,,,                              0,                              0,                 81436,                   -298,                -47260,,,
3305,2013年01月01日至2013年09月30日,,                380421,                380421,,,                 58545,                  1169,                 -6612,                 18279,                -10185,,,                    668,                    -47,,                              0,,,,,                  1457,                324052,                161878,                 53330,                -16995,                523722,,                  6623,                -37109,                 38121,                  5595,,                 13004,                536726,                598543,                978964,                 10188,               -165590,                823562,,                              0,               -230000,,                -61808,                  2202,                  3319,                -42920,               -329207,,                198505,                              0,               -213977,,                -14374,                -29846,                 45437,                509946,              1423761,              1933707,              1933707,,,,,,,,,                 61817,                   -226,,,,
