證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他投資活動,　　　　 其他項目,　　 存出保證金減少,　　 預付設備款減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 短期借款增加
3008,2015年度,,             29159962,                              0,             29159962,,,              1820322,                 20439,                              0,                      3,               -349033,                  5852,                 13508,                 18852,                              0,                -34151,                              0,              1495792,,,                 18042,              1797355,                -14585,               -187291,                 41857,                    546,              1655924,,                    334,             -2135411,              2851651,                   -695,                715879,              2371803,              3867595,             33027557,                331761,                     -3,             -4118286,             29241029,,            -16500000,             13271858,                              0,                              0,             -4219445,                  4462,                 -4434,                -15466,                264524,                              0,             -7198501,,                -32968,                  4545,             -6841150,             -6869573,                -61140,             15111815,             24100464,             39212279,             39212279,                              0,,,,,,,,,
3008,2015年01月01日至2015年09月30日,,             21272655,                              0,             21272655,,,              1352992,                 14860,                              0,                              0,               -264669,                    202,                 13544,,                              0,                -31500,                              0,              1085429,,,                -48246,                348324,                -12495,               -923116,               -113881,                    408,               -749006,,                    776,             -1035961,              1882057,                     50,                846922,                 97916,              1183345,             22456000,                243981,                              0,             -4011452,             18688529,,            -10370000,             10821706,,                              0,             -2568004,                  3786,                 -4445,                -13441,,,             -2130398,,                -26567,                  3091,             -6841150,             -6864626,                 70681,              9764186,             24100464,             33864650,             33864650,,                              0,,,,,,,,
3008,2015年01月01日至2015年06月30日,,             12054146,,             12054146,,,                893418,                  9597,                              0,                              0,               -184371,                  1540,                   -538,,                              0,                -21493,                              0,                698153,,,                 41906,              2663084,                 -2308,               -853943,                 16390,                    272,              1865401,,                    362,             -1452070,              1509264,                     45,                 57601,              1923002,              2621155,             14675301,                162553,                              0,             -2529755,             12308099,,             -5757000,              2967699,,                              0,             -1566514,                  3523,,                 -8068,,,             -4364789,,                 79179,                  3088,,                 82267,                -68271,              7957306,             24100464,             32057770,             32057770,,,                              0,                 -4429,,,,,,
3008,2015年01月01日至2015年03月31日,,              5082416,,              5082416,,,                440697,                  4682,                              0,                              0,                -85186,                 -1272,                   -639,,                              0,                 -6877,,                351405,,,                 12516,              5122711,                -12751,             -1318999,                -56182,                    137,              3747432,,                    185,             -1689560,                561192,                      1,             -1128182,              2619250,              2970655,              8053071,                 70739,                              0,               -101712,              8022098,,               -109000,              1269356,,,               -692352,                  3363,                 -3834,                 -4458,,,                463075,,                -11028,,,                 -7940,                -30240,              8446993,             24100464,             32547457,             32547457,,,                              0,,                              0,                  3088,,,,
3008,2014年度,,             22963091,                              0,             22963091,,,              1646981,                 14147,                              0,                  4855,               -255289,                -31514,                    749,                              0,                              0,                -30239,                -47004,              1302686,,,               -104275,             -6412484,                  1407,               -852995,               -130694,                    533,             -7498508,,                 -2878,              2494885,              2832484,                   -746,              5323745,             -2174763,               -872077,             22091014,                253301,                 -4855,             -2651562,             19687898,,            -11985261,             12132156,                              0,                 99700,             -5170368,                  2386,                 -4494,                -21249,               -660540,                135412,             -5472258,,                107578,                 -3381,             -3822996,             -3718799,                100822,             10597663,             13502801,             24100464,             24100464,                              0,,,,,,,,,
3008,2014年01月01日至2014年09月30日,,             14575937,                              0,             14575937,,,              1194645,                 10612,                 -1244,                  4820,               -190836,                -23705,                    358,,                              0,                -22188,                -47004,                925458,,,               -128021,             -3736234,                  2373,               -447650,               -131535,                    397,             -4440670,,                 -2268,              1573570,              1497223,                   -568,              3067957,             -1372713,               -447255,             14128682,                185698,                 -4820,             -2516280,             11793280,,             -7928761,              7377439,,                 99700,             -1585693,                  1614,                 -1922,                -12156,,,             -1914367,,                128328,                 -4773,             -3822996,             -3699441,                 17355,              6196827,             13502801,             19699628,             19699628,,                135412,,,,,,,,
3008,2014年01月01日至2014年06月30日,,              8540044,,              8540044,,,                784040,                  7184,                 -1244,                  4832,               -128408,                -30904,                    443,,                              0,                -12498,                -47004,                576441,,,                -59124,             -1343842,                  3496,                310340,                -40510,                    265,             -1129375,,                 -2159,               -879962,              1203112,                   -374,                320617,               -808758,               -232317,              8307727,                114838,                 -4832,             -1676802,              6740931,,             -2442120,              2207304,,                 99700,               -715241,                     49,,                -10315,,,               -862711,,                -68745,                 -4697,,                -73442,                -38581,              5766197,             13502801,             19268998,             19268998,,,                              0,                 -2088,,,,,,
3008,2014年01月01日至2014年03月31日,,              3527400,,              3527400,,,                391188,                  3465,                  1117,                  4898,                -56570,                 12314,                    342,,                              0,                 -7359,,                349395,,,                  4318,              2381561,                -21354,                -13870,                -33543,                    135,              2317247,,                 -2700,             -1393222,                436272,                   -171,               -959821,              1357426,              1706821,              5234221,                 48485,                 -4898,               -310779,              4967029,,             -1247006,              1103309,,,               -340422,                              0,                 -5933,                 -1870,,,               -491922,,                -70448,,,                -70611,                 -2899,              4401597,             13502801,             17904398,             17904398,,,                              0,,                              0,                   -163,,,,
3008,2013年度,,             11500715,                              0,             11500715,,,              1434366,                 13442,                    328,                     38,               -122024,                 51447,                 35177,,                     73,                -12914,                              0,,,,               -159723,                -82228,                  1898,               -169939,                -52908,                    523,               -462377,,                  2444,             -1050010,              1053562,,                  5209,               -457168,                942765,             12443480,                114335,                    -38,             -1257296,             11300481,,             -8025121,              6519086,                              0,                              0,             -3056982,                  1000,               -577448,                -20273,                              0,                              0,             -5159738,,                -10557,                -11454,             -2280383,             -2302394,                 60435,              3898784,              9604017,             13502801,             13502801,                              0,,,,,,,              1399933,                   -787,
3008,2013年01月01日至2013年12月31日,,             11500715,                              0,             11500715,,,              1434366,                 13442,                    328,                     38,               -122024,                 51447,                 35177,,                     73,                -12914,,,,,               -159723,                -82228,                  1898,               -169939,                -52908,                    523,               -462377,,                  2444,             -1050010,              1053562,,                  5209,               -457168,                942765,             12443480,                114335,                    -38,             -1257296,             11300481,,             -8025121,              6519086,                              0,,             -3056982,                  1000,               -577448,                -20273,,,             -5159738,,                -10557,                -11454,             -2280383,             -2302394,                 60435,              3898784,              9604017,             13502801,             13502801,                              0,,,,,,,              1399933,                   -787,
