證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 短期借款減少,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 其他金融資產減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　 匯率變動對現金及約當現金之影響,　　 其他非流動負債減少,　　 其他金融資產增加,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 取得以成本衡量之金融資產,　　 停業單位稅前淨利（淨損）
1615,2015年01月01日至2015年09月30日,,                 21836,                 21836,,,                 35339,                     62,                  1874,                -10861,                  5020,                   -185,                    852,                  1272,                 33373,,,                 20524,                 74974,               -113335,                     10,                -31917,                    567,                  1608,                   -653,                -48222,,                 -1398,                 24299,                 18500,                 -2310,                 -1331,                 -1053,                 36707,                -11515,                 21858,                 43694,                    185,                 -4928,                 -7326,                 31625,,                -19213,                              0,                 -5534,                              0,                -23663,                -48410,,                 15784,                              0,                              0,                -33559,                -17775,                -34560,                108711,                 74151,                 74151,,,,,,,,,,,,,,,,,,,
1615,2015年01月01日至2015年06月30日,,                    345,                    345,,,                 23620,                     11,,                  9688,                  3149,                   -149,                    852,                  1272,                 37558,,,                 -1197,                 51920,                120909,                 -5588,               -121303,                -16883,                    727,                   -652,                 27933,,                    917,                -23067,                -17848,                 -3435,                 -4890,                   -697,                -49020,                -21087,                 16471,                 16816,                    149,                 -3208,                 -4090,                  9667,,                 -3064,                              0,                 -5489,                              0,                -23663,                -32216,,                              0,                              0,                              0,,                -15251,                -37800,                108711,                 70911,                 70911,                   -885,                -15251,,,,,,,,,,,,,,,,,
1615,2015年01月01日至2015年03月31日,,                     46,                     46,,,                 11824,                     11,                              0,                  3692,                  1566,                    -68,                     22,                              0,                 18319,,,                   -714,                 41289,                -26540,                  2281,                  1563,                  2167,                    833,,                 20879,,                 -8475,                 -6827,                 43470,                 -3086,                  5245,                   -349,                 29978,                 50857,                 69176,                 69222,                     68,                 -1607,                              0,                 67683,,                 -1492,                              0,                   -805,                              0,                -23663,                -25960,,,                              0,                              0,                              0,                -93000,                -51277,                108711,                 57434,                 57434,,                -93000,                  1272,                              0,                              0,                              0,,,,,,,,,,,,,
1615,2014年度,,                 90884,                 90884,,,                 47814,                     35,                              0,,                  7068,                   -352,                -43814,                  3625,,,,                 -5784,                -38671,                 36022,                 -2345,                -81247,                 -1700,,,                -94565,,                 -1367,                 12259,                -46483,                  1653,                -12540,,                -47641,               -142206,               -127830,                -36946,                    352,                 -7088,                 -4054,                -47736,,                -19726,                115845,,                    729,,                 96848,,                 57211,                 30000,                -75000,                -33559,                -21348,                 27764,                 80947,                108711,                108711,,,,                              0,,                              0,,                 14376,                   -840,                 -1163,                              0,                              0,,,,,,,
1615,2014年01月01日至2014年09月30日,,                 74388,                 74388,,,                 35996,                     35,                              0,                              0,                  5343,                   -241,                -43906,                              0,                 -2773,,,                 -3853,                -26815,                107520,                   -799,               -110404,                  1066,                 -4150,                              0,                -37435,,                 -9703,                 23414,                -45853,                   -354,                -13093,                   -858,                -46447,                -83882,                -86655,                -12267,                    241,                 -5435,                 -3863,                -21324,,                -16197,                115843,                              0,                    734,                              0,                100380,,                  3875,                 30000,                -75000,                -33559,                -74684,                  4372,                 80947,                 85319,                 85319,,,,,,,,,,,,,,,,,,,
1615,2014年01月01日至2014年06月30日,,                 73257,                 73257,,,                 24155,                     35,,                  1969,                  3690,                   -173,                -43979,                              0,                -15130,,,                 -4869,                 16653,                 10011,                 -1312,               -152435,                 -2457,                 -1255,                              0,               -135664,,                  2742,                    908,                -68685,                 -2288,                 -8563,                   -576,                -76462,               -212126,               -227256,               -153999,                    173,                 -3734,                 -1281,               -158841,,                -14644,                115827,                              0,                    734,                              0,                101917,,                 51785,                 30000,                -50000,,                 31785,                -25139,                 80947,                 55808,                 55808,                   -827,                              0,,,,,,,,,,,,,,,,,
1615,2014年01月01日至2014年03月31日,,                 39443,                 39443,,,                 12113,                     35,                              0,                   -692,                  1803,                    -75,                -43849,                              0,                -30665,,,                 -1402,                 18134,                 77907,                 -4063,               -214810,                -13598,                 -1108,,               -138940,,                 19594,                 27703,                -68815,                 -3680,                   -932,                   -291,                -26421,               -165361,               -196026,               -156583,                     75,                 -1728,                     -1,               -158237,,                -10406,                115501,                              0,                    134,                              0,                105229,,,                 30000,                -25000,                              0,                 19735,                -33273,                 80947,                 47674,                 47674,,                 14735,                              0,                              0,                              0,                              0,,,,,,,,,,,,,
1615,2013年度,,                 40000,                 40000,,,                 48442,                     59,                    256,,                  7555,                   -335,                    -84,                              0,,,,                 34184,                 15085,                -41322,                    718,                 75216,                   -993,,,                 83066,,                -21444,                 14421,                -81150,                -10803,                  2569,,                -97565,                -14499,                 41022,                 81022,                    335,                 -7486,                 -8654,                 65217,,                -20491,                    412,,                     99,,                 -8958,,                137370,                 75000,               -325000,                -44745,               -157375,               -101116,                182063,                 80947,                 80947,,,,                   -372,,                              0,,                 55521,                    178,                 -1158,                 11022,                              0,,,,,,,
1615,2013年01月01日至2013年12月31日,,                 40000,                 40000,,,                 48442,                     59,                    256,,                  7555,                   -335,                    -84,,,,,                 34184,                 15085,                -41322,                    718,                 75216,                   -993,,,                 83066,,                -21444,                 14421,                -81150,                -10803,                  2569,,                -97565,                -14499,                 41022,                 81022,                    335,                 -7486,                 -8654,                 65217,,                -20491,                    412,,                     99,                              0,                 -8958,,,                 75000,               -325000,                -44745,               -157375,               -101116,                182063,                 80947,                 80947,,                137370,                   -372,                              0,,,,                 55521,                    178,                 -1158,                 11022,,,,,,                 65217,                              0,
1615,2013年01月01日至2013年09月30日,,                 15828,                 15828,,,                 36206,                     58,,,                  5583,                   -232,                    220,                     55,,,,                 32793,                 29264,                107224,                   -381,                -71125,                 -6515,                    790,,                 92050,,                -31759,                 10147,               -101993,                -12806,                 -2804,,               -140185,                -48135,                 -6245,                  9583,                    232,                 -5605,                 -8537,                 -4327,,                -11954,                     50,                   -163,                              0,,                 -5618,,                196999,                              0,               -225000,                -44745,                -72746,                -82691,                182063,                 99372,                 99372,,,,,,,,                 41890,,                   -970,                  6449,                              0,                              0,,,,,,
