證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 現金減資,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據增加（減少）,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 支付之股利,　　 其他投資活動,　　　　　 持有供交易之金融負債增加（減少）,　　 處分採用權益法之投資,　　 償還長期借款,　　 存入保證金增加
2375,2015年01月01日至2015年09月30日,,                 36643,                 36643,,,                 25505,                  2812,                  1438,                -15747,                  2727,                 -1897,                 -8956,                   -149,                 -3148,                   -463,                              0,                   -966,                 15263,                 16419,,,                 77959,                -27994,                 38537,                  1888,               -196844,                      3,                -31518,                  6305,                 -9168,               -140832,,                 11779,                 -7368,                  7770,                 14388,                   -121,                 26448,               -114384,                -97965,                -61322,                  4906,                  8956,                 -1255,                -65937,               -114652,,               -373365,                120606,                  4849,                -12235,                    295,                              0,                              0,                   -567,                 -6223,               -266640,,                300000,                -47164,                              0,               -107998,               -300000,                -47477,               -202639,                 41755,               -542176,                929525,                387349,                387349,,,,,,,,,,,,,,,,,
2375,2015年01月01日至2015年06月30日,,                 19196,                 19196,,,                 17026,                  1935,                    949,                 -7832,                  1421,                   -560,,                    112,                 -1113,                   -463,,                   -193,,                 11282,,,                 76815,                 -9800,                 51246,                    -80,                    911,                    -11,                  6411,                  3398,                 -2927,                125963,,                -48274,                  9947,                  3805,                 10708,                    -85,                -23899,                102064,                113346,                132542,                  3484,,                   -553,                -54492,                 80981,,                 -3525,                 24845,                    463,                -10160,                              0,                     51,,                    -78,                 -3464,                  8132,,                  3232,,                              0,,,                 -6927,                 -3695,                -30524,                 54894,                929525,                984419,                984419,                              0,,,,,,,,,,,,,,,,
2375,2015年01月01日至2015年03月31日,,                  9891,                  9891,,,                  8283,                    991,                    -33,                 -3318,                    693,                   -226,,                      2,,,                  2932,,,                  9324,,,                 81281,                 -3089,                 67207,                  8414,                    164,                    -11,                -39147,                 -7960,                 -2496,                104363,,                  3505,                 -3175,                    683,                    -65,                    -48,                    900,                105263,                114587,                124478,                  3235,,                   -304,                              0,                127409,,                              0,,,                 -5029,                    672,                     13,,                    -78,                              0,                 -3325,,                              0,                -47284,                              0,,,,                -47284,                -12664,                 64136,                929525,                993661,                993661,,                  1097,,,,,,,,,,,,,,,
2375,2014年度,,                161021,                161021,,,                 28238,                  4738,                 -8936,                -92117,                  5111,                 -6238,                 -9664,                    194,,                              0,                  5956,                              0,,,,,                983064,                 -3870,                  2152,                -14398,                    369,                     18,                 38656,                  3068,                  1083,              1010142,,                -49423,                 -9309,                 -3090,                    -41,,                -62049,                948093,                875375,              1036396,                  8781,                  9664,                   -120,                    -95,              1054626,,               -159208,,                  4873,                -28563,                    897,                              0,                 49000,                              0,                 -7168,               -140198,,                 90893,,                    -49,                -13574,               -406009,                 -5092,               -333831,                 61528,                642125,                287400,                929525,                929525,,                              0,,                -72718,                   -186,                              0,                              0,                    -29,                              0,                              0,                              0,,,,,,
2375,2014年01月01日至2014年09月30日,,                148670,                148670,,,                 20597,                  3717,                 -3072,                -84480,                    105,                 -2577,                 -9664,                    193,                              0,                              0,                  2473,                              0,                              0,                -72708,,,                103023,                 -3442,                 -3324,                -12027,                  1145,                     13,                 35379,                 11102,                 -3295,                128574,,                -75315,                -48960,                 -3715,                   -634,                   -139,               -128763,                   -189,                -72897,                 75773,                  8081,                  9664,                   -105,                    -74,                 93339,,               -157690,                              0,                  4873,                 -9761,                    936,                     -5,                 49000,                              0,                 -5606,               -118253,,                              0,                              0,                    -49,                -13574,                              0,                 -5092,                -18715,                  3957,                -39672,                287400,                247728,                247728,,,,,,,,,,,,,,,,,
2375,2014年01月01日至2014年06月30日,,                106962,                106962,,,                 13179,                  2667,                 -2765,                -63469,                    105,                 -2196,,                    -59,                              0,                              0,,                 -1805,,                -54343,,,                217193,                 -3858,                  8151,                 -9771,                  4588,                     -6,                 -4964,                 10088,                 47384,                268805,,                -56263,                -12027,                 -2378,                  2306,                    -93,                -68442,                200363,                146020,                252982,                  3698,,                   -105,                    -74,                256501,,               -147872,                              0,                  4873,                -17476,                    312,                     31,,                              0,                 -3300,               -163432,,                              0,,                    -50,,,                              0,                    -50,                -41837,                 51182,                287400,                338582,                338582,                     13,,,,,,,,,,,,,,,,
2375,2014年01月01日至2014年03月31日,,                 50462,                 50462,,,                  6686,                  1380,                 -2791,                -22591,                     54,                 -1912,,                    -60,,,                  1706,,,                -17528,,,                 39641,                      4,                 -9415,                 -6191,                  4447,                      4,                -53516,                 -4660,                 -1461,                -31147,,                  6632,                 -2550,                 -2007,                    928,                    -46,                  2957,                -28190,                -45718,                  4744,                  1520,,                     -2,                   -390,                  5872,,               -147967,,,                -17075,                    146,                      5,,                              0,                 -4214,               -169105,,                 76094,                              0,                    -49,,,,                 76045,                 -1908,                -89096,                287400,                198304,                198304,,                              0,,,,,,,,,,,,,,,
2375,2013年度,,                629657,                629657,,,                 48871,                  4952,                 -1462,                -24853,                              0,                -77079,                 -4602,               -631914,,                 -2085,                129935,                -31078,,,,,             -1164116,                    -43,                 34742,                    271,                    755,                    -21,                 12790,                 15134,                  9418,             -1091070,,                 12097,                 74946,                  7120,                 -4583,,                 89374,             -1001696,             -1591011,               -961354,                 72358,                  4602,                              0,                   -734,               -885128,,                              0,,                 15165,               -117865,                 23777,                  3367,                              0,                 -1234,                              0,                883761,,                              0,,                    -97,                              0,                              0,                              0,                    -97,                 44818,                 43354,                244046,                287400,                287400,,                  6078,,               -589315,                   -206,                -48247,              1055962,                              0,                 -6810,                  2758,                -49190,,,,,,
2375,2013年01月01日至2013年12月31日,,                629657,                629657,,,                 48871,                  4952,                 -1462,                -24853,                              0,                -77079,,               -631914,,                 -2085,                129935,,,,,,             -1164116,                    -43,                 34742,                    271,                    755,                    -21,                -18288,                 15134,                  9418,             -1122148,,                 12097,                 74946,                  7120,                 -4583,,                 89374,             -1032774,             -1586409,               -956752,                 72358,,                              0,                   -734,               -885128,,,,                 15165,               -117865,                 23777,                  3367,,,                  6078,                883761,,,                              0,,,,,                    -97,                 44818,                 43354,                244046,                287400,                287400,,,,               -553635,                   -206,                -48247,              1055962,,                 -6810,                  2758,                -49190,,                 -1234,                              0,                              0,                              0,                    -97
2375,2013年01月01日至2013年09月30日,,                147494,                147494,,,                 40455,                  3744,                 -1619,                -12862,                              0,                 -7780,                 -4602,                -89610,,,                 34341,                -18188,,,,,               -457071,                   -155,                 58807,                -11645,                  1219,                     -8,                 39618,                 14794,                 -3935,               -358376,,                -54278,                 41997,                  6342,                 -4491,,                -10585,               -368961,               -425082,               -277588,                  3420,                  4602,                              0,                   -689,               -270255,,                              0,,                  5415,                -93036,                 21452,                  3392,                              0,                 -5589,                -18410,                569725,,,,                    -99,                              0,,                              0,                    -99,                 19620,                318991,                244046,                563037,                563037,,,,                -56121,                   -155,                449605,                490987,,,,               -284091,,,,,,
