證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付設備款減少,　　 支付之股利,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產
1709,2015年01月01日至2015年09月30日,,                722597,                              0,                722597,,,                191815,                    916,                   -162,                 -8198,                 21575,                 -1351,                 -7814,                  3427,                    -78,                              0,                    -13,                              0,                              0,                200117,,,               -179841,                -75469,                229473,                    393,                  9378,                   -292,                665858,                 -3380,                -21892,                  1907,                  3412,                629547,,                  2936,               -170944,                126629,                              0,                    405,                 -5929,                 -4325,                 -9643,                -60871,                568676,                768793,              1491390,                  1647,                  7814,                -12543,                -51993,              1436315,,               -213920,                 64349,                              0,                              0,                              0,                  7394,                -36067,                     95,                 -1720,                  1710,                 -2000,                  3000,                   -149,                   -333,                     -1,                              0,               -423460,               -601102,,                280000,               -812000,                              0,                 80000,               -246735,                              0,                              0,                              0,                 -1164,               -257961,                -10568,                              0,               -968428,                    641,               -132574,              1057969,                925395,                925395,,,,,,,
1709,2015年01月01日至2015年06月30日,,                387641,                              0,                387641,,,                129228,                    678,                   -192,                 -4799,                 15542,                 -1030,                 -7484,                  2000,                              0,,                    -13,                              0,                              0,                133930,,,               -220061,               -133748,                 38996,                -22073,                 13435,                    -84,                855328,                  1379,                  9627,                  1188,                  3442,                547429,,                   -641,                 -7454,                 14861,                              0,                    142,                 47861,                 -4443,                 -6270,                 44056,                591485,                725415,              1113056,                  1022,                  7484,                 -9651,                -25002,              1086909,,               -171632,                 64349,,,                              0,                    670,                -26988,                              0,                 -1043,                    935,                 -2000,                  3000,                    -42,,                              0,                      1,               -292994,               -425744,,                190000,               -792000,                              0,                              0,               -168896,                              0,                              0,                              0,                   -678,,                -13117,                              0,               -784691,                     16,               -123510,              1057969,                934459,                934459,,,,,,,
1709,2015年01月01日至2015年03月31日,,                 96969,                              0,                 96969,,,                 64386,                    423,                   -122,                 -2105,                  8678,                   -336,,                  1096,,,                   -108,,,                 71912,,,               -280035,               -180065,                 70380,                    393,                 15423,                     -1,                722482,                  2581,                -12426,                 -3539,                    122,                335315,,                 -1464,                 25286,                -52743,                              0,                   -296,                147676,                      2,                 -1779,                116682,                451997,                523909,                620878,                    353,,                 -5728,                    -26,                615477,,                -14000,                 50108,,,                -37826,                              0,                -18393,,                   -503,                    438,,                  1000,                    -42,,                              0,                      1,               -180429,               -199646,,                320000,               -672000,                              0,                              0,                -87642,,,                              0,                   -388,,                              0,,               -440030,                    -89,                -24288,              1057969,              1033681,              1033681,,,,,,,
1709,2014年度,,                254312,,                254312,,,                263309,                  1777,                   -208,                  3920,                 37216,                 -2071,                -16658,                  8584,                   -189,                              0,                 -1240,                  8559,                              0,,,,                              0,                    279,                -96560,                    716,                 53382,                   -621,                405607,                  1832,                 -9116,                    763,                    144,                356426,,                  1877,               -324127,                -11778,                   -131,                  3797,                 12214,                   -309,,               -330535,                 25891,                328890,                583202,                  2347,                 19641,                -27050,                -79998,                498142,,                -72500,                123882,                              0,                -89460,                -47237,                              0,                -35031,                    359,                 -1606,                  1667,                 -3000,,                 -1058,                              0,                     -4,,               -470262,               -594250,,                745000,               -531833,                700000,                 20000,               -398295,                              0,                              0,                 20000,                -11729,               -257960,                 29533,                 -5447,                309269,                    504,                213665,                844304,              1057969,              1057969,,                302999,                -12078,,,,
1709,2014年01月01日至2014年09月30日,,                225266,                              0,                225266,,,                198533,                  1326,                   -208,                    -76,                 27345,                 -1423,                 -7077,                    191,                   -195,                              0,                 -1206,                  6000,                              0,                223210,,,               -545281,                -35169,               -250434,                    732,                 18771,                   -206,                -63982,                 -1056,                -32276,                 -4810,                    208,               -913503,,                 11400,                -72560,                -23286,                   -131,                  4194,                 22079,                  5731,                 -8913,                -61486,               -974989,               -751779,               -526513,                  1745,                 10061,                -20052,                -78111,               -612870,,                -56910,                109758,                              0,                -89460,                 -4549,                              0,                -18676,                    359,                 -1141,                  1316,                 -3000,                              0,                   -607,                              0,                     -2,                              0,               -332057,               -394969,,              1057000,               -531833,                700000,                 20000,               -327744,                              0,                              0,                 20000,                -10841,               -257960,                 29533,                 -5447,                692708,                    202,               -314929,                844304,                529375,                529375,,,,,,,
1709,2014年01月01日至2014年06月30日,,                193821,                              0,                193821,,,                134245,                    901,                   -148,                   -539,                 17894,                 -1071,                 -7077,                  1037,                   -201,,                 -1198,                  1500,                              0,                145343,,,               -645095,               -101809,               -198304,                    739,                 44020,                      1,                195407,                  6207,                  8141,                 -3080,                    148,               -693625,,                    940,                 50149,                -12967,                   -131,                  2723,                 50709,                   -347,                 -6124,                 84952,               -608673,               -463330,               -269509,                  1438,                  7077,                -13895,                -49138,               -324027,,                -14910,                103751,,,                 -4549,                              0,                -14304,                    250,                   -767,                  1012,                 -3000,                              0,                   -609,,                     -1,                              0,               -179468,               -112595,,                386000,               -381833,                700000,                 10100,               -230396,                              0,                              0,                 10000,                   -452,,                 36994,                 -5447,                524966,                     90,                 88434,                844304,                932738,                932738,,,,,,,
1709,2014年01月01日至2014年03月31日,,                130673,                              0,                130673,,,                 67850,                    446,                    -50,                    -77,                  8253,                   -410,,                    691,,,                    -72,,,                 76631,,,               -609081,                -75087,               -414020,                    -25,                 -7263,                     -1,                227853,                  4725,                -15696,                 -3445,                     50,               -891990,,                    -70,               -148138,                -62728,                   -131,                    641,                 80473,                   -469,                 -3491,               -133913,             -1025903,               -949272,               -818599,                    807,,                 -7570,                 -1230,               -826592,,                -15000,                 27572,,,                 -4549,                              0,                 -9155,,                   -330,                    478,,                              0,                   -575,,                     -2,                              0,               -126347,               -127908,,                369000,                   -833,                694553,                 10100,               -138945,,,                 10000,                    -64,,                 44283,,                988094,                     -8,                 33586,                844304,                877890,                877890,,,,,,,
1709,2013年度,,                405285,,                405285,,,                264530,                  2038,                   -564,                  1195,                 30192,                 -1668,                -17419,                 -1431,                    134,                    927,                -14168,                              0,                 -3154,,,,                681088,                -18249,                -52799,                 -1109,                -52938,                    -74,               -462238,                 -1766,                 11565,                 -3731,                     50,                 99799,,                 -2309,                202131,                 -3594,                    128,                   -547,                   -835,                    381,,                186666,                286465,                547077,                952362,                  1559,                 23625,                -30522,                -69471,                877553,,               -105000,                 91118,                 53365,                              0,                              0,                -30525,                -27367,                      4,                 -5947,                  5494,                              0,,                 -1616,                -45000,                     -5,,               -251139,               -316618,,                638833,                              0,                              0,                291700,               -956927,                    237,                   -160,                 13310,                -11641,               -128980,                 91222,                              0,                -62406,                    -52,                498477,                345827,                844304,                844304,,                260612,                 -8689,,,,
1709,2013年01月01日至2013年12月31日,,                405285,,                405285,,,                264530,                  2038,                   -564,                  1195,                 30192,                 -1668,                -17419,                 -1431,                    134,                    927,                -14168,                              0,                 -3154,,,,                681088,                -18249,                -52799,                 -1109,                -52938,                    -74,               -462238,                 -1766,                 11565,                 -3731,                     50,                 99799,,                 -2309,                202131,                 -3594,                    128,                   -547,                   -835,                    381,,                186666,                286465,                547077,                952362,                  1559,                 23625,                -30522,                -69471,                877553,,               -105000,                 91118,                 53365,,                              0,                -30525,                -27367,                      4,                 -5947,                  5494,,,                 -1616,                -45000,                     -5,                              0,               -251139,               -316618,,                638833,                              0,,                291700,               -956927,                    237,                   -160,                 13310,                -11641,               -128980,                 91222,,                -62406,                    -52,                498477,                345827,                844304,                844304,,                260612,                 -8689,                              0,,,
1709,2013年01月01日至2013年09月30日,,                336176,                              0,                336176,,,                197474,                  1586,                   -513,                  1195,                 23395,                 -1058,                 -6895,                   -941,                     13,                    595,                -14112,                              0,                 -3154,,,,                681087,                -22346,                 64553,                 -1100,                -35698,                              0,               -262975,                 -3251,                -10824,                 -6557,                              0,                402889,,                   -600,                 86976,                -80619,                              0,                  3293,                 29292,                  1489,,                 35526,                438415,                636000,                972176,                  1427,                 13101,                -23631,                -67776,                895297,,                -68000,                 79062,                 53365,                              0,                              0,                -30544,                -23975,                      4,                 -5033,                  4696,                              0,,                 -1652,                -23200,                              0,                    391,               -149238,               -164124,,                486000,                              0,                              0,                291700,               -846782,                    237,                   -160,                 12860,                -11250,               -128979,                 91202,                              0,               -105172,                    -92,                625909,                345827,                971736,                971736,,                197585,                 -4305,,,,
