證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 處分無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無形資產,　　 其他非流動資產減少,　　　　　 預收款項增加（減少）,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 其他營業資產（增加）減少
2462,2015年01月01日至2015年09月30日,,                166692,                166692,,,                 37800,                  1211,                    222,                  6462,                  5798,                 -3783,                 -1693,                 -2819,                     33,                              0,                    663,                  1942,                 45836,,,                   -902,                -81750,                243127,                 -6780,                -11203,                 13900,                 -1060,                155332,,                 -3035,               -164863,                              0,                 -8472,                              0,                -46153,                     -8,               -222531,                -67199,                -21363,                145329,                  3783,                              0,                 -4597,                -39209,                105306,,                              0,                              0,                -48614,                              0,                 -3613,                              0,                   -308,               -133386,                  1828,                  4064,               -180029,,              1415860,             -1270617,                              0,                 28000,                 16630,               -115872,                 74001,                -13563,                -14285,                671192,                656907,                656907,,,,,,,,,
2462,2015年01月01日至2015年06月30日,,                 61260,                 61260,,,                 25181,                    812,                   -149,                  5974,                  3123,                 -2413,                              0,                   -473,                     67,                              0,                    663,                  4113,                 36898,,,                   -106,                -63949,                316801,                 -7841,                 31808,                 -9838,                 -1037,                265838,,                 -2290,               -209387,,                 -9201,,                -24216,                     -8,               -245102,                 20736,                 57634,                118894,                  2413,,                 -2624,                -22341,                 96342,,,,                -13661,                              0,,,                   -308,                -10754,                   -401,                 -2502,                -30475,,                711369,               -722000,,                 18000,                 15136,,                 22505,                -29251,                 59121,                671192,                730313,                730313,                 -2849,,,,,,,,
2462,2015年01月01日至2015年03月31日,,                 42713,                 42713,,,                 12855,                    409,                    195,                 -2229,                  1626,                 -1117,                              0,                    436,                    138,                              0,                              0,                  4131,                 16444,,,                              0,                 -1004,                186642,                 -3923,                -19738,                  7218,                    318,                169513,,                 -1158,                -85203,                              0,                -11563,                              0,                  5316,                     -8,                -92616,                 76897,                 93341,                136054,                  1117,                              0,                 -1370,                    -41,                135760,,                              0,                              0,                 -6177,                              0,                    663,                              0,                   -308,                 -2010,                 -4351,                 -1532,                -13715,,                384098,               -391000,                              0,,                    -20,                              0,                 -6922,                -18709,                 96414,                671192,                767606,                767606,,,,,,,,,
2462,2014年度,,                198026,                198026,,,                 55814,                  1575,                    -95,                -10682,                  7053,                 -7526,                 -1282,                  2763,                    543,                 -4348,                  6473,                 -2985,,,,                 22498,                 -3899,                -67115,                  3125,                -41410,                -25046,                    734,               -111113,,                  2672,                 19727,                              0,                -30066,                              0,                 15339,,                  6821,               -104292,                -56989,                141037,                  7526,                  1282,                 -4271,                -34891,                110683,,                              0,                              0,                -35959,                    655,                   -129,                              0,                   -183,               -184118,                 -2390,,               -119624,,              1232141,             -1222000,                              0,,                    109,               -140115,               -129865,                -13071,               -151877,                823069,                671192,                671192,,,                 47303,                   -851,                   -939,                103439,,,
2462,2014年01月01日至2014年09月30日,,                171054,                171054,,,                 42150,                  1074,                   -159,                -10002,                  5787,                 -6380,                 -1282,                  1474,                    667,                 -4348,                    523,                   -980,                 28524,,,                 22498,                 -1951,                -13211,                 -2239,                -52970,                -44505,                  1119,                -91259,,                    496,                 -3176,                              0,                -21892,                              0,                -11174,                    -43,                -35789,               -127048,                -98524,                 72530,                  6380,                              0,                 -3260,                -34842,                 40808,,                              0,                              0,                -24424,                    452,                 -6850,                              0,                              0,               -180398,                 -4169,                 99096,               -116293,,                747275,               -842000,                              0,                              0,                     44,                              0,                -94681,                 10645,               -159521,                823069,                663548,                663548,,,,,,,,,
2462,2014年01月01日至2014年06月30日,,                 95500,                 95500,,,                 28739,                    681,                   -179,                -16326,                  4549,                 -3296,                     -6,                  1204,                    426,                 -4348,                    523,                  2018,                 13985,,,                 22499,                 -1129,                165259,                 -6013,                    420,                -60604,                  1052,                121484,,                  1068,               -101100,,                -37567,,                 -3323,                    -35,               -140957,                -19473,                 -5488,                 90012,                  3296,,                 -2282,                -18184,                 72842,,,,                -20293,                    222,,,                              0,                -74725,                 -2480,                 96278,                   -964,,                567269,               -627000,,                              0,                    733,,                -58998,                 -4161,                  8719,                823069,                831788,                831788,                     34,,,,,,,,
2462,2014年01月01日至2014年03月31日,,                 79738,                 79738,,,                 14645,                    324,                   -329,                -22050,                  2777,                 -1707,                              0,                    509,                    104,                 -1396,                    247,                   -847,                 -7723,,,                  9336,                  2667,                187682,                  2230,                -10178,                -60272,                    713,                132178,,                   -924,                -90641,                              0,                -40779,                              0,                    384,                    -34,               -131994,                    184,                 -7539,                 72199,                  1707,                              0,                 -1136,                    -24,                 72746,,                              0,                              0,                 -8670,                     92,                    -32,                              0,                              0,                   -458,                   -222,                 98006,                 88716,,                286000,               -301000,                              0,,                    286,                              0,                -14714,                 10457,                157205,                823069,                980274,                980274,,,,,,,,,
2462,2013年度,,                275201,                275201,,,                 61028,                    819,                 -3853,                   -285,                  9301,                 -4929,                 -2890,                  2911,                  1350,                   -264,                  1158,                 -1068,,,,                   -892,                  4001,                -10120,                  5730,                  6663,                   -260,                  4474,                  9596,,                 -5991,                -53164,                -15715,                 10153,                -10000,                 30999,,                -43748,                -34152,                 29126,                304327,                  4929,                  2890,                 -2201,                -61507,                248438,,                              0,                              0,                -22027,                  3498,                 -3219,                              0,                              0,                   -366,                 -1758,,                -24434,,                737117,               -439500,                              0,,                    193,               -218202,                 79608,                -24415,                279197,                543872,                823069,                823069,,,                 63278,                    -30,                   -562,                              0,,,
2462,2013年01月01日至2013年12月31日,,                275201,                275201,,,                 61028,                    819,                 -3853,                    446,                  9301,                 -4929,                 -2890,                  2911,                  1350,                   -264,                  1158,                 -1068,,,,                   -892,                  4001,                -10120,                  5730,                  6663,                   -260,                  4474,                  9596,,                 -5991,                -53164,                -15715,                 10153,                -10000,                 30999,,                -44479,                -34883,                 29126,                304327,                  4929,                  2890,                 -2201,                -61507,                248438,,                              0,                              0,                -22027,                  3498,                 -3219,,,                   -366,                 -1758,,                -24434,,                737117,               -439500,                              0,,                    193,               -218202,                 79608,                -24415,                279197,                543872,                823069,                823069,,,                 64009,                    -30,                   -562,,,                   -731,
2462,2013年01月01日至2013年09月30日,,                189211,                189211,,,                 45805,                    834,                  3387,                  2778,                  6361,                 -3106,                 -2890,                  3815,                              0,                              0,                    445,                  1307,,,,                 -3056,                  4995,                 93365,                 -7042,                 31654,                  2373,                  3240,                125529,,                 -5286,               -107325,                -15432,                 15402,,                  6561,,               -106108,                 19421,                 78157,                267368,                  3106,                  2890,                 -1188,                -59584,                212592,,                              0,                              0,                -20243,                  3070,                 -2778,                              0,,                   -256,                   -827,                              0,                -23286,,                396500,               -173000,                              0,,                    180,               -218202,                  5478,                -50338,                144446,                543872,                688318,                688318,,,                 58736,                    -28,                 -2252,,,,
