證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 存出保證金增加,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 償還長期借款,　　　　　 應收帳款－關係人（增加）減少,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　 採用權益法之被投資公司減資退回股款,　　　　　 遞延貸項增加（減少）,　　 處分以成本衡量之金融資產,　　 處分無形資產,　　 預付設備款減少
6128,2015年01月01日至2015年09月30日,,                280698,                280698,,,                 68384,                  3798,                  1373,                     26,                 14966,                   -369,                  6696,                   -578,                    459,                 94755,,,                -10430,                   -721,                    793,                 10611,                  1742,                    -46,                     78,                  2027,,                 -1914,                 17865,                 -9207,                 -1371,                    351,                  5724,                  7751,                102506,                383204,                    359,                -15435,                -84454,                283674,,                -66607,                 14160,                     33,                 -2538,                              0,                   -224,                -55176,,              1520000,             -1500000,                 60000,                -89920,                 60000,                   -340,               -255049,               -205309,                  1342,                 24531,                263682,                288213,                288213,,,,,,,,,,,,,,,,,
6128,2015年01月01日至2015年06月30日,,                167215,                167215,,,                 45748,                  2603,                    387,,                  9735,                   -320,                  4239,                   -573,                  1413,                 63139,,,                -17395,                 -2028,                     39,                 16969,                     11,                    -43,                     67,                 -2380,,                 -3423,                  3052,                -32285,                -10781,                    239,                -43198,                -45578,                 17561,                184776,                    343,                -10291,                -44727,                130101,,                -30702,                 12659,                              0,                 -1378,                              0,                 -1570,                -20991,,              1340000,             -1480000,                 60000,                -59976,,                   -340,,               -140316,                 -1675,                -32881,                263682,                230801,                230801,                    -93,,,,,,,,,,,,,,,,
6128,2015年01月01日至2015年03月31日,,                 72376,                 72376,,,                 23212,                  1145,,,                  4963,                   -172,                  1904,                   -569,                 -1377,                 29053,,,                 -8625,                 41016,                    113,                -20243,                   -602,                    -10,                     34,                 11683,,                 -6667,                 20814,                -41682,                 14757,                    109,                -12669,                   -986,                 28067,                100443,                    138,                 -5027,                    -42,                 95512,,                -21311,                  8441,                              0,                 -1143,,                   -191,                -14205,,                800000,               -880000,                 30000,                -30000,,,,                -80340,                   -765,                    202,                263682,                263884,                263884,                    -53,                     -1,                   -340,,,,,,,,,,,,,,
6128,2014年度,,                349367,                349367,,,                 95568,                  5316,,                   -144,                 16572,                   -723,                  9038,                    196,,,,,                    605,                -40562,                  5453,                -53318,                 -9159,                    303,                    122,                -96556,,                 -4855,                -17635,                 -7217,                 -1225,,                -31331,               -127887,                   -694,                348673,                    719,                -15938,                -84478,                248976,,                -29978,                  4088,                    186,                 -3494,               -688350,               -211070,               -928637,,              3421027,             -2471027,                              0,                    -27,                              0,,               -204949,                745024,                -11844,                 53519,                210163,                263682,                263682,                  1370,                    -19,,,                127193,                    429,                   -828,                              0,                              0,,,,,,,,
6128,2014年01月01日至2014年09月30日,,                247705,                247705,,,                 69780,                  4033,                              0,                    -64,                 11363,                   -414,                  8307,                   -156,                     67,                 92916,,,                    692,                 12226,                  6437,                -73286,                 -6633,                    274,                     92,                -60198,,                 -8105,                -23616,                -21041,                -12007,                    252,                -64517,               -124715,                -31799,                215906,                    399,                -10686,                -84447,                121172,,               -233165,                  4599,                    171,                 -1888,               -688350,                 -7510,               -926143,,              1410000,               -470000,                119704,               -119733,                              0,                              0,               -204949,                735022,                  3025,                -66924,                210163,                143239,                143239,,,,,,,,,,,,,,,,,
6128,2014年01月01日至2014年06月30日,,                171730,                171730,,,                 46190,                  2656,                              0,,                  6368,                   -311,                  3749,                    100,                  1025,                 59720,,,                 -9927,                 -4839,                  3189,                -73506,                -14297,                    196,                     63,                -99121,,                 -2093,                    800,                -21146,                -18519,                     99,                -40859,               -139980,                -80260,                 91470,                    330,                 -5652,                -49021,                 37127,,               -222600,                  3957,                    155,                 -1018,               -688350,                 -4325,               -912181,,              1290000,               -470000,                 59826,                -59823,,                              0,,                820003,                  2505,                -52546,                210163,                157617,                157617,                    -57,,,,,,,,,,,,,,,,
6128,2014年01月01日至2014年03月31日,,                 94423,                 94423,,,                 22075,                  1322,,,                  2566,                   -117,                  1615,                     77,                    119,                 27616,,,                 -5903,                -18598,                  2014,                -43733,                   -602,                    207,                     29,                -66586,,                 -1040,                  6475,                -34090,                 -7168,                     31,                -35792,               -102378,                -74762,                 19661,                     77,                 -2472,                 -2956,                 14310,,                 -5640,                  3015,                    150,                   -458,,               -260386,               -263319,,                450000,               -230000,                 29949,                -29947,,,,                220002,                  4057,                -24950,                210163,                185213,                185213,                    -41,                              0,                              0,,,,,,,,,,,,,,
6128,2013年度,,                280964,                280964,,,                 86305,                  3715,,                   -278,                  9098,                   -404,                  3632,                     11,,,,,                 -2073,                -33785,                 20395,                 -4143,                    697,                   -277,                    209,                -18977,,                -20040,                  3010,                 56998,                   -192,,                 39096,                 20119,                126428,                407392,                    407,                 -8792,                -61423,                337584,,               -259867,                  2818,                    483,                 -8432,                              0,                -50270,               -315152,,              1640000,             -1685000,                 29947,                              0,                495480,,               -154851,                104336,                    675,                127443,                 82720,                210163,                210163,                  4230,                   -780,,,                106309,                    -25,                   -655,                    896,               -221240,,,,,,,,
6128,2013年01月01日至2013年12月31日,,                280964,                280964,,,                 86305,                  3715,,,                  9098,                   -404,                  3632,                    -11,                   -655,,,,                 -2073,                -33785,                 20395,                 -4143,                    697,                   -277,                    209,                -18977,,                -20040,                  3010,                 56998,                   -192,,                 39751,                 20774,                126406,                407370,                    407,                 -8792,                -61423,                337562,,               -259867,                  2840,,                 -8432,,                -50270,               -315130,,              1640000,             -1685000,                 29947,,                495480,,               -154851,                104336,                    675,                127443,                 82720,                210163,                210163,                  3952,                   -297,,,                105632,                    -25,,                    896,               -221240,,                              0,                              0,                              0,,,,
6128,2013年01月01日至2013年09月30日,,                214521,                214521,,,                 59303,                  2526,,                   -189,                  6646,                   -199,                  2801,                    -14,                 -1033,,,,                 -5777,                -17140,                 21897,                 11187,                 -7748,                   -125,                    181,                  2475,,                -25379,                 -2942,                 40388,                -28546,,                -16506,                -14031,                 55810,                270331,                    186,                 -6269,                -59299,                204949,,               -219209,                    127,                    208,                 -4389,                              0,                -26280,               -250281,,              1219521,               -984521,                 29945,                              0,                494480,,               -154851,                383334,                    565,                338567,                 82720,                421287,                421287,,                   -738,,,                 69841,                    -27,,,               -221240,,,,,,,,
