證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 預付投資款減少,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　　　 預付費用（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 預付投資款增加,　　 預付設備款減少,　　 現金減資,　　 庫藏股票買回成本,　　 對子公司之收購（扣除所取得之現金）
2477,2015年01月01日至2015年09月30日,,                251331,                251331,,,                133648,                 11043,                  6755,                  8035,                -30478,                  1669,                  2371,                    406,                 -8739,                              0,                              0,                124710,,,                  8020,                -13158,               -270724,                      5,                -51637,                 21234,                 56289,                379549,                129578,,                   -825,                    951,                188643,                 40339,                 11109,                -26053,                    209,                 33641,                248014,                377592,                502302,                753633,                 35511,                 -4398,                -24881,,,                759865,                759865,,                              0,                  8948,                              0,                -47341,                    157,                  2725,                   -750,                -60081,                -15045,               -111387,,              2413000,             -2593000,                              0,                   -465,               -238815,                 46327,               -372953,                -67956,                207569,                965106,              1172675,              1172675,,,,,,,,,,,,,
2477,2015年01月01日至2015年06月30日,,                 56310,                 56310,,,                 90314,                  7346,                  2192,                  6984,                -24085,                  1067,                  2277,                      8,,,                              0,                 86103,,,                 41975,                  8655,                -28060,                     56,                 11894,                 32155,                 54524,                434684,                555883,,                   -825,                 -1477,                 19322,                    652,                  3107,                -32481,                    131,                 29566,                 17995,                573878,                659981,                716291,                 29573,                 -7197,                -23409,,,,                715258,,                              0,,                              0,                -34159,                    157,                  2775,                   -750,,                -40120,                -72097,,              1673000,             -1898000,                              0,                   -431,,                 46327,               -179104,               -108263,                355794,                965106,              1320900,              1320900,                              0,,,,,,,,,,,,
2477,2015年01月01日至2015年03月31日,,                 40025,                 40025,,,                 45717,                  3651,                 -2093,                  6188,                -16517,                    167,                              0,                      9,,,,                 37122,,,                 36001,                 14437,                177284,                     56,                 53168,,                 61299,                408475,                739814,,                   -825,                    506,               -130677,                -18455,                  1375,                -34889,                     58,                 40286,               -142621,                597193,                634315,                674340,                 20160,                 -6325,                 -2786,,,,                685389,,                              0,,                              0,                 -6485,                              0,                  2770,                              0,,                -25327,                -29042,,                699000,               -951000,                              0,                   -254,,                 43980,               -208274,                -71822,                376251,                965106,              1341357,              1341357,                              0,                -10906,,,,,,,,,,,
2477,2014年度,,               -222862,               -222862,,,                187246,                 14137,                 -3288,                  4711,                -62140,                    220,                  2361,,,                179908,                -12417,,,,                549107,                -10538,                179059,                    -56,                208655,                  5304,                -68585,               -328541,                534405,,                    825,                 -1405,               -161329,                -47271,                 37264,                 67785,,                -34378,               -138606,                395799,                706893,                484031,                 53798,                 -4593,                -30087,,,,                506475,,               -179908,,                217459,                -95459,                  3955,,                 -3707,,               -382603,               -440540,,              3505600,             -3278400,                  2221,,               -716445,               -294654,               -781678,                 51007,               -664736,              1629842,                965106,                965106,                   -277,,,                 -3326,                  3682,                311094,                    -97,                  3326,                              0,                              0,,,
2477,2014年01月01日至2014年09月30日,,               -164907,               -164907,,,                141775,                 10512,                 -2385,                  3094,                -52327,                   -932,                    875,                              0,                              0,                179908,                -12355,                268165,,,                599627,                 -6697,                122705,                              0,                 24215,                  4189,                 -8154,                 23625,                759510,,                              0,                 -3685,                -70262,                -28166,                  7759,                 38739,                    214,                 -9339,                -64740,                694770,                962935,                798028,                 46413,                 -2854,                -28620,,,                812967,                812967,,               -179908,                              0,                217459,                -62867,                  3386,                  1965,                 -3555,                              0,               -304114,               -327634,,              2631600,             -2476400,                  2038,                              0,               -716445,               -256355,               -815562,                -22725,               -352954,              1629842,              1276888,              1276888,,,,,,,,,,,,,
2477,2014年01月01日至2014年06月30日,,                -36723,                -36723,,,                 97642,                  6916,                 -4480,                  1975,                -31053,                 -1020,                     50,                              0,,,                 -9879,                 60151,,,                591609,                 -1800,                251403,                   -804,                 63305,                 38383,                 -8200,                -39341,                894555,,                              0,                 -2859,               -216818,                -35350,                  3750,                 21768,                    136,                 -5549,               -234922,                659633,                719784,                683061,                 28129,                 -2112,                -25921,,,,                683157,,               -179908,,                217459,                -39592,                    300,                              0,                 -2886,,               -224637,               -229700,,              1919600,             -1919600,                    489,                              0,,               -101795,               -101306,                -45377,                306774,              1629842,              1936616,              1936616,                   -436,,,,,,,,,,,,
2477,2014年01月01日至2014年03月31日,,                 -4189,                 -4189,,,                 43888,                  3383,                 -6669,                    993,                -13123,                 -1431,                     60,                              0,,,,                 27101,,,                598528,                -12110,                349824,                   -705,                 67033,,                -15267,               -292800,                733970,,                              0,                   -458,               -294579,                -30381,                  1760,                  2006,                     61,                 -4094,               -325685,                408285,                435386,                431197,                 11875,                   -940,                 -3418,,,,                438714,,               -179908,,                217459,                 -8729,                    104,                              0,                   -733,,               -123672,                -95732,,                818400,               -828400,                    455,                              0,,               -185125,               -194670,                 24159,                172471,              1629842,              1802313,              1802313,                   -253,                 39467,,,,,,,,,,,
2477,2013年度,,              1600673,              1600673,,,                169005,                 12712,                    574,                  2627,                 -8530,                 -5263,                  1814,,,                              0,                 -4511,,,,               -596640,                 -1445,                275383,                              0,                337063,                -38250,                 28442,               -232714,               -228161,,                              0,                 -2504,               -233557,                 -5061,                 59664,                 -7549,,                 54888,               -134381,               -362542,               -176764,              1423909,                  6533,                 -2444,                 -9121,,,,              1420961,,                              0,,                              0,               -157294,                 18454,,                -10067,,                              0,               -294722,,              2063600,             -1900800,                  1457,,               -143289,                              0,                 20968,                  7647,              1154854,                474988,              1629842,              1629842,                 -1894,,,                 -2084,                 19434,                185778,                   -262,                  2084,               -144213,                    292,,,
2477,2013年01月01日至2013年12月31日,,              1600673,              1600673,,,                169005,                 12712,                    574,                  2627,                 -8530,                 -5263,                  1814,,,,                 -4511,,,,               -596640,                 -1445,                275383,,                337063,                -38250,                 28442,               -232714,               -228161,,,                 -2504,               -233557,                 -5061,                 59664,                 -7549,,                 54888,               -134381,               -362542,               -174680,              1425993,                  6533,                 -2444,                 -9121,,,,              1420961,,                              0,,,               -157294,                 18454,                              0,                -10067,,                              0,               -294722,,              2063600,             -1900800,                  1457,                              0,               -143289,,                 20968,                  7647,              1154854,                474988,              1629842,              1629842,                 -1894,,,,                 19434,                187862,                   -262,,               -144213,                    292,                              0,                              0,
2477,2013年01月01日至2013年09月30日,,              1619044,              1619044,,,                124799,                  9120,                    969,                  1552,                 -4318,                   -622,                  1253,,,                              0,                 -5562,,,,               -131973,                  1045,             -1580286,,                216479,                -49648,                 -7616,                -71719,             -1623718,,,                 -4039,               -125897,                 -6335,                 51891,                 -7505,,                 43834,                -48087,             -1671805,             -1526106,                 92938,                  4199,                 -1423,                 -7417,,,,                 88297,,                              0,,                              0,               -115716,                  4536,                              0,                -13004,,                              0,               -229813,,              1194000,             -1050000,                  1262,,               -143289,                 -1035,                    938,                    240,               -140338,                474988,                334650,                334650,                   -267,,,,                 18508,                145699,                    -36,,               -106662,                  1300,,,
