證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他非流動負債減少,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 退還（支付）之所得稅,　　 舉借長期借款,　　 其他籌資活動,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 其他非流動資產減少,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 無活絡市場之債務商品投資到期還本,　　 其他非流動資產增加,　　 其他投資活動,　　　　　 其他應收款－關係人（增加）減少,　　 其他金融資產減少,　　 短期借款增加,　　 其他應付款－關係人減少
6225,2015年01月01日至2015年09月30日,,                -29233,                -29233,,,                  2681,                    506,                  1674,                              0,                    362,                    -13,                              0,                     75,                  3462,                  7179,                 -8217,                  7709,,,                    186,                  5034,                              0,                    118,                -10830,                 14596,                    797,                  9901,,                 -3984,                -16674,                 -6814,                 -8877,                   -736,                   -866,                 -9153,                 -1912,                -49016,                -39115,                -31406,                -60639,                     13,                    -60,                -60686,,                              0,                  5851,                              0,                              0,                 -1058,                    139,                              0,                              0,                              0,                  4932,,                              0,                  7631,                 -9120,                 20075,                 18586,                   -637,                -37805,                 40274,                  2469,                  2469,,,,,,,,,,,,,,,,,,,,,,
6225,2015年01月01日至2015年06月30日,,                -24430,                -24430,,,                  1770,                    339,                    899,                              0,                    265,                    -13,                              0,                    187,                  3462,,,                  6909,,,                    590,                  5051,,                    666,                -14241,                 14008,                    999,                  7073,,                 -1084,                -18856,                 -6814,                  5140,                    986,                    -79,                 -4641,                 -1922,                -27270,                -20197,                -13288,                -37718,                     13,                              0,                -37705,,,                  5851,,,                   -829,,                              0,                              0,                              0,                  5022,,                              0,                  9531,                -11255,                 20075,                 18351,                   -373,                -14705,                 40274,                 25569,                 25569,                              0,,,,,,,,,,,,,,,,,,,,,
6225,2015年01月01日至2015年03月31日,,                 -7473,                 -7473,,,                    978,                    171,                    169,                              0,                    135,                     -1,                              0,                    187,                     17,,,                  1656,,,                    589,                  1137,,                    488,                -20610,                 10527,                    687,                 -7182,,                    976,                -13069,                  6367,                 -6915,                    467,                    372,                 -6682,                   -652,                -19136,                -26318,                -24662,                -32135,                      1,                              0,                -32134,,,                  5851,,,                   -441,                              0,                     43,                              0,,                  5453,,                              0,,,                              0,                              0,                   -246,                -26927,                 40274,                 13347,                 13347,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,
6225,2014年度,,               -116927,               -116927,,,                 10004,                  1520,                  9789,                    -47,                  2265,                    -95,                 -1366,                    651,                  1050,                  1217,,,,,                    -81,                 -3216,,                  3379,                -10901,                 -7876,                   -247,                -17824,,                -14977,                   -348,                  6814,                  4060,                  3479,                  1049,                 12605,                 -5744,                  6938,                -10886,                 20258,                -96669,                     95,                   -310,                -96884,,                              0,                  3365,                  1120,                  8358,                 -4191,                     93,                  1924,                   -178,,                 12228,,                 -5295,                              0,,                103240,                114955,                  1083,                 31382,                  8892,                 40274,                 40274,                              0,                              0,                              0,                  5625,,                  6156,                 31144,                  1118,                  1737,                              0,                              0,                              0,                    188,                              0,                 11197,,,,,,,
6225,2014年01月01日至2014年09月30日,,                -74932,                -74932,,,                  8568,                  1318,                     86,                    -17,                    167,                     -3,                 -1366,                    650,                    989,                              0,                              0,                 10392,,,                    508,                 -9127,                 -2389,                    633,                  6929,                 -9716,                  1236,                -11926,,                 -2644,                 -6924,                 21721,                 -2688,                              0,                  1049,                 26027,                 -4653,                 31888,                 19962,                 30354,                -44578,                      3,                   -167,                -44742,,                              0,                  3365,                  1120,                  8357,                 -3006,                     92,                  1114,                   -178,                    569,                 11433,,                 -5295,                 32400,                              0,                 10440,                 37545,                    964,                  5200,                  8892,                 14092,                 14092,,,,,,,,,,,,,,,,,,,,,,
6225,2014年01月01日至2014年06月30日,,                -56911,                -56911,,,                  6862,                  1036,                    525,                   -337,                    146,                     -3,                 -1366,                    363,                              0,,,                  7226,,,                    508,                 -5228,,                    611,                  3026,                 -8272,                   -220,                 -9575,,                    322,                 -6139,                 12295,                  5800,                 14619,                              0,                 29211,                 -3135,                 52853,                 43278,                 50504,                 -6407,                      3,                   -146,                 -6550,,,                              0,,,                 -2979,,                  1114,                   -178,                  1325,                   -718,,                 -3800,                              0,                              0,                 10440,                  6640,                   -299,                   -927,                  8892,                  7965,                  7965,                   -120,,,,,,,,,,,,,,,,,,,,,
6225,2014年01月01日至2014年03月31日,,                -29204,                -29204,,,                  3851,                    571,                   -260,                   -417,                     94,                              0,                   -618,                    -47,                              0,,,                  3174,,,                   -321,                 20411,,                   -207,                  1581,                   -245,                    -65,                 21154,,                -14006,                -12438,                              0,                -15508,                              0,                 -1090,                              0,                 33080,                 -9962,                 11192,                 14366,                -14838,                              0,                    -94,                -14932,,,                              0,,,                 -1536,                     48,                  1010,                   -102,,                   -580,,                 -2100,,,                 10440,                 15006,                  1788,                  1282,                  8892,                 10174,                 10174,,                              0,                  3047,                  3619,,,,,,,,,,,,,,,,,,
6225,2013年度,,               -142028,               -142028,,,                 14449,                  2664,                 -1757,                   -398,                  1416,                   -142,                   -667,                    194,                              0,                              0,,,,,                    890,                 33699,,                  1843,                 54620,                  4855,                              0,                 95907,,                    347,                -32208,                              0,                 -9315,                              0,                   -779,                              0,                 -6408,                -48701,                 47206,                 63071,                -78957,                    143,                 -1502,                -80316,,                 -2000,                              0,                              0,                              0,                 -5526,                118303,                              0,                 -1379,,                116710,,                 -5200,                              0,,                              0,                -50518,                  5673,                 -8451,                 17343,                  8892,                  8892,                   -338,                              0,                 10495,                 16701,,                    106,                 15865,                              0,                              0,                   -188,                  7500,                -72497,                              0,                    -17,                              0,,,,,,,
6225,2013年01月01日至2013年12月31日,,               -142028,               -142028,,,                 14449,                  2664,                 -1757,                   -398,                  1416,                   -142,                   -667,                    194,                              0,,,,,,                    890,                 33699,                              0,                  1843,                 54620,                  4855,,                 95907,,                    347,                -32208,,                 -9315,,                   -779,,                 -6408,                -48701,                 47206,                 63071,                -78957,                    143,                 -1502,                -80316,,                 -2000,                              0,,,                 -5526,                118303,,                 -1379,,                116710,,                 -5200,                              0,,                              0,                -50518,                  5673,                 -8451,                 17343,                  8892,                  8892,                   -338,                              0,                 10495,                 16701,,                    106,                 15865,,,                   -188,                  7500,                -72497,,                    -17,,,,,,,,
6225,2013年01月01日至2013年09月30日,,               -100316,               -100316,,,                 10845,                  1859,                 -1276,                   -462,                  1104,                    -45,                    165,                    193,                              0,,,,,,                    920,                 20541,                              0,                 -1024,                 26247,                  2622,                              0,                 49306,,                  1796,                -15939,                              0,                 -9315,,                   -833,                              0,                 -3989,                -28490,                 20816,                 33199,                -67117,                     46,                 -1170,                -68235,,                 -2000,                              0,                              0,                              0,                 -5093,                117493,                              0,                   -905,                              0,                112525,,                 -2700,                              0,,                              0,                -57376,                  4495,                 -8591,                 17343,                  8752,                  8752,                   -210,                      6,                 10495,,,,                 12383,                              0,,,,                -65154,                    -17,,,                  3000,                     30,,,,,
