證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款減少,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他非流動負債減少,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分子公司,　　　　 呆帳費用提列（轉列收入）數,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　　　 處分其他資產損失（利益）,　　 其他預付款項減少
3701,2015年01月01日至2015年09月30日,,               -274945,               -274945,,,                354497,               -136357,                 61919,                -45679,                  4133,                147354,                -58873,                              0,                  5850,                332844,,,                    111,                 15847,                455978,                  4342,                 10966,                   -105,                 96984,                -52713,                 -2303,                529107,,                      1,               -433938,                  8024,                -87610,                   -714,                  7759,                -34455,                    -92,               -541025,                -11918,                320926,                 45981,                 39655,                  5716,                -62510,                -39361,                -10519,,                   -250,                 63918,                              0,               -286979,                179028,                 -5958,                 11443,                  9229,                    565,                -29004,,               -454070,                 49305,                  6938,                -15427,                              0,                              0,               -413254,                 -2393,               -455170,              1247965,                792795,                777678,                 15117,,,,,,,,,,,,
3701,2015年01月01日至2015年06月30日,,               -189510,               -189510,,,                232654,               -145073,                 41297,                -30999,                  7025,                127479,                -49741,                              0,                  3872,                186514,,,                 -3036,                   -967,                587874,                  1440,                 87185,                 -5558,                 91099,                -28457,                   -641,                728939,,                      8,               -474203,                -44435,               -153601,                 -1309,                  8286,                -56362,                  1121,               -720495,                  8444,                194958,                  5448,                 28333,,                -43001,                -47011,                -56231,,                   -250,                 54120,,               -149825,                 75293,                 -2055,                 11443,               -103620,                     13,               -114881,,                -30411,,                  3638,                -28294,                              0,,                -55067,                -19587,               -245766,              1247965,              1002199,                989923,                 12276,,,,,,,,,,,,
3701,2015年01月01日至2015年03月31日,,                  2657,                  2657,,,                118506,                -56648,                 22904,                -15043,                  3263,                   -233,                -50074,,                  1951,                 24626,,,                 -1579,                -18749,                500035,                  2063,                 -4399,                    -52,                -16726,                 22900,                 -3004,                480489,,                     -1,               -258906,                 27742,               -192608,                 -1251,                  6212,                -73323,                    266,               -491869,                -11380,                 13246,                 15903,                  9463,,                -23770,                -40219,                -38623,,,                 54120,,               -102474,                 63325,                    774,                 11443,               -345621,                      5,               -318428,,                336646,,                  2844,                -23751,                              0,,                315739,                -25411,                -66723,              1247965,              1181242,              1171784,                  9458,                              0,,,,,,,,,,,
3701,2014年度,,               -543423,               -543423,,,                528698,                167809,                105842,                -85454,                 13396,                114071,                -72687,                 -4538,                  7637,,,,                 19327,                -27514,                 19963,                 -3457,                -80022,                   -798,               -392687,                170270,                  1338,               -293580,,                     42,                246028,                114223,                 70755,                  5576,                  1411,                 32618,                    714,                471367,                177787,              1112994,                569571,                 82031,                  4393,                -99900,                -72200,                483895,,,                 71511,                  5700,               -310272,                 96263,                -17467,                              0,                189677,                   -184,                 35228,,               -641602,,                  3895,                164892,                   -431,                141310,               -331936,                -31805,                155382,              1092583,              1247965,              1222325,                 25640,                              0,,                 10209,                150224,                935207,                              0,,,,,,
3701,2014年01月01日至2014年09月30日,,               -312812,               -312812,,,                410532,                162875,                 83429,                -71147,                 10806,                 30773,                -16342,                 -4538,                  5663,                612051,,,                 14236,                 -6605,                528262,                  1145,                -57206,                 -1128,               -442335,                159415,                 -1233,                194551,,                     40,                442569,                113242,                 -1781,                 -1987,                  6631,                -14593,                 -1169,                542952,                737503,              1349554,              1036742,                 55717,                  4393,                -77171,                -62557,                957124,,                              0,                 16816,                  5700,               -238937,                 61288,                 -9171,                              0,                119921,                   -167,                -44550,,               -750563,                              0,                  2392,                153172,                   -431,                137326,               -458104,                -22242,                432228,              1092583,              1524811,              1492700,                 32111,,,,,,,,,,,,
3701,2014年01月01日至2014年06月30日,,               -415526,               -415526,,,                275535,                209939,                 56776,                -41147,                  9336,                  9620,                 -8622,                 -4538,                  3790,                510689,,,                 10868,                 -7383,                191704,                 -3444,                -45313,                 -4763,                -99610,                167598,                    396,                210053,,                     38,                242083,                104778,                 85165,                   -584,                 49639,                -14642,                  3486,                469963,                680016,              1190705,                775179,                 43929,,                -52357,                -39252,                727499,,                              0,                  6116,,               -162154,                 51750,                  6375,                  5700,               -483968,                   -152,               -576333,,                -51034,,                  1254,                146067,                   -323,,                 95964,                -24947,                222183,              1092583,              1314766,              1259450,                 55316,,,,,,,,,,,,
3701,2014年01月01日至2014年03月31日,,               -385659,               -385659,,,                142180,                192326,                 28391,                -21967,                  6782,                    -39,                 -8670,,                  1925,                340928,,,                  1027,                 -1122,                230246,                 -6747,                -13233,                    -68,               -153754,                -42366,                 -3921,                 10062,,                     73,                202702,                 47238,                 73107,                    970,                  2573,                 29069,                  4701,                360433,                370495,                711423,                325764,                 18066,,                -26968,                -21579,                295283,,,                  1965,,               -103254,                 35768,                   -223,                              0,               -183513,                   -162,               -249419,,                -31887,,                     85,                124822,                   -155,,                 92865,                -11219,                127510,              1092583,              1220093,              1164002,                 56091,                              0,,,,,,,,,,,
3701,2013年度,,               -609083,               -609083,,,                553442,                -16802,                107958,                -51449,                 -3044,                  6507,                              0,                              0,                  7512,,,,                  4671,                    -65,                369847,                 20284,                244366,                 -1025,               -169317,               -194164,                 10581,                285178,,                   -116,                673017,                -13710,                  3220,                    501,                -31093,                 -1838,                    324,                630305,                915483,              1639592,              1030509,                 46763,                  3316,               -109022,                -16599,                954967,,,                              0,                              0,               -333291,                 49635,                  9910,                383328,             -1379548,                    140,             -1270065,,              1703701,,                   -226,                 91722,                 -1196,                 50442,               -377785,                 -1464,               -694347,              1786930,              1092583,              1013087,                 79496,             -2222228,,                 64415,                 55570,                724109,                   -239,,,,,,
3701,2013年01月01日至2013年12月31日,,               -609083,               -609083,,,                553442,                -16802,                107958,                -51449,                 -3044,                  6507,                              0,,                 10828,,,,                  4671,                    -65,                369847,                 20284,                234674,                 -1025,               -169317,               -194164,                 10581,                275486,,                   -116,                673017,                -13710,                  3220,                    501,                -31093,                 -1838,                    324,                630305,                905791,              1633216,              1024133,                 51449,,               -109022,                -16599,                949961,,,                              0,,               -333291,                 54641,                  9910,                383328,             -1379548,                    140,             -1265059,,              1703701,,                   -226,                 91722,                 -1196,                 50442,               -377785,                 -1464,               -694347,              1786930,              1092583,              1013087,                 79496,             -2222228,,                 64415,                 55570,                727425,                   -239,,,                              0,                              0,                              0,                              0
3701,2013年01月01日至2013年09月30日,,               -444205,               -444205,,,                408271,                  6871,                 85324,                -39163,                 -8213,                  4593,                              0,                              0,                  5623,,,,                  4602,                 -2508,                166503,                 25517,                205307,                   -914,               -220345,               -152759,                  8564,                 33967,,                     87,                565127,                   -406,                 13688,                  6036,                -17654,                  5232,                  2986,                575096,                609063,              1083361,                639156,                 24216,                  3316,                -85906,                -12269,                568513,,,                              0,                              0,               -234947,                 31003,                 12934,                383328,             -1314815,                    152,             -1122584,,              2391823,,                   -566,                 57802,                 -1039,                 49502,                275294,                 40699,               -238078,              1786930,              1548852,              1548852,                              0,             -2222228,,                              0,                 10992,                474298,                   -239,                              0,                              0,                              0,                              0,,
