證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 無活絡市場之債務工具投資到期還本,　　 持有至到期日金融資產到期還本,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 其他應收款－關係人減少,　　 其他非流動資產減少,　　 短期借款減少,　　 應付租賃款增加,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 預付設備款減少
9931,2015年01月01日至2015年09月30日,,                156456,                156456,,,                103073,                    145,                    501,                      4,                   -758,                  4262,                    609,                -32353,                 75483,,,                 -5274,                 43744,                   -763,                 17324,                  2916,                 57947,,                -59660,                  3518,                 96855,                  1433,                    -45,                  1751,                 43852,                101799,                177282,                333738,                    760,                 -1299,                -60844,                272355,,                              0,                              0,                 19989,               -129746,                     10,                -15122,                              0,                -11306,                -14343,               -150518,,                 20000,                              0,                 30000,                -60000,                  4069,                    -19,               -132926,               -138876,                -17039,                254076,                237037,                237037,,,,,,,,,,,,,,,,,,
9931,2015年01月01日至2015年06月30日,,                138056,                138056,,,                 68014,                     97,                     76,                      3,                   -528,                  2433,                    473,                -20891,                 49677,,,                  4699,                 13097,                     84,                 35525,                  1326,                 54731,,                -60006,                  7673,                 39558,                  1927,                    -45,                  1427,                 -9466,                 45265,                 94942,                232998,                    532,                   -935,                -36114,                196481,,                              0,                              0,,               -109580,                      5,                -14716,                              0,,                -14343,               -120607,,,                              0,                 30000,                -60000,                  2636,                    -13,,                -27377,                 48497,                254076,                302573,                302573,                              0,                 30041,                -12014,,,,,,,,,,,,,,,
9931,2015年01月01日至2015年03月31日,,                 52833,                 52833,,,                 33523,                     49,,                      2,                   -202,                  1303,                    106,                 -9046,                 25735,,,                    802,                    817,                     32,                 36901,                  3227,                 41779,,                -31624,                  3207,                 31659,                  1214,                    -45,                  1328,                  5739,                 47518,                 73253,                126086,                    208,                   -504,                    -20,                125770,,,                              0,,                -55516,                      2,                -14656,                              0,,                              0,                -55948,,                              0,                              0,,,                  1145,                     -6,,                  1139,                 70961,                254076,                325037,                325037,                              0,                 30041,                -15819,,,,,,,,,,,,,,,
9931,2014年01月01日至2014年09月30日,,                160728,                160728,,,                 89987,                    362,                              0,                    155,                   -832,                 11245,                 17439,                 -6780,                111576,,,                    396,                 31983,                   -638,                 83126,                 10697,                125564,,                -25246,                 -5301,                 32682,                    346,                 -1543,                  1362,                  2300,                127864,                239440,                400168,                    902,                 -1665,                -82016,                317389,,                 -7567,                  3420,                 60323,               -212083,                     15,                -29298,                   -229,                -15841,                -12521,               -213781,,                              0,                -60000,                              0,                              0,                  1964,                    -20,                -75741,               -133797,                -30189,                269381,                239192,                239192,,,,,,,,,,,,,,,,,,
9931,2014年01月01日至2014年06月30日,,                143243,                143243,,,                 58775,                    297,                              0,                     76,                   -609,                  8921,                    530,                 -2157,                 65833,,,                  1283,                -23987,                    211,                 -7992,                  1435,                -29050,,                -11715,                 -5931,                 27545,                     53,                 -1543,                    563,                  8972,                -20078,                 45755,                188998,                    577,                 -1100,                -39165,                149310,,                 -7567,                  3420,,                -91985,                      5,                -19313,                   -229,,                -12521,               -136362,,,                -60000,                              0,                              0,                  1128,                    -13,,                -58885,                -45937,                269381,                223444,                223444,                    -12,                              0,                 -8160,,,,,,,,,,,,,,,
9931,2014年01月01日至2014年03月31日,,                 63330,                 63330,,,                 29136,                    163,,                      2,                   -257,                  4537,                    160,                   -774,                 32967,,,                  7293,                -10945,                    100,                 -7746,                     23,                -11275,,                 10461,                -13477,                   -859,                    -87,                 -1543,                    320,                 -5185,                -16460,                 16507,                 79837,                    322,                   -543,                    -31,                 79585,,,                  3420,,                -53289,                              0,                -19563,                   -229,,                  4200,                -72583,,                 10000,                -40000,,,                    649,                     -7,,                -29358,                -22356,                269381,                247025,                247025,                    -12,                              0,                 -7110,,,,,,,,,,,,,,,
9931,2013年01月01日至2013年12月31日,,                288474,                288474,,,                114429,                    710,                    497,                  1056,                 -1332,                 -1733,                    895,                 -1684,,,,                  3176,                -10253,                    172,                  3879,                -25612,                -28638,,                 14426,                 -1353,                156100,                     46,,                 12459,                174060,                145422,                258260,                546734,                  1220,                 -1137,                -39901,                506916,,                 -6318,,,               -116515,                     11,                   -611,                   -438,,                 -8730,               -196302,,,               -140000,                 80000,               -120000,                  5270,                              0,               -160950,               -355537,                -44923,                314304,                269381,                269381,                -50323,,                -10064,,                              0,                112838,                 -1253,                 -6365,                              0,                 -3420,                    106,                              0,                              0,                -20000,                    143,,,
9931,2013年01月01日至2013年09月30日,,                267579,                267579,,,                 85683,                    528,                    497,                  1038,                   -927,                  9215,                    538,                     90,,,,                 -1554,                  4457,                    211,                -13561,                  2459,                 -7988,,                  1238,                 -3060,                122449,                   -696,,                  8711,                122769,                114781,                211443,                479022,                    867,                 -1240,                -39868,                438781,,                 -6318,,                 10000,                -90520,                      6,                   -812,                   -438,,                -35019,               -123381,,,                -90000,                 60000,               -100000,                  3005,                              0,               -160950,               -305945,                  9455,                314304,                323759,                323759,,,                   -386,,,                 96662,                 -1007,                 -4866,,,                    106,                              0,                              0,                -18000,,                              0,,
9931,2013年01月01日至2013年06月30日,,                240254,                240254,,,                 57047,                    338,                    497,                    856,                   -619,                  7343,                    449,                   -778,,,,                 -4083,                  2125,                    -19,                  9261,                  1853,                  9137,,                -31520,                  2109,                 67126,                 -1194,,                  6010,                 38249,                 47386,                112519,                352773,                    622,                   -873,                -21859,                330663,,                 -6319,,,                -65389,                      1,                 -1294,,,                -37519,               -108459,,,                -60000,                 80000,               -100000,                  1710,                              0,,                -78290,                143914,                314304,                458218,                458218,                   -133,,,,,                 65133,                   -916,                 -3366,,,                    106,,                  2088,                              0,,                              0,                              0,
9931,2013年01月01日至2013年03月31日,,                121240,                121240,,,                 28487,                    169,                    497,                    497,                   -123,                  4912,                    154,                   -377,,,,                 11137,                -27509,                     78,                 -3977,                  1310,                -18961,,                  1782,                -11142,                 26688,                 -2234,,                  5216,                 17471,                 -1490,                 32726,                153966,                     50,                   -577,                    -11,                153428,,,,,                -44886,                              0,,,,                              0,                -67406,,,                -20000,,,                  1479,                              0,,                -18521,                 67501,                314304,                381805,                381805,                -10000,,,,,                 34216,                   -974,                 -1865,,                -15060,                    106,,,                              0,,                    625,                              0,                  1809
