證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 其他應收款－關係人減少,　　 短期借款增加,　　 其他應付款－關係人減少,　　 合併發行新股追溯調整,　　　　　 應收票據（增加）減少
1340,2015年01月01日至2015年09月30日,,                760260,                760260,,,                 20341,                  1672,                  2686,                -54196,                              0,                              0,                -29497,,,                 97191,                -38782,                 -7246,                 51163,,                 63194,                 -8936,                 54258,                105421,                 75924,                836184,                 39466,                 -2686,               -126930,                746034,,                 -4418,                213397,                              0,                 -2843,                              0,                -14463,                191673,,                              0,               -167772,                              0,                              0,               -167772,                 50163,                820098,              2069900,              2889998,              2889998,,,,,,,,,
1340,2015年01月01日至2015年06月30日,,                452883,                452883,,,                 13606,                  1112,                  1884,                -34388,                              0,                              0,                -17786,,,                115604,                -34108,                     32,                 81528,,                 35755,                -12604,                 23151,                104679,                 86893,                539776,                 34388,                 -1884,                -83816,                488464,,                 -4418,,                              0,                   -634,                              0,                -14433,                -19485,,                              0,,                              0,                              0,                              0,                -46911,                422068,              2069900,              2491968,              2491968,                              0,,,,,,,,
1340,2015年01月01日至2015年03月31日,,                183558,                183558,,,                  7010,                    561,                    939,                 -9247,                              0,                              0,                   -737,,,                366941,                -34596,                 -7035,                325310,,                -65858,                -27790,                -93648,                231662,                230925,                414483,                  9247,                   -939,                -48746,                374045,,                 -3439,,                              0,                              0,                              0,                -14547,                -17986,,                              0,,                              0,                              0,                              0,                -19642,                336417,              2069900,              2406317,              2406317,,,,,,,,,
1340,2014年度,,              1108580,              1108580,,,                 32360,                  2186,                  5127,                -10148,                   -328,                -47823,,,,               -114308,                  4106,                   -523,               -110725,,                 -7523,                 22141,                 14618,                -96107,               -114733,                993847,                 10148,                 -5127,               -160098,                838770,,,,                 85565,                -13436,                    352,                -15349,             -1872615,,                -49200,               -305040,              1101600,                -27540,                719820,                 68589,               -245436,              2315336,              2069900,              2069900,,,                -18626,             -1929747,                              0,,,,
1340,2014年01月01日至2014年09月30日,,                786133,                786133,,,                 25228,                  1629,                  4020,                 -7261,                   -344,                -47823,                -24551,,,                -26608,                -20972,                 -7446,                -55026,,                  4108,                  1111,                  5219,                -49807,                -74358,                711775,                  7261,                 -4020,               -113383,                601633,,               -453055,                              0,                 85565,                 -4688,                    352,                              0,               -371826,,                -26895,               -305040,              1101600,                -27540,                742125,                 18384,                990316,              2315336,              3305652,              3305652,,,,,,,,,
1340,2014年01月01日至2014年06月30日,,                494923,                494923,,,                 17681,                  1089,                  2745,                 -4625,                   -344,                -47823,                -31277,,,                 32020,                -14461,                    139,                 17536,,                -24536,                 -9970,                -34506,                -16970,                -48247,                446676,                  4625,                 -2745,                -70908,                377648,,                              0,,                 85565,                 -4706,                    352,                              0,                 81211,,                -27363,,              1101600,                -27540,              1046697,                -90292,              1415264,              2315336,              3730600,              3730600,                   -162,,,,,,,,
1340,2014年01月01日至2014年03月31日,,                222634,                222634,,,                  9293,                    553,                  1442,                 -2117,                   -344,                -47823,                -38996,,,                304354,                 -9458,                 -7344,                287552,,               -104312,                -23220,               -127532,                160020,                121024,                343658,                  2117,                 -1442,                -40401,                303932,,                              0,,                 85565,                   -450,                    352,                              0,                 85467,,                -27363,,              1101600,                -27540,              1046697,                 -9962,              1426134,              2315336,              3741470,              3741470,,,,,,,,,
1340,2013年度,,                839935,                839935,,,                 38967,                  2523,                  7506,                 -6480,                   -494,                              0,,,,               -239127,                  9012,                  1843,               -228272,,                267890,                 34521,                302411,                 74139,                116161,                956096,                  6480,                 -7697,               -130625,                824254,,,,                              0,                -41172,                  1960,                              0,                -36671,,                -10601,                              0,                603138,                -17308,                575229,                108461,              1471273,                844063,              2315336,              2315336,,,                 42022,                              0,                  2541,,,,
1340,2013年01月01日至2013年12月31日,,                839935,                839935,,,                 38967,                  2523,                  7506,                 -6480,                   -494,,,,,               -239127,                  9012,                  1843,               -228272,,                267890,                 34521,                302411,                 74139,                116161,                956096,                  6480,                 -7697,               -130625,                824254,,,,,                -41172,                  1960,,                -36671,,,,                603138,                -17308,                575229,                108461,              1471273,                844063,              2315336,              2315336,,,                 42022,,                  2541,                -10601,                              0,                              0,
1340,2013年01月01日至2013年09月30日,,                593242,                593242,,,                 28852,                  1890,                  5692,                 -3679,                 -1927,                              0,,,,                -56031,                 -4337,                 -5228,                -65681,,                216125,                  1451,                217576,                151895,                182723,                775965,                  3679,                 -5882,                -92233,                681529,,,,                              0,                -39392,                  1927,,                -34924,,,                              0,                603138,                -17308,                589681,                 50921,              1287207,                844063,              2131270,              2131270,                    -85,,                 30828,                              0,                  2541,                  3851,,,
