證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 備供出售金融資產之淨損失（利益）,　　　　 以成本衡量之金融資產及負債之淨損失（利益）,　　　　 無活絡市場之債務工具投資損益之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 其他各項負債準備淨變動,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 其他應收款增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 各項保險負債淨變動,　　　　 金融資產減損迴轉利益,　　　　　 備供出售金融資產（增加）減少,　　 持有至到期日金融資產到期還本,　　 取得投資性不動產,　　　 不影響現金流量之收益費損項目,　　　　 無活絡市場之債券投資損益之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 處分投資性不動產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分無活絡市場之債券投資,　　　　 處分投資性不動產損失（利益）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 其他金融負債增加（減少）
2850,2015年01月01日至2015年09月30日,,              1148832,              1148832,,,                 39286,                 23992,                 32615,               -298486,                -82197,                 -2505,                     79,               -142773,                -82197,                731306,                              0,                   -431,               -100574,                -57767,                 60348,,,                611914,                330809,                128650,                 39962,                -33815,              1077520,,                -87827,                  4843,                -55907,               -138891,                938629,                998977,              2147809,                134430,                 57347,                    -79,               -123044,              2216463,,               -462006,                200440,                              0,                -88917,                              0,                              0,                172938,                -16723,                  1232,                 16877,                -17441,               -193600,,               -337449,                   -567,                              0,               -338016,                              0,              1684847,              5539886,              7224733,              7224733,,,,,,,,,,,,,,,,,
2850,2015年01月01日至2015年06月30日,,                545128,                545128,,,                 26154,                 17188,                  1875,               -121127,                -44337,                 -1661,                     53,                -92855,                -57939,,,,                 51544,,                494898,,,                299067,                328681,,                 73814,                -10433,                -32783,,                 39576,                  3189,                -57822,                -15057,                -47840,                447058,                992186,                 99991,                 43469,                    -53,                -81476,              1054117,,,,                              0,                 -3259,,                              0,,                 -9438,                  1232,,                -17441,                -28906,,,,,,,              1025211,              5539886,              6565097,              6565097,                              0,                714630,                  1373,               -723912,                              0,,,,,,,,,,,,
2850,2015年01月01日至2015年03月31日,,                233381,                233381,,,                 13021,                  9974,                  4800,                 -5497,                -25415,                   -826,                     26,                -37268,                -25415,,,                   -327,                 25018,,                305950,,,                624413,                260811,,                203961,                 -8826,                146754,,               -385678,                  1553,                -61850,               -445975,               -299221,                  6729,                240110,                 46068,                  5404,                    -26,                 17532,                309088,,,,,,,,                 50710,                 -5095,                    816,,                              0,                 19254,,,,,,,                328342,              5539886,              5868228,              5868228,                              0,                347859,,               -933605,                -27177,                              0,,,,,,,,,,,
2850,2014年度,,              1188502,              1188502,,,                 49598,                 41691,                 11389,               -240010,                -32799,,                     92,               -168581,               -139257,                420278,                              0,                              0,                -67434,                 59140,,,,               -207136,                429890,,                -50538,                  3520,             -1125554,,                141601,                -26420,                 58130,                173311,               -952243,             -1021462,                167040,                140529,                168738,                    -92,               -157276,                318939,,,,,,,,                 -3822,                -38637,                              0,,                -18301,             -1494413,,               -315963,,                              0,               -315963,                              0,             -1491437,              7031323,              5539886,              5539886,                              0,,,             -1301290,             -1483653,                              0,,                 -3326,                -69219,                 50000,                              0,                              0,                              0,,,,
2850,2014年01月01日至2014年09月30日,,              1002862,              1002862,,,                 36644,                 31558,                 -2335,               -297640,                -32799,                 -2481,                     65,               -125154,               -135121,                503295,                              0,                              0,                -16775,                              0,                -40743,,,                261759,                 59047,               -909264,                198189,                -37313,               -427582,,               -152748,                 -7304,                -16854,               -176906,               -604488,               -645231,                357631,                 86191,                136979,                    -65,               -152897,                427839,,                              0,                              0,                 50000,             -1046651,                              0,                 -8787,                              0,                -21903,                              0,                              0,                -17087,             -1044428,,               -315963,                              0,                              0,               -315963,                              0,               -932552,              7031323,              6098771,              6098771,,,,,,,,,,,,,,,,,
2850,2014年01月01日至2014年06月30日,,                496058,                496058,,,                 23657,                 21414,                 -9728,               -191929,                -10809,                 -1661,                     44,                -84876,                -21531,,,,                 28522,,                177785,,,               -129394,                115600,,                132569,                -53098,               -330147,,                142790,                 -4929,                 26607,                164468,               -165679,                 12106,                508164,                 64121,                  6993,                    -44,                -78770,                500464,,,,                 50000,               -409123,,                -51414,,                 -8729,                              0,,                -12075,               -431341,,,,,,,                 69123,              7031323,              7100446,              7100446,                              0,                424682,                              0,               -395824,                              0,,,,,,,,,,,,
2850,2014年01月01日至2014年03月31日,,                359163,                359163,,,                 11684,                 10244,                -13823,               -168977,                              0,                   -826,                     22,                -32531,                              0,,,                 -1702,                   -399,,                  9004,,,                303245,                 41798,,                 38701,                -20711,                295637,,               -221675,                 -2507,                -15982,               -240164,                 55473,                 64477,                423640,                 19172,                              0,                    -22,                  5702,                448492,,,,,,,,                              0,                 -5235,                  1719,,                              0,                 -2041,,,,,,,                446451,              7031323,              7477774,              7477774,                              0,                205312,,                -67396,                  1760,                   -285,,,,,,,,,,,
2850,2013年度,,              1116279,              1116279,,,                 42667,                 26183,                -42322,               -207954,                -33394,,                     71,               -136142,               -105977,                257290,                              0,                 -9086,                 14978,                              0,,,,                 80360,                 61372,,                152644,                -24703,               -288762,,                 86036,                  4815,                -52657,                 38194,               -250568,               -447733,                668546,                127072,                102627,                    -71,               -148642,                749532,,,,,,,,                166832,                -34287,                  9188,,                -12747,                254454,,               -379156,,                              0,               -379156,                              0,                624830,              6406493,              7031323,              7031323,                              0,,,               -558435,                192202,                -66734,,                 -3479,               -197165,                              0,                              0,                              0,                              0,,,,
2850,2013年01月01日至2013年12月31日,,              1116279,              1116279,,,                 42667,                 26183,                -42322,               -207954,                -33394,,                     71,               -136142,               -105977,                257290,                              0,                 -9086,                 14978,,,,,                 80360,                 61372,,                152644,                -24703,               -288762,,                 86036,                  4815,                -52657,                 38194,               -250568,               -447733,                668546,                127072,                102627,                    -71,               -148642,                749532,,,,,,,,                166832,                -34287,                  9188,,                -12747,                254454,,               -379156,,                              0,               -379156,                              0,                624830,              6406493,              7031323,              7031323,                              0,,,               -558435,                192202,                -66734,,                 -3479,               -197165,,                              0,                              0,,,                              0,,
2850,2013年01月01日至2013年09月30日,,                726044,                726044,,,                 31464,                 19226,                -13479,                -97090,                -32094,,                     49,               -100659,                -87983,                473231,                              0,,                  4705,,,,,                282323,                 10150,               -860988,                164116,                -51857,               -456256,,                -42957,                  3580,                -20704,                -60081,               -516337,               -321601,                404443,                 90577,                 85337,                    -49,               -149249,                431059,,,,,                              0,                124834,                              0,                124420,                -56228,                  7799,,                -18100,                182725,,               -379156,,                              0,               -379156,                              0,                234628,              6406493,              6641121,              6641121,                              0,,,,,,,                 -2634,                194736,,                              0,,,,,,
