證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 避險之衍生金融負債增加（減少）,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他籌資活動,　　　　 非金融資產減損損失
1519,2015年01月01日至2015年09月30日,,                214651,                214651,,,                 60038,                  4857,                    493,                -23174,                 14236,                 -1063,                              0,                 27029,                 -7938,                  6938,                 11291,                    591,                 93298,,,                  2651,                 -1212,               -149629,                 52732,               -361803,               -826939,                  5633,                 -3744,             -1282311,,                              0,                399021,                348560,                -24440,                -29823,                -47635,                    218,                              0,                645901,               -636410,               -543112,               -328461,                  1063,                              0,                -18807,                -79232,               -425437,,                              0,                              0,                -35092,                 17683,                   -354,                -11040,                    179,                -28624,,                150742,                150000,                 -1724,               -156635,                142383,                 -3967,               -315645,                406531,                 90886,                 90886,,,,,,,,,
1519,2015年01月01日至2015年06月30日,,                159236,                159236,,,                 40126,                  3013,                   -832,                  2357,                  9466,                   -570,,                 19646,                   -230,                  3569,                  1004,                    385,                 77934,,,                  2651,                  7050,                -64239,                 44315,               -222519,               -322155,                  7566,                 25736,               -521595,,                              0,                183838,                256228,                -73086,                 66935,                -33451,                    170,,                401102,               -120493,                -42559,                116677,                    570,,                -13451,                -49689,                 54107,,,                              0,                -28556,                  1238,                 -3091,                 -8933,                  1000,                -38342,,               -194196,                              0,,,               -195918,                -17287,               -197440,                406531,                209091,                209091,                    468,                 -1722,,,,,,,
1519,2015年01月01日至2015年03月31日,,                 14993,                 14993,,,                 19958,                  1309,                 -1872,                -11606,                  5251,                   -307,,                  8840,                              0,                      2,                  2915,                    195,                 24685,,,                 10410,                   -351,                -57684,                -76009,                -36228,                -57114,                 13525,                 19999,               -183452,,                              0,                -23357,                117921,                -46522,                 25651,                -62753,                    160,,                 11100,               -172352,               -147667,               -132674,                    307,,                 -5374,                 -9930,               -147671,,,,                -13493,                              0,                  3411,                 -6614,                    683,                -16013,,                -94743,,,,                -96464,                -10220,               -270368,                406531,                136163,                136163,,                 -1721,,,,,,,
1519,2014年度,,                325660,                325660,,,                 85703,                  3946,                  7029,                 -2650,                 17851,                 -1353,                 -1150,                 23916,                   -573,                 -8786,                 -3014,                    754,,,,                     14,                 14479,               -482033,                -73543,               -189032,                 30321,                 -3855,                 17340,               -686309,,                 -6739,                185748,                 -8333,                 74791,                 22334,                 20693,,                -23293,                266438,               -419871,               -298198,                 27462,                  1353,                  1150,                -17353,                -21611,                 -8999,,                -27000,               -480080,                -49433,                  1971,                   -762,                 -9662,                  1728,               -567803,,                 50935,                507080,,                -83539,                473444,                  6841,                -96517,                503048,                406531,                406531,,                 -1032,,                121673,                  1237,                 -4565,                              0,                              0,
1519,2014年01月01日至2014年09月30日,,                147338,                147338,,,                 65249,                  2811,                   -815,                  2524,                 12762,                 -1021,                 -1150,                 14678,                   -971,                -15159,                 -3014,                    558,                 76452,,,                     15,                -14438,               -320268,                   -700,                -13204,               -187592,                  6404,                 34608,               -495175,,                 -6739,                -53076,                              0,                 16745,                 91313,                 13560,                    940,                -23282,                 39461,               -455714,               -379262,               -231924,                  1021,                  1150,                -13044,                -28745,               -271542,,                -27000,               -141200,                -81314,                  1565,                  1695,                 -5820,                    752,               -251322,,                 49239,                168200,                 -1033,                -83539,                132867,                    800,               -389197,                503048,                113851,                113851,,,,,,,,,
1519,2014年01月01日至2014年06月30日,,                 71642,                 71642,,,                 43144,                  1759,                 -1641,                    202,                  8625,                   -745,,                  8387,                   -865,                -15040,                  3698,                    373,                 47897,,,                    218,                -23574,                -21580,                   -154,                -11445,               -345087,                 -4213,                 42532,               -363303,,                 -6739,                155686,                -35769,                -16308,                -78764,                 -8616,                    639,,                 10129,               -353174,               -305277,               -233635,                    745,,                 -7275,                -10470,               -250635,,,               -141200,                -62501,                  2132,                  2154,                 -4154,                  2240,               -201329,,                 89752,                141200,,,                230973,                   -154,               -221145,                503048,                281903,                281903,                              0,                     21,,,,,,,
1519,2014年01月01日至2014年03月31日,,                 53967,                 53967,,,                 21594,                    840,                 -2310,                 -3875,                  3897,                   -287,,                  1812,                     -2,                    186,                  1136,                    188,                 23179,,,                     15,                -20886,                -58904,                     11,                 -8626,               -191245,                 25098,                 25773,               -228764,,                 -5843,                -39199,                              0,                 18945,                              0,                -32217,                    318,,                -57996,               -286760,               -263581,               -209614,                    287,,                 -3591,                 -1522,               -214440,,,,                 -7890,                      5,                   -323,                 -2725,                   -273,                -11206,,                 44056,,,,                 44077,                  1714,               -179855,                503048,                323193,                323193,,                     21,,,,,,,
1519,2013年度,,                144353,                144353,,,                 89404,                  2801,                  5351,                    -15,                 17923,                 -1854,                 -1750,                              0,                    371,                -13535,                 -1537,                    733,,,,                    898,                 23847,                252419,                    724,                123112,                168583,                -42779,                 -2578,                524226,,                 -8700,               -108799,                 17241,                 12895,                192723,                 32662,,                -23207,                115563,                639789,                737681,                882034,                  1854,                  1750,                -18603,                -10619,                856416,,                              0,                -84720,                -27988,                     70,                 -3152,                 -3992,                 -2591,               -126108,,               -341139,                 84720,,                -39159,               -318486,                  3849,                415671,                 87377,                503048,                503048,,                  3197,,                 97892,                    748,                   -210,                 -3525,                -26105,
1519,2013年01月01日至2013年12月31日,,                144353,                144353,,,                 89404,                  2801,                  5351,                    -15,                 17923,                 -1854,,,                    371,                -13535,                 -1537,                    733,,,,                    898,                 23847,                253143,,                123112,                168583,                -42779,                 -2578,                524226,,                 -8700,               -108799,,                 12895,                192723,                 49903,,                -23207,                115563,                639789,                739431,                883784,                  1854,,                -18603,                -10619,                856416,,,                -84720,                -27988,                     70,                 -3152,                 -3992,                 -2591,               -126108,,               -341139,                 84720,,                -39159,               -318486,                  3849,                415671,                 87377,                503048,                503048,,                  3197,,                 99642,                    748,                   -210,                 -3525,                -26105,
1519,2013年01月01日至2013年09月30日,,                109965,                109965,,,                 67355,                  2059,                  2781,                  1612,                 13923,                   -520,                 -1750,                              0,                    266,                 -9015,                 -1993,                    550,,,,                    898,                 27478,                100545,,                 30137,                 -1349,                -20753,                  6230,                143186,,                 -1428,               -104051,,                -89278,                  9696,                 22781,,                -23206,               -184924,                -41738,                 33530,                143495,                    520,                  1750,                -14581,                 -7520,                123664,,                              0,                              0,                -23942,                              0,                 -8702,                 -2578,                 -2966,                -41713,,                  6537,                              0,,                -39159,                -55530,                  1604,                 28025,                 87377,                115402,                115402,,                  3197,,                 75268,                    562,,                 -3525,                -26105,
