證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 其他應收款－關係人增加,　　 員工執行認股權,　　 其他非流動資產增加,　　　　　 其他營業資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付建造合約款（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 處分無活絡市場之債券投資,　　 短期借款增加
1504,2015年01月01日至2015年09月30日,,              3764676,              3764676,,,                954305,                 35095,                -24159,                150209,               -129314,               -439358,                 25200,               -175918,                 10296,               -169184,                 29370,                 71792,                338334,,,                140117,               -134613,                 79139,               -318590,                434393,                166611,                 40204,                -67586,                156592,                -95966,                 42550,                442851,,                  5940,                 -3370,               -989520,                -12162,                 -2891,               -503497,                 72701,                -20634,                -65371,             -1518804,             -1075953,               -737619,              3027057,                129314,                615486,               -150209,               -638524,              2983124,,               -582968,                941500,                  4989,               -346280,             -1068136,                 19139,                -58332,                 -3108,                139292,             -1256129,             -2210033,,               -176437,              3000000,             10828541,            -12810764,             -2202962,             -1361622,               -232409,               -820940,             17201690,             16380750,             16380750,,,,,,,,,,,,
1504,2015年01月01日至2015年06月30日,,              2389373,              2389373,,,                630080,                 20125,                -27175,                 94184,                -85757,               -202479,                -35700,                -95342,                  6018,               -186555,                  4000,                 65281,                186680,,,                102601,               -101014,                 87206,               -182846,                426746,               -117158,                 17861,               -127289,                110525,               -183317,                 -1225,                 32090,,                -20067,                 -1042,               -608779,                 15483,                -60309,               -275818,                  9618,               -183800,                 10410,             -1114304,             -1082214,               -895534,              1493839,                 85757,                332711,                -87321,               -393199,              1431787,,               -299352,                676524,                  4994,                -78004,               -880649,                 16314,                -31331,                 -3108,                105796,               -281826,               -770642,,               -649220,              3000000,              7600000,            -11691094,,             -1740314,               -686779,             -1765948,             17201690,             15435742,             15435742,,,,,,,,,,,,
1504,2015年01月01日至2015年03月31日,,              1108947,              1108947,,,                307962,                 11512,                -36373,                 43910,                -45244,                              0,                -14400,                -46811,                  3353,               -110887,,                 14873,                127895,,,                 31506,                -13009,                 88914,                134267,                404359,               -147277,                 -9093,                -64014,                178822,               -195263,                  6386,                415598,,                 38130,                  1380,             -1185309,                 -4380,                -27022,               -895360,                  4138,                118034,                  5998,             -1944391,             -1528793,             -1400898,               -291951,                 45244,                              0,                -44162,                -16903,               -307772,,                 77171,                302544,                  4994,                -10800,               -393174,                  2602,                 -5715,                 -3108,                175993,               -360788,               -210281,,               -111981,,              5260000,             -6401486,,             -1253467,               -341055,             -2112575,             17201690,             15089115,             15089115,,,,,,,,,,,,
1504,2014年度,,              5703935,              5703935,,,              1349115,                  5644,                -70336,                234712,               -151561,               -392277,                 51900,               -215438,               -646332,               -139044,                260762,               -156281,,,,                 99229,                125556,                -60267,                378193,                 -9897,                 34797,                -54855,                -47497,               -205962,                 88847,                 78331,                426475,,               -233039,                 -8073,                -81892,                  7979,                 47905,                206201,                -20859,               -865868,                193552,               -754094,               -327619,               -196755,              5507180,                151561,                558510,               -235668,             -1197456,              4784127,,               -371327,                950148,,                -86242,             -1935081,              1219435,                -50266,                              0,               -401211,                103097,               -770357,,               -394063,                              0,              1553880,               -577500,             -2202962,             -1620645,                -95285,              2297840,             14908571,             17206411,             17206411,,                130864,                -15910,               -183000,                              0,,,,,,,
1504,2014年01月01日至2014年09月30日,,              4746969,              4746969,,,                965598,                 13470,                -35031,                175843,               -116256,               -385227,                  4500,               -224999,               -798071,                -58794,                218128,               -114507,               -355346,,,                -40164,                -92666,                 55946,               -202677,                 79499,                -36554,                -20737,                -61584,               -179384,               -100229,                 47271,               -551279,,               -157046,                -14109,                569489,                 46745,                187502,               -146726,                -23167,                -31441,                 51238,                482485,                -68794,               -424140,              4322829,                116256,                551460,               -175843,               -962773,              3851929,,               -543568,                754053,                -13011,                -32559,             -1740932,              1172844,                -50266,                              0,               -310834,                -15323,               -779596,,               -138139,                              0,              2500000,             -2420215,             -2202962,             -2261316,                118965,                929982,             14900829,             15830811,             15830811,,,,,,,,,,,,
1504,2014年01月01日至2014年06月30日,,              3327440,              3327440,,,                706451,                 -1452,                 -3305,                118339,                -84283,               -101284,                -32400,               -125686,               -809413,               -171552,                203050,               -101798,               -403333,,,                -14316,                -70395,                -12821,               -889812,               -166993,                -86541,                -21892,                -90546,                205040,               -117505,               -171190,             -1436971,,               -190477,                -12317,                957175,                 40075,                 21930,                176548,                -56324,                -18184,                 35540,                953966,               -483005,               -886338,              2441102,                 84283,                231823,               -110479,               -621835,              2024894,,               -167429,                400223,                 -4806,                -27121,               -972082,                149463,                -51695,                              0,                -10147,                 -9483,               -693077,,               -223074,                              0,              1500000,             -1962211,,               -685285,               -130251,                516281,             14900829,             15417110,             15417110,,,,,,,,,,,,
1504,2014年01月01日至2014年03月31日,,              1323639,              1323639,,,                335043,                 49959,                   -169,                 56838,                -30318,                   -551,                 -5700,                -78733,                 -5999,                -95613,,                 20612,                245369,,,                 97103,                  3071,                -17015,               -125159,                -95817,                -73414,                -42169,               -118799,                 38184,                -75606,               -127431,               -537052,,               -220018,                -13334,               -391277,                 88902,                 13043,               -312363,                -38958,                -16728,                 14916,               -875817,             -1412869,             -1167500,                156139,                 30318,                    551,                -57012,               -102459,                 27537,,               -100596,                223798,                  2695,                              0,               -172023,                  8712,                -24278,                              0,               -657477,                 25453,               -693716,,                -90814,,                690000,               -764323,,               -165137,                441551,               -389765,             14900829,             14511064,             14511064,,,,,,,,,,,,
1504,2013年度,,              5403484,              5403484,,,              1442378,                 -5337,                -69790,                251706,               -137926,               -313275,                 18600,               -167914,                -60187,               -308907,                 38850,                171276,,,,               -127162,                236440,                -31737,               -908720,                201004,                186711,                 41253,                -16220,               -217862,                -43494,               -177725,               -857512,,                -14916,                 15743,                 45827,               -127301,                -70274,                344859,                247633,              1253160,               -551623,              1143108,                285596,              1145070,              6548554,                137926,                543221,               -252668,               -992009,              5985024,,             -1288137,              1666730,,               -164200,               -797726,                142695,                -33590,                 46290,                132319,                -23609,               -144928,,               -128672,              1457100,              2000000,             -5496288,             -1922095,             -3955811,               -154489,              1729796,             13178775,             14908571,             14908571,,                859474,                174300,                              0,                134144,,,,,,,
1504,2013年01月01日至2013年12月31日,,              5403484,              5403484,,,              1442378,                -53383,                -69790,                251706,               -137926,,,               -167914,                -60187,               -308907,,                171276,,,,               -127162,                236440,                -31737,               -860674,                201004,                186711,                 41253,                -16220,               -217862,                -43494,               -177725,               -809466,,                -14916,                 15743,                 45827,               -127301,,                344859,                247633,              1253160,               -551623,              1143108,                333642,              1400895,              6804379,                137926,                543221,               -252382,               -992009,              6241135,,             -1288137,              1666730,,               -164200,               -797726,                142695,                -33590,,                132319,                -23609,               -144928,,               -128672,              1457100,              2000000,             -5496288,             -1922095,             -3955811,               -410600,              1729796,             13178775,             14908571,             14908571,,              1067253,                174300,,                134144,,,                              0,                -70274,                 46290,,
1504,2013年01月01日至2013年09月30日,,              4148349,              4148349,,,              1065013,                 -8810,                -22370,                191161,                -75191,               -331161,                              0,               -118520,                  2876,               -345131,                              0,                 94387,,,,               -141347,                -12833,                 -2213,               -667576,                -96774,                 75828,                  5825,                 -1830,               -281677,               -193316,                 82694,             -1233219,,               -189619,                 10363,                834328,                -73069,                 -1452,                -55277,                171210,                548241,                 25954,              1270679,                 37460,                489714,              4638063,                 75191,                428521,               -191837,               -895147,              4054791,,               -859228,                850112,,                -49200,               -628060,                 37455,                -33590,                 46290,,                -86392,               -791658,,               -320570,              1457100,              1200000,             -3294741,             -1922095,             -2794402,                709426,              1178157,             13178775,             14356932,             14356932,,                452254,                134100,,                 85904,               -203145,,,,,,
