證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 應付短期票券增加,　　 其他預付款項增加,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他流動負債增加（減少）,　　 存入保證金減少
1440,2015年01月01日至2015年09月30日,,              1186810,              1186810,,,                741917,                  3385,                              0,                 -1761,                 74255,                 -4804,               -226911,               -286366,                  2313,                              0,                 -7665,                              0,                 -1298,                              0,                 40567,                333632,,,                 -2654,                179744,                -65134,                              0,                -63440,               -920766,                 47720,                 -1842,                              0,               -826372,,                -22190,                 90406,                 85851,                -27292,                -50762,                  8592,                 84605,               -741767,               -408135,                778675,                  5328,                -74964,                -55991,                653048,,                              0,                156185,                 -2419,                              0,                              0,                              0,             -1198664,                  2931,                 -7519,                -17273,                 47773,                -93260,                272914,                -27598,               -866930,,                              0,               -121521,               -250000,              1200000,               -783333,                  2716,               -278870,                   -365,               -231373,                 33992,               -411263,              1892888,              1481625,              1481625,,,,,,,,,,
1440,2015年01月01日至2015年06月30日,,                750619,                750619,,,                478136,                  1950,                              0,                   -141,                 49630,                 -3687,               -131039,               -176672,                   -397,                              0,                              0,                              0,                              0,                              0,                 17773,                235553,,,                  1720,                124001,               -252440,                              0,                -32121,               -822930,                 32623,                   -343,                              0,               -949490,,                -25550,                594346,                 -9516,                 37251,                -29606,                  6231,                573156,               -376334,               -140781,                609838,                  4100,                -49611,                -43174,                521153,,                    121,                              0,,                  1566,                              0,                              0,               -798522,                    400,                 -6559,                -16516,                 47876,                -34312,                131039,                -13180,               -688087,,                              0,                -67110,               -250000,                800000,               -341667,                  2443,                              0,                 -1596,                142070,               -101532,               -126396,              1892888,              1766492,              1766492,,,,,,,,,,
1440,2015年01月01日至2015年03月31日,,                237199,                237199,,,                221636,                    520,                              0,                  9828,                 24889,                 -1753,                              0,                -90071,                              0,                              0,                              0,                              0,                              0,                              0,                 19527,                184576,,,                    762,                 89608,                -71076,                              0,                 14838,               -213787,                 27699,                 -4261,                              0,               -156217,,                -23740,                347668,                -17115,                 62325,                -16815,                  5508,                357831,                201614,                386190,                623389,                  2188,                -18785,                    -49,                606743,,                     52,                              0,,                    694,                              0,                              0,               -439543,                              0,                 -3223,                -16376,                 47853,                -18208,                              0,                -16338,               -445089,,              2619999,             -2840901,               -200000,                600000,                              0,                  2621,                              0,                   -107,                181612,                -46510,                296756,              1892888,              2189644,              2189644,,,,,,,,,,
1440,2014年度,,                531952,                531952,,,                439609,                    162,                              0,                    713,                 30710,                 -9172,               -115110,                -81129,                 15811,                              0,                 -1174,                              0,                   -368,                              0,                 51080,,,,                -33815,                -11854,                 34250,                              0,               -208247,                169249,                -79225,                    -58,                              0,               -129700,,                -11195,                 40915,                111182,                  5881,,,                 88243,                -41457,                289675,                821627,                 10015,                -29698,               -129061,                672883,,               -603877,                 38922,                 -3649,                              0,                              0,                              0,             -4751501,                    428,                    941,                   -700,,               -192017,                115110,                -60665,             -5506463,,             16079507,            -15739973,,              3050000,               -200000,                 18375,               -477790,                343269,              3373388,                 90231,             -1369961,              3262849,              1892888,              1892888,,                331132,                  4182,                -62722,                -49455,                300000,,,,
1440,2014年01月01日至2014年09月30日,,                469179,                469179,,,                332838,                     98,                              0,                 -2541,                 22705,                 -6966,               -115059,                -50331,                    656,                              0,                 -1147,                              0,                   -111,                              0,                 63904,                244046,,,                -31138,                 76791,                325116,                              0,               -141888,               -637148,                -68914,                -17397,                              0,               -494578,,                -42034,                -31182,                146425,                -78718,                -46777,                              0,                -52286,               -546864,               -302818,                166361,                  8245,                -21611,               -119529,                 33466,,               -639580,                 37692,                              0,                              0,                              0,                              0,             -3956739,                    151,                 -1035,                   -693,                 -1544,               -127277,                172541,                -65617,             -4582101,,                              0,                760631,                250000,              2100000,               -200000,                  6297,               -477790,                340013,              2779151,                 28938,             -1740546,              3262849,              1522303,              1522303,,,,,,,,,,
1440,2014年01月01日至2014年06月30日,,                328407,                328407,,,                227696,                     43,                              0,                  6318,                 20938,                 -4717,                -42968,                -14699,                    615,                              0,                 -1155,                              0,                    -67,                              0,                  1677,                193681,,,                -29940,                 27887,                168486,                              0,                -74845,             -1152851,               -162802,                -16597,                              0,             -1240662,,                -41386,                -92478,                -42944,                -21155,                -30849,                              0,               -228812,             -1469474,             -1275793,               -947386,                  4912,                -19220,                -64087,             -1025781,,               -639580,                 37141,,                              0,                              0,                              0,             -2879003,                    151,                   -959,                   -514,                 -1516,                -94002,                 32133,                -31007,             -3577156,,                              0,              1344686,                200000,              1750000,               -200000,                  5985,                              0,                337518,              3438189,                -10228,             -1174976,              3262849,              2087873,              2087873,,,,,,,,,,
1440,2014年01月01日至2014年03月31日,,                145570,                145570,,,                113341,                      6,                              0,                  5417,                  4977,                 -2776,                              0,                -17118,                    222,                              0,                  3425,                              0,                              0,                              0,                 -6795,                100699,,,                              0,                 77185,                193596,                              0,                -32501,             -1123377,                -61278,                -17722,                              0,               -964097,,                -38994,                 44804,                -28700,                -41545,                -15447,                              0,                -79882,             -1043979,               -943280,               -797710,                  3534,                 -7654,                     94,               -801736,,               -639580,                  7272,,                              0,                              0,                              0,             -1265479,                    152,                     41,                              0,                              0,                -12458,                              0,                -17700,             -1927752,,              4802551,             -4009938,                100000,                700000,                              0,                  5091,                              0,                    -49,              1597655,                 74749,             -1057084,              3262849,              2205765,              2205765,,,,,,,,,,
1440,2013年度,,              1593733,              1593733,,,                486680,                     27,                     72,                  1461,                 18088,                -14444,                -85889,               -126612,                 39035,                 44289,                  1898,                  3039,                -45377,                              0,                 72905,,,,                 50336,                132466,                119618,                              0,                -86360,               -103527,                 36250,                 -1120,                              0,                147663,,                -41196,               -465214,                 42775,                -35177,,,               -557398,               -409735,                -14563,              1579170,                 14701,                -19064,                -97560,              1477247,,               -209920,                              0,                              0,                 30944,                 18680,                 11659,             -2307993,                  8623,                   -861,                              0,,               -461777,                 85889,               -196353,             -3021109,,              7380310,             -5955958,,                600000,                              0,                 -3381,               -235365,                303106,              2488712,                 96824,              1041674,              2221175,              3262849,              3262849,,                395172,                              0,                -58586,                              0,                400000,,,,
1440,2013年01月01日至2013年12月31日,,              1593733,              1593733,,,                486680,                     27,                     72,                  1461,                 18088,,                -85889,               -126612,                 39035,                 44289,                  1898,                  3039,                -45377,                -27299,                 72905,,,,                 50336,                132466,                119618,                              0,                -86122,               -103527,                 36250,                 -1120,                              0,                147901,,                -41196,               -465214,                 42775,                -35177,,,               -557398,               -409497,                -27180,              1566553,,                -19064,                -97560,              1449929,,               -209920,,,                 30944,                 18680,                 11659,             -2307993,                  8623,                   -861,                              0,,               -461777,                 85889,                -10221,             -3021109,,              7380310,             -5955958,,                600000,                              0,                 -3381,               -235365,                303106,              2488712,                124142,              1041674,              2221175,              3262849,              3262849,,                382317,,                -58586,,                400000,               -186132,,,
1440,2013年01月01日至2013年09月30日,,              1386945,              1386945,,,                351135,                     20,                     72,                  2450,                 13854,                -10574,                -85889,               -106288,                 39345,                 38652,                  1898,                  3040,                -45340,                -21587,                 57040,,,,                 50000,                262638,                172386,                              0,               -112705,               -689753,                 73549,                 -1227,                              0,               -245112,,                -84613,               -317816,                 10944,               -101453,,,               -537190,               -782302,               -544474,                842471,                 11651,                -13065,                -65708,                775349,,               -209920,                              0,,                 30944,                 18680,                 11660,             -1379041,                  8266,                   -605,                              0,,               -418808,                 85889,                 -4761,             -1857696,,              5666730,             -4579523,,                200000,                              0,                  2012,               -235365,                196200,              1450054,                 59768,                427475,              2221175,              2648650,              2648650,,                237828,,                -44252,                              0,                200000,,,,
