證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　 其他金融資產增加,　　 其他非流動資產減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 應付短期票券減少,　　 其他非流動負債減少,　　 取得子公司股權,　　 預付投資款增加,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 應付短期票券增加,　　 其他籌資活動,　　　　　 應收帳款－關係人（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產
1457,2015年01月01日至2015年09月30日,,                507668,                507668,,,                153659,                  6379,                 61086,                   -764,                -17295,                -10462,                -41092,                -66004,                  2620,               -351056,               -262929,,,               -197833,               -111403,                135158,                  3803,                 -4736,                 -3317,                 62207,               -116121,,               -193870,                -89654,                 78244,                -16124,                 -1301,                 -2756,                   -928,               -226389,               -342510,               -605439,                -97771,                    764,                 29012,                -61483,                -32028,               -161506,,                              0,                              0,                -86656,                 83049,               -159323,                172974,                -19528,                314746,                -25880,                -20209,                259173,,              2140547,             -1791204,                              0,                360000,               -662898,                -12285,                -90557,                              0,                -40881,                -97278,                    371,                    760,                205091,                205851,                205851,,,,,,,,,,,,,,,,,,,,,,,
1457,2015年01月01日至2015年06月30日,,                511701,                511701,,,                 89050,                  3917,                 37911,                   -278,                -13096,                -10197,                -27868,                -62152,                  2620,               -370147,               -349209,,,               -103088,                -36712,                239511,                  6748,                 -2117,                 -3405,                -63994,                 36943,,               -157920,               -105100,                 40634,                -16370,                -10616,                 -2756,                   -199,               -252327,               -215384,               -564593,                -52892,                    278,                 13096,                -37460,                -19477,                -96455,,                              0,                              0,                -86656,                 83049,                -35197,                 58879,                 -4225,                289883,,                -11207,                294526,,              1454460,             -1200731,,                290000,               -618150,                -10849,,,                              0,                -85270,                    199,                113000,                205091,                318091,                318091,                  1031,                              0,,,,,,,,,,,,,,,,,,,,,
1457,2015年01月01日至2015年03月31日,,                118118,                118118,,,                 40760,                  1792,                 18267,                   -187,,                  5427,                -15628,                -62152,,                  3045,                 -8676,,,                -89472,                 62609,                  5584,                -16615,                 -3432,                   -785,                -28083,                -70194,,                -31767,                 25832,                -24389,                 -8211,                 -7394,                 -3516,                    -25,                -49470,               -119664,               -128340,                -10222,                    187,,                -18176,                -17977,                -46188,,,,                -21395,                              0,                -16481,                 32988,,                289883,,                              0,                289812,,                556013,               -522750,,                190000,               -413802,,,,,               -200595,                   -123,                 42906,                205091,                247997,                247997,,                              0,                  4817,                -10056,,,,,,,,,,,,,,,,,,,
1457,2014年度,,                108327,                108327,,,                151356,                 28833,                 78293,                 -1805,                -19001,                   -178,                -20110,,                -60312,                -30896,,,,               -106730,                 -8592,                -68302,                210011,                 61598,                  6810,                -34694,                 60101,,               -138910,                   -837,                -35785,                  2370,                -17654,,,               -178498,               -118397,                 98929,                207256,                  1805,                 19001,                -78727,                 -2648,                146687,,                 -7000,                 49908,                -22000,                    258,               -149562,                120329,                -10578,,                  4147,                -26776,                -41274,,              2951288,             -3360136,                -27600,              1370000,               -910292,                  5565,                -48942,                 -2169,,                -44532,                    851,                 61732,                143359,                205091,                205091,,,,,,                  1146,                 90000,                              0,                217326,                              0,                 12318,                              0,                              0,                              0,                -19796,                 -2450,,,,,,,
1457,2014年01月01日至2014年09月30日,,                148288,                148288,,,                112737,                 25992,                 58834,                   -241,                -19001,                    172,                -18648,                              0,                -60298,                -36356,                 63191,,,                -97179,                -70072,                 41553,                135884,                 55231,                 -4907,                 27791,                 88301,,               -121760,                   -101,                -38515,                 -7315,                -10098,                 13396,                -19771,               -184164,                -95863,                -32672,                115616,                    241,                 19001,                -59309,                   -441,                 75108,,                 -7000,                 49894,                -22000,                 -2192,               -115525,                117472,                   -762,                              0,                    -75,                 -7923,                 11889,,              1219628,             -1520286,                -27600,                980000,               -641257,                 -1640,                -18471,                 -2169,                -30471,                -42266,                    -47,                 44684,                143359,                188043,                188043,,,,,,,,,,,,,,,,,,,,,,,
1457,2014年01月01日至2014年06月30日,,                116817,                116817,,,                 74818,                 20719,                 40673,                   -152,                -11551,                              0,                -17690,                              0,                -60298,                -33710,                 12809,,,                -25068,                -54282,                -53717,                 75815,                 45273,                 -9060,                 34129,                 13090,,                -98190,                  9100,                -47080,                 -8069,                 17597,                 17596,                -19744,               -128790,               -115700,               -102891,                 13926,                    152,                 11551,                -40386,                   -436,                -15193,,                 -7000,                 49894,                -22000,                 -2192,                -66750,                115230,                   -762,                              0,,                  1547,                 67892,,                952986,               -895657,,                160000,               -184224,                  4011,,,                -15516,                 21600,                 -1019,                 73280,                143359,                216639,                216639,                              0,                    -75,,,,,,,,,,,,,,,,,,,,,
1457,2014年01月01日至2014年03月31日,,                 22190,                 22190,,,                 37245,                 11713,                 19980,                    -47,,                              0,                 -1326,                              0,,                -28356,                 39209,,,                -76560,                  8213,                 20472,                 -9647,                 68364,                -10337,                 84884,                 85389,,                -99101,                  1744,                -25313,                -12521,                -15349,                 19696,                -19720,               -150564,                -65175,                -25966,                 -3776,                     47,,                -19919,                              0,                -23648,,,,                              0,                 -2192,                -33334,                  1485,,                              0,,                 -3866,                -37982,,                259619,                -41648,,                450000,               -533609,,,,,                131290,                   -512,                 69148,                143359,                212507,                212507,,                    -75,                              0,                 -3072,,,,,,,,,,,,,,,,,,,
1457,2013年度,,                197776,                197776,,,                118493,                 39296,                 87745,                   -918,                 -5685,                     53,               -144704,,                  1688,               -150353,,,,                 43695,                 13719,               -115721,                 66442,                -25729,                 36267,               -128888,               -110215,,                -29314,                 -3590,                 23700,                 -6632,                  5994,,,                -12104,               -122319,               -149671,                 48105,                    918,                  5685,                -88286,                -14616,                -48194,,                              0,                              0,               -360000,                              0,               -102328,                662041,                -31731,,                     10,                 -8689,                233221,,              2832069,             -2443339,               -207063,                108230,               -419380,                 16399,                -53192,                   -527,,               -196904,                  1877,                -10000,                153359,                143359,                143359,,,,,,                 -3314,                 28000,                  2347,                -27352,                              0,                 -2262,                -15000,                 88918,                -30000,                   -101,                              0,,,,,,,
1457,2013年01月01日至2013年12月31日,,                197776,                197776,,,                118493,                 39296,                 87745,                   -918,                 -5685,                     53,               -144704,                              0,                  1688,               -101335,,,,                 43695,                 13719,               -115721,                 66442,                -25729,                 36267,               -128888,               -110216,,                -29314,                 -3590,                 23700,                 -6632,                  5994,,                   -101,                -12205,               -122421,               -122808,                 74968,                    918,                  5685,                -88286,                -14616,                -27016,,                              0,                              0,               -360000,,               -102328,                662041,                -31731,                              0,                     10,                -35653,                211942,,                388730,,               -207063,                108230,               -419380,                 16399,                -53192,                   -527,,               -196803,                  1877,                -10000,                153359,                143359,                143359,,,,,,,,,                   -387,,                 -2262,                -15000,                 88918,,,,,                  4980,                     -1,                -30000,                              0,,
1457,2013年01月01日至2013年09月30日,,                 91786,                 91786,,,                 92184,                 29156,                 61100,                    -17,                 -5088,                              0,               -120976,,                 -1425,                  4585,,,,                 28440,                 20448,                -86635,                   -733,                 13202,                 25623,                 25700,                 26045,,                -89589,                 14828,                 -1736,                  7978,                 -1831,,                    -74,                -69663,                -43618,                 15901,                107687,                     17,                  5088,                -67977,                 -1136,                 43679,,                              0,                              0,                              0,                              0,                -74559,                479811,                              0,,                -29433,                              0,                236348,,              1092773,               -915592,               -185187,                193479,               -425275,                 17836,                              0,                   -527,                -53192,               -305685,                    795,                -24863,                135638,                110775,                110775,,,,,,,,,                 59519,,                    761,                -10000,                 50529,                -30000,,,               -180000,,,,,,
