證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　 非控制權益變動,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 其他非流動負債增加,　　 因合併產生之現金流入,　　 其他金融資產減少,　　　　　 其他營業資產（增加）減少
2347,2015年01月01日至2015年09月30日,,              3257650,              3257650,,,                235677,                 23337,                207171,                -13706,                607259,               -826661,               -124744,               -998690,                  2579,                  9811,                              0,                              0,                434720,               -443247,,,               -352683,                199213,                -35975,               -418799,                115478,              1346725,                   -309,             -2600792,                276824,                274218,               -121509,             -1317609,,              1473649,                              0,             -1888599,               -157438,             -1721249,                  1247,                -23742,                              0,                 -3786,             -2319918,             -3637527,             -4080774,               -823124,                826661,                124744,               -609063,               -673559,             -1154341,,                              0,                              0,                              0,                              0,                              0,               -847462,                 23105,                  5419,                -17076,                 -4151,               -202397,                              0,                 -2503,             -1045065,,              6635413,               -740000,                              0,              4155550,                -42366,             -5242119,                              0,              4766478,               -278408,              2288664,             22632188,             24920852,             24920852,,,,,,,,,,,
2347,2015年01月01日至2015年06月30日,,              3019345,              3019345,,,                157326,                 28371,                174766,                 -6746,                388331,               -570477,               -123868,               -655345,                  9802,                  4668,                              0,                              0,                264710,               -328462,,,                  4964,,                169275,              5530238,,              1385554,               -180557,             -1502375,                449787,                322056,               -516792,              5662150,,               -573116,                              0,             -2159169,                 17058,             -1756539,                   -124,                -97407,,                 -3851,             -4573148,              1089002,                760540,              3779885,                570477,                              0,               -374895,               -765771,              3209696,,                              0,                              0,                              0,                              0,                              0,               -667869,                 19867,                 35473,                -16001,                 -3105,               -202397,                              0,                 -3272,               -837304,,              2044238,               -750000,                              0,               -100725,                -39260,,                              0,              1154253,             -1631323,              1895322,             22632188,             24527510,             24527510,,,,,,,,,,,
2347,2015年01月01日至2015年03月31日,,              1343693,              1343693,,,                 92802,                 14372,                 60361,                 -6863,                182929,               -281413,                              0,               -342536,                  8317,                  9896,                              0,                              0,                -18728,               -280863,,,                  3047,              1815982,                              0,              5491081,                157783,               -239632,                  2177,             -1446530,                455490,                353904,               -357512,              6235790,,               -615038,                              0,               -500939,                -25140,               -862290,                 -3699,                 85305,,                 -1849,             -1923650,              4312140,              4031277,              5374970,                281413,                              0,               -185591,               -377305,              5093487,,                              0,                              0,                              0,,                              0,               -417948,                 14886,                 34460,                 -9576,                 -3081,                    -37,                              0,                -14573,               -395869,,               -358669,               -250000,                              0,                -44625,                -52544,                              0,                              0,               -705838,             -1191026,              2800754,             22632188,             25432942,             25432942,,,,,,,,,,,
2347,2014年度,,              6217233,              6217233,,,                288546,                 54999,                306594,                -32785,                706562,               -776333,               -112929,             -1128824,                  1284,,                              0,                              0,                302238,,,,                134005,               -873630,                              0,              1321863,               -142178,                823406,                 -5057,              1314662,             -1101327,               -677257,               -898185,               -103698,,                550881,                              0,               -137692,                150358,               -605083,                 -5206,                 47871,,                 91172,                 92301,                -11397,               -402045,              5815188,                776333,                112929,               -733169,               -922025,              5049256,,                              0,                              0,                 61606,                -23037,                              0,               -984195,                  6099,                -21563,                -59688,                  1574,              1019507,                 17472,                -67391,                -49616,,              7688281,              2290000,             -5000000,              4041750,                139356,             -4447860,                              0,              4711527,              1451120,             11162287,             11469901,             22632188,             22632188,,               -390648,                              0,                              0,                              0,,,,,,
2347,2014年01月01日至2014年09月30日,,              4529894,              4529894,,,                218140,                 23416,                 28606,                -40489,                532944,               -515024,               -112909,               -772900,                    780,                              0,                              0,                              0,                 91320,               -546116,,,                131652,             -1508144,                              0,             -1081128,                -63317,                382990,                  2913,              1037631,               -312483,                 40694,               -452803,             -1821995,,                533271,                              0,              1296465,                 40058,               -213262,                 -5924,                 92759,                              0,                102478,              1845845,                 23850,               -522266,              4007628,                515024,                112909,               -522295,               -591427,              3521839,,                              0,                              0,                 61590,                -22908,                              0,               -714066,                    705,                  8749,                -34751,                  1193,              1089880,                 62318,                -46226,                406484,,              5145963,              2290000,             -5000000,              6084925,                 99360,             -4447860,                              0,              4172388,                329625,              8430336,             11469901,             19900237,             19900237,,,,,,,,,,,
2347,2014年01月01日至2014年06月30日,,              2614370,              2614370,,,                144172,                 15797,                -29256,                -30492,                340494,               -310771,               -112927,               -531829,                  4316,                              0,                              0,                              0,                -48846,               -559342,,,                  1560,,                -19449,              5143242,,               -764357,               -151058,               -513718,             -1632022,                -32236,               -113113,              1918849,,                 -1530,                              0,             -5962125,                 -5314,                -34402,                 -4425,                 78971,,                100971,             -5827854,             -3909005,             -4468347,             -1853977,                310771,                              0,               -335265,               -466913,             -2345384,,                              0,                              0,                  2873,                -22953,                              0,               -694798,                  3605,                 16504,                -22880,                 -1012,                988043,                 33959,                -12122,                291219,,              7187967,              1300000,             -5000000,                              0,                 92487,,                              0,              3580454,                470657,              1996946,             11469901,             13466847,             13466847,,,,,,,,,,,
2347,2014年01月01日至2014年03月31日,,              1181221,              1181221,,,                 83198,                  7841,               -154318,                 -6941,                161269,               -151651,                              0,               -269115,                    112,                              0,                              0,                              0,               -171452,               -501057,,,                 -1727,                553433,                              0,                970721,                 24163,                284276,                  3960,             -4954179,               -634139,                 36630,                -85521,             -3802383,,                181368,                              0,              1019786,                -22292,                148140,                 -2067,                 56914,,                  1254,              1383103,             -2419280,             -2920337,             -1739116,                151651,                              0,               -155561,               -156842,             -1899868,,                              0,                              0,                              0,,                              0,               -316233,                    208,                  4659,                -10841,                   -489,                -22401,                 -5495,                    733,               -349859,,              5763987,                800000,             -5000000,                              0,                170101,                              0,                              0,              1734088,              1045378,                529739,             11469901,             11999640,             11999640,,,,,,,,,,,
2347,2013年度,,              6391824,              6391824,,,                396278,                 47842,                277169,                  3659,                578421,               -589003,               -128557,               -984861,                  6170,,                              0,                              0,                384394,,,,                              0,               -164058,                 11058,                623700,                -70110,             -2711210,                 -2828,             -3485719,              1929697,                -40694,               -543992,             -4454156,,               -759200,                -25006,              4198962,                 -2354,               -712177,                  8816,               -176870,,                 -8802,              2523369,             -1930787,             -1939275,              4452549,                589003,                128557,               -506594,             -1111446,              3552069,,                              0,                              0,                 94651,                   -969,                              0,             -1758224,                 44596,                 57375,                -63783,                -55634,             -1096506,                -88569,                217368,             -2649695,,                787608,                160000,               -151800,                              0,                -90872,             -3173778,                209526,             -2269511,               -156974,             -1524111,             12994012,             11469901,             11469901,,                 -8488,                              0,                              0,                -10195,,,,,,
2347,2013年01月01日至2013年12月31日,,              6391824,              6391824,,,                463246,                 47842,                277169,                  3659,                578421,               -589003,               -128557,               -984861,                  6170,,                              0,                              0,                317426,,,,                              0,               -164058,                 11058,                623700,                -70110,             -2711210,                 -2828,             -3485719,              1929697,                -40694,               -543992,             -4454156,,               -759200,                -25006,              4199987,                 -3379,               -712177,                  8816,                 72443,,                  3407,              2523369,             -1930787,             -1939275,              4452549,                589003,                128557,               -506594,             -1111446,              3552069,,                              0,                              0,                 94651,                   -969,                              0,             -1758224,                 44596,,                -63783,                -55634,             -1096506,                -88569,                217368,             -2649695,,                787608,                160000,               -151800,,                -90872,             -3173778,                209526,             -2269511,               -156974,             -1524111,             12994012,             11469901,             11469901,,                 -8488,,               -249313,                -10195,                -12209,                 57375,                              0,,,
2347,2013年01月01日至2013年09月30日,,              4736218,              4736218,,,                258515,                 21466,                192776,                  8212,                409206,               -394565,               -128686,               -788073,                  1610,,                              0,                              0,                194871,,,,                    772,                777699,                 11030,                -96631,                -77422,              3006155,                -41872,             -6981327,              1927949,                              0,               -254078,             -1727725,,              1005710,                -25006,             -4996406,                -17069,             -1062816,                     61,               -289566,,                 25623,             -5359469,             -7087194,             -7311862,             -2575644,                394565,                128686,               -353253,               -851233,             -3256879,,                              0,                              0,                 94714,                   -852,                              0,             -1371626,                 64394,                 56990,               -102029,                -51846,               -967724,                -75156,                281636,             -2071499,,              5908359,                400000,                              0,                              0,               -116938,             -3173778,                167303,              3174751,               -375828,             -2529455,             12994012,             10464557,             10464557,,               -224668,,                              0,                -10195,                              0,,,,,
