證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 附買回票券及債券負債減少,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 預付投資款減少,　　 處分子公司,　　 處分待出售非流動資產,　　 處分無形資產,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 發放現金股利,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 處分採用權益法之投資,　　 其他籌資活動
2467,2015年01月01日至2015年09月30日,,                 -7130,                 -7130,,,                 91229,                  4841,                 22498,                    694,                 17056,                 -8740,                -30574,                 -5840,                  7587,                 -6386,                  4094,                115818,                 35423,                247700,,,                 28014,                127348,                     26,                -78988,                 21706,                -15271,                -14097,                 68738,,                   -867,                 14321,                -82239,                -25403,                -15208,                -26794,                 -9534,                 -5410,               -151134,                -82396,                165304,                158174,                 30574,                -17084,                -61725,                109939,,                -92105,                168689,                -11732,                 14400,                  6041,               -277315,                 16474,                 -1084,                 82757,                 11290,                -82585,,                435044,                 20000,                209848,               -369973,               -206368,                              0,                 -3084,                 85467,                   -962,                111859,                555714,                667573,                667573,,,,,,,,,,,,,,,,,,,,,
2467,2015年01月01日至2015年06月30日,,                 11383,                 11383,,,                 59586,                  3831,                 16599,                    207,                 12187,                 -6455,,                 -4209,                  7424,                 -3845,,                 41545,                              0,                126870,,,                 25763,                 40890,                 -2883,                -57785,                -32189,                 19743,                 -8181,                -14642,,                 -1066,                 26016,                -10961,                197358,,                 32074,                -27991,                 -3614,                211816,                197174,                324044,                335427,,                -11961,                -39779,                283687,,                -91707,                139705,                 -9422,,                  6041,               -171348,                 16085,                   -728,                 60546,                  9005,                -41823,,                199740,                 10000,                209848,               -185500,               -206368,                     -1,                 -4255,                 23464,                -34198,                231130,                555714,                786844,                786844,                              0,,,,,,,,,,,,,,,,,,,,
2467,2015年01月01日至2015年03月31日,,                -44490,                -44490,,,                 29149,                  2053,                 11151,                   -107,                  5806,                 -2868,,                 -1352,                  7488,                   -388,,                 23781,                              0,                 74713,,,                 20221,                148387,                 -3109,                -75136,                -35687,                 11966,                 15912,                 82554,,                 -1066,                 19392,                -88030,                -37027,,                 53750,                -19437,                 -1813,                -74231,                  8323,                 83036,                 38546,,                 -6496,                 -9073,                 22977,,                -92434,                 64603,                 -9422,,                  6041,               -149373,                 14878,                    -46,                 58427,                  5418,               -101908,,                313414,,                 29848,               -160000,,                     -1,                 -7707,                175554,                -15848,                 80775,                555714,                636489,                636489,,                              0,,,,,,,,,,,,,,,,,,,
2467,2014年度,,                283154,                283154,,,                109246,                 10420,                 35304,                  1066,                 21364,                -20485,                -29715,                 -5512,                   -717,                -27261,,                 10757,                 31836,,,,                  4398,               -253228,                 41542,               -326467,                -35646,                 -8160,                -47475,               -625036,,                 -1155,                 30009,                146981,                 35463,,                 30853,                  8654,,                244001,               -381035,               -192477,                 90677,                 29715,                -23242,                -17729,                 79421,,                -99733,                 88392,                -46931,,               -135334,                -49321,                 11171,                 -6985,,                 23833,               -372026,,                 40621,                -20000,                216240,                -68954,,,                 64210,                 -6133,                 67626,               -231112,                786826,                555714,                555714,,,,                              0,                              0,                 52255,                188558,                              0,                 -6804,                              0,                  3201,                              0,                              0,                              0,                              0,               -160319,                   -133,               -238117,,,
2467,2014年01月01日至2014年09月30日,,                221396,                221396,,,                 81538,                  7711,                  2690,                    568,                 15603,                -11587,                -29715,                 -3790,                   -871,                -27262,                  6466,                 34052,                 25370,                100773,,,                  3343,                  4594,                 27069,               -277490,                -78941,                    616,                 -2025,               -322834,,                              0,                 -7841,                207168,                 40763,                     85,                 39086,                   -251,                 -5103,                273907,                -48927,                 51846,                273242,                 29715,                -17114,                 -8872,                276971,,                -83861,                 88383,                -44450,                              0,               -135334,                -57442,                 10141,                 -6452,               -192384,                 15786,               -405613,,                255062,               -100000,                 41000,                -38866,               -238117,                    -13,                 61325,                -19609,                  9682,               -138569,                786826,                648257,                648257,,,,,,,,,,,,,,,,,,,,,
2467,2014年01月01日至2014年06月30日,,                165548,                165548,,,                 54426,                  5023,                  4122,                    -86,                 10132,                 -8583,,                 -2040,                   -187,                -27262,,                 20023,                 25370,                 80938,,,                 32937,                -63577,                  3672,               -262104,                -52455,                -49141,                  1900,               -388768,,                              0,                 23675,                308056,                 28785,,                 59879,                  3027,                 -3402,                420020,                 31252,                112190,                277738,,                 -9322,                 -7552,                260864,,                -73473,                 88393,                -44450,,                              0,                -29914,                    573,                 -2318,                -39662,                 12611,               -200894,,                -14394,               -100000,                  5000,                -36366,                              0,                      1,                 60223,                -85536,                -21288,                -46854,                786826,                739972,                739972,               -112654,,,,,,,,,,,,,,,,,,,,
2467,2014年01月01日至2014年03月31日,,                 65842,                 65842,,,                 27434,                  2462,                 -4243,                    335,                  5204,                 -4147,,                 -1724,                   -365,                              0,,                  4040,                 10400,                 39396,,,                 29590,               -136664,                  8123,               -131522,                -74104,                  1128,                  1426,               -302023,,                              0,                 20375,                161925,                 -3503,,                 73508,                   -409,                 -7134,                244762,                -57261,                -17865,                 47977,,                 -5153,                   -924,                 41900,,                              0,                              0,                -40246,,                              0,                -12391,                    587,                 -1047,                -21748,                  6019,                -68826,,                              0,,                              0,                   -366,,                      2,                 24285,                -11967,                 26271,                -12622,                786826,                774204,                774204,,                -35888,,,,,,,,,,,,,,,,,,,
2467,2013年度,,                343873,                343873,,,                117700,                 18630,                 13778,                  1875,                 17877,                -19688,                -14970,                 -5197,                  3347,                 -2050,,                 11401,                 18530,,,,                 81012,                -60904,                 -6118,               -128465,                 48456,                -61583,                103106,                -24408,,                              0,                 24662,                  4255,                -21889,,                 -6363,                    794,,                 -5284,                -29692,                -19300,                324573,                 14970,                -17228,                -74224,                248091,,               -204101,                 53036,                -22172,,                              0,               -115745,                205862,                   -878,,                 19688,                262307,,                700008,                100000,               -265830,               -404299,,,                -72339,               -180576,                -59485,                270337,                516489,                786826,                786826,,,,                     24,               -165109,                 14244,                 10392,                     88,                 -6743,                 48194,                              0,                 36329,                -12994,                331405,                  1601,                -77918,                              0,               -238116,,,
2467,2013年01月01日至2013年12月31日,,                343873,                343873,,,                117700,                 18147,                 13778,                  1875,                 17877,                -19688,,                 -5197,                  3347,                 -2050,                 18530,                 25645,,,,,                 81012,                -60904,                 -6118,               -128465,                 48456,                -61583,                103106,                -24496,,,                 24662,                  4255,                -21889,,                 -6363,                    794,,                 -5284,                -29780,                 -4901,                338972,,                -17228,                -74224,                264748,,               -204101,                 53036,                -22172,,                              0,               -115745,                205862,                   -878,,                 19688,                262307,,                700008,                100000,               -265830,               -404299,,,                -72339,               -197804,                -58914,                270337,                516489,                786826,                786826,                 36329,,,                     24,               -165109,,                 24879,,                 -6743,                 48194,,,                -12994,                331405,                  1601,                -77918,,               -238116,,                              0,
2467,2013年01月01日至2013年09月30日,,                297560,                297560,,,                 90727,                 15682,                  8781,                    291,                 11741,                -13292,                 14970,                 -4273,                  6820,                    -46,                              0,                 12818,                 10475,,,,                 29548,                -83619,                -42311,               -177896,                 31518,                  6651,                 51363,               -184746,,,                 20240,                 43780,                 54973,                              0,                 21196,                 13366,,                 94175,                -90571,               -100986,                196574,                -14970,                -11627,                -59767,                110210,,               -204100,                 50046,                -16856,,                              0,               -106467,                  5508,                   -793,                -15074,                 15804,                138608,,                353803,                 50000,                              0,               -375436,,                 -3628,                -36183,               -249933,                 70250,                 69135,                516489,                585624,                585624,                 -5973,,,,               -165109,,                -10415,,                -59380,                 48116,,                 36992,,                331405,,,,               -238116,                   -373,,
2467,2013年01月01日至2013年06月30日,,                237557,                237557,,,                 64098,                  6485,                 -2368,                  1002,                  7075,                 -9345,,                 -2330,               -161383,                    -46,,                 16065,                  7475,,,,                 10147,                -83818,                 -9583,               -260269,                 34132,                 -3580,                -16088,               -329059,,,                 30163,                285895,                -14892,,                 63062,                    320,,                361173,                 32114,                -41158,                196399,,                 -7092,                -36621,                152686,,               -204101,                 50046,                 -1020,,,                -78930,                 15004,                   -661,                 17415,                  4533,                146882,,                 59892,                 50000,                              0,               -374079,,                    -28,                  4081,               -260507,                 30655,                 69716,                516489,                586205,                586205,                 -5990,,,,,,                -73272,,                 -3375,,,                 37282,,                313304,,,,,                   -373,,
2467,2013年01月01日至2013年03月31日,,                127170,                127170,,,                 30906,                  3325,                 -2022,                  1138,                  4122,                 -4711,,                 -1446,               -165639,,,                 10867,                  7475,,,,                    -54,                282201,                 -4720,               -110667,                -29504,                  9442,                -23446,                123252,,,                  1582,                 87583,                -81791,,                 45590,                  1891,,                 53164,                176416,                 60455,                187625,,                 -4623,                 -6688,                176314,,               -127644,,                              0,,,                -21971,                    897,                              0,                     65,                  5020,                191548,,,,,               -347725,,                      1,                  2363,               -376863,                 -2157,                -11158,                516489,                505331,                505331,                 -2002,                -31502,,                     24,,,               -115961,,                 -1691,,                  5778,,,                331405,,,,,,,
2467,2012年01月01日至2012年12月31日,,                292720,                292720,,,                 97975,                 14663,                 19910,                 -2257,                 19177,                -20187,,                 -3884,                  2438,                   -635,                              0,                 29181,,,,,                 -6711,                184340,                 21557,                130915,                 -5907,                 12225,               -108274,                228145,,,               -121445,                -38166,                -14475,,                -27591,                -85120,,               -288954,                -60809,                 95572,                388292,,                -17763,                -72190,                316102,,                -71257,                 52082,                -35128,,                -45575,               -234597,                170470,                -12493,,                 19250,               -318217,,                129349,               -100000,                466875,               -138950,,,                 67506,                121340,                 11560,                130785,                385704,                516489,                516489,                -26719,,,                              0,                              0,,                156381,,                 -2157,                 37429,,,                              0,                  2631,                              0,               -182680,,               -285677,,                  8370,
2467,2012年01月01日至2012年09月30日,,                233255,                233255,,,                 66711,                 11721,                  7073,                 -4983,                 13163,                 -4550,,                 -3163,                  2730,                   -635,,                 12547,                              0,,,,                 -5451,                199940,                 14456,                  8566,                -60029,                 -3411,                 -6649,                147422,,,               -100370,                 60599,                -35785,,                 44433,                -46766,,                -79341,                 68081,                168695,                401950,,                -13038,                -65380,                336570,,                -71257,                 52082,                -34446,,                -45575,               -503307,                  3989,                 -4936,                -48952,                  6397,               -627075,,                253175,                -50000,                266875,               -138104,,                              0,                 67599,                386507,                 29280,                125282,                385704,                510986,                510986,                -27038,,,,                              0,,                100614,,                 -1452,                 37598,,                              0,,                              0,,,,                              0,                              0,                  8370,
2467,2012年01月01日至2012年06月30日,,                133616,                133616,,,                 41618,                  8383,                  5333,                   -558,                  8371,                 -3118,,                 -2402,                  2925,                   -635,,                 15785,                              0,,,,                -21356,                155533,                 -9954,                 14910,                   -677,                 11102,                 -4072,                145486,,,                -68338,                 61988,                -77843,,                 87002,                -70469,,                -69112,                 76374,                152076,                285692,,                 -8393,                -56508,                229184,,                -52907,                 52082,                 -4446,,                -45575,               -121454,                  5187,                   -414,                -27360,                  2931,               -153212,,                 64860,                              0,                192083,                -77500,,                    -28,                 47128,                218150,                 17176,                311298,                385704,                697002,                697002,                 -9821,,,,,,                 75702,,                 -1452,                 40195,,                              0,,                              0,,,,,                              0,                  8370,
2467,2012年01月01日至2012年03月31日,,                 38058,                 38058,,,                 15625,                  4101,                  7519,                   -204,                  3814,                 -6185,,                   -445,                    252,                   -663,,                  4681,                              0,,,,                  1221,                 72712,                 18588,                 16218,                -14440,                -53285,                 -6480,                 34534,,,                -70489,                 86943,               -101693,,                -10009,                -14922,,               -111622,                -77088,                -48395,                -10337,,                 -3399,                 -5268,                -15605,,                -32634,                 52055,                 -1726,,                -15704,                -48431,                  2078,                 -8829,                  5188,                  3084,                -47281,,                 40000,,                100000,                -19375,,                      1,                    341,                124600,                -29033,                 32681,                385704,                418385,                418385,                -11051,                              0,,                    198,,,                 28693,,                 -1452,,                              0,,,                              0,                    319,,,,,                  8370,                  7032
