證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 無活絡市場之債務工具投資到期還本,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 員工購買庫藏股,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分無活絡市場之債券投資,　　 取得待出售非流動資產,　　 預付設備款增加,　　 庫藏股票買回成本,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）
2324,2015年01月01日至2015年09月30日,,              8730233,              8730233,,,              4050155,                450430,                -24362,                638040,               -479227,               -237232,                321218,               -224340,                 -5874,                 14456,                              0,                -10000,                 12059,              4505323,,,                  3454,             -7350090,                215764,              4102034,                 -6353,                -73411,             -3108602,,                 24941,            -20176762,              1780953,                 51751,               -674715,                562763,                 49349,            -18381720,            -21490322,            -16984999,             -8254766,                379671,                379632,               -559907,             -1024701,             -9080071,,                 -4604,              1693653,                 68125,                350000,                -45138,                              0,                273066,             -3765800,                 87781,               -489227,                -39511,             -1871655,,            -13570189,              4700000,             -1958805,             -6568145,                              0,                              0,                 -6347,                              0,                299375,                 -8350,            -17112461,              1000815,            -27063372,             74708130,             47644758,             47644758,,,,,,,,,,,,
2324,2015年01月01日至2015年06月30日,,              4950490,              4950490,,,              2685960,                264449,                -13851,                475098,               -379036,               -202195,                207814,                 -9763,                 -2212,                 14456,                              0,                -10000,                  8360,              3039080,,,,             20086471,                217378,             12682580,                175284,                121793,             33283506,,,            -46777709,               -898469,                 -1401,               -554741,              1437285,                100927,            -46694108,            -13410602,            -10371522,             -5421032,                341909,                 55480,               -435991,               -858267,             -6317901,,,              1693653,,                350000,,                -27300,                273066,             -2342176,                 80389,               -334315,                -19094,               -284518,,            -22026610,              4700000,             -1799381,,                              0,,                 -1576,,                585096,                -10148,            -18552619,             -1039640,            -26194678,             74708130,             48513452,             48513452,                              0,                              0,                 41259,,,,,,,,,
2324,2015年01月01日至2015年03月31日,,              2574637,              2574637,,,              1337364,                154020,                -36065,                248930,               -212542,,                 91279,                117990,                 -9348,                 86629,                              0,,                  4321,              1782578,,,,             32420244,               -241917,                504084,                477553,               -128297,             33031667,,,            -36310445,             -1888211,                -76784,                -64142,              1638973,                157593,            -36543016,             -3511349,             -1728771,                845866,                183253,,               -247435,               -123886,                657798,,,              1032940,,,,                -27300,                273066,             -1285384,                 46994,               -302020,                -21316,               -283020,,,                              0,             -1137190,,                              0,,                              0,,                575581,                -43683,             -6518268,               -536985,             -6680475,             74708130,             68027655,             68027655,,,                              0,             -5912976,,,,,,,,
2324,2014年度,,              9736972,              9736972,,,              5338054,                698810,                -10582,              1019504,             -1023736,               -208983,                168012,               -977953,                -46226,                -18348,              4777920,,                 16690,,,,,              9337791,                108584,            -16026011,               -798821,               -198363,             -7576820,,,             20156529,              1172834,                390816,                405746,                453269,                -12179,             22567015,             14990195,             24723357,             34460329,                975307,                284335,               -946545,               -975202,             33798224,,                              0,                183002,                 40369,,,             -1285377,              2159000,             -6565882,                145932,               -396954,                 17809,             -5689203,,             -5315160,             10271167,               -663154,             -4305345,                195717,                282125,             -2304824,                 98938,               -230546,                 58941,             -1912141,              1545398,             27742278,             46965852,             74708130,             74708130,,                              0,                 28230,                              0,,              9733162,                              0,                              0,                -15332,                              0,,
2324,2014年01月01日至2014年09月30日,,              4304281,              4304281,,,              3985853,                513552,                 49293,                736863,               -788347,               -208983,                152745,               -786505,                -19346,                -18348,              4743395,                              0,                 12434,              8372606,,,                -14167,             10757963,               -502186,            -22503574,               -812978,               -146224,            -13221166,,                  2228,             23922412,              1374708,                295533,                289061,                720215,                 73563,             26677720,             13456554,             21829160,             26133441,                735773,                284335,               -715494,               -873603,             25564452,,                   -879,                183002,                 40369,                              0,                -11087,               -503726,              2159000,             -5119097,                 64833,               -295682,                 16444,             -3466823,,            -16713998,             10015790,               -144215,             -4305345,                149013,                282125,             -2304824,                 98938,               -231742,                 28292,            -13125966,                158215,              9129878,             46965852,             56095730,             56095730,,,,,,,,,,,,
2324,2014年01月01日至2014年06月30日,,              1221628,              1221628,,,              2512489,                340629,                 76768,                492675,               -495101,               -191813,                 27865,               -332624,                -38056,                -14631,              4732121,                              0,                  8302,              7118624,,,,             17081230,                361765,            -11918324,               -793744,                 68381,              4799308,,,              6591332,             -2471212,                387470,                200855,                 48979,                123897,              4881321,              9680629,             16799253,             18020881,                444753,                 57447,               -462402,               -753360,             17307319,,,                              0,,                              0,,             -2221234,              2159000,             -3287989,                 51506,               -245244,                 20131,             -1717802,,            -11853607,             10100360,                -39746,,                 15588,,             -2304824,,                 -3656,                 27196,             -4058689,                  5674,             11536502,             46965852,             58502354,             58502354,              1745000,                 40739,                 20289,,,,,,,,,
2324,2014年01月01日至2014年03月31日,,             -1470352,             -1470352,,,              1314261,                143360,                -11210,                238668,               -209946,,                 13904,               -270225,                -30817,                              0,              4732121,,                  4172,              5924288,,,,             26315238,               -399782,             -7455045,               -553051,               -118106,             17789254,,,            -16284832,               -838369,                 27003,                126943,                509513,                195544,            -16264198,              1525056,              7449344,              5978992,                168120,,               -197892,               -145492,              5803728,,,                              0,,,,                 -1000,              2257789,             -1335959,                 75175,                -21599,                  7735,                990557,,,              3805930,                -11250,,                  3759,,             -2304824,,                 -4081,                 32305,             -4546958,                628064,              2875391,             46965852,             49841243,             49841243,,,                  8416,             -6068797,,,,,,,,
2324,2013年度,,              4360382,              4360382,,,              4952145,                603567,                  8825,                493642,               -628457,               -179601,                 44561,              1107701,               -246995,               -626458,              4909772,,                 16222,,,,,            -22772559,               -158572,                506056,               -226654,                 75561,            -22576168,,,              6316271,              3327186,               -263237,                191507,                 30547,                -16708,              9585566,            -12990602,             -2535678,              1824704,                616057,                204926,               -444699,             -1651406,                549582,,                -22702,                916950,                              0,,,             -1078927,                -24102,             -5677308,                942031,               -481451,                 89335,             -9292912,,                              0,             13932534,                              0,             -4333823,                 16279,                              0,            -13171986,                141517,                 88538,                 16341,             11000896,                553704,              2811270,             44154582,             46965852,             46965852,,                              0,                 80427,             15437974,,             10454924,                              0,             -4052535,                 15370,             -1126478,,
2324,2013年01月01日至2013年12月31日,,              4360382,              4360382,,,              4952145,                603567,                  8825,                493642,               -628457,               -179601,                 44561,              1107701,               -246995,               -626458,              4909772,,                 16222,,,,,            -22772559,               -158572,                506056,               -226654,                 -2386,            -22654115,,,              6316271,              3327186,               -263237,                191507,                 30547,                 61239,              9663513,            -12990602,             -2535678,              1824704,                616057,                204926,               -444699,             -1651406,                549582,,                -22702,                916950,,,,             -1078927,                -24102,             -5677308,                942031,               -481451,                 89335,             -9292912,,,             13932534,                              0,             -4333823,                 16279,,            -13171986,                141517,                 88538,                 16341,             11000896,                553704,              2811270,             44154582,             46965852,             46965852,,,                 80427,             15437974,,             10454924,,             -4052535,                 15370,             -1126478,,
2324,2013年01月01日至2013年09月30日,,                959499,                959499,,,              3662836,                634601,                -17103,                330647,               -436863,               -179601,                 28922,              1244004,                -43778,               -116105,              4909772,,                  9876,,,,,              9361508,                422130,                 96393,               -327392,                 61935,              9614574,,,             -8093087,              3093230,               -292055,                123078,               -626746,                -18040,             -5813620,              3800954,             13828162,             14787661,                447532,                204924,               -321309,             -1559769,             13559039,,,                535099,                 25456,,,             -1081464,                -24102,             -3880382,                906831,               -578785,                129768,             -4192417,,,              2058938,                              0,             -4334168,                  2954,                              0,                              0,                141517,               -458938,                 25541,              5807416,                188156,             15362194,             44154582,             59516776,             59516776,,                              0,                              0,              9498050,,             10027208,                              0,,               -224838,             -1126478,,
