證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 員工執行認股權,　　 員工購買庫藏股,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 發行公司債
6153,2015年01月01日至2015年09月30日,,                436162,                436162,,,                604404,                 12638,                  3042,                   -305,                  8375,                -27785,                 16633,                 14542,                 65703,                              0,                    935,                698182,,,                              0,                956408,                655161,                250075,              1861644,,             -2896326,               -247725,                 -4705,             -3148756,             -1287112,               -588930,               -152768,               -207105,               -359873,,                              0,               -822714,                 19158,                   -801,                -17096,                 23230,               -798223,,               -144889,                 -3703,                  1553,               -204605,                -38235,                 -6155,               -396034,                 54265,             -1499865,              3985330,              2485465,              2485465,,,,,,,,,,
6153,2015年01月01日至2015年06月30日,,               -151539,               -151539,,,                403490,                  9495,                 -1649,                    150,                  5362,                -19853,                 11070,                 14440,                 19140,                              0,                              0,                441645,,,                              0,              1509351,                825174,                294450,              2628975,,             -2922439,               -397819,                 -3233,             -3323491,               -694516,               -252871,               -404410,               -168352,               -572762,,                              0,               -533947,                  1184,                   -692,                -15359,                 22542,               -526272,,                -18655,                              0,                  1492,,,                 -5398,                -38664,                -56645,             -1194343,              3985330,              2790987,              2790987,                              0,                              0,                -16103,,,,,,,
6153,2015年01月01日至2015年03月31日,,                -92099,                -92099,,,                202373,                  4992,                   -362,                              0,                  2570,                -12074,                  5524,                    599,                  9761,,,                213383,,,                              0,              1786911,                414657,                198048,              2399616,,             -2058708,               -276576,                 -1136,             -2336420,                 63196,                276579,                184480,                -87986,                 96494,,,               -277131,                    489,                   -143,                 -4524,                 11276,               -270033,,                 -6551,,                              0,,,                 -3006,                 -9557,                -35414,               -218510,              3985330,              3766820,              3766820,                              0,                              0,,                              0,,,,,,
6153,2014年度,,                541193,                541193,,,                706586,                 20217,                280064,                   -191,                 10713,                -33957,                  4587,                 21577,               -126699,                              0,                              0,,,,                 17419,               -698848,             -1266048,               -133964,             -2158585,,              2518547,                243740,,              2756391,                597806,              1480703,              2021896,               -197525,              1824371,,                              0,               -756497,                 60208,                 -1139,                -15961,                 32332,               -681057,,                 28382,                              0,                     44,               -324794,,                -10219,              1188413,                 69353,              2401080,              1584250,              3985330,              3985330,,                              0,,                              0,,                882897,                              0,                -77144,                 -5896,              1495000
6153,2014年01月01日至2014年09月30日,,                269883,                269883,,,                514638,                 14034,                289420,                    -31,                  7901,                -20876,                              0,                 10870,                 -2749,                              0,                    911,                814118,,,                 17000,                410520,               -983732,                -23174,               -579386,,                881508,                 76560,                 -3442,                954626,                375240,              1189358,              1459241,               -196721,              1262520,,                              0,               -452065,                 15987,                 -1140,                -12015,                 17478,               -431755,,                -20535,                              0,                    600,               -324794,                              0,                 -7015,               -351744,                 17124,                496145,              1584250,              2080395,              2080395,,,,,,,,,,
6153,2014年01月01日至2014年06月30日,,                154909,                154909,,,                337113,                  9639,                  3614,                    -22,                  5488,                -13318,                              0,                  5624,                 59029,                              0,                              0,                407167,,,                 17000,              1389661,                211923,                158210,              1776794,,             -1176661,               -193970,                 -2394,             -1373025,                403769,                810936,                965845,               -142549,                823296,,                              0,               -214076,                 10752,                    583,                 -9956,                 12999,               -199698,,                -18028,                              0,                    600,,,                 -4763,                -22191,                -38992,                562415,              1584250,              2146665,              2146665,                              0,                              0,                              0,,,,,,,
6153,2014年01月01日至2014年03月31日,,                 84566,                 84566,,,                169859,                  4661,                 -1546,                   -466,                  2693,                 -6385,                              0,                    -60,                -13151,,,                155605,,,                   -765,              1620613,                 98375,                187507,              1905730,,               -774574,               -178269,                 -1228,               -954071,                951659,              1107264,              1191830,                -58440,              1133390,,,               -119647,                 10196,                     15,                 -6559,                  6224,               -109771,,                -94297,,                    600,,,                 -2212,                -95909,                 -7352,                920358,              1584250,              2504608,              2504608,                              0,                              0,,                              0,,,,,,
6153,2013年度,,                905967,                905967,,,                657683,                 17857,                 16757,                 19054,                 11402,                -24640,                  8054,                  8536,                -49590,                 -1305,                              0,,,,                 93000,                -21339,                -17730,                -53788,                -65460,,                 68235,                -39381,,                 22855,                -42605,                621203,              1527170,               -284499,              1242671,,                              0,               -700794,                 44160,                   -317,                 -8450,                 24640,               -640761,,                 32409,               -799913,                              0,               -487191,,                -10762,             -1265457,                 75593,               -587954,              2172204,              1584250,              1584250,,                              0,,                              0,,                663808,                              0,                -65603,                 -5999,                              0
6153,2013年01月01日至2013年12月31日,,                905967,                905967,,,                657683,                 17857,                 16757,                 19054,                 19456,                -24640,,                  8536,                -49590,                 -1305,                              0,,,,                 93000,                -21339,                -17730,                -53788,                -65460,,                 68235,                -39381,,                 22855,                -42605,                621203,              1527170,               -284499,              1242671,,                              0,               -700794,                 44160,                   -317,                 -8450,                 24640,               -640761,,                 32409,               -799913,,               -487191,,                -10762,             -1265457,                 75593,               -587954,              2172204,              1584250,              1584250,,                              0,,                              0,,                663808,                              0,                -65603,                 -5999,
6153,2013年01月01日至2013年09月30日,,                343945,                343945,,,                482341,                 13153,                  6333,                 19007,                 17007,                -18418,,                  6918,                  3627,                 -1319,                              0,,,,                110000,              1571048,                 33516,                 45907,              1760471,,             -1105639,               -128857,,             -1238779,                521692,              1050341,              1394286,               -280262,              1114024,,                              0,               -543362,                 33972,                  1593,                 -6714,                 18418,               -496093,,                -70018,               -750014,                              0,               -487191,,                 -8762,             -1315985,                 47414,               -650640,              2172204,              1521564,              1521564,,,,,,                528649,,,                 -4283,
