證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　　 非金融資產減損損失,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金減少,　　 短期借款減少
3550,2015年01月01日至2015年09月30日,,                109734,                109734,,,                 73691,                  3099,                 11076,                -15030,                  2192,                 11066,                  2912,                -67237,                    556,                 22325,,,                 43342,                178573,                    339,                  2779,                 13522,                    798,                   -373,                238980,,                 -7683,                -16161,                -45149,                  1196,                 -2823,                -70620,                168360,                190685,                300419,                -10563,                -43467,                246389,,                -52170,                 10634,                 16020,                 -1836,                  9284,                              0,                -18068,,                219437,              1247798,             -1423391,                   -116,                -85000,                 -5174,                -46446,                 41510,                223385,              1155007,              1378392,              1378392,,,,,,,
3550,2015年01月01日至2015年06月30日,,                 48590,                 48590,,,                 49950,                  2221,                  7288,                 -9526,                  2817,                  6304,                  2912,                  2815,                    370,                 65151,,,                 20087,                186619,                    249,                  6017,                -26123,                     12,                    779,                187640,,                 -7683,                -11307,                -51829,                    798,                  1407,                -68614,                119026,                184177,                232767,                 -6822,                -27793,                198152,,                -41221,                 10402,                 16615,                 -1381,                  6063,,                 -9522,,                207365,                              0,               -164368,                              0,,,                 42997,                -44991,                186636,              1155007,              1341643,              1341643,                              0,,,,,,
3550,2015年01月01日至2015年03月31日,,                 17050,                 17050,,,                 25731,                  1106,                  3643,                 -4306,                  1116,                  4105,                              0,                   -128,                    187,                 31454,,,                -35211,                187022,                    339,                     77,                -38237,                -10250,                   -506,                103234,,                 -5264,                 34983,                -40595,                    399,                    275,                -10202,                 93032,                124486,                141536,                 -3406,                -11297,                126833,,                -19469,                  9964,,                   -287,                  4813,,                 -6029,,                115301,                              0,               -171105,                              0,,,                -55804,                -31487,                 33513,              1155007,              1188520,              1188520,                 -1050,                              0,,,,,
3550,2014年度,,                178731,                178731,,,                106797,                  4321,                 18620,                -17325,                 -2344,                 11276,                              0,                 -9502,                    718,,,,                 -6515,                209624,                   -339,                 -3025,                 34794,                  3137,                   -703,                236973,,                   -602,               -176338,                 51294,,                    753,               -110096,                126877,                239438,                418169,                -20614,                -61038,                336517,,                -73566,                  5739,,                 -5461,                 18104,                  1715,                -55381,,                -45249,                 24288,                              0,                    490,                -85000,                              0,               -105471,                 65815,                241480,                913527,              1155007,              1155007,                 -1912,                              0,,                112561,                 14797,                              0,
3550,2014年01月01日至2014年09月30日,,                137083,                137083,,,                 80076,                  3131,                 13548,                -12163,                     -7,                  4392,                              0,                  1425,                    535,                 90937,,,                 -5962,                 82709,                              0,                  3612,                -18439,                   -487,                              0,                 61433,,                  1500,               -121733,                 -8838,                 10635,                   -852,               -119288,                -57855,                 33082,                170165,                -15173,                -48263,                106729,,                -61779,                  4978,                  6867,                 -2434,                 10409,                  1715,                -40244,,                 10753,              1076445,               -999942,                    490,                -85000,                              0,                  2746,                  8986,                 78217,                913527,                991744,                991744,,,,,,,
3550,2014年01月01日至2014年06月30日,,                 80224,                 80224,,,                 53781,                  2153,                  9845,                 -9282,                  1655,                  1679,                              0,                  2229,                    358,                 62418,,,                -22620,                 14057,                              0,                 -2035,                    398,                -14024,                   -743,                -24967,,                    980,                -64954,                 -1420,                  7080,                  3244,                -55070,                -80037,                -17619,                 62605,                 -9704,                -32713,                 20188,,                -41916,                  2595,                              0,                   -818,                 10358,,                -53051,,                -67120,                 70254,                              0,                    490,,,                  3624,                 -8505,                -37744,                913527,                875783,                875783,                -23270,,,,,,
3550,2014年01月01日至2014年03月31日,,                 32990,                 32990,,,                 26998,                  1146,                  4890,                 -4142,                     53,                   -382,                              0,                 -2112,                    180,                 26631,,,                -14640,                137762,                              0,                 -5090,                -16971,                -25829,                   -929,                 74303,,                  3649,               -112344,                -16990,                  3529,                  1245,               -120911,                -46608,                -19977,                 13013,                 -4623,                -16138,                 -7748,,                -19422,                    901,,                    -79,                  5844,,                -36519,,                -38045,                 67924,                              0,                    491,,,                 30370,                 11358,                 -2539,                913527,                910988,                910988,                -23763,                              0,,,,,
3550,2013年度,,                148853,                148853,,,                 82030,                  3654,                 15964,                -13602,                 -1144,                 13525,                  1623,                 -2488,                    697,,,,                 -3229,               -164527,                              0,                  7033,                -28564,                  9257,                  4355,               -175675,,                 -3730,                 -9452,                 -4447,,                  4378,                -21154,               -196829,                -79340,                 69513,                -14090,                -56026,                   -603,,                -27790,                  7628,,                 -3875,                 11596,                  1714,                -42120,,                247427,                533598,               -718357,                              0,                -46811,                 -7123,                  8597,                 57669,                 23543,                889984,                913527,                913527,                -31393,                 17230,,                117489,                 -7903,                   -137,
3550,2013年01月01日至2013年12月31日,,                148853,                148853,,,                 82030,                  3654,                 15964,                -13602,                 -1144,                 13525,                  1623,                 -2488,                    697,,,,                 -3229,               -164527,                              0,                  7033,                -28564,                  9257,                  4355,               -175675,,                 -3730,                 -9452,                 -4447,,                  4378,                -21154,               -196829,                -79340,                 69513,                -14090,                -56026,                   -603,,                -27790,                  7628,                              0,                 -3875,                 11596,                  1714,                -42120,,                247427,                533598,               -718357,                              0,                -46811,                 -7123,                  8597,                 57669,                 23543,                889984,                913527,                913527,                -31393,                 17230,,                117489,                 -7903,                   -137,                              0
3550,2013年01月01日至2013年09月30日,,                104878,                104878,,,                 62508,                  2830,                 11921,                 -9950,                 -1570,                    188,                  1623,                  3229,                    522,,,,                  5959,                -62378,,                  9759,                -16034,                 10674,                  4751,                -47269,,                 -3187,                -48078,                -36428,,                  2869,                -89201,               -136470,                -55049,                 49829,                -10313,                -41478,                 -1962,,                -19613,                  2902,,                 -2375,                  7052,                  1714,                -32292,,                283662,                174466,               -350000,                              0,                -42925,                 -7123,                 57943,                 36990,                 60679,                889984,                950663,                950663,                -21972,                 10120,,                 81421,                 -4377,                   -137,
3550,2013年01月01日至2013年06月30日,,                 72355,                 72355,,,                 42226,                  1943,                  7947,                 -6237,                 -2062,                    777,                  1623,                 -3590,                    346,,,,                 21669,                -85557,,                 10334,                 -9012,,                 -1541,                -64107,,                   -610,                -10955,                -25547,,                              0,                -36384,               -100491,                -55354,                 17001,                 -6730,                -31798,                -21527,,                -13952,                  1883,                     34,                 -1575,                  4900,,                -30386,,                181538,                              0,               -220000,                              0,,                 -7123,                -45724,                 42722,                -54915,                889984,                835069,                835069,                -21676,                  2164,,                 45137,                    728,                   -139,
3550,2013年01月01日至2013年03月31日,,                 24986,                 24986,,,                 21224,                    912,                  3884,                 -2297,                   -632,                    204,                  1623,                -12251,                    171,,,,                 -3283,                 84901,,                 10507,                -42922,,                   -230,                 48973,,                 -3849,                -10902,                -43321,,,                -57721,                 -8748,                  6227,                 31213,                 -3656,                -20947,                  6610,,                 -8224,                              0,                              0,                 -1193,                  2154,,                -28840,,                  1635,                              0,                -80000,                              0,,,                -78504,                 29106,                -71628,                889984,                818356,                818356,                -21577,                  2137,,                 14975,                    351,                   -139,                              0
