證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融負債增加（減少）,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 庫藏股票買回成本,　　 存入保證金增加,　　　　 其他項目,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）
2516,2015年01月01日至2015年09月30日,,                160428,                160428,,,                 63551,                  3541,                 -2000,                   -184,                 20002,                 -4097,                    412,                  8740,                              0,                 89965,,,                    184,                -29015,                -93214,                 21309,                 14583,                132339,                 -9639,                 31445,                 67992,,               -448307,                -34140,                -42981,                  6232,                  1558,               -517638,               -449646,               -359681,               -199253,                  3519,                -20385,                 -9852,               -225971,,                              0,                -76000,                -11583,                 24487,                 -2662,                 49320,                              0,               -249160,                117408,               -148190,,              2017979,             -2495616,                 80000,                              0,                -67884,               -465521,                  3163,               -836519,              1512298,                675779,                675779,,,,,,,,,,
2516,2015年01月01日至2015年06月30日,,                145714,                145714,,,                 43070,                  2360,                 -2000,                   -184,                 14278,                 -3401,,                  8686,,                 62809,,,                    184,               -225633,                 58647,                 18601,                -18486,                223020,                 -4717,                 42211,                 93827,,               -381728,                -24697,,                -17846,                    953,               -457736,               -363909,               -301100,               -155386,                  3132,                -14533,                 -8028,               -174815,,,,                 -9608,                 23293,                 -2140,                 63780,                              0,               -249152,                 96878,                -76949,,              1623569,             -1840492,,                              0,,               -216923,                 -2723,               -471410,              1512298,              1040888,              1040888,                -34418,                              0,,,,,,,,
2516,2015年01月01日至2015年03月31日,,                108159,                108159,,,                 22431,                  1189,                 -1000,                   -246,                  7662,                 -1243,,                  2602,,                 31395,,,                 -2760,               -653862,                 71294,                  3120,                -15534,                149204,                 -2675,                 32982,               -418231,,               -420579,                   -179,                -27212,                 -8420,                    411,               -455979,               -874210,               -842815,               -734656,                    313,                 -7848,                 -3053,               -745244,,,,                 -1614,                 12837,                   -767,                 50288,                              0,               -244428,                 56334,               -127350,,              1053839,             -1007392,,                              0,,                 46447,                   -988,               -827135,              1512298,                685163,                685163,,                              0,,,,,,,,
2516,2014年度,,                178542,                178542,,,                 90800,                  5522,                 -5209,,                 27457,                 -6949,,                   -321,                   -190,,,,                    190,                176791,                111761,                  3533,                 38287,                311012,                 52242,               -117126,                576690,,               -303282,                 37044,                -76915,                -56323,,               -401342,                175348,                286458,                465000,                  6827,                -27357,                 11608,                456078,,,,                -51111,                  3406,                 -8060,                 22909,                   -273,                -77411,                187224,                 76684,,              3534882,             -3710725,,                 -1762,                -22628,               -200233,                  7894,                340423,              1171875,              1512298,              1512298,,,,                111110,                 -1866,                              0,,,,
2516,2014年01月01日至2014年09月30日,,                208227,                208227,,,                 68356,                  4119,                              0,                    -79,                 19939,                 -3655,                              0,                    171,                              0,                 88851,,,                -17835,                131275,               -385165,                 21581,                 43014,                177037,                 30359,                -44124,                -43858,,               -502188,                 51773,                  4341,                -67277,                  8993,               -504358,               -548216,               -459365,               -251138,                  3529,                -19874,                 -2320,               -269803,,                              0,                              0,                -51748,                    189,                 -8510,                 59159,                    -81,                -22565,                142777,                119221,,              2574149,             -2743264,                              0,                 -1762,                -22628,               -193505,                  2067,               -342020,              1171875,                829855,                829855,,,,,,,,,,
2516,2014年01月01日至2014年06月30日,,                133919,                133919,,,                 44913,                  3503,                              0,                    381,                 13393,                 -2778,,                    181,,                 59593,,,                -17835,                185827,                 -6911,                  1813,                 52195,                 76032,                 27720,                -28901,                289940,,               -499442,                 26989,,                -87399,                  6053,               -549505,               -259565,               -199972,                -66053,                  2729,                -13668,                 -1926,                -78918,,,,                -33326,                    180,                 -3142,                 87721,                    -81,                -17306,                115352,                130379,,              1676899,             -2165394,,                 -1762,,               -490257,                 -5351,               -444147,              1171875,                727728,                727728,                  4294,                -19019,,,,,,,,
2516,2014年01月01日至2014年03月31日,,                 95964,                 95964,,,                 22335,                  1391,                              0,                    197,                  7253,                   -531,,                    180,,                 30825,,,                -14835,                438987,                115225,                -10412,                 46252,                 37815,                  2572,                -21917,                593687,,               -498336,                 21599,                  4188,                -14021,                  3049,               -483521,                110166,                140991,                236955,                    531,                 -7419,                 -1921,                228146,,,,                 -9703,                    157,                 -1902,                 59525,                    -81,                 -7007,                 97265,                104826,,                914662,             -1268934,,                 -1762,,               -356034,                 -3153,                -26215,              1171875,              1145660,              1145660,,                -33428,,,,,,,,
2516,2013年度,,                -10987,                -10987,,,                106457,                  4486,                              0,,                 25434,                 -6235,,                  1581,                    734,,,,                  7202,               -213378,               -530973,                -28712,                -58866,               -403644,                -30071,               -316045,             -1574487,,                278736,                -50323,                 38435,                 47199,,                312424,             -1262063,             -1129606,             -1140593,                  6489,                -24620,                -39960,             -1198684,,,,                -36561,                  1146,                   -300,                 12111,                 -1839,                -53745,                349760,                270572,,              4994437,             -3911779,,                    -18,                -68081,                967972,                 16045,                 55905,              1115970,              1171875,              1171875,,,,                132457,                 -1623,                -46587,,,,
2516,2013年01月01日至2013年12月31日,,                -10987,                -10987,,,                106457,                  4486,,                              0,                 25434,                 -6235,,                  1581,                    734,,,,                  7202,               -213378,               -530973,                -28712,                -58866,               -403644,                -30071,               -316045,             -1574487,,                278736,                -50323,                 38435,                 47199,,                312424,             -1262063,             -1129606,             -1140593,                  6489,                -24620,                -39960,             -1198684,,,,                -36561,                  1146,                   -300,                 12111,                 -1839,                -53745,                349760,                270572,,              4994437,             -3911779,,                    -18,                -68081,                967972,                 16045,                 55905,              1115970,              1171875,              1171875,,,,                132457,                 -1623,                -46587,                              0,,,
2516,2013年01月01日至2013年09月30日,,                -93663,                -93663,,,                 74489,                  3532,,                    955,                 17933,                 -2809,,                  1566,                    -25,,,,                 -8230,                457245,               -116037,                -11061,                 -6061,               -470600,                -30945,                 -2330,               -188019,,               -438837,                -65925,                 -1186,                 67730,,               -429338,               -617357,               -521716,               -615379,                  2945,                -17302,                -19287,               -649023,,                  5025,,                -31565,                  1162,               -227950,                 17138,                   -316,                -65422,                271502,                -30426,,              3621296,             -2865759,,                 -1239,                              0,                707711,                  1835,                 30097,              1115970,              1146067,              1146067,,,,                 95641,                  8880,                -46587,,,,
