證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 退還（支付）之所得稅,　　 處分以成本衡量之金融資產,　　 其他非流動負債減少,　　　　 其他項目,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存出保證金減少,　　 其他預付款項減少,　　 其他投資活動,　　 存入保證金減少,　　 非控制權益變動,　　 短期借款減少,　　 其他非流動資產減少
9928,2015年01月01日至2015年09月30日,,               -276802,               -276802,,,                154134,                  1477,                    520,                 25641,                   -681,                -25525,                     -2,                -13491,                     54,                    -39,                142088,,,                              0,                 -7832,                  1316,                  6446,                 -3751,                 -3507,                -17343,                  4066,                -20605,,                 -8163,                -60059,                  8517,                 12692,                 15307,                -17788,                -49494,                -70099,                 71989,               -204813,                    681,                 25525,                -24449,               -203056,,                 28681,                  1415,                -40038,                     87,                 -1679,                -20211,                -31745,,                210000,                  6844,                216844,                -17957,                228195,                210238,                210238,,,,,,,,,,,,,,,,
9928,2015年01月01日至2015年06月30日,,               -223309,               -223309,,,                102597,                    270,                    223,                 16818,                   -478,                -17868,                      2,                 -7138,                     54,                    -41,                 94439,,,                              0,                  3471,                   -769,                    209,                -23114,                 -3545,                  1593,                -22189,                -44344,,                 -8113,                -69334,                 -2745,                 21548,                 64158,                -12322,                 -6808,                -51152,                 43287,               -180022,                    478,                 17868,                -16460,               -178136,,                 12344,                  1415,                -34527,                     66,                  1432,                 -7942,                -27212,,                150000,                  5384,                155384,                -49964,                228195,                178231,                178231,,,,,,,,,,,,,,,,
9928,2015年01月01日至2015年03月31日,,               -137577,               -137577,,,                 51097,                    270,                     55,                  8236,                   -178,,,                 -2730,                     54,                    -41,                 56763,,,                              0,                 -1094,                 38749,                  7371,                  1680,                   -218,                -19748,                 -8384,                 18356,,                 -8138,                -54482,                 28054,                -14110,                 24932,                 -6342,                -30086,                -11730,                 45033,                -92544,                    178,,                 -8016,               -100382,,                  2935,                  1415,                -31936,,                  1282,                 -2971,                -29275,,                100000,                  4954,                104954,                -24703,                228195,                203492,                203492,,,,,,,,,,,,,,,,
9928,2014年度,,               -232997,               -232997,,,                174966,                     39,                    146,                 30506,                 -1210,,,                -11069,                  5119,                   -314,,,,                 47474,                 -3512,                 88745,                   -156,                 -3392,                  7931,                -23742,                 -1485,                111863,,                  2134,                -29994,                -16274,                -17810,                -28795,                -31159,               -121898,                -10035,                188148,                -44849,                  1210,,                -30163,                -75034,,                  2544,                 33781,                -26283,,                  8126,               -224076,               -205292,,                270000,                    393,                270393,                 -9933,                238128,                228195,                228195,,                              0,                198183,                 -1232,                    616,                              0,,,,,,,,,,
9928,2014年01月01日至2014年09月30日,,               -176172,               -176172,,,                125557,                     39,                     84,                 22381,                   -933,                 -3427,                              0,                 -8186,                  4271,                    -94,                139692,,,                 47474,                 -5822,                105916,                  2131,                 -4476,                 -9474,                -41178,                 -6117,                 88454,,                 -5953,                -77015,                -22087,                  6438,                  7536,                -22475,               -113556,                -25102,                114590,                -61582,                    933,                  3427,                -22199,                -79421,,                              0,                 33458,               -117378,                              0,                 -1583,                -72200,               -157703,,                210000,                    905,                210905,                -26219,                238128,                211909,                211909,,,,,,,,,,,,,,,,
9928,2014年01月01日至2014年06月30日,,               -111899,               -111899,,,                 79867,                              0,                    -33,                 14656,                   -637,                              0,                              0,                   -166,                     94,                    125,                 93906,,,                 47474,                 -5724,                 99088,                 -3487,                 -2931,                  1930,                -62115,                 -1379,                 72856,,                 -6021,                -23702,                -19610,                  6907,                  1761,                -15622,                -56287,                 16569,                110475,                 -1424,                    637,                              0,                -14675,                -15462,,                              0,                              0,                -12180,                              0,                  8124,               -120619,               -124675,,                130000,                    304,                130304,                 -9833,                238128,                228295,                228295,,,,,,,,,,,,,,,,
9928,2014年01月01日至2014年03月31日,,                -74101,                -74101,,,                 39222,                              0,                   -102,                  7217,                   -220,,,                              0,                     42,                   -279,                 45880,,,                 47473,                 -2929,                 59262,                  3648,                 -3336,                 -2030,                 16298,                   -717,                117669,,                 -5780,                -71409,                 -7069,                -12175,                 16290,                 -6609,                -86752,                 30917,                 76797,                  2696,                    220,,                 -7117,                 -4201,,                              0,                              0,                 -7848,,                  3537,                -83496,                -87807,,                 80000,                 -1095,                 78905,                -13103,                238128,                225025,                225025,,,,,,,,,,,,,,,,
9928,2013年度,,               -160074,               -160074,,,                181027,                    922,                 -2034,                 28019,                 -1169,,,                              0,                    993,                    -91,,,,                  2428,                 11013,                 32812,                 -8298,                  6226,                 -2476,                 14914,                 -2216,                 54403,,                 -3041,                 30441,                 17944,                 17476,                -11116,                -35855,                 15849,                 70252,                277925,                117851,                  1136,,                -28708,                 88189,,                              0,                 14362,                -19298,,                 11794,               -107171,               -100313,,                 30000,                  1320,                 31253,                 19129,                218999,                238128,                238128,,                      6,                207673,                 -2090,                              0,                    -67,,,,,,,,,,
9928,2013年01月01日至2013年12月31日,,               -160074,               -160074,,,                181027,                    922,                 -2034,                 28019,                 -1169,,                      6,,                    993,                    -91,,,,                  2428,                 11013,                 32812,                 -8298,                  4946,                 -2476,                 14914,                    922,                 56261,,                 -3041,                 30441,                 17943,                 17477,                -11116,,                 51704,                107965,                279704,                119630,                  1136,,                -28708,                 89968,,,                 14362,               -126469,,,,               -102160,,                 30000,,                 31321,                 19129,                218999,                238128,                238128,,,                171739,                 -2090,,,                -35934,                              0,                              0,                  8270,                              0,                  1677,                  1321,                              0,,
9928,2013年01月01日至2013年09月30日,,               -151614,               -151614,,,                136554,                     42,                 -1204,                 20935,                   -816,,                      7,                              0,                    797,                     81,,,,                              0,                  1954,                 82610,                 -5738,                  7018,                 -8713,                -19631,                 -3990,                 53510,,                 -6129,                -16662,                 12039,                 29421,                 20218,                -26903,                 11984,                 65494,                221890,                 70276,                    816,,                -21936,                 49156,,,                 13599,                 -9751,,                 11184,                -38895,                -23863,,                              0,                    684,                    684,                 25977,                218999,                244976,                244976,,,                156396,,,,,,,,,,,,,
