證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 償還公司債,　　 發放現金股利,　　 取得子公司股權,　　　　　 應收票據－關係人（增加）減少,　　 取得無活絡市場之債券投資,　　 員工執行認股權,　　 應付短期票券減少
3017,2015年01月01日至2015年09月30日,,                757530,                757530,,,                526443,                 32032,                   -824,                    205,                 77767,                -18049,                 -2529,                -11351,                  1134,                   -987,                              0,                              0,                225450,                829291,,,               -703564,               -407467,                    571,                 23717,                 -1229,                438586,               -203621,                 65510,                    -84,               -787581,,                182383,                              0,               -258521,                   -459,                376154,                              0,                 66569,                      4,                366130,               -421451,                407840,              1165370,                 18049,                -76061,               -156087,                951271,,               -246262,                256759,                -30000,                  3268,                              0,                -15300,                              0,               -984393,                 31867,                  2385,                -23516,               -247259,                              0,                  3879,                448107,               -800465,,              5759395,             -5436232,              3185121,             -2939275,                 -5195,                563814,                231013,                945633,              5592249,              6537882,              6537882,,,,,,,,,,,,,,,
3017,2015年01月01日至2015年06月30日,,                429230,                429230,,,                349087,                 20936,                -17451,                              0,                 51573,                -12979,,                 -7938,                 -2187,                   -784,                              0,,                159767,                540024,,,               -542073,                414816,                    632,                 71573,                  5324,                450959,               -180781,                109146,                 24340,                353936,,                119295,                              0,               -805031,                   -383,                -93632,                              0,                 65495,                              0,               -714256,               -360320,                179704,                608934,                 12979,                -51130,                -92776,                478007,,               -198550,                221347,                              0,                  3268,,                -15300,,               -738189,                 30841,                  4001,                 -7983,                -94363,,,                221766,               -603162,,              4405458,             -3904293,              1950000,             -1950071,                   -337,                500757,               -167589,                208013,              5592249,              5800262,              5800262,                -30000,                              0,                              0,,,,,,,,,,,,
3017,2015年01月01日至2015年03月31日,,                242463,                242463,,,                175056,                 10792,                -12737,                              0,                 25961,                 -5783,,                 -4020,                    291,                    -90,,,                131256,                320726,,,               -189042,                678214,                   -622,                 66139,                  7333,                 18344,               -206503,                 51104,                 15414,                440381,,                192092,                              0,               -455398,                     -5,               -139874,                              0,                  5138,                     -1,               -398048,                 42333,                363059,                605522,                  5783,                -25761,                -14570,                570974,,               -143848,                131417,,                  3216,,                -15300,,               -464099,                     41,                  1680,                   -593,                -55294,,,,               -542780,,              2705479,             -2265597,              1290000,               -928583,                    -59,                801240,                -67747,                761687,              5592249,              6353936,              6353936,,,                              0,,,,,,,,,,,,
3017,2014年度,,                965938,                965938,,,                683705,                 35544,                  5614,                              0,                101091,                -30673,,                -36516,                  1883,                 -1063,                270486,                 12010,                384366,,,,                -53286,                123126,                    168,                -65407,                -45806,               -862713,                 26688,               -124911,               -130224,             -1132365,,                     -1,                   -218,                741812,                 45457,                269459,                   -898,                -46357,,              1008867,               -123498,              1302949,              2268887,                 30673,               -106902,               -230901,              1961757,,               -317302,                281497,                 -8492,,                  4616,                              0,                131307,             -1348537,                  4155,                 -4662,                -22418,               -104523,               -552158,,                228104,             -1708413,,             10148997,            -10877560,              3820000,             -3966284,                  6377,             -1009794,                290780,               -465670,              6057919,              5592249,              5592249,,,                              0,,                              0,              1426447,                   -387,                              0,                              0,               -141324,                              0,,,,
3017,2014年01月01日至2014年09月30日,,                725662,                725662,,,                507028,                 25133,                  5240,                              0,                 76620,                -22358,                              0,                -22858,                  1853,                   -659,                270486,                 12010,                182442,              1034937,,,               -211198,                128581,                      1,                164718,                -50759,               -362324,                -90561,                -44840,                -49893,               -516275,,                 37548,                   -218,                734981,                 45256,                 13488,                   -898,                -28245,                     -7,                801905,                285630,              1320567,              2046229,                 22358,                -82727,               -196711,              1789149,,               -261861,                232375,                 -8492,                              0,                  4616,                              0,                131307,               -858085,                  4108,                 -4333,                 -7249,                 -8425,               -552158,                  1350,                              0,             -1326847,,              8097733,             -8578216,              2970000,             -3032642,                  6150,               -536975,                126439,                 51766,              6057919,              6109685,              6109685,,,,,,,,,,,,,,,
3017,2014年01月01日至2014年06月30日,,                308782,                308782,,,                337741,                 16668,                  6545,                    -51,                 51758,                -15556,,                 -5235,                    821,                   -226,                     16,,                 92390,                484871,,,               -198790,                 81550,                 -4223,                130746,                -17962,                -92150,                -12501,                 49487,                -22502,                -86345,,                -31518,                   -218,                306071,                    114,               -245862,                  2993,                -30672,                    -13,                    895,                -85450,                399421,                708203,                 15556,                -56466,               -125848,                541445,,               -217836,                184752,                 -8300,                              0,,                              0,,               -472545,                  3366,                     46,                 -6743,                117842,,,                              0,               -394802,,              5365669,             -5359373,              1770000,             -2117903,                   -468,               -212075,                -61080,               -126512,              6057919,              5931407,              5931407,                              0,                  4616,                130000,,,,,,,,,,,,
3017,2014年01月01日至2014年03月31日,,                 93152,                 93152,,,                176439,                  8028,                -16457,                    -10,                 25992,                 -7634,,                  5441,                  1074,                     -7,,,                 44641,                237507,,,               -423108,                658915,                 -6225,                184398,                 -1633,                102930,               -167639,                -14478,               -124198,                208962,,                 84065,                   -218,                199083,                 -3020,               -318381,                   -917,                 62458,                    -12,                 23058,                232020,                469527,                562679,                  7634,                -29494,                -29086,                511733,,               -178641,                152894,,                              0,,                              0,,               -329761,                  2400,                   -351,                 -5431,                 98471,,,,               -260419,,              2665447,             -2753856,                870000,             -1033735,                   -453,               -172597,                 34645,                113362,              6057919,              6171281,              6171281,,,                 80000,,,,,,,,,,,,
3017,2013年度,,                369363,                369363,,,                700742,                 31380,                 56686,                    128,                 71860,                -25858,,                  9119,                 12718,                    396,                              0,                 34795,                248017,,,,               -100495,               -482133,                     -6,                -50469,                -16054,             -1086749,                 67247,               -114077,                 56780,             -1725956,,                180464,                    218,              1263232,                 29585,                309886,                    544,                 63807,,              1849846,                123890,              1263945,              1633308,                 25858,                -61243,                -92598,              1505325,,                -47571,                 65110,               -252677,,                              0,                -14856,                              0,               -990749,                 29515,                 16275,                -18666,               -155409,                              0,,                              0,             -1364468,,              7881950,             -6156896,              4804918,             -4030690,                   -151,              2319184,                276334,              2736375,              3321544,              6057919,              6057919,,,                -50000,,                     72,              1140055,                  2110,                  4560,                -23900,                -70662,                -35385,,,,
3017,2013年01月01日至2013年12月31日,,                369363,                369363,,,                696621,                 31016,                 56686,                    128,                 71860,                -25858,,                  9119,                 12718,                    396,,                 34795,                248017,,,,               -100495,               -482133,                     -6,                -50469,                -16054,             -1086749,                 67247,               -114077,,             -1782736,,                 58714,                    218,              1384982,                 29585,                239224,                    544,                 63807,,              1779184,                 -3552,              1132018,              1501381,                 25858,                -61243,                -92598,              1373398,,                -47571,                 65110,               -252677,,,                -14856,                              0,               -909776,                 29515,                 16275,                -17938,               -170046,,,                              0,             -1368827,,              7881950,             -6156896,              4804918,             -4030690,                   -151,              2389846,                213755,              2608172,              3449747,              6057919,              6057919,,,                -50000,,                     72,              1135570,                  2110,                  4560,                -23900,,                -35385,,                -71423,                              0,
3017,2013年01月01日至2013年09月30日,,                263717,                263717,,,                523678,                 18439,                 -6780,                     22,                 48989,                -15815,,                 -1358,                  2896,                    -87,                              0,                 34795,                107533,,,,               -220369,                314610,                 -6836,               -120581,                -11067,               -556771,                -59381,               -104477,                225132,               -539740,,                  1651,                    115,                384555,                 20990,                 80311,                   -157,                103708,,                592542,                 52802,                765114,              1028831,                 15815,                -46106,                -72943,                925597,,                -45000,                 60087,               -252677,,                              0,,                              0,               -736922,                  5853,                 14758,                -14581,                -93438,                              0,                              0,,             -1061920,,              5545142,             -3981859,              2728528,             -2322253,                    176,              1889349,                208028,              1961054,              3321544,              5282598,              5282598,,,                -45000,,,                712312,                  1369,,,,                -35385,,,,
