證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）
2495,2015年01月01日至2015年09月30日,,                232791,                232791,,,                 29874,                  4422,                 12508,                              0,                    882,                -51521,                  3547,                              0,                -32739,                  8542,                -24485,,,                 44920,                  1157,                -99988,               -101119,                -58866,                 58930,               -154966,,                   -116,                -25078,                -22879,                  3390,                   -171,                  7699,                -37155,               -192121,               -216606,                 16185,                 44487,                   -882,                -19539,                 40251,,             -2404949,              2357687,                 -5500,                 98943,                -17862,                              0,                 -2793,                              0,                    574,                              0,                              0,                 26100,,               -169598,                -60240,               -229838,                  2123,               -161364,                835484,                674120,                674120,,,,,,,
2495,2015年01月01日至2015年06月30日,,                 88057,                 88057,,,                 19802,                  2910,                  7534,,                    811,                -36309,                  1982,                              0,                 -4315,                 14981,                  7396,,,               -279069,                   -323,                -59399,                  1869,                -62736,                 71760,               -327898,,                   -116,                -52141,                 -1118,                  2057,                    -26,                  5000,                -46344,               -374242,               -366846,               -278789,                 40320,                   -811,                -16728,               -256008,,             -1471482,              1362168,                 -4000,                 98943,                 -9181,,                   -334,                              0,                    471,                              0,,                -23415,,,                 -9885,                144640,                 -2056,               -136839,                835484,                698645,                698645,                154525,,,,,,
2495,2015年01月01日至2015年03月31日,,                 52082,                 52082,,,                  9998,                  1518,,,                    520,                -19517,                     84,                              0,                 -3103,                  4349,                 -6151,,,               -187229,                 -2615,                 -3725,                -33472,                -73796,                 33110,               -267727,,                   -116,                -25467,                232427,                  1521,                    -27,                  3095,                211433,                -56294,                -62445,                -10363,                 14890,                   -520,                    -88,                  3919,,             -1207355,              1043579,                 -1000,                 14229,                 -6642,,                              0,,                    467,                              0,                              0,               -156722,,,,                 63750,                 -1260,                -90313,                835484,                745171,                745171,                 63750,,,,,,
2495,2014年度,,                226279,                226279,,,                 42413,                  7072,,,,                -54946,                  3214,                     35,                 -1414,                 -4490,,,,               -136577,                  5804,                -27730,                  6349,                -24855,                 -3096,               -180105,,               -240981,                -45552,                 -8070,                 -4216,,                  9773,               -289057,               -469162,               -477278,               -250999,                 43673,,                -18834,               -226160,,             -2359308,              1984054,               -104476,                140617,                -24349,                              0,                 -2440,                              0,                  1849,                   -381,                              0,               -364434,,                -42374,                              0,                -42374,                  1715,               -631253,              1466737,                835484,                835484,,,                 -8116,                              0,                              0,                    -19,                      8
2495,2014年01月01日至2014年09月30日,,                 85690,                 85690,,,                 30951,                  5492,                              0,                 -9116,                              0,                -38831,                  2100,                     20,                 -4752,                  3307,                -10829,,,                -53190,                  5758,                 24915,               -126551,                -59094,                 -3369,               -211531,,               -244910,                -29802,                102326,                 30484,                    -19,                  7023,               -134898,               -346429,               -357258,               -271568,                 36285,                              0,                -15826,               -251109,,             -1841047,              1581765,                -99476,                140617,                -20571,                              0,                 -2538,                              0,                  2471,                   -311,                              0,               -239090,,                -42374,                              0,                -42374,                    785,               -531788,              1466737,                934949,                934949,,,,,,,
2495,2014年01月01日至2014年06月30日,,                 12263,                 12263,,,                 20462,                  3688,                              0,,                              0,                -21473,                    969,                     20,                 -3917,                 13075,                 12824,,,               -230346,                  4416,                 14837,                -60978,                -41361,                  2256,               -311176,,                167505,                -56581,                105421,                 18770,                    -19,                  5517,                240613,                -70563,                -57739,                -45476,                 26948,                              0,                 -4768,                -23296,,             -1340940,              1027660,                -98476,                 99728,                -15102,,                 -2440,                              0,                  2149,                   -346,,               -327767,,,                              0,                              0,                    260,               -350803,              1466737,              1115934,              1115934,                              0,,,,,,
2495,2014年01月01日至2014年03月31日,,                 23248,                 23248,,,                 10011,                  1807,,,                              0,                -11137,                              0,                     20,                 -3511,                  2473,                   -337,,,               -231969,                  4100,                 49388,                -14597,                -63859,                 -5068,               -262005,,                185625,                -30671,                 -2799,                  2372,                    -19,                  4518,                159026,               -102979,               -103316,                -80068,                 11635,                              0,                   -126,                -68559,,               -912372,                636941,                -86476,                 72758,                 -5317,,                 -2440,,                  1936,                   -351,                              0,               -295321,,,,                              0,                  1046,               -362834,              1466737,              1103903,              1103903,                              0,,,,,,
2495,2013年度,,                123938,                123938,,,                 42139,                  7107,,,,                -38346,                              0,                    893,                 -3188,                 -8582,,,,                -90805,                 -5804,                  6517,                 17376,                 96587,                -15867,                  7254,,                241097,                 21479,                 30830,                  6519,,                 15221,                314302,                321556,                321579,                445517,                 27073,,                -18162,                454428,,             -2477550,              2271114,               -251952,                 24185,                -45745,                    127,                              0,                              0,                  1946,                 -1352,                              0,               -479227,,                -98874,                -18595,               -117469,                   -590,               -142858,              1609595,              1466737,              1466737,,,                     23,                   -750,                   -830,                     -2,                    -12
2495,2013年01月01日至2013年12月31日,,                123938,                123938,,,                 42139,                  7107,,,,                -38346,,                    893,                 -3188,                 -8582,,,,                -90805,                 -5804,                  6517,                 17376,                 96587,                -15867,                  7254,,                241097,                 21479,                 30830,                  6519,,                 15221,                314302,                321556,                321579,                445517,                 27073,,                -18162,                454428,,             -2477550,              2271114,               -251952,                 24185,                -45745,                    127,                              0,                              0,                  1946,                 -1352,                              0,               -479227,,                -98874,                -18595,               -117469,                   -590,               -142858,              1609595,              1466737,              1466737,,,                     23,                   -750,                   -830,                     -2,                    -12
2495,2013年01月01日至2013年09月30日,,                 40871,                 40871,,,                 32169,                  5323,,                              0,,                -25340,                              0,                     11,                 -1552,                 -6267,,,,                227442,                              0,                 28513,                -35249,                143353,                -16456,                347603,,                              0,                -12245,                 37339,                  4065,,                  7046,                 35342,                382945,                387289,                428160,                 17730,,                 -8193,                437697,,             -2918405,              2600560,               -109340,                              0,                -39816,                    120,                              0,                 -1927,                              0,                 -1267,                              0,               -470075,,                -98874,                -18595,               -117469,                    -50,               -149897,              1609595,              1459698,              1459698,,,                  4344,,                   -830,                     -3,                    -30
