證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　 員工執行認股權,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得待出售非流動資產,　　 償還公司債,　　 取得採用權益法之投資,　　 處分子公司,　　 停業單位稅前淨利（淨損）
3579,2015年01月01日至2015年09月30日,,             -1639963,             -1639963,,,              1265005,                  3187,                214351,                 -7938,                 13563,                     48,                              0,                              0,                 29319,                 -1445,              1516090,,,               -136431,                981044,                290115,                315445,                 81962,                  1133,                194898,              1728166,,                  3396,                194153,                466091,                  4445,                -40109,                    213,                  8899,                637088,              2365254,              3881344,              2241381,                  8811,                -13691,              2236501,,                              0,                              0,               -457029,                352941,                              0,                              0,               -189321,                    802,                 -1190,               -293797,,             11521559,            -11993249,                              0,                              0,                 66750,             -1993694,                200000,                 40610,               -214533,                  1664,             -2370893,                -35584,               -463773,                953867,                490094,                490094,,,,,,,,,,,,,,,,,
3579,2015年01月01日至2015年06月30日,,             -1041795,             -1041795,,,                846866,                  2096,                145177,                 -7035,                  2130,                     48,                              0,                              0,                 29319,                 -1445,              1017156,,,                -71293,              1441705,                283521,                301124,                159637,                  1238,                136299,              2252231,,                -19184,                 46563,                279552,                    874,                -51071,                    111,                 11056,                267901,              2520132,              3537288,              2495493,                  7923,                -13691,              2489725,,                              0,                              0,               -268579,                203676,                              0,                              0,                -76596,                    802,                 -1123,               -141820,,              7816173,             -9009633,                              0,                              0,                 66750,             -1305610,                200000,                              0,               -145620,                  1664,             -2376276,                -17626,                -45997,                953867,                907870,                907870,                              0,,,,,,,,,,,,,,,,
3579,2015年01月01日至2015年03月31日,,               -429555,               -429555,,,                427416,                  1017,                 78938,                 -5702,                  4448,                     85,                              0,                              0,,                 -1445,                504757,,,                 -7371,                857724,                 -7161,                150460,                216081,                  1376,                -13452,              1197657,,                 -7944,                 99481,                258882,                  5509,                 -1263,                     87,                  6229,                360981,              1558638,              2063395,              1633840,                  5786,                    603,              1640229,,                              0,                              0,               -218156,                122388,,                              0,                -14074,                    750,                   -796,               -109888,,              4092663,             -4800957,,                              0,                  1750,               -461450,,                              0,                -76785,                  1664,             -1243115,                -96081,                191145,                953867,              1145012,              1145012,,                              0,                              0,                              0,,,,,,,,,,,,,
3579,2014年度,,             -2156087,             -2156087,,,              1712084,                  3839,                288061,                -15960,                  5833,                  3640,                -10602,                 -8012,                374898,                   -989,,,,                 15563,               -744173,               -398951,               -675978,               -451442,                 -3346,                410047,             -1848280,,                 23527,                 54077,                 -1509,                  4640,               -164372,,                -13567,                -95860,             -1944140,                408652,             -1747435,                 15068,                -27798,             -1760165,,,                 17353,,,                -35392,                121730,               -136104,                  7003,                 -4922,                165898,,             17572832,            -16798699,              1197043,             -1745485,              1851100,             -1630065,                138457,                468708,               -261500,                 23025,                815416,                 27726,               -751125,              1704992,                953867,                953867,,,,                              0,,                              0,                              0,                              0,              2352792,                  1344,               -212180,                408410,                              0,                              0,,,
3579,2014年01月01日至2014年09月30日,,             -1009502,             -1009502,,,              1289711,                  2771,                194257,                -11059,                  4866,                  3639,                -10602,                 -8012,                              0,                   -989,              1464582,,,                 14954,               -539417,               -539199,             -1007923,               -256723,                -50722,                149964,             -2229066,,                 22102,                -39080,                 26570,                  3561,               -130238,                    137,                -29526,               -146474,             -2375540,               -910958,             -1920460,                 10208,                -53254,             -1963506,,                   -392,                 17353,               -146613,                364740,                -35000,                121730,               -114432,                  7002,                 -2627,                211761,,             13576904,            -12810864,                              0,               -548442,              1531743,             -1131758,                138457,                468708,               -189170,                 23681,              1059259,                 -9699,               -702185,              1704992,              1002807,              1002807,,,,,,,,,,,,,,,,,
3579,2014年01月01日至2014年06月30日,,               -349429,               -349429,,,                856638,                  1757,                117183,                 -5902,                   -287,                  3622,                -10602,                 -8012,                              0,                   -159,                954238,,,                 -4636,               -130771,               -426423,               -887206,               -264344,                -21785,                179227,             -1555938,,                  2495,               -210093,               -155948,                  2129,                -98783,                     11,                -49430,               -509619,             -2065557,             -1111319,             -1460748,                  5201,                -62088,             -1517635,,                   -392,                 17353,                -58494,                339491,                -35000,                121730,                -86204,                  7000,                   -992,                304492,,              9541263,             -9465409,              1204515,             -1752957,              1478367,               -861815,                138457,                468708,               -115309,                  7437,                643257,                  5767,               -564119,              1704992,              1140873,              1140873,                              0,,,,,,,,,,,,,,,,
3579,2014年01月01日至2014年03月31日,,               -111902,               -111902,,,                427110,                    886,                 57028,                   -397,                   -273,                              0,                -10602,                 -8012,,                              0,                465740,,,                -15037,                249246,                 -3397,                -38176,               -200198,                   -549,                182676,                174565,,                  3742,               -490107,               -306911,                    954,                -60642,                    -15,                -25734,               -878713,               -704148,               -238408,               -350310,                    388,                -30616,               -380538,,                   -392,                 17353,                -20675,                285426,,                121730,                -67617,                              0,                    -49,                300776,,              4291771,             -4428145,,               -448663,                751374,               -286122,,                468708,                -57286,                  8730,                300367,                  9726,                230331,              1704992,              1935323,              1935323,,                              0,                -35000,                              0,,,,,,,,,,,,,
3579,2013年度,,             -2408784,             -2408784,,,              2332628,                  3350,                282091,                 -5239,                 29985,                    403,                              0,               -164830,                278461,               -127431,,,,                 61036,               -734925,                345369,                272857,               -453523,                 -3764,                747660,                234710,,                -57965,              2014925,                565977,                  2755,               -315674,,                -67762,              2142426,              2377136,              4992112,              2583328,                  5388,                  8079,              2596795,,,                462368,,,                 -3409,                              0,               -110608,                              0,                 -1411,                -79059,,             22765797,            -23475047,                548442,                              0,                378591,             -3514419,                              0,                690200,               -287188,                289837,             -2603259,                 -3535,                -89058,              1794050,              1704992,              1704992,,,,                    528,,                              0,                -14442,                              0,              2614976,                    170,               -390435,                 74220,               -109784,                              0,,,
3579,2013年01月01日至2013年12月31日,,             -2408784,             -2408784,,,              2332628,                  3350,                282091,                 -5239,                 29985,                    403,,               -164830,                278461,               -127431,,,,                 61036,               -734925,                345369,                272857,               -453523,                 -3764,                747660,                234710,,                -57965,              2014925,                565977,                  2755,               -315674,,                -67762,              2142426,              2377136,              4992112,              2583328,                  5388,                  8079,              2596795,,,                397369,,,                 -3409,,               -110608,                              0,                 -1411,                -79059,,             22765797,            -23475047,                548442,                              0,                378591,             -3514419,,,               -287188,                980037,             -2603259,                 -3535,                -89058,              1794050,              1704992,              1704992,,                 64999,                              0,                    528,,                              0,                -14442,                              0,              2614976,                    170,               -390435,                 74220,               -109784,                              0,                              0,,
3579,2013年01月01日至2013年09月30日,,             -1738409,             -1738409,,,              1748298,                  2534,                213072,                 -3712,                 21895,                    174,                              0,               -124827,,               -136385,,,,                 72566,               -525544,                261591,                 42117,               -390122,                   -805,                587448,                 47251,,                -56718,              1732362,                861140,                  2042,               -223424,,                -47963,              2267637,              2314888,              4030566,              2292157,                  3636,                  6202,              2301995,,                              0,                360357,,,                 -3409,                              0,                -77350,                              0,                   -371,                -83736,,             16034651,            -16623826,                598696,                              0,                144370,             -2393146,                              0,                              0,               -212046,                526478,             -1924295,                -28137,                265827,              1794050,              2059877,              2059877,,                 19616,,                    528,,,                 -5371,,              1715678,                    198,               -491825,                218969,,,               -109723,,
3579,2013年01月01日至2013年06月30日,,             -1308213,             -1308213,,,              1163560,                  1726,                139400,                 -2665,                 23956,                    134,                              0,               -115400,,               -129014,,,,                 89046,               -964217,                294628,                -89551,               -145204,                -13992,                266785,               -562505,,                -55470,              1321021,                643433,                  1356,               -178616,,                  8510,              1740424,              1177919,              2257640,                949427,                  2676,                 23213,                975316,,                              0,                360357,,,                              0,                              0,                -52259,                              0,                   -370,                397611,,             11352682,            -11190998,                399187,                              0,                156503,             -1513204,                              0,                              0,               -139233,                312866,               -621669,                 10079,                761337,              1794050,              2555387,              2555387,                              0,                  3589,,                    528,,,                 -1976,,              1079721,                    190,               -126066,                212360,,,,,
