證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 舉借長期借款,　　 取得子公司股權
3057,2015年01月01日至2015年09月30日,,                113882,                113882,,,                 72008,                 31406,                 -5455,                  2293,                 -5494,                 19350,                    599,                    467,                              0,                 -1226,                 27265,                141213,,,                 79552,                -83237,                -22303,                210178,                184190,,                -90730,                -36427,                -74704,                   -380,               -202241,                -18051,                123162,                237044,                -42317,                194727,,               -518293,                429338,                -63481,                              0,                -26452,                -15169,                 11891,                  5507,               -176659,,                730108,               -700492,                              0,                -52850,               -319978,                 25753,                     20,                 -2219,               -319658,                 10272,               -291318,              1082773,                791455,                791455,,,,,,,
3057,2015年01月01日至2015年06月30日,,                 93226,                 93226,,,                 46781,                 21027,                              0,                  1818,                 -4426,                 13752,                    690,,                              0,                    -41,                -29272,                 50329,,,                 82845,                -50947,                -17520,                170733,                185111,,                -42117,                -48104,                -84842,                   -262,               -175325,                  9786,                 60115,                153341,                -24215,                129126,,               -238063,                 50070,                -24671,                              0,,                 -5297,                              0,                  4182,               -242784,,                563255,               -507545,                              0,                -26425,,                 24738,                     20,                 -1750,                 52293,                -10420,                -71785,              1082773,              1010988,              1010988,                -29005,,,,,,
3057,2015年01月01日至2015年03月31日,,                 76288,                 76288,,,                 22201,                 10609,                              0,                    823,                 -2216,                  7390,                     59,,,                    -19,                -31905,                  6942,,,                 25286,                -28215,                -15143,                 81808,                 63736,,                 21504,                -43212,                -96207,                   -134,               -118049,                -54313,                -47371,                 28917,                -17938,                 10979,,                -25175,                 10070,                -20983,,                 -1101,                 -1023,                              0,                  1965,                -36247,,                323386,               -221775,                              0,                -13213,,                  9158,                     20,                   -783,                 96793,                 -1773,                 69752,              1082773,              1152525,              1152525,,,,,,,
3057,2014年度,,                499477,                499477,,,                 81182,                 42929,                 -2808,                  3648,                 -6550,                 30202,                    303,                    374,,                   -287,                 11385,,,,                 41993,                 29944,                 -2421,                -73229,                 -3713,,                 22269,                 10041,                 35973,,                 68411,                 64698,                225159,                724636,               -127559,                597077,,               -358495,                388259,                -78048,                    313,                   -640,                 -3810,                 95693,                  6924,                 50196,,                480913,               -409861,                 -1400,               -123697,               -254895,                 21727,                -35770,                 -3634,               -326617,                 21126,                341782,                740991,              1082773,              1082773,,,                     83,                160461,                    128,                              0,                              0
3057,2014年01月01日至2014年09月30日,,                342934,                342934,,,                 55919,                 32435,                 -2808,                  2915,                 -4826,                 21566,                    189,                              0,                     83,                   -181,                 -1090,                104202,,,                112812,                    -22,                -20147,                 42122,                134765,,                 18793,                   -887,                  3093,                    228,                 21227,                155992,                260194,                603128,                -90181,                512947,,               -358493,                248204,                -63377,                    595,                   -589,                 -3694,                 69704,                  5099,               -102551,,                312107,               -230593,                 -1400,               -110485,               -254895,                  7164,                              0,                 -2914,               -281016,                  2603,                131983,                740991,                872974,                872974,,,,,,,
3057,2014年01月01日至2014年06月30日,,                221089,                221089,,,                 35003,                 21763,                 -2724,                  2232,                 -3514,                 12567,                    162,,                     83,                    -56,                 -3773,                 61743,,,                 55166,                -22463,                   -679,                113470,                145494,,                 33542,                -13491,                -32464,                    253,                -12160,                133334,                195077,                416166,                -61929,                354237,,               -119493,                 70079,                -46376,                    576,,                 -2536,                 69704,                  3603,                -24658,,                141534,               -172265,                 -1400,                -97272,,                  3765,                              0,                 -2240,               -127878,                 -2504,                199197,                740991,                940188,                940188,                   -215,,,,,,
3057,2014年01月01日至2014年03月31日,,                 93429,                 93429,,,                 15938,                 10834,                 -1497,                  1480,                 -1386,                  4209,                     34,,,                    -56,                  5500,                 35056,,,                 92913,                -38359,                -11423,                 92280,                135411,,                 52269,                 -7077,                -66632,                    128,                -21312,                114099,                149155,                242584,                -20100,                222484,,                -30494,                 70079,                -25289,,                 -1976,                   -313,                 69704,                  1583,                 83294,,                126534,               -157265,                 -1400,                -84060,,                  3399,                              0,                 -1476,               -114268,                  3275,                194785,                740991,                935776,                935776,,,,,,,
3057,2013年度,,                378034,                378034,,,                 63319,                 44541,                  9222,                 10259,                 -5822,                  8075,                  1131,                  1344,,                    -24,                 27899,,,,               -125605,                 74730,                -11331,                -84060,               -146266,,                 86998,                 34837,                 94362,,                216500,                 70234,                230178,                608212,                -53596,                554616,,                -80000,                 40001,                -49326,                    143,                   -900,                 -7208,                112637,                  5484,                 20831,,                568267,               -611076,               -304368,                 -2390,                -57371,                 20456,                              0,                 -6885,               -298951,                 -4934,                271562,                469429,                740991,                740991,,,                              0,                159944,                    303,                105700,                -11284
3057,2013年01月01日至2013年12月31日,,                378034,                378034,,,                 63319,                 44541,                  9222,                 10259,                 -5822,                  8075,                  1131,                  1344,,                    -24,                 27899,,,,               -125605,                 74730,                -11331,                -84060,               -146266,,                 86998,                 34837,                 94362,,                216500,                 70234,                230178,                608212,                -53596,                554616,,                -80000,                 40001,                -49326,                    143,                   -900,                 -7208,                112637,                  5484,                 20831,,                568267,               -611076,               -304368,                 -2390,                -57371,                 20456,,                 -6885,               -298951,                 -4934,                271562,                469429,                740991,                740991,                              0,,,                159944,                    303,                105700,                -11284
3057,2013年01月01日至2013年09月30日,,                266113,                266113,,,                 45710,                 33718,                  8441,                  7514,                 -3995,                  3758,                    915,                  1346,                              0,                              0,                 17546,,,,                -48459,                 13412,                -10070,                -30393,                -75510,,                115028,                 20402,                 57488,,                193208,                117698,                232651,                498764,                -30397,                468367,,                              0,                              0,                -32185,                    143,                   -125,                 -3443,                 96416,                  3712,                 64518,,                506739,               -495999,               -304368,                 -1788,                -57371,                    640,,                 -4817,               -262548,                 -7021,                263316,                469429,                732745,                732745,,,,                114953,                    290,                105700,                -11284
