證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他應收款減少,　　 存入保證金增加,　　　　 未實現外幣兌換損失（利益）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 償還長期借款,　　 存入保證金減少,　　 短期借款增加
2482,2015年01月01日至2015年09月30日,,                 45978,                 45978,,,                 16043,                  3509,                  1098,                    716,                   -486,                   -124,                 20756,,,                    278,                  4392,                    529,                 43235,                   -299,                 48135,,                 -3488,                -12046,                 20067,                -13102,                    -27,                 -8596,                 39539,                 60295,                106273,                    526,                   -702,                    990,                107087,,                    928,               -105730,                    541,                    934,                 -5328,                 -1392,               -110047,,                 58100,                              0,                 58100,                  5160,                 60300,                233274,                293574,                293574,,,,,,,,,,,,,,,,
2482,2015年01月01日至2015年06月30日,,                 17568,                 17568,,,                 10295,                  2332,                    517,                    428,                   -337,                   -181,                 13054,,,                    366,                  4006,                   -236,                  6585,                  4744,                 15465,,                 -1372,                  4816,                 -9858,                   -595,                    -27,                 -7036,                  8429,                 21483,                 39051,                    409,                   -426,                  1048,                 40082,,                    928,                -15359,                    462,                    422,                 -4657,                              0,                -16427,,,                              0,                              0,                 -3489,                 20166,                233274,                253440,                253440,                              0,                  1777,,,,,,,,,,,,,,
2482,2015年01月01日至2015年03月31日,,                  6377,                  6377,,,                  4896,                  1128,                   -511,                    213,                   -176,                   -181,                  5369,,,                    363,                -13981,                 -1805,                  3820,                  5248,                 -6355,,                 -6042,                 -3773,                -13466,                   -601,                    -26,                -23908,                -30263,                -24894,                -18517,                    235,                   -209,                              0,                -18491,,                              0,                 -8322,                    462,                    546,                 -2438,                              0,                 -8638,,,,,                 -1857,                -28986,                233274,                204288,                204288,                              0,                  1114,,,,,,,,,,,,,,
2482,2014年度,,                -14005,                -14005,,,                 15860,                  4371,                 -1896,                    730,                   -711,                    -25,,,,                    783,                -32516,                  1061,                    509,                 -2317,                -32480,,                  9093,                 20063,                -19618,                    737,,                 10171,                -22309,                 -3980,                -17985,                    626,                   -726,                   -774,                -18859,,                  1045,                -22642,                    381,,                 -3448,                -27835,                -52693,,,                     -5,                     -5,                  6160,                -65397,                298671,                233274,                233274,                   -194,,,                 18329,                   -104,                              0,                              0,                              0,,,,,,,,
2482,2014年01月01日至2014年09月30日,,                -23886,                -23886,,,                 11474,                  3296,                 -1539,                    653,                   -520,                    -25,                 13339,,,                    690,                  5835,                  1142,                  5460,                 -6545,                  6582,,                 18655,                 29221,                -25618,                  1063,                    263,                 23584,                 30166,                 43505,                 19619,                    484,                   -641,                   -825,                 18637,,                  1045,                -18482,                    381,                    329,                 -2799,                -26480,                -46006,,                              0,                     -5,                     -5,                  1830,                -25544,                298671,                273127,                273127,,,,,,,,,,,,,,,,
2482,2014年01月01日至2014年06月30日,,                -29418,                -29418,,,                  7412,                  2267,                 -1938,                    421,                   -323,                    -25,                  7814,,,                    460,                  2169,                  1024,                 10595,                  5116,                 19364,,                    789,                 13662,                -11828,                   -130,                    263,                  2756,                 22120,                 29934,                    516,                    291,                   -415,                   -774,                   -382,,                  1045,                -12171,                    381,                              0,                 -2639,                -25068,                -38510,,,                     -5,                     -5,                    213,                -38684,                298671,                259987,                259987,                    -58,                              0,,,,,,,,,,,,,,
2482,2014年01月01日至2014年03月31日,,                 -3742,                 -3742,,,                  3405,                  1232,                 -1224,                    216,                   -135,                              0,                  3494,,,                    230,                 15503,                  1058,                -29166,                  2080,                -10295,,                  5331,                 18720,                -17502,                   -457,                    263,                  6355,                 -3940,                   -446,                 -4188,                    135,                   -216,                   -774,                 -5043,,                  1045,                 -3485,                              0,                              0,                              0,                -10744,                -13199,,,,,                  2757,                -15485,                298671,                283186,                283186,                    -15,                              0,,,,,,,,,,,,,,
2482,2013年度,,                 -7936,                 -7936,,,                 18714,                  5842,                    306,                    727,                   -595,                     47,,,,                 -1115,                 21220,                 -1686,                  4451,                -10059,                 12811,,                    573,                -13822,                 -3156,                 -2116,,                -34070,                -21259,                  3782,                 -4154,                    595,                   -727,                 -4643,                 -8929,,                  8600,                 -2533,                  2049,,                 -1286,                 -6112,                  1794,,,                              0,                     27,                  3081,                 -4027,                302698,                298671,                298671,                    -24,,,                 25041,                -15549,                 -8600,                  9700,                     27,,,,,,,,
2482,2013年01月01日至2013年12月31日,,                 -7936,                 -7936,,,                 18714,                  5842,                    306,                    727,                   -595,                     47,,,,,                 20105,                 -1686,                  4451,                -10059,                 12811,,,                -13249,                 -3156,                 -2116,,                -34070,                -21259,                  3782,                 -4154,                    595,                   -727,                 -4643,                 -8929,,,                 -2533,                  2049,,                 -1286,                 -6112,                  1794,,,,                     27,                  3081,                 -4027,                302698,                298671,                298671,                    -24,                              0,,                 25041,                -15549,,                  9700,                     27,,                 -8600,                  8600,                              0,                              0,                              0,                              0,
2482,2013年01月01日至2013年09月30日,,                  2111,                  2111,,,                 14644,                  4623,                    993,                    641,                   -435,                     47,,,,                 -1543,                 24246,                    -76,                -30169,                 -8022,                -15564,,                  7426,                 11332,                -20221,                   -696,,                -10552,                -26116,                 -4829,                 -2718,                    435,                   -641,                 -3429,                 -6353,,,                 -2359,                  2048,,                   -851,                 -5876,                  2647,,,                              0,                    142,                  2068,                 -1496,                302698,                301202,                301202,                    -15,,,                 21287,                 -8393,,                  9700,                    142,                    774,                 -8600,                  8600,,,,,
