證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付款項（增加）減少,　　 其他投資活動,　　　　　 遞延貸項增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 現金增資,　　 取得子公司股權,　　　　 處分無形資產損失（利益）,　　 處分無形資產,　　 取得按攤銷後成本衡量之金融資產,　　 取得採用權益法之投資,　　　　 金融資產重分類淨損失（利益）,　　 舉借長期借款,　　　　 應付公司債匯率影響數
3698,2015年01月01日至2015年09月30日,,                263235,                263235,,,              1576275,                 58117,                 57777,                 67603,                -25547,                 48760,                 -3171,               -170051,                -14681,              1595082,,,                174074,               -346735,                111800,               -135332,                 44674,               -151519,,                284289,               -248583,                 16551,                 52257,                -99262,              1495820,              1759055,                 25517,                -36882,               -132479,              1615211,,                              0,                -35978,               -492888,                449403,                 -1322,                              0,                -44334,                              0,               -125119,,               -924629,                              0,                              0,                              0,                   -772,               -660316,                  6381,               -276656,                              0,                              0,             -1855992,                 19265,               -346635,              5397182,              5050547,              5050547,,,,,,,,,,,,,,,,,,
3698,2015年01月01日至2015年06月30日,,                225123,                225123,,,              1054806,                 38260,                -52397,                 47908,                -19446,                 43039,                 -1362,                -17986,                -14681,              1078141,,,                439236,               -313602,,                -42610,                              0,                235575,,               -182466,                -74336,                  3731,               -253071,                -17496,              1060645,              1285768,                 19709,                -27282,                -80597,              1197598,,                              0,                -35978,               -368851,                 87968,,,                -33911,                              0,               -351599,,               -474987,                              0,                              0,                  2133,,,                  6371,,,,               -466483,                 -1343,                378173,              5397182,              5775355,              5775355,                152551,                   -827,,,,,,,,,,,,,,,,
3698,2015年01月01日至2015年03月31日,,                180851,                180851,,,                527111,                 19300,                -89846,                 24560,                 -7669,                 22154,                  2583,,                -17584,                480609,,,                336246,               -331379,,                  6896,,                122882,,                -36597,               -136451,                              0,               -167231,                -44349,                436260,                617111,                  7037,                -13770,                 -5347,                605031,,,,               -186854,                  4335,,                    584,                -20334,,               -202269,,                  1692,                              0,                              0,                              0,,,                  6247,,,,                  7939,                 -5525,                405176,              5397182,              5802358,              5802358,                111119,                              0,                  5817,,,,,,,,,,,,,,,
3698,2014年度,,                739407,                739407,,,              2046212,                 52497,                 41736,                132388,                -40610,                102592,                 12694,,                  3351,,,,               -452850,               -747581,,                  3384,,             -1019317,,                198543,               -126233,                -25168,                 47142,               -972175,              1378685,              2118092,                 43560,                -92596,               -150156,              1918900,,                  1050,,             -2112821,                 32600,,                    703,,                141492,             -2096235,,               -142895,              1995000,             -3143693,,                   -291,               -669201,                 33649,,,,                587569,                 33337,                443571,              4953611,              5397182,              5397182,                177730,,,,              2350860,                -74022,                              0,                              0,                -85237,              2490000,                 25000,,,,,,,
3698,2014年01月01日至2014年09月30日,,                573584,                573584,,,              1533300,                 35200,                 21667,                100642,                -34370,                 88705,                  9291,                    619,                 -4879,              1750175,,,               -674771,               -521501,                109671,                 29544,                   -821,             -1057878,,                558673,               -188417,                 -7977,                362279,               -695599,              1054576,              1628160,                 35808,                -71625,               -150697,              1441646,,                  1050,                              0,               -997673,                 15470,                              0,                  1172,                -61980,                141492,               -900469,,               -236610,              1995000,             -3035002,                  1594,                              0,               -669201,                 32929,                              0,                 25000,                              0,             -1886290,                 24990,             -1320123,              4953611,              3633488,              3633488,,,,,,,,,,,,,,,,,,
3698,2014年01月01日至2014年06月30日,,                210131,                210131,,,              1021677,                 20618,                -41583,                 73603,                -25814,                 56968,                  7796,                 -1098,                  1207,              1113374,,,               -282207,               -473230,,                 19830,                   -546,               -597690,,                277327,                -18149,                -13534,                245644,               -352046,                761328,                971459,                 24988,                -54481,               -148537,                793429,,                  1050,                              0,               -515703,                  8243,,,                -31245,                141492,               -395637,,               -238233,              1995000,             -2303769,                    641,,,                 28090,,,,               -518271,                 10256,               -110223,              4953611,              4843388,              4843388,                138463,                    526,,,,,,,,,,,,,,,,
3698,2014年01月01日至2014年03月31日,,                 23393,                 23393,,,                510334,                  9569,                 -8960,                 42705,                -11877,                 19917,                  9928,,                 11594,                583210,,,                218029,               -311889,,                -21650,,                -86061,,                 37886,                -79447,                              0,                -59659,               -145720,                437490,                460883,                 10469,                -44313,                              0,                427039,,,,               -276769,                  8234,,                    128,                -17763,,               -144678,,               -199431,              1995000,             -2324536,                    730,,,                 26544,,,,               -501693,                  4739,               -214593,              4953611,              4739018,              4739018,                 29449,                141492,                -18098,,,,,,,,,,,,,,,
3698,2013年度,,              1084896,              1084896,,,              1970885,                 40900,                 16394,                165807,                -30233,                 88581,                 13997,,               -595773,,,,                476181,               -126079,,                 61481,,                310528,,               -725666,               -153535,                 22623,               -856578,               -546050,              1124508,              2209404,                 26535,               -159430,                -17631,              2058878,,                              0,,               -669412,                 53635,,                  1043,,                              0,              1234461,,                750516,                              0,             -1867121,,                  1223,               -225524,                  4114,,,,             -1299292,                -32969,              1961078,              2992533,              4953611,              4953611,               -101055,,,,              1670558,                              0,                 -9875,              1872412,                -13342,                              0,                 37500,,,,,,,
3698,2013年01月01日至2013年12月31日,,              1084896,              1084896,,,              1970885,                 40900,                 16394,                165807,                -30233,                 88581,                 13997,,               -595773,,,,                476181,               -126079,,                 61481,,                310528,,               -725666,               -153535,                 22623,               -856578,               -546050,              1124508,              2209404,                 26535,               -159430,                -17631,              2058878,,,,               -669412,                 53635,,                  1043,,,              1234461,,                750516,                              0,             -1867121,,                  1223,               -225524,                  4114,,,,             -1299292,                -32969,              1961078,              2992533,              4953611,              4953611,               -101055,,,,              1670558,,                 -9875,              1872412,                -13342,,                 37500,,,,                              0,,,
3698,2013年01月01日至2013年09月30日,,              1039782,              1039782,,,              1472235,                 31995,                -24456,                126910,                -20181,                 47315,                  6905,,               -536074,,,,               -202570,               -213582,,                 52110,                              0,               -459360,,               -500304,               -190527,                 36417,               -654414,             -1113774,                 -9125,              1030657,                 17546,               -126867,                -17631,                903705,,                              0,,               -489827,                 40716,,,,                              0,              1398331,,                304155,                              0,             -1349231,                    715,,               -225524,                  3831,,,,             -1228554,                -21463,              1052019,              2992533,              4044552,              4044552,                -95318,                    229,,,              1104649,,                 -9875,              1872412,                -15324,,                 37500,                              0,,,,,,
3698,2013年01月01日至2013年06月30日,,                841730,                841730,,,                976859,                 22456,                 -2315,                 89086,                -14783,                 17088,                  7123,,               -546091,,,,                407539,               -288909,,                 39315,                              0,                123240,,               -440363,                -26263,                 37743,               -428883,               -305643,                243780,              1085510,                 11435,                -88415,                -17631,                990899,,                              0,,               -350688,                 30830,,,,                              0,              1534441,,                 11805,                              0,               -785478,                    726,,,                  3629,,,,               -769318,                -41761,              1714261,              2992533,              4706794,              4706794,                -34705,                 -1611,,,                549423,,                 -9875,              1872412,                 -6627,,,                              0,                              0,,,,,
3698,2013年01月01日至2013年03月31日,,                492148,                492148,,,                484058,                 13591,                 20452,                 49708,                 -7444,                  8549,                  1646,,               -546956,,,,              1010700,               -243592,,                 32260,,                796015,,               -763194,               -334642,                101435,               -947527,               -151512,               -127908,                364240,                  5954,                -48371,,                321823,,,,               -225064,                              0,                   -219,,                   -700,,              1636554,,                 10688,                              0,               -499670,                    718,,,                  2673,,,,               -485591,                -22211,              1450575,              2992533,              4443108,              4443108,                 -3353,                              0,                 48874,,                 23604,,,              1872412,,,,,,                 -9875,,,,
3698,2012年01月01日至2012年12月31日,,                317105,                317105,,,              1778728,                 66850,                  3279,                118449,                -22703,                 31633,                  3151,,                  4733,,,,                241765,                282684,,                -74556,,                455203,,               -221193,                -67204,                -19888,               -308285,                146918,              2131038,              2448143,                 23148,               -119397,                -40147,              2311747,,,,             -1135429,                 12683,,                  9356,,,             -1367254,,               -190364,                997500,               -909538,,                   -519,                              0,                  6973,,,,                -95948,                 17739,                866284,              2126249,              2992533,              2992533,                  5310,,,,              1984120,,                              0,                              0,                 -9923,,                              0,,,,               -243941,,,
3698,2012年01月01日至2012年09月30日,,                250684,                250684,,,              1339983,                 44954,,                 91161,                -18480,                 23212,                 -5283,,                 10293,,,,               -533681,                 73172,,                -64107,,               -537883,,                173648,                 23787,                   -322,                177641,               -360242,              1100773,              1351457,                 12151,                -91414,                -40147,              1232047,,,,               -957378,                 12675,,                  9332,                 -5101,,             -1184413,,               -213718,                997500,,,                   -519,                              0,                  6478,,                              0,,                866769,                 -2951,                911452,              2126249,              3037701,              3037701,                -13267,,                -19472,,              1461015,,                              0,                              0,,,,                              0,,,               -243941,                -24825,                 77028,
3698,2012年01月01日至2012年06月30日,,                133494,                133494,,,                904132,                 37731,,                 59653,                -11353,,                 -3010,,                 -1054,,,,               -305138,               -147646,,                 16219,,               -430066,,                142068,                  1889,                    -29,                135636,               -294430,                721399,                854893,                  9489,                -59823,               -193617,                610942,,,,               -756110,                 12189,,                  9373,                 -3035,,               -880170,,               -170799,,                              0,,                   -518,,                  2868,,,,                201538,                 11431,                -56259,              2126249,              2069990,              2069990,                  6499,,                 -8292,,              1015829,,                              0,                              0,,,,,,,               -142587,                 14897,                369987,                 14833
3698,2012年01月01日至2012年03月31日,,                 -2168,                 -2168,,,                452934,                 15210,                 -1883,                 30456,                 -5698,                  3046,                 -1455,,                              0,,,,               -262818,                -94864,,                -26372,,               -492853,,               -224115,                -50521,                  3032,               -282418,               -775271,               -282661,               -284829,                  4999,                -31381,                    -26,               -311237,,,,               -292722,                  1354,                              0,                  9010,,,               -385926,,               -213718,,                              0,                              0,,,                  2577,,,,               -105387,                 13013,               -789537,              2126249,              1336712,              1336712,               -108799,,                -10814,,                492610,,                              0,                              0,                   -786,,,,,,               -102782,,                105754,
