證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 存入保證金減少,　　 員工執行認股權,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他營業負債增加（減少）
3015,2015年01月01日至2015年09月30日,,                148473,                148473,,,                146924,                    106,                  8763,                  4965,                -36400,                -66089,                  4000,                    664,               -107262,                    101,                -44228,,,                -16240,                 13849,               -124929,                 14406,                  8695,                504013,                 22066,                 -5847,                     13,                416026,,                   -841,               -918052,                -26037,                -92678,                -25130,                 -6232,             -1068970,               -652944,               -697172,               -548699,                 37307,                 -4845,                -97164,               -613401,,                 94529,                -32350,                -30858,               -139697,                              0,                   -163,                   -825,                 -1282,                              0,                -21427,               -132073,,                 48229,                -60904,                    887,                -23446,                              0,                -12689,                -47923,                 13301,               -780096,              4256691,              3476595,              3476595,,,,,,,,,,
3015,2015年01月01日至2015年06月30日,,                -19095,                -19095,,,                100295,                     29,                  8013,                  3781,                -26073,,                  2832,                    457,               -107262,                    431,                -17497,,,                -16165,                    654,                266326,                 26997,                 15737,                390636,                 19104,                   -975,                  5861,                708175,,                   -470,             -1140356,                -32425,               -106006,                -35419,                 -4147,             -1318823,               -610648,               -628145,               -647240,                 25955,                 -3688,                -48771,               -673744,,                 94529,,                -30858,                -60906,                              0,                   -461,                   -821,                 -3201,,                -21427,                -23145,,                 -4178,,                  1001,,,                -12689,                -15866,                -55149,               -767904,              4256691,              3488787,              3488787,,,,,,,,,,
3015,2015年01月01日至2015年03月31日,,                 34823,                 34823,,,                 51634,                              0,                    -39,                  1922,                -12832,,                    718,                    318,                -92809,                   -151,                -51239,,,                   -289,                  3388,                304334,                 48056,                 -2741,                220533,                    695,                    292,                 20708,                594976,,                 -2540,               -908430,                -12586,               -168733,                -16151,                 -1941,             -1110381,               -515405,               -566644,               -531821,                 12792,                 -1928,                -40327,               -561284,,                 94529,,,                -22954,,                 -4718,,,,,                 59806,,                  3780,,                    612,,,                 -1727,                  2665,                -15459,               -514272,              4256691,              3742419,              3742419,                 -7051,,,,,,,,,
3015,2014年度,,                545821,                545821,,,                205601,                    402,                  3650,                  4881,                -48481,                -44612,                 -1055,                  1281,                -27628,                     50,,,,                177473,                -41825,               -149294,               -138408,                -16104,               -295547,                -25743,                  5781,                   -340,               -484007,,                   -893,                311194,                 17267,                128607,                 26138,,                474607,                 -9400,                 84689,                630510,                 50638,                 -4940,               -148234,                527974,,                 28821,,,               -156153,                    186,,                              0,,                 44612,,                -91387,,                 81875,,,               -422038,                              0,                 -9321,               -349710,                 55759,                142636,              4114055,              4256691,              4256691,                    -66,,                              0,                 94089,                 -7706,                 -8787,                   -226,                              0,,
3015,2014年01月01日至2014年09月30日,,                422430,                422430,,,                151512,                    402,                  2668,                  3305,                -36079,                -44612,                   -768,                    754,                -27628,                    281,                 49835,,,                181474,                -20893,               -570351,               -376783,                 -8047,               -116800,                -16258,                  1105,                 -4640,               -931193,,                   -860,                522486,                 11318,                 69650,                 18946,                 -5672,                615868,               -315325,               -265490,                156940,                 38185,                 -3352,               -131383,                 60390,,                 28821,                              0,                              0,               -117212,                    185,                              0,                              0,                   -408,                              0,                              0,                -88614,,                 56214,                              0,                    168,               -422038,                              0,                 -2014,               -367670,                   -153,               -396047,              4114055,              3718008,              3718008,,,,,,,,,,
3015,2014年01月01日至2014年06月30日,,                217404,                217404,,,                100192,                    402,                  1450,                  2133,                -23276,,                   -762,                    555,                -27628,                    197,                 53263,,,                -31109,                -29015,                -77534,               -131214,                 -8445,                -26891,                  7772,                  4629,                  7245,               -284562,,                 -1073,               -124144,                 -6813,                 31570,                 18107,                 -3621,                -85974,               -370536,               -317273,                -99869,                 25658,                 -2203,                -52735,               -129149,,                 28821,,                              0,                -84244,                     63,                              0,                              0,                 -6925,,                              0,                -62285,,                 27552,,                    139,,,                 -2014,                 25677,                -29370,               -195127,              4114055,              3918928,              3918928,,,,,,,,,,
3015,2014年01月01日至2014年03月31日,,                130776,                130776,,,                 49775,                    402,                    286,                  1031,                 -9983,,                   -422,                    119,                -27628,                    224,                 13804,,,                -30218,                  5746,                192949,                -94994,                -44334,                112322,                  3757,                 -4056,                 11125,                152297,,                 -2616,               -332116,                  4105,                -63272,                  4138,                 -1880,               -391641,               -239344,               -225540,                -94764,                 13023,                 -1012,                -12418,                -95171,,                 28821,,,                -28271,,                              0,,,,,                 -1864,,                 15424,,                    146,,,                              0,                 15570,                 -4668,                -86133,              4114055,              4027922,              4027922,                 -2414,,,,,,,,,
3015,2013年度,,                652717,                652717,,,                203706,                  2409,                  1564,                  4240,                -34366,                -42061,                   -369,                  1221,                              0,                   -772,,,,                -52852,                -29514,                193906,                -87277,                  4579,               -354393,                 -1056,                -12912,                 22638,               -316881,,                 -1006,                162796,                -12176,                118644,                  5515,,                266055,                -50826,                 84746,                737463,                 31719,                 -4077,               -153627,                611478,,                              0,,,               -173852,                      2,,                 -2895,,                 42061,,               -137338,,                -11371,,,               -459754,                 17169,                -13371,               -377621,                 78510,                175029,              3939026,              4114055,              4114055,                 -2654,,                              0,                135572,                 -7718,                              0,                      3,                 89703,,
3015,2013年01月01日至2013年12月31日,,                652717,                652717,,,                203706,                  2409,                  1564,                  4240,                -34366,                -42061,                   -369,                  1221,,                   -772,,,,                -52852,                -29514,                193906,                -87277,                  4579,               -354393,                 -1056,                -12912,                 22638,               -316881,,                 -1006,                162796,                -12176,                118644,                  5515,,                266055,                -50826,                 84746,                737463,                 31719,                 -4077,               -153627,                611478,,,,,               -173852,                      2,,                 -2895,,                 42061,,               -137338,,                -11371,,,               -459754,                 17169,                -13371,               -377621,                 78510,                175029,              3939026,              4114055,              4114055,                 -2654,,                              0,                135572,                 -7718,,                      3,                 89703,,
3015,2013年01月01日至2013年09月30日,,                542409,                542409,,,                149760,                  1807,                   -782,                  3217,                -23690,                -42061,                    117,                    260,                              0,                              0,,,,                -51881,                -62710,                 80622,               -163112,                  1842,                -70942,                 -9039,                 27301,                 19016,               -228903,,                 -3933,                  8680,                -18833,                 81841,                  8778,,                 70765,               -158138,                -69399,                473010,                 21301,                 -3171,               -127805,                363335,,                              0,,,                -89671,                              0,,                   -740,,                 42061,,                -48350,,                  1628,,,               -459754,                 18442,                -13283,               -415931,                 56926,                -44020,              3939026,              3895006,              3895006,                              0,,                              0,                 88739,                 -5768,,                     -2,                 37038,                    111,
