證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 其他各項負債準備淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 出售及攤銷不良債權之損失,　　　　 處分承受擔保品損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分承受擔保品,　　 已收現之出售不良債權,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 應付商業本票增加,　　 償還金融債券,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 央行及同業融資減少,　　 發行金融債券,　　 發放現金股利,　　 處分以成本衡量之金融資產,　　　　 處分待出售資產損失（利益）,　　　　 金融資產減損損失,　　 處分待出售資產,　　 存入保證金增加,　　　　　 附賣回票券及債券投資（增加）減少
2812,2015年01月01日至2015年09月30日,,              3338744,              3338744,,,                117650,                 31852,                164307,               -230264,              3101255,             -8690341,                -19206,                              0,                  3118,                   -224,                -13131,                -44754,                              0,               -172902,                 -2742,                              0,             -5755382,,,             -1509273,            -22228400,              1458211,                879579,                143353,               -173396,            -21429926,,              1325899,                -73110,                799886,              1996254,             34313667,                  2130,                  4194,                181187,             38550107,             17120181,             11364799,             14703543,              8659137,                 19206,             -2888681,               -598154,             19895051,,             -3409756,              2728022,             -4088257,                              0,                450000,                              0,                              0,             -4207161,                    559,               -305805,                -50407,                              0,                 84921,             -8797884,,               -385198,                -69265,                              0,               -454463,                -29756,             10612948,             78476334,             89089282,             13626603,             70635687,              4826992,,,,,,,,,,,
2812,2015年01月01日至2015年06月30日,,              2381174,              2381174,,,                 77006,                 20491,                 69696,               -293110,              2047428,             -5733085,                   -346,                              0,                    580,                   -224,                 -7948,                -21603,                              0,                 81672,                 -2742,                              0,             -3762185,,,             -1356175,             -9255340,                951789,              2413028,                150917,                -48890,             -7144671,,              5166378,               -123425,                749140,             -3147169,              7291787,                  4199,                  5696,                 11871,              9958477,              2813806,               -948379,              1432795,              5708982,                    346,             -2015359,               -267127,              4859637,,               -500000,              1507533,             -2749587,                              0,                250000,,                              0,             -4140516,                    559,                -73056,                -31354,                              0,                 84921,             -5651500,,                306260,                -39762,                              0,                266498,                -81690,               -607055,             78476334,             77869279,              8605431,             64984294,              4279554,,,,,,,,,,,
2812,2015年01月01日至2015年03月31日,,              1205959,              1205959,,,                 38140,                  9721,                 68014,               -119178,              1017065,             -2864420,                              0,                              0,                   -234,                   -540,                              0,                -21603,                              0,                 30107,                 -2742,                              0,             -1845670,,,                -94900,             -8792944,                210937,              7578973,                  1797,               -289949,             -1386086,,              5995131,                -88516,                690472,             -2914363,                410479,                   -292,                  2848,                 60434,              4156193,              2770107,                924437,              2130396,              2871567,,               -861070,                -24389,              4116504,,               -500000,                              0,             -1975708,                              0,                250000,                              0,                              0,             -4094143,                    549,                -60255,                -13809,,                 84921,             -6308445,,                219726,                    414,,                220140,                -66099,             -2037900,             78476334,             76438434,              8542583,             64445856,              3449995,,,,,,,,,,,
2812,2014年度,,              4200243,              4200243,,,                151034,                 35284,              1982816,                -96948,              3954300,            -11116277,                -19437,                    800,                   -423,                    158,                     43,             -1026021,                 -2243,                 -7976,                -68712,                  1435,,,,             -1736108,               -370338,             -1624607,            -23605307,                 16228,               -167898,            -27488030,,              2355879,               -290744,                -85196,              2922447,             26261655,                 -5985,                 69797,                111515,             31339368,              3851338,             -2360829,              1839414,             11068298,                 22437,             -3927599,               -632047,              8370503,,             -2109022,                667600,               -812943,              2942200,                300000,                 -3000,                    757,             -1838149,                    963,                -42407,                -74337,                    808,                343494,               -624036,,                              0,                234540,                -49900,             -1797196,                 88781,              6038052,             72438282,             78476334,              9552955,             67378018,              1545361,,             -6212167,             -1468279,                              0,               -513557,,,,,,
2812,2014年01月01日至2014年09月30日,,              3554449,              3554449,,,                113333,                 25963,                833416,                -73698,              2953021,             -8236267,                -19437,                    800,                   -431,                    158,                     43,               -507747,                 -2243,               -140712,                -68712,                  1435,             -5121078,,,             -3381134,              1960527,               -940707,            -16536773,                 25578,               -415943,            -19288452,,               -759908,               -207680,                -96084,                465059,             11834722,                 -5479,                -10985,                102559,             11322204,             -7966248,            -13087326,             -9532877,              8177162,                 19437,             -2761344,               -648352,             -4745974,,             -2109022,                711800,                              0,              2465400,                300000,                 -3000,                    757,                -63460,                    963,                -29853,                -46025,                    808,                343494,              1571862,,             -1582382,                195258,                -49900,             -1437024,                  9310,             -4601826,             72438282,             67836456,              7086621,             60264020,                485815,,,,,,,,,,,
2812,2014年01月01日至2014年06月30日,,              2330004,              2330004,,,                 76582,                 16829,                764152,               -150327,              1967339,             -5396325,                   -357,                    800,                 -1552,                    263,                     43,               -454956,                 -2243,                -31275,                -68712,                  1435,             -3278304,,,             -2777099,                -76035,               -735549,            -11979389,                 28124,                -15022,            -15554970,,              3266401,               -211884,               -101276,               -203608,              7117011,                 -3673,                 -8618,                110287,              9964640,             -5590330,             -8868634,             -6538630,              5336644,                    357,             -1918412,               -354349,             -3474390,,             -1707577,                711800,                              0,              2465400,                              0,,                    757,                -43678,                     33,                -42435,                -30275,                    808,                343494,              1698327,,             -1241666,                 99911,                -49900,             -1191655,                -20094,             -2987812,             72438282,             69450470,              5789532,             62006678,              1654260,,,,,,,,,,,
2812,2014年01月01日至2014年03月31日,,              1138299,              1138299,,,                 38861,                  7947,                608509,                 24307,                974594,             -2663227,                              0,                  1300,                   -515,                    250,                     43,               -464080,                              0,                -43566,                -68712,                              0,             -1584289,,,             -2381839,            -10275757,                -28405,             -1992997,                 47761,             -3056378,            -17687615,,              5483519,               -164495,                -97881,               -659386,              6745755,                 -1514,                 -3662,                 45201,             11347537,             -6340078,             -7924367,             -6786068,              2661149,,               -810815,                -31297,             -4967031,,               -254254,                712400,                              0,              2465400,                              0,                              0,                    757,                -26423,                     33,                -36163,                -29643,,                343494,              3175601,,             -1020963,                    478,,             -1020485,                    598,             -2811317,             72438282,             69626965,              6822191,             57628811,              5175963,,,,,,,,,,,
2812,2013年度,,              3536979,              3536979,,,                160602,                 24726,              1864173,               -150726,              3606878,             -9917145,                -18379,                              0,                 -9708,                    912,                  3758,               -709794,               -182941,                -87290,                              0,                 80660,,,,             -1999449,             -5079143,             -2615009,            -40633827,               -288137,               -166182,            -50781747,,              3189960,               -436659,                 94724,             -4662238,             44193574,                 -9603,                -27490,                161138,             42503406,             -8278341,            -13612615,            -10075636,              9951168,                 18379,             -3639685,               -540919,             -4286693,,             -3545627,              2842748,                              0,              5802240,                550000,                              0,                  1090,               -124208,                  2190,                -98891,                -62600,                102281,                              0,              5469223,,              2554034,                104136,             -2561664,              5364632,                 24265,              6571427,             65866855,             72438282,              5590728,             62296753,              4550801,,             -5334274,                              0,              5500000,               -231874,,,,,,
2812,2013年01月01日至2013年12月31日,,              3536979,              3536979,,,                160602,                 24726,              1864173,               -150726,              3606878,             -9917145,                -18379,,                 -9708,                    912,                  3758,               -709794,               -182941,                -87290,,                 80660,,,,             -1999449,             -5079143,             -2615009,            -40633827,               -288137,               -166182,            -50781747,,              3189960,               -436659,                 94724,             -4662238,             44193574,                 -9603,                -27490,                161138,             42503406,             -8278341,            -13612615,            -10075636,              9951168,                 18379,             -3639685,               -540919,             -4286693,,             -3545627,              2842748,                              0,              5802240,                550000,,                  1090,               -124208,                  2190,                -98891,                -62600,                102281,,              5469223,,              2554034,                104136,             -2561664,              5364632,                 24265,              6571427,             65866855,             72438282,              5590728,             62296753,              4550801,,             -5334274,                              0,              5500000,               -231874,,                              0,                              0,                              0,,
2812,2013年01月01日至2013年09月30日,,              2879589,              2879589,,,                121615,                 17550,              1018743,                -51192,              2664776,             -7299947,                -18379,                              0,                   -476,                     52,                  3758,               -691898,                -37007,                -31157,                              0,                 17014,,,,             -1464571,             -5269953,             -1415099,            -33145919,               -269917,               -218352,            -41783811,,              7762147,               -365429,                 -9997,             -4722111,             29945324,                 -7209,                -15969,                129609,             32716365,             -9067446,            -13353994,            -10474405,              7323934,                 18379,             -2519505,               -518156,             -6169753,,             -3545627,              2841805,,              5802240,                550000,                              0,                  1090,                -79031,                  2190,                -79668,                -47883,                 19993,                              0,              5465109,,              1708230,                 34900,             -2561664,              1681466,                 11016,                987838,             65866855,             66854693,              5867110,             55960108,              5027475,,             -4286548,                              0,              2500000,,,,,,,
