證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 短期借款增加,　　　　　 預付費用（增加）減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 發行公司債,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　　　　 應付建造合約款（增加）減少
3018,2015年01月01日至2015年09月30日,,                  1614,                  1614,,,                  6357,                    197,                  1757,                  4261,                 -1156,                              0,                 -1689,                  9727,,,                  6642,                 26003,                 77487,               -291506,                 -2569,                    548,                 12909,                -12012,               -182498,,                 -2996,                -34363,                  5323,                -24533,                    -41,                    345,                     98,                -56167,               -238665,               -228938,               -227324,                  1671,                   -125,               -225778,,                 -4150,                 -2064,                    -44,                 14339,                  8081,,                 24507,                              0,                              0,                              0,                 -2971,                              0,                -30890,                 -1630,                -10984,                   -166,               -228847,                342876,                114029,                114029,                              0,,,,,,,,,,,,,,
3018,2015年01月01日至2015年06月30日,,                    549,                    549,,,                  4229,                    131,                  1690,                  2786,                   -839,                              0,,                  7997,,,                -15000,                 27937,                 19004,               -157756,                   -872,                    639,                 17823,                   -225,               -108450,,                 11343,                -38416,                 11164,                -24069,                    200,                    382,                     66,                -39330,               -147780,               -139783,               -139234,                  1219,                    -81,               -138096,,                 -2496,                   -856,                    -45,,                 37806,,                              0,,                              0,,                 -1981,,,                 -1229,                -24615,                    257,               -124648,                342876,                218228,                218228,,                              0,                 41203,                -21405,,,,,,,,,,,
3018,2015年01月01日至2015年03月31日,,                 -4842,                 -4842,,,                  2110,                     65,                    354,                  1463,                   -351,,,                  3641,,,                -20000,                 17727,                111385,                -82700,                   -453,                    332,,                 16064,                 71376,,                  3167,                -84399,                  7990,                -15016,                              0,                              0,                     33,                -88225,                -16849,                -13208,                -18050,                    505,                   -197,                -17742,,                 -1163,,                    -45,,                  8193,,                 -5000,,                              0,,                   -991,                      2,,                   -540,                 -6529,                    105,                -15973,                342876,                326903,                326903,,,                  8951,                              0,                 29021,                    450,,,,,,,,,
3018,2014年度,,                 38898,                 38898,,,                  7375,                    256,                   -903,                  3877,                 -1402,                  8260,,,,,                 -9954,                 -7299,                 83940,                -39973,                 -2719,                 -1175,                   -481,                 10340,                 32679,,                 -5974,                -73522,                -30640,                 30211,                    570,                    202,,                -77568,                -44889,                -26942,                 11956,                  1602,                 -1677,                 11881,,                -20821,                 -5830,                              0,,                  9912,,,                -24988,,                              0,                 -3840,                              0,,                 -3574,                222331,                   -364,                243760,                 99116,                342876,                342876,                              0,                              0,                 36563,                -20000,,,,                    484,                 17947,                  1585,                185024,                     -2,                              0,                 89711,
3018,2014年01月01日至2014年09月30日,,                 25237,                 25237,,,                  5354,                    192,                    -74,                  2618,                   -993,                  8260,                    -32,                 15325,,,                 -9876,                 23838,                 61922,                  8044,                   -240,                 -2274,                 17111,                 26076,                124601,,                 -3623,                -97785,                -12239,                 21571,                    491,                    284,                     42,                -91259,                 33342,                 48667,                 73904,                  1093,                    -89,                 74908,,                -17939,                 -3285,                              0,                 10325,                -10899,,                 18689,                              0,                 34944,                              0,                 -2850,                              0,                              0,                 -3226,                 47557,                    -31,                111535,                 99116,                210651,                210651,                              0,,,,,,,,,,,,,,
3018,2014年01月01日至2014年06月30日,,                 11823,                 11823,,,                  3512,                    128,                    270,                  1636,                   -675,                  8260,,                 13131,,,                 -9908,                 14554,                 45727,                   -898,                   -103,                 -3695,                 12674,                 -3446,                 54905,,                 -2379,                -96283,                  4411,                 14292,                     -8,                    103,                     32,                -79832,                -24927,                -11796,                     27,                    700,                    -57,                    670,,                -14098,                   -937,                              0,,                  6100,,                 61180,,                    -27,,                 -1860,,,                 -1974,                 57319,                    224,                 64313,                 99116,                163429,                163429,,                              0,                 21135,                              0,,,,,,,,,,,
3018,2014年01月01日至2014年03月31日,,                  4380,                  4380,,,                  1718,                     64,                    121,                    920,                   -350,,,                  2473,,,                -14908,                -19069,                 97554,                 86434,                   -117,                 -1151,,                 26071,                180066,,                  6753,               -130425,                 -7068,                 -2620,                    508,                   -126,                     16,               -132962,                 47104,                 49577,                 53957,                    356,                    -36,                 54277,,                 -4200,,                              0,,                -20959,,                              0,,                 -9989,,                   -833,                              0,,                   -817,                  3995,                     40,                 37353,                 99116,                136469,                136469,,,                -16756,                 15634,                  5252,                     -3,,,,,,,,,
3018,2013年度,,                -15907,                -15907,,,                  6343,                    126,                              0,                  1742,                 -1831,                              0,,,,,                              0,                166685,               -307636,                -42574,                  1176,                              0,                -53665,                 30968,               -205046,,                 11973,                252149,                 30640,                -15742,                 -1137,                    753,,                278551,                 73505,                 79885,                 63978,                  1870,                 -1835,                 64013,,                 -6138,                    268,                   -980,,                -69204,,,                -49864,,                              0,                 -3333,                     36,,                 -1602,                -47984,                   -728,                -53903,                153019,                 99116,                 99116,                              0,                              0,                -62354,                 25000,,,,                              0,                  6380,                    -85,                              0,                              0,                -18221,                              0,
3018,2013年01月01日至2013年12月31日,,                -15907,                -15907,,,                  6343,                    126,,                  1742,                 -1831,                              0,,,,,,                166685,               -307636,                -42574,                  1176,,                -53665,                 30968,               -205046,,                 11973,                252149,,                -15742,                 -1137,                    753,,                278551,                 73505,                 79885,                 63978,                  1870,                 -1835,                 64013,,                 -6138,                    268,                   -980,,                -69204,,,                -49864,,                              0,                 -3333,                     36,,                 -1602,                -47984,                   -728,                -53903,                153019,                 99116,                 99116,                              0,                              0,                -62354,                 25000,,,,,                  6380,                    -85,,,                -18221,,                 30640
3018,2013年01月01日至2013年09月30日,,                -40728,                -40728,,,                  4662,                     78,                     15,                  1170,                 -1391,                              0,,,,,                -10000,                190523,                -34800,                 22409,                  1104,                              0,                -57694,                 25696,                137238,,                  6694,                -10549,                 15830,                -17154,                   -357,                    713,,                 -4889,                132349,                136883,                 96155,                  1353,                 -1786,                 95722,,                 -5278,                    511,                   -500,,                -41288,,                 -6256,                              0,                -24964,                              0,                 -2500,                              0,,                 -1200,                -53141,                   -557,                    736,                153019,                153755,                153755,                              0,,                -36021,,,,,,                  4534,                    -66,,,                -18221,,
