證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 其他項目,　　 處分無活絡市場之債務工具投資,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分採用權益法之投資,　　 處分無活絡市場之債券投資,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 現金減資,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 按攤銷後成本衡量之金融資產到期還本
2327,2015年01月01日至2015年06月30日,,              2193965,              2193965,,,                961258,                114946,                 -3555,                107242,                110947,               -241658,                -17088,                  6018,                              0,               -110021,                   -999,                              0,                              0,                              0,                -13444,                 12845,                926491,,,                -82273,                 50733,               -210060,                   -216,                -17564,                -19644,                433166,                 32222,                113125,                299489,,                 -1678,               -577476,                196256,               -174871,                  1480,               -293120,                 -1409,               -850818,               -551329,                375162,              2569127,                145859,                 17088,               -112445,               -727945,              1891684,,                              0,             -2678658,             -1018931,                  5282,                              0,                  2117,                 -3763,                              0,                              0,                -15103,             -3709056,,              1781186,                              0,              4500000,             -6400000,                 21958,                              0,                406206,                 -4071,                -16577,                288702,               -347989,             -1876659,              6412680,              4536021,              4536021,,,,,,,,,,,,,,,
2327,2015年01月01日至2015年03月31日,,              1115021,              1115021,,,                482574,                 58269,                 -4249,                 56784,                 57876,               -115071,                              0,                  3438,                              0,                -50226,                 -1028,,,                              0,                -35522,                 30796,                483641,,,                 -6919,                 94849,               -336286,                    251,                 21907,                 -3590,                268543,                 28960,                135597,                203312,,                 -1253,               -286882,                 52114,               -178239,                    420,               -159478,                   -718,               -574036,               -370724,                112917,              1227938,                 86368,                              0,                -56206,                -97308,              1160792,,,             -3082637,               -560915,                  1776,                              0,                    753,                 -3726,,                              0,                -10506,             -3655255,,              1793890,,              5800000,             -6400000,                  2965,                              0,                406206,                              0,                -16577,              1386484,               -237339,             -1345318,              6412680,              5067362,              5067362,                              0,                              0,                              0,               -200000,,,,,,,,,,,
2327,2014年01月01日至2014年06月30日,,              2493689,              2493689,,,                986057,                152957,                 -1040,                  4390,                 81288,               -276735,                -17194,                  2578,                 17939,                -80679,                 -2237,                              0,                              0,                 21758,                              0,                 56505,                945587,,,                 -1729,                 -8968,             -1566676,                   -262,                 23530,                 69745,                162026,                -31058,               -155504,             -1508896,,                 10227,               -106398,                 44163,                -25403,                              0,                158402,                 -4814,                 76177,             -1432719,               -487132,              2006557,                322942,                 17194,                -67140,               -197968,              2081585,,                  7999,               -351541,               -796127,                  3188,                 -7903,                              0,                -25858,                              0,                              0,                -13385,             -1183627,,              4733134,                              0,             74000000,            -74000000,                              0,                 -4923,                287280,               -607444,                -23328,              4384719,                159049,              5441726,             14349810,             19791536,             19791536,,,,,,,,,,,,,,,
2327,2014年01月01日至2014年03月31日,,              1133408,              1133408,,,                485029,                 76103,                 -2875,                 20014,                 37130,               -137304,                              0,                              0,                 17939,                -29559,                   -850,,,                  4138,                              0,                 12091,                481856,,,                  8949,                 56349,             -1030464,                    449,                 14638,                  8111,                203233,                 14612,               -175796,               -899919,,                   -709,               -433861,                -17443,                -34128,                              0,                192067,                 -4169,               -298243,             -1198162,               -716306,                417102,                163551,                              0,                -27338,                -68605,                484710,,,             -1041421,               -419636,                  2825,                   -717,                              0,                -20420,,                              0,                 -9677,             -1489046,,              2820998,,              7400000,             -7400000,                  1181,                              0,                287280,               -169283,                -23328,              2916848,                473979,              2386491,             14349810,             16736301,             16736301,                              0,                              0,                              0,                              0,,,,,,,,,,,
2327,2013年01月01日至2013年09月30日,,              1502678,              1502678,,,              1560509,                 35722,                    765,                 81082,                182133,               -250175,                -31640,                 10766,                114939,               -100122,                 -1315,                              0,                 64549,                986527,                              0,                -40397,,,,                 25405,                -22282,             -1283419,                 -5762,                -11489,                -68866,                286432,                -82474,                -37284,             -1199739,,                 -3386,                606770,                138132,                221255,                -13023,                147110,,              1098465,               -101274,              2683479,              4186157,                140836,                 52630,                -11508,               -290873,              4077242,,                              0,,             -1531979,                  4003,                -49320,,                -13353,,                582730,                -70777,             -3320475,,              4554556,                434841,,                              0,                  3794,                              0,,,,             -1622734,                214445,               -651522,              5939891,              5288369,              5288369,                              0,                171410,,                              0,,              2784753,                  1607,             -2241779,                              0,,                              0,                              0,             -6615925,,
2327,2013年01月01日至2013年06月30日,,                878757,                878757,,,              1058954,                132931,                  4902,                 48420,                116632,               -152315,                -15557,                  7178,                214683,                -63555,                 -1402,                              0,                 64549,                493905,                              0,                 24948,,,,                 56428,                -98482,               -852912,                 -4864,                  1658,                -80010,                578875,               -169436,                -16622,               -585365,,                 -4502,                -75949,                171465,                202499,,                 82332,,                377415,               -207950,              1726323,              2605080,                 87802,                 15557,                 -3460,               -232822,              2472157,,                              0,,             -1109425,                  3096,                -45059,,                 -7848,                              0,                582730,                -46841,             -2515971,,              1344194,                              0,                              0,                              0,                  5276,                              0,                              0,                              0,                              0,              1284470,                427671,              1668327,              5939891,              7608218,              7608218,,,,                -65000,,              1934273,                  1570,             -1892624,                              0,,,,,,
2327,2013年01月01日至2013年03月31日,,                321991,                321991,,,                542379,                 12060,                  2137,                 48061,                 54860,                -71755,                              0,                  3588,                160808,                -15518,                   -334,,,                279000,                -22294,                -17772,,,,                -64196,                -58789,                -53449,                -65318,                  9279,                 12552,                492612,                -99850,                -48347,                124494,,                 -4417,               -221707,                113190,                 37249,,                 -1432,,                -77963,                 46531,              1075506,              1397497,                 60219,                              0,                    -84,                -95120,              1362512,,,,               -641080,                  2249,                -43899,,                 -1809,,                582730,                -30986,                799484,,                437187,,                              0,,                  2723,                              0,                              0,                              0,                              0,                374910,                273383,              2810289,              5939891,              8750180,              8750180,                              0,                 53755,,                -65000,,              1028975,                   -846,                              0,,                932279,,,,,
2327,2012年01月01日至2012年09月30日,,              1566790,              1566790,,,              1732568,                 37231,                  1394,                140909,                194714,               -236774,                -55615,                 23685,               -200883,                -12456,                 -2275,                -33131,                              0,                451084,                -82572,                -21088,,,,                 17983,                -15415,               -582002,                 11037,               -254474,                  9752,                639029,                -98965,                -82629,               -355684,,                  1207,              1178663,               -144891,                257215,                              0,                225831,,              1511159,              1155475,              3250016,              4816806,                218385,                 70123,                -31265,               -265364,              4808685,,                 10000,,             -1024711,                 76845,                   -269,,                -32844,,                              0,                -45714,             -2457956,,                478477,                              0,,               -300000,                              0,                 -1878,,,,               -622727,               -350826,              1377176,              6090696,              7467872,              7467872,                     -7,                157757,,               -799326,,              2094541,                 -6866,             -1454643,                 20680,,                -22500,                 15200,                              0,,
2327,2012年01月01日至2012年06月30日,,                959692,                959692,,,              1190755,                 23405,                 -3006,                 73266,                135684,               -179499,                -34100,                 15790,                -80991,                 12625,                   -606,                -25447,                              0,                155125,                -30281,                 -8185,,,,                 12767,                -30007,               -414967,                 10605,                -52707,                 11165,                868258,                -57890,                -61174,                286050,,                    440,                378196,               -150791,                 82797,,                 67146,,                370716,                656766,              1996468,              2956160,                173842,                 34100,                -28807,               -222370,              2912925,,,,               -796145,                 45900,                   -889,,,                -25047,                              0,                -19345,             -1033939,,              2155413,               -299645,,               -300000,                 -2310,                              0,,,,              1553458,               -176540,              3255904,              6090696,              9346600,              9346600,,                 95167,,,,              1339702,                 -7072,,                 20891,,,,,                 -4000,               -255304
2327,2012年01月01日至2012年03月31日,,                265111,                265111,,,                589067,                 10952,                              0,                 78891,                 68219,                -86414,                -10550,                  7895,               -159625,                 20465,                 -1775,,,                              0,                 -5480,                -14914,,,,                  1831,                -50736,                 -2825,                 10871,                -16850,                  5758,                954069,                  4883,                -59571,                847430,,                   -971,                -77529,               -154365,               -199618,,                 49640,,               -382202,                465228,              1011682,              1276793,                 49286,                 10550,                -14825,                -69892,              1251912,,,,               -578702,                 13374,                 -3161,,                 -5529,,                              0,                -14556,               -746712,,              2107500,,              1450000,,                              0,                 -1416,,,,              3355960,               -161839,              3699321,              6090696,              9790017,              9790017,                 -2379,                 52102,,               -200124,,                546454,                    641,               -158138,,                              0,,,,,
