證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 發行公司債,　　 其他金融資產增加,　　 應付租賃款增加,　　 現金增資,　　 短期借款減少
9802,2015年01月01日至2015年09月30日,,                226822,                226822,,,                329779,                 18469,                  1668,                 -1039,                 13272,                 -2859,                  6636,                  3400,                              0,                  4115,                  4669,                378110,,,                   -442,                   -144,                324030,                 13607,                286546,                -25865,                -15179,                582553,,                -57060,                 -8333,                -25998,                 -3005,                -94396,                488157,                866267,              1093089,                  2971,                 -8086,                -97229,                990745,,                              0,                              0,               -637997,                  1590,                      6,                 -2220,                    425,               -106341,                              0,                              0,                              0,               -744537,,                322505,                 85238,                -98707,                 -1045,               -327282,                -21244,                -46686,                -87221,                 10375,                169362,                737103,                906465,                906465,,,,,,,
9802,2015年01月01日至2015年06月30日,,                 69256,                 69256,,,                217016,                 15049,                    327,                 -4704,                  8520,                 -2541,                  5102,                  3384,                              0,                  4115,                  2872,                249140,,,                   -621,                    -33,                  8462,                 72453,                176629,                -12826,                 -8073,                235991,,                -45767,                -32733,                 -7463,                 -1765,                -87728,                148263,                397403,                466659,                  2563,                 -5874,                -65373,                397975,,                              0,                              0,               -501851,                  1096,                 -1278,                 -1614,                    894,                -90967,                 42139,                              0,                              0,               -551581,,                204083,,                -87754,                 -1045,                              0,,                -50794,                 64490,                -39021,               -128137,                737103,                608966,                608966,,,,,,,
9802,2015年01月01日至2015年03月31日,,                178881,                178881,,,                108451,                  8277,                      9,                 -2468,                  4551,                 -1644,                  3069,                   -106,                              0,                  4115,                  1650,                125904,,,                 -2004,                   -167,                225965,                 37494,                276861,                -19957,                -10089,                508103,,               -213879,                -94518,                -22254,                   -895,               -331546,                176557,                302461,                481342,                  1683,                 -2671,                -10775,                469579,,                              0,                              0,               -273744,                    106,                 -1153,                   -706,                    907,                -88029,                 38800,                              0,                              0,               -323819,,                -23713,,                -89005,                 -1045,                              0,,                -54653,               -168416,                 -5771,                -28427,                737103,                708676,                708676,,,,,,,
9802,2014年度,,                512144,                512144,,,                357453,                 39970,                   -718,                  8221,                 22010,                 -6556,                 15768,                  6367,                              0,,                 19690,,,,                  2471,                     14,               -504243,                  6625,               -101971,                 38623,                -24227,               -582708,,                166627,                 39852,                 -6576,                 -3614,                196289,               -386419,                 75786,                587930,                  6801,                 -9668,                -90553,                494510,,                              0,                -28864,               -680765,                  3149,                  1974,                 -4395,                 11281,                 -8445,                -58079,                              0,                              0,               -764144,,                150000,                118436,                -33215,                 -4180,               -239685,,                 55562,                 46918,                 23240,               -199476,                936579,                737103,                737103,,                462205,                              0,,,,
9802,2014年01月01日至2014年09月30日,,                367640,                367640,,,                263033,                 26680,                   -357,                  7080,                 17351,                 -4307,                 10876,                  4686,                              0,                              0,                  4507,                329549,,,                              0,                     14,                 74177,                -15791,                  7001,                 28107,                -20250,                 73258,,                  4193,                -36286,                -19018,                 -2627,                -53738,                 19520,                349069,                716709,                  4267,                 -6475,                -96261,                618240,,                              0,                -28864,               -569802,                  2643,                 -1442,                 -3702,                   -238,                -14113,                              0,                              0,                              0,               -615518,,                 95922,                              0,                -10000,                  3135,               -239685,                              0,                 31825,               -118803,                 28495,                -87586,                936579,                848993,                848993,,,,,,,
9802,2014年01月01日至2014年06月30日,,                279279,                279279,,,                172981,                 15502,                    282,                 13169,                 11296,                 -2935,                  5776,                    262,                              0,                              0,                  3070,                219403,,,                              0,                     14,               -227738,                 10224,                100080,                 14727,                   -107,               -102800,,                205493,                -82366,                  5023,                 -1707,                126443,                 23643,                243046,                522325,                  2726,                 -4361,                -42091,                478599,,                -14995,                              0,               -298451,                  1909,                  4906,                 -2947,                    201,                -15613,                   -733,                              0,                              0,               -325723,,                 29174,,                -10000,                  1829,                              0,,                  8960,                 29963,                -75637,                107202,                936579,              1043781,              1043781,,,,,,,
9802,2014年01月01日至2014年03月31日,,                101572,                101572,,,                 86037,                  7210,                   -304,                 11792,                  5515,                 -1775,                    353,                    152,                              0,                              0,                  1282,                110262,,,                              0,                    273,                 43973,                 -2884,                 47466,                 14934,                   -110,                103652,,                 77259,                -64393,                 23402,                   -870,                 35398,                139050,                249312,                350884,                  1581,                 -1676,                -11325,                339464,,                              0,                              0,               -232545,                  1443,                              0,                   -833,                     71,                 -2577,                   -693,                              0,                              0,               -235134,,                -80305,,                -10000,                   -784,                              0,,                              0,                -91089,                  5416,                 18657,                936579,                955236,                955236,,,,,,,
9802,2013年度,,                278419,                278419,,,                299271,                 28282,                 -1403,                -18991,                 14875,                 -7232,                              0,                  1970,                  3206,,                 18487,,,,                              0,                    273,                 55565,                -38021,               -434610,                -13332,                 -6220,               -436345,,                 71908,                 43006,                 -1639,                  9312,                122587,               -313758,                 24707,                303126,                  7281,                -12130,                -43649,                254628,,                              0,                              0,               -481212,                  2784,                 -2042,                -19608,                -20551,                -22467,                -17690,                 -6887,                 -2639,               -570312,,                -26038,                 10000,                              0,                 -6242,               -237285,,                              0,                240435,                 89626,                 14377,                922202,                936579,                936579,,                338465,                500000,,,,
9802,2013年01月01日至2013年12月31日,,                278419,                278419,,,                299271,                 28282,                 -1403,                -18991,                 14875,                 -7232,                              0,                  1970,                  3206,,                  4963,,,,,                    273,                 55565,                -38021,               -434610,                -13332,                 -6220,               -436345,,                 71908,                 56530,                 -1639,                  9312,                136111,               -300234,                 24707,                303126,                  7281,                -12130,                -43649,                254628,,                              0,,               -481212,                  2784,                 -2042,                -19608,                -20551,                -29354,                -17690,,                 -2639,               -570312,,                -26038,                 10000,,                 -6242,               -237285,,                              0,                240435,                 89626,                 14377,                922202,                936579,                936579,,                324941,                500000,,,                              0,
9802,2013年01月01日至2013年09月30日,,                238939,                238939,,,                217539,                 20195,                   -989,                -12486,                  8217,                 -6983,                              0,                  1978,                  5780,,                  3563,,,,,                     86,                -16488,                -25947,                -32868,                -12358,                 -1052,                -88627,,                -38079,                -27869,                  5494,                 10010,                -50444,               -139071,                 97743,                336682,                  6673,                 -8658,                -42846,                291851,,               -159975,                              0,               -225825,                  2688,                    787,                 -3261,,                -24052,                -10582,                              0,                 -2537,               -446358,,                165210,,                              0,,               -237285,,                              0,                -76589,                 85881,               -145215,                922202,                776987,                776987,,                236814,,                -23601,                 -4514,,
9802,2013年01月01日至2013年06月30日,,                151798,                151798,,,                139629,                 12926,                    222,                 -7513,                  7741,                 -4765,                              0,                  1153,                  3202,,                  2361,,,,,                 -2173,                 39175,                -35713,                -95066,                -36820,                 -1784,               -132381,,                109706,                 16859,                 -1786,                 10740,                135519,                  3138,                158094,                309892,                  4841,                 -7879,                -20837,                286017,,               -105000,,               -123384,                  2320,                    811,                 -3155,                  1325,                -22518,                  8729,                              0,                 -1859,               -242731,,                 21869,,                              0,                 -1593,                              0,,                              0,                 20276,                 53480,                117042,                922202,              1039244,              1039244,,                154956,,,,,
