證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 應付租賃款減少,　　 現金增資,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 發行公司債,　　　　　 遞延貸項增加（減少）
2618,2015年01月01日至2015年09月30日,,              6811638,              6811638,,,              9422996,                256518,              1275888,               -249789,                -88769,                -97530,                 -8440,                235563,                653629,             11400066,,,                   -364,                -80463,                763443,                580523,                -42124,                531908,              1752923,,                365361,                -99256,                762717,              1905372,                337477,               -238801,                678566,              3711436,              5464359,             16864425,             23676063,               -504137,             23171926,,               -264555,                 67362,                              0,                              0,                              0,            -15126568,                832807,               -141948,                              0,                309689,             -5645431,                264613,                 96943,            -19607088,,              9948000,             -9610056,             -5100000,             11319500,             -7979175,                  6651,                              0,             -1515760,             10013433,             -1483281,               -114148,              5485164,                  4248,              9054250,             27144950,             36199200,             36199200,,,,,,,
2618,2015年01月01日至2015年06月30日,,              4204082,              4204082,,,              6110651,                170090,                844137,               -178482,                -53836,                -35572,                 -4039,                118802,                 91462,              7063213,,,                     -9,               -112460,                739729,                132512,                -82184,                662779,              1340367,,                155572,                -53670,                217416,              2881777,                525326,               -144255,                602150,              4184316,              5524683,             12587896,             16791978,               -301225,             16490753,,               -694197,                    821,                              0,                              0,,            -14612044,                723736,               -114362,                              0,                344657,             -4217521,                195156,                 75778,            -18297976,,                129917,                              0,             -1550000,              6502500,             -5980955,                  2438,,             -1006535,             10013433,               -939226,               -113843,              7057729,                -13446,              5237060,             27144950,             32382010,             32382010,,,,,,,
2618,2015年01月01日至2015年03月31日,,              2270915,              2270915,,,              3020746,                 84242,                389849,                -80997,                -33519,                 19963,                 -2750,                 53082,               -228444,              3222172,,,                     -5,               -162944,               -304402,                830860,                100485,                494169,                958163,,                 50006,                -32989,                 -3205,                856571,                -97491,                -36077,                507063,              1258016,              2216179,              5438351,              7709266,                -21983,              7687283,,               -623625,                    821,,                              0,,               -458308,                439244,                -62645,                              0,                102022,             -4694854,                 86351,,             -5210994,,                280107,                              0,             -1550000,              4902500,             -2381788,,,               -501097,             10013433,               -359574,                -14250,             10389331,                 -5977,             12859643,             27144950,             40004593,             40004593,                 14138,,,,,,
2618,2014年度,,                 48945,                 48945,,,             11422313,                304586,              1565898,               -355051,               -110289,               -168926,                -11971,              1634310,                -55096,,,,                 -1860,                -74546,                315058,             -2531298,                906288,             -1399585,             -2785943,,                337769,                772842,              1337340,              1275736,                594084,,                -97078,              3858681,              1072738,             15622512,             15671457,               -496864,             15174593,,                -67550,              1060004,                  3764,                -90482,                 58538,            -20325286,                645629,               -263422,               -644975,,,                357746,                 67109,            -19198925,,,               -378948,,             18584000,             -8557254,,               -500000,             -1500699,                186567,             -1476102,               -122445,              6235119,                 35991,              2246778,             24898172,             27144950,             27144950,,,                324000,             14549774,               -362012,                              0,
2618,2014年01月01日至2014年09月30日,,                421846,                421846,,,              8485861,                223538,              1193817,               -264030,                -88052,                 48840,                 -9945,              1634940,                130899,             11355868,,,                 -2006,                -28821,                 88178,             -2340090,                699528,               -849825,             -2433036,,                916064,                494042,               -458804,                529494,                566520,               -291382,                 33221,              1789155,               -643881,             10711987,             11133833,               -454652,             10679181,,                -67550,                798827,                  3764,                -90482,                 58538,            -15186718,                 52727,               -180751,               -156666,                              0,             -2678984,                261166,                 47561,            -17138568,,              8099450,             -8478520,                              0,             16164000,             -6121616,                              0,               -500000,             -1184936,                              0,             -1192670,                -87739,              6697969,                 19761,                258343,             24898172,             25156515,             25156515,,,,,,,
2618,2014年01月01日至2014年06月30日,,               -132520,               -132520,,,              5501272,                144323,                785242,               -185354,                -40101,                 16946,                 -9303,                              0,                127570,              6340595,,,                     97,               -216347,               -346864,               -327984,                402685,               -914652,             -1403065,,                442732,                260829,               -189706,              1562335,                262023,               -183755,                355013,              2509471,              1106406,              7447001,              7314481,               -269974,              7044507,,                              0,                680437,                  3764,                -90482,,            -14375484,                 27321,               -135674,               -106248,                              0,             -1362026,                184380,                 29519,            -15144493,,                              0,               -105042,                              0,             11542000,             -4571774,                              0,,               -815992,                              0,               -775593,               -148707,              5124892,                 13363,             -2961731,             24898172,             21936441,             21936441,,,,,,,
2618,2014年01月01日至2014年03月31日,,               -628938,               -628938,,,              2713701,                 70868,                360757,                -92723,                -20069,                  1980,                 -2908,                              0,                  7729,              3039335,,,                     98,               -144984,             -1298191,                  2863,                707146,               -200406,               -933474,,               -508309,                 71749,               -346943,                -41277,                 42437,                -77847,                182370,               -677820,             -1611294,              1428041,                799103,                 -9801,                789302,,                              0,                396130,,                -90482,,               -686289,                 22395,               -116479,                -91371,                              0,               -709223,                 84103,,             -1191216,,                              0,                -25045,                              0,              1600000,             -1680062,,,               -370815,                              0,               -313821,                  8974,               -780769,                 16792,             -1165891,             24898172,             23732281,             23732281,                              0,,,,,,
2618,2013年度,,              1840338,              1840338,,,             10723866,                233841,              1602331,               -251299,                -84560,                161107,                -15345,                289866,               -170253,,,,                259097,                 70916,              1561123,                -41676,                517830,               -275665,              2091625,,             -1536299,                347383,              1207885,                500985,                728056,,                436951,              1282141,              3373766,             15863320,             17703658,               -451713,             17251945,,                -92663,                239542,                  1799,                              0,                              0,             -5113301,                227848,               -393964,             -3357096,,,                237323,                 75551,             -8174961,,,               -154003,,              4575722,            -12059353,,                              0,             -1457495,                              0,             -1529839,               -129826,             -6254794,                 -7348,              2814842,             22083330,             24898172,             24898172,,,                              0,             12489554,               -402820,              4500000,
2618,2013年01月01日至2013年12月31日,,              1840338,              1840338,,,             10723866,                233841,              1602331,               -251299,                -84560,                161107,                -15345,                289866,               -170253,,,,                259097,                 70916,              1561123,                -41676,                517830,               -275665,              2091625,,             -1536299,                347383,              1207885,                500985,                728056,,                436951,              1282141,              3373766,             15863320,             17703658,               -451713,             17251945,,                -92663,                239542,                  1799,                              0,,             -5113301,                227848,               -393964,             -3357096,,,                237323,                 75551,             -8174961,,,               -154003,,              4575722,            -12059353,,,             -1457495,,             -1529839,               -129826,             -6254794,                 -7348,              2814842,             22083330,             24898172,             24898172,,,,             12489554,               -402820,              4500000,
2618,2013年01月01日至2013年09月30日,,              1479161,              1479161,,,              8033273,                 92236,              1244270,               -172209,                -71447,                255901,                 -9451,                290257,                -40384,,,,                 -1051,                -41755,              1079637,                -78457,               -683415,               -340897,                -65938,,             -1576107,                745308,                525028,                227937,                764062,,                173617,                849920,                783982,             10406428,             11885589,               -442466,             11443123,,                -92665,                165330,                  1799,                              0,                              0,             -3266196,                 46924,               -140138,             -3431917,,,                170304,                 46657,             -6499902,,,               -273885,,              1592500,             -7206626,,                              0,             -1111826,,             -1257143,               -130821,             -3887801,                 -5920,              1049500,             22083330,             23132830,             23132830,,,,              9622446,                 -9925,              4500000,
