證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金減少,　　 短期借款增加,　　 其他非流動資產減少,　　 現金增資
5234,2015年01月01日至2015年09月30日,,                241551,                241551,,,                 95333,                    807,                    254,                    498,                  3832,                 -3573,                  2014,                 12856,                112021,,,                 26661,                  2899,                 23128,                -12929,                   -174,                 39585,,                  4259,                    -12,                -30158,                -25911,                 13674,                125695,                367246,                  3577,                 -3815,                -39010,                327998,,               -135963,                              0,                   -466,                 -3073,                -63500,                    897,               -202105,,                -15000,                 80000,                -52500,                     14,                              0,               -205432,               -192918,                    133,                -66892,                205526,                138634,                138634,,,,,,,
5234,2015年01月01日至2015年06月30日,,                165764,                165764,,,                 62025,                    447,,                 -1421,                  2342,                 -2350,,                  7939,                 68982,,,                 20748,                 31466,                 31226,                 -2738,                   -228,                 80474,,                -35601,                 -8522,                 -2926,                -47049,                 33425,                102407,                268171,                  2346,                 -2393,                -16381,                251743,,                -58064,,                   -455,                   -538,                              0,                    654,                -51803,,                -55000,                  1000,                -45000,                     14,                              0,,                -98986,                   -144,                100810,                205526,                306336,                306336,                  6600,,,,,,
5234,2015年01月01日至2015年03月31日,,                 92738,                 92738,,,                 28940,                    192,                    156,                 -1793,                  1263,                 -1113,,                  5378,                 33023,,,                 18100,                 23794,                  7934,                -14011,                    -20,                 35797,,                -37062,                 -3620,                -33349,                -74031,                -38234,                 -5211,                 87527,                  1126,                 -1289,                   -175,                 87189,,                -38505,,                   -154,                    -38,                              0,                    327,                 38630,,                -55000,,,                              0,                     -7,,                -55007,                    -52,                 70760,                205526,                276286,                276286,                 77000,,,,,,
5234,2014年度,,                349009,                349009,,,                122970,                  1214,                              0,                    631,                  3413,                 -5379,                   -144,                  4292,,,,                 20584,                -35035,                -42553,                  9676,                 -2007,                -49335,,                 43594,                 12939,                -22261,                 34272,                -15063,                111934,                460943,                  5370,                 -3330,                -88115,                374868,,               -461181,                    503,,                   -604,                 -7900,                    -67,               -468763,,,                330000,               -148675,,                     -5,               -266794,                -30474,                   -229,               -124598,                330124,                205526,                205526,,,                126997,                    486,                 55000,,
5234,2014年01月01日至2014年09月30日,,                234208,                234208,,,                 92994,                  1012,                    523,                    476,                  1830,                 -4131,                   -144,                    377,                 92937,,,                  2358,                 20930,                -11402,                 -6514,                 -2446,                  2926,,                 33435,                  2423,                -59946,                -24088,                -21162,                 71775,                305983,                  4135,                 -1756,                -88033,                220329,,               -408590,                    420,                 -2154,                   -605,                -47900,                  1216,               -457613,,                 55000,                330000,                -62775,                              0,                    -27,               -266794,                 55404,                    -76,               -181956,                330124,                148168,                148168,,,,,,,
5234,2014年01月01日至2014年06月30日,,                144999,                144999,,,                 62220,                    716,,                 -1044,                    822,                 -2843,,                  4509,                 64380,,,                 35880,                 66687,                 -9559,                  3411,                 -2063,                 94356,,                -55144,                 -1993,                -20396,                -77533,                 16823,                 81203,                226202,                  2823,                   -815,                -62044,                166166,,               -263205,,                 -2162,                   -342,               -168000,                  1372,               -432337,,                              0,                 60000,                -44025,                              0,                     -6,,                 15969,                     97,               -250105,                330124,                 80019,                 80019,                              0,,,,,,
5234,2014年01月01日至2014年03月31日,,                 74489,                 74489,,,                 31510,                    372,                     14,                    -84,                    418,                 -1309,,                  5410,                 36331,,,                 49771,                 38741,                -30401,                -11153,                 -2002,                 44956,,                -18795,                  5059,                -58194,                -71930,                -26974,                  9357,                 83846,                  1264,                   -414,                   -160,                 84536,,                -46977,,                 -2155,                    -63,               -187500,                    835,               -235860,,                              0,,,                      3,                              0,,                      3,                    110,               -151211,                330124,                178913,                178913,                              0,,,,,,
5234,2013年度,,                492683,                492683,,,                112597,                  2076,                     -9,                    808,                  3213,                 -5555,                    757,                 14312,,,,                 67551,                -34285,                -10929,                 -7004,                  1720,                 17053,,                 56189,                  6370,                 30041,                 92600,                109653,                237852,                730535,                  5569,                 -3264,                -41831,                691009,,               -135643,                     57,,                 -1104,               -228600,                   -988,               -363702,,,                 65000,               -200487,,                 -1488,               -266795,               -403770,                   -402,                -76865,                406989,                330124,                330124,,,                128199,                  2576,                              0,,
5234,2013年01月01日至2013年12月31日,,                492683,                492683,,,                112597,                  2076,                     -9,                    808,                  3213,                 -5555,                    757,                 14312,,,,                 67551,                -34285,                -10929,                 -7004,                  1720,                 17053,,                 56189,                  6370,                 30041,                 92600,                109653,                237852,                730535,                  5569,                 -3264,                -41831,                691009,,               -135643,                     57,,                 -1104,               -228600,                   -988,               -363702,,,                 65000,               -200487,,                 -1488,               -266795,               -403770,                   -402,                -76865,                406989,                330124,                330124,,,                128199,                  2576,,                              0,                              0
5234,2013年01月01日至2013年09月30日,,                364179,                364179,,,                 90272,                  2122,                    211,                   -734,                  2734,                 -4108,                    757,                  9134,,,,                 22229,                 -6301,                  8927,                -21177,                  1670,                  5348,,                 54795,                  8820,                 -6330,                 57285,                 62633,                163021,                527200,                  4152,                 -2771,                -41687,                486894,,                -53758,                     57,                              0,                 -1104,                -74300,,               -126088,,,                 65000,               -156462,,                 -1482,               -266795,               -359739,                   -243,                    824,                406989,                407813,                407813,,,                100388,                  3017,                              0,                              0,
