證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 庫藏股票處分
3016,2015年01月01日至2015年09月30日,,                 25340,                 25340,,,                 67624,                  1716,                              0,                   -815,                    716,                   -523,                              0,                  6454,                              0,                              0,                              0,                 75172,,,                -47977,                    464,               -121813,                -13063,                -28392,                 69881,                    -10,                   -197,               -141107,,                   -629,                  6003,                 -3673,                 -1288,                              0,                    413,               -140694,                -65522,                -40182,                    523,                   -716,                   -977,                -41352,,                              0,                -41409,                    -22,                              0,                   -138,                              0,                -41569,,                              0,                              0,                   -724,                 -9398,                              0,                -10122,                    388,                -92655,                187843,                 95188,                 95188,,,,,,,
3016,2015年01月01日至2015年06月30日,,                    874,                    874,,,                 44132,                  1154,                              0,                 -5114,                    658,                   -366,                              0,                  4598,,                              0,                              0,                 45062,,,                 54973,                    464,                -15314,                 -2701,                -51102,                 67596,                     -6,                   -185,                 53725,,                   -648,                 12263,                    395,                   -872,                              0,                 11337,                 65062,                110124,                110998,                    366,                   -658,                   -753,                109953,,,                -34972,                              0,                     28,,,                -34944,,                              0,                              0,                   -723,,                              0,                   -723,                   -476,                 73810,                187843,                261653,                261653,                    199,,,,,,
3016,2015年01月01日至2015年03月31日,,                 -8079,                 -8079,,,                 21813,                    591,                              0,                 -3034,                    337,                   -154,                              0,                  1731,,,,                 21284,,,                 21679,                    464,                  4579,                -14317,                -44089,                 71899,                     -3,                   -172,                 40040,,                   -648,                 -1369,                 -9834,                   -582,                              0,                -12270,                 27770,                 49054,                 40975,                    154,                   -337,                   -804,                 39988,,,                -28199,                              0,                      9,,                 -1740,                -29930,,,,                   -146,,,                   -146,                   -161,                  9751,                187843,                197594,                197594,                    163,,,,,,
3016,2014年度,,                 17856,                 17856,,,                 89511,                  2577,                   -643,                -17379,                  4548,                 -2376,                  1212,                  3820,                  2018,                   -254,                  5880,,,,                 37696,                   -346,                -21993,                   -112,                  7989,                 -2955,                    -10,                 -2533,                 17736,,                     18,                 22539,                 11831,                   -445,,                 30706,                 48442,                137356,                155212,                  2376,                 -1201,                   -908,                155479,,                 10950,                -76104,,                     45,                 -1082,,                -64991,,               -299000,                  3987,,,                  3104,               -291909,                   -765,               -202186,                390029,                187843,                187843,,,                 88914,                 -3237,                  1200,,
3016,2014年01月01日至2014年09月30日,,                 26933,                 26933,,,                 67998,                  2016,                   -370,                 -9685,                  4168,                 -1866,                  1212,                  2892,                              0,                   -255,                  5880,                 71990,,,                 48160,                    118,                -37998,                 -6048,                 -8041,                  4363,                    -10,                 -3031,                 -2487,,                  1395,                 42123,                 11159,                 -1222,                 -2321,                 51134,                 48647,                120637,                147570,                  1866,                   -820,                   -924,                147692,,                 10950,                -30339,                              0,                     13,                   -521,                 -1186,                -21083,,               -299000,                    270,                              0,                              0,                  2864,               -295866,                   -244,               -169501,                390029,                220528,                220528,,,,,,,
3016,2014年01月01日至2014年06月30日,,                 35815,                 35815,,,                 45286,                  1467,                     44,                 -3973,                  3746,                 -1550,                  1212,                  1906,,                   -255,                  5880,                 53763,,,                 94730,                   -111,                -80327,                  1074,                 -9747,                  8523,                     -6,                              0,                 14136,,                   -630,                 35931,                 13595,                   -975,                   -781,                 47140,                 61276,                115039,                150854,                  1550,                   -399,                   -482,                151523,,,                -29123,                    -26,                              0,,,                -29149,,               -299000,                    253,                              0,,                  2024,               -296723,                    345,               -174004,                390029,                216025,                216025,                              0,,,,,,
3016,2014年01月01日至2014年03月31日,,                 20977,                 20977,,,                 22540,                    772,                     44,                 -1710,                  2035,                   -817,                  1161,                    834,,,,                 24859,,,                -25425,                   -585,                 -9232,                 -6548,                 -4887,                  6376,                     -4,                              0,                -40305,,                   -630,                 19194,                  3848,                   -572,                   -389,                 21451,                -18854,                  6005,                 26982,                    817,                   -201,                   -540,                 27058,,,                -23375,                    -29,                              0,,                              0,                -23404,,,,                              0,,,                              0,                    390,                  4044,                390029,                394073,                394073,                              0,,,,,,
3016,2013年度,,                -26386,                -26386,,,                 93920,                  2155,                   -229,                 -9513,                  8146,                 -2524,                  4644,                  7164,                    259,                              0,                  6000,,,,                 17923,                   -118,                 25270,                  1422,                 29441,                  6395,                    -10,                              0,                 80323,,                              0,                 -8023,                 -2510,                   -335,,                -12375,                 67948,                177970,                151584,                  2524,                   -893,                   -621,                152594,,                              0,                -16986,,                    122,                 -4233,,                -21097,,                              0,                  2277,,,                              0,                  2277,                 -1582,                132192,                257837,                390029,                390029,,,                110022,                 -1507,                              0,,
3016,2013年01月01日至2013年12月31日,,                -26386,                -26386,,,                 93920,                  2155,                   -229,                 -9513,                  8146,                 -2524,                  4644,                  7164,                    259,,                  6000,,,,                 17923,                   -118,                 25270,                  1422,                 29441,                  6395,                    -10,,                 80323,,,                 -8023,                 -2510,                   -335,,                -12375,                 67948,                177970,                151584,                  2524,                   -893,                   -621,                152594,,,                -16986,,                    122,                 -4233,,                -21097,,,                  2277,                              0,                              0,,                  2277,                 -1582,                132192,                257837,                390029,                390029,,,                110022,                 -1507,,,                              0
3016,2013年01月01日至2013年09月30日,,                  8843,                  8843,,,                 71941,                  1389,                    152,                 -4767,                  6065,                 -1854,                  3483,                  4961,                    259,                              0,                              0,,,,                 24688,                   -114,                -14275,                 -5213,                  1850,                  6891,                    -10,                              0,                 13817,,                   -630,                 -1455,                 -3944,                    -19,,                 -7241,                  6576,                 88205,                 97048,                  1854,                   -646,                   -480,                 97776,,                              0,                 -7983,,                     79,                 -4035,                 -2513,                -14452,,                              0,                  2324,,,                              0,                  2324,                 -1013,                 84635,                257837,                342472,                342472,                     79,,                 81629,                 -1272,,,
