證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　 收取之股利,　　 短期借款減少,　　 現金增資,　　　　　 其他營業資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 舉借長期借款
3049,2015年01月01日至2015年06月30日,,                103946,                -74180,                 29766,,,                675603,                 25232,                              0,                 86370,                 -5251,                              0,                   -263,                              0,                 14180,                 -9662,                 60000,                              0,                  1159,                847368,,,                    147,                182395,                   -856,                 -5242,                205858,                110792,                              0,                 15778,                508872,,               -256640,                 45740,                -50958,               -285158,                -71471,                 12799,               -605688,                -96816,                750552,                780318,                  6008,                -83243,                              0,                703083,,                              0,                              0,                 14889,                              0,                 63339,               -208374,                  2414,                 -1368,                              0,                              0,              1228889,                   -419,                              0,              1099370,,                 89371,                              0,             -1500000,             -1410629,                              0,                391824,              1079876,              1471700,              1471700,,,,,,,,,,,,
3049,2015年01月01日至2015年03月31日,,                181102,                -44180,                136922,,,                337607,                 12501,                              0,                 45107,                 -2536,                              0,                    413,                              0,                 14180,                 -9662,                 30000,                              0,                    311,                427921,,,                    174,                 94358,                   -340,                 -3342,                212203,                -31124,                              0,                  4030,                275959,,               -214293,                 35691,                -20857,                 39313,                    -56,                  9990,               -150212,                125747,                553668,                690590,                  2694,                -43452,,                649832,,,,                 14889,                              0,                 62349,               -119510,                  1347,                 -1368,                              0,                   -310,                789750,,                   -453,                746694,,                 59834,                              0,               -700000,               -640166,                              0,                756360,              1079876,              1836236,              1836236,,,,,,,,,,,,
3049,2014年度,,                726679,                -65633,                661046,,,              1383381,                 50278,                  8675,                258515,                 -5294,                              0,                -15650,,               -192074,                              0,                201316,                              0,                 10620,,,,                   -147,                232394,                 22005,                144243,               -187708,                184884,                   -448,                 -4469,                390754,,               -100115,                 13239,               -401807,                -82085,               -128525,                -15893,               -715186,               -324432,              1374960,              2036006,                  4379,               -264153,                -70248,              1706359,,                -25000,               -149975,,                              0,              2460163,               -758089,                148975,                 -1848,                  5008,             -1274995,              1733328,,                  5447,              2143014,,,               -299903,             -4530000,             -4143446,                 11599,               -282474,              1362350,              1079876,              1079876,,                   -375,                              0,              1699392,                    375,             -1313542,              1999999,,,,,
3049,2014年01月01日至2014年09月30日,,                529808,                111418,                641226,,,              1036530,                 37856,,                210518,                 -2046,                              0,               -192630,,,,                              0,                 39853,                    122,,,,                  1049,                193113,                 11812,                143351,                -91503,                160888,                   -335,                  1073,                414524,,               -300043,                 14092,               -373789,               -278304,               -119592,,             -1092884,               -678360,                451468,              1092694,                  2043,               -207698,                -70248,                816791,,                -25000,               -149975,,,                              0,               -602027,              4239782,                 -1848,,                  4440,,                  6521,,              3472268,,,               -299903,             -3730000,             -3051823,                 14622,              1251858,              1362350,              2614208,              2614208,,                   -375,                              0,              1129828,                    375,             -1021919,              1999999,                 -4924,                              0,                -35248,                              0,
3049,2014年01月01日至2014年06月30日,,                408278,                111418,                519696,,,                691341,                 25167,                 -7818,                144488,                 -1679,                              0,                 -4158,                    157,               -192074,                              0,                              0,                 60455,                  9252,                725131,,,                   -137,                432401,                -33572,                134690,               -395222,                 53456,                   -222,                 24857,                216251,,               -229019,                 14197,               -351095,               -238476,                -95138,                -30605,               -930136,               -713885,                 11246,                530942,                  1676,               -141044,                -70248,                321326,,                -25000,               -149975,                              0,                              0,                              0,               -501214,              4126255,                 -1848,                              0,                              0,                 28520,                              0,                  6355,              3483093,,               -669726,               -299903,             -2730000,             -3699629,                  4225,                109015,              1362350,              1471365,              1471365,,,,,,,,,,,,
3049,2014年01月01日至2014年03月31日,,                188743,                111418,                300161,,,                346038,                 12452,                 -7818,                 71525,                   -472,                              0,                    -40,                    157,               -192074,                              0,                              0,                 78610,                  5151,                313529,,,                              0,                364528,                -54852,                115256,               -333130,                 64961,                  1057,                 13024,                170844,,                -93811,                   -578,               -290413,               -302725,                -28347,                -26332,               -742206,               -571362,               -257833,                 42328,                    469,                -71596,,                -28799,,,,                              0,                              0,                              0,               -362466,              4083433,                              0,                              0,                              0,                 27397,,                    187,              3748551,,             -1318801,               -299903,             -1930000,             -3548704,                 -3663,                167385,              1362350,              1529735,              1529735,,,,,,,,,,,,
3049,2013年度,,              1771369,             -1462030,                309339,,,              2110424,                 21835,                              0,                364547,                 -1686,                 31656,                 -8852,,                              0,               -239218,                550057,                -21406,                  1247,,,,                  7685,                248277,                 11061,                -67183,                -14596,                351637,                 -5985,                 38833,                569729,,               -837044,                    578,                170240,                405104,                167896,                -41243,               -134469,                435260,              3244791,              3554130,                  1683,               -358680,                              0,              3197133,,                              0,                              0,,                561628,                              0,             -1480651,                404761,                -17460,                              0,                -40240,                              0,,                  9370,               -562592,,,                299903,             -2100000,             -2479435,                 -1463,                153643,              1208707,              1362350,              1362350,,                              0,                    927,              2809531,                              0,               -679338,                              0,,,,,
3049,2013年01月01日至2013年12月31日,,              1771369,             -1462030,                309339,,,              2110424,                 21835,                              0,                364547,                 -1686,                 31656,                 -8852,,,,                550057,                -21406,               -237971,,,,                  7685,                248277,                 11061,                -67183,                -14596,                351637,                 -5985,                  2892,                569729,,               -837044,                    578,                170240,                405104,                167896,,               -134469,                435260,              3244791,              3554130,                  1683,               -358680,,              3197133,,,,,                561628,,             -1480651,                404761,                -17460,,                -40240,,                  9370,,               -562592,,,                299903,             -2100000,             -2479435,                 -1463,                153643,              1208707,              1362350,              1362350,,,                    927,              2809531,,               -679338,,                 35941,                              0,                -41243,,                              0
3049,2013年01月01日至2013年09月30日,,              2005720,             -1309756,                695964,,,              1615477,                 13834,,                273906,                   -712,                 21308,                 -8852,,,,                114080,                121533,                              0,,,,                 -3878,               -237142,                  6053,                -79309,               -116540,                186060,                   -275,                 29651,               -222904,,               -465477,                    148,                 13032,                397501,                141549,,                 28871,               -194033,              1958838,              2654802,                    712,               -268898,                              0,              2386616,,                              0,                              0,,,                473120,             -1277779,                148241,                -17460,,                -50782,,                  9360,,               -715300,,,                299981,             -1100000,             -1051743,                 11180,                630753,              1208707,              1839460,              1837894,,                              0,                  2297,              2152871,                              0,               -251724,                              0,                 -7524,                 -6725,                -51157,                  1566,
3049,2013年01月01日至2013年06月30日,,              1087395,               -660153,                427242,,,              1068290,                  8286,                              0,                176719,                   -598,                 12870,                  7511,,,,                114029,                 22423,                              0,,,,                 -2284,               -745652,                -44779,                -70945,               -280775,                 32314,                   -182,                 -7806,             -1093327,,                -81597,                  1962,                 91782,                662057,                 94601,,              1014047,                -79280,              1330370,              1757612,                    595,               -173725,                              0,              1584482,,                              0,                              0,,,,               -864130,                163077,                   -695,,                -50000,,                  8912,,               -742836,,,                299923,               -550000,               -833509,                 -2613,                  5524,              1208707,              1214231,              1214231,,,                    120,              1409650,,               -583432,,                 26782,                 96570,                148672,,
