證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得按攤銷後成本衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 現金減資,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融負債增加（減少）,　　 取得無活絡市場之債務工具投資,　　　　 其他項目,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 存出保證金減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 處分投資性不動產,　　 其他金融負債減少,　　 其他應付款－關係人增加
2611,2015年01月01日至2015年09月30日,,                 70747,                 70747,,,                 43845,                 10909,                 11012,                 26761,                 -4620,                -32966,                 -7936,                -11877,                  1320,                  1644,                              0,                    668,                 38760,,,                 37047,                  4708,                -44325,                  3866,                  2037,                 22179,                 -8636,                    354,                              0,                 17230,,                  7060,                  2060,                 -6786,                 -1235,                -31600,                     81,                 -2828,                   -163,                -33411,                -16181,                 22579,                 93326,                -26719,                 -3826,                 62781,,                 -9985,               -648106,                613273,                -20002,                 40727,                              0,                              0,                              0,                              0,                -61562,                 12807,                 -1080,                 -1541,                   -452,                  2844,                 32966,                -40111,,               -180000,                 49043,                              0,                 -9550,                              0,                              0,                   -476,                              0,                              0,                -18904,               -159887,               -137217,                316671,                179454,                179454,,,,,,,,,,,,,,,,,
2611,2015年01月01日至2015年06月30日,,                 34708,                 34708,,,                 29591,                  7245,                  2337,                 17747,                 -2944,                 -6862,                              0,                 -2097,                    935,                 -4533,,                    491,                 41910,,,                 35615,                  6025,                 -3494,                  2031,                 -4756,                 22668,                    -81,                 -5716,                  3869,                 56161,,                 -3811,                    895,                 -5459,                 -1427,                -62452,                      6,                 -4632,                   -268,                -77148,                -20987,                 20923,                 55631,                -17651,                   -953,                 37027,,                 -9985,               -580769,                543259,                 -5001,                 30742,                              0,,,,                -11988,                  2362,                 -1115,                 -1210,                  2101,                  1872,,                -29732,,                -30000,                -39939,,                -12200,                              0,                   -317,,,                              0,                -12888,                -95344,                -88049,                316671,                228622,                228622,                              0,                              0,,,,,,,,,,,,,,,
2611,2015年01月01日至2015年03月31日,,                 31627,                 31627,,,                 17196,                  3665,                  1599,                  8793,                 -1422,,                              0,                   -878,                    427,                -14148,,                              0,                 15232,,,                 25639,                  3687,                 -1859,                  1436,                  1647,                 21579,                 -3825,                 -3370,                  3869,                 48803,,                  1147,                  3260,                 -9126,                 -2372,                -44820,                    -54,                 -2760,                     93,                -54632,                 -5829,                  9403,                 41030,                 -8741,                   -420,                 31869,,,               -286097,                288630,                              0,                 24143,,,                              0,                              0,                -19552,                 10106,                              0,                 -1011,                   -870,                    719,,                  3845,,               -170000,                -39887,,                -21369,                              0,,                   -158,,,                              0,               -231414,               -195700,                316671,                120971,                120971,                              0,                -10650,                              0,                              0,                              0,                 -1573,                              0,,,,,,,,,,
2611,2014年度,,                 70357,                 70357,,,                 60367,                 13499,                 -3113,                 33826,                -13866,                -20841,                  6153,                 11639,                  2189,                -42904,                 18593,                    617,,,,                170469,                 20885,                 39409,                 18666,                  6018,                -24309,                 -3466,                   -450,                              0,                227222,,                 -7459,                  1309,                  1407,                  2966,                -38777,                   -620,                 -7823,,                -52094,                175128,                241230,                311587,                -33769,                -54401,                223417,,                -26997,             -1157802,                990893,,                 33295,                  7400,                              0,                              0,                              0,                -99046,                  9681,               -150266,                 -1044,                 -5446,                 13385,                 20841,               -229358,,                195000,                 69848,                 23900,,                     -7,                   -620,,                 -3156,                              0,                -56608,                156670,                150729,                165942,                316671,                316671,,,                     12,,,,,,                    -69,                 66102,                 -3097,                              0,                135648,                              0,                    100,                -71687,
2611,2014年01月01日至2014年09月30日,,                 63404,                 63404,,,                 41467,                 10232,                 -3957,                 24720,                -11116,                -20060,                  6153,                 -3938,                  1235,                -36985,                              0,                 19210,                 26961,,,                202848,                 12931,                 10824,                  8197,                -28492,                 -5252,                 -6724,                 21451,                              0,                215783,,                  6268,                    165,                  1155,                  1184,                -83728,                   -656,                 -7379,                  3701,                -79290,                136493,                163454,                226858,                -24747,                -56254,                145857,,                -26997,               -622366,                544442,                135648,                 22880,                  7400,                              0,                              0,                              0,                -99351,                 13424,               -150363,                 -1131,                 -2019,                  9875,                 20060,               -148498,,                409220,                 74883,                              0,               -274220,                  1559,                              0,                              0,                -71687,                 -3156,                -55891,                 80708,                 78067,                165942,                244009,                244009,,,,,,,,,,,,,,,,,
2611,2014年01月01日至2014年06月30日,,                -12167,                -12167,,,                 29192,                  6868,                 -5456,                 16207,                 -9445,                 -1982,                  6153,                 -3819,                    998,                -15462,,                 19222,                 42476,,,                207581,                 12833,                 30525,                  4882,                 -8911,                 -5517,                 -5759,                 13721,                              0,                249355,,                  5575,                   -477,                  6682,                    741,                  3847,                   -448,                -12047,                  2467,                  6340,                255695,                298171,                286004,                -16171,                -53819,                216014,,                -26997,               -384363,                299857,                 13751,                              0,                  7400,,,,                -16507,                  4778,                   -209,                 -1043,                 -5251,                  8377,,               -100207,,                125000,                 44964,,                -88000,                     15,                   -308,,,                 -3156,                -55891,                 22624,                138431,                165942,                304373,                304373,                              0,                              0,,,,,,,,,,,,,,,
2611,2014年01月01日至2014年03月31日,,                  1419,                  1419,,,                 18220,                  3787,                    -41,                  7995,                 -4090,,                    764,                 -3306,                    485,                 -7548,,                    629,                 16895,,,                107473,                 11882,                 50316,                  7860,                  3528,                 -2995,                 -1653,                  6033,                              0,                182444,,                 -5889,                 -1530,                  6784,                  1243,                -49529,                   -435,                -10850,                  1233,                -58973,                123471,                140366,                141785,                 -7995,                   -453,                133337,,,               -203609,                111714,                  8468,                              0,,,                              0,                              0,                -10786,                  3865,                              0,                 -1473,                 -1112,                  4090,,                -91749,,                -65000,                 44785,,                -29000,                  1059,,                              0,,,                 -2539,                -50695,                 -9107,                165942,                156835,                156835,                              0,                              0,                              0,                              0,                 -2997,                     91,                              0,,,,,,,,,,
2611,2013年度,,                 65547,                 65547,,,                 71962,                 14067,                 11887,                 30079,                -20084,                -17737,                 56755,                -14906,                  3850,               -140414,                              0,                   -522,,,,                -70823,                 -7176,                -44655,                -14280,                 -8465,                  9404,                 29408,                  1553,                 10051,                -94983,,                -14147,                  2707,                -13663,                 -3038,                -22133,                 65165,                 13913,,                 27188,                -67795,                -72089,                 -6542,                -34099,                 -8022,                -48663,,               -103600,               -777389,                797598,,                              0,                 18297,               -127500,                -20002,                 -5002,                -54463,                 30572,                    449,                 -2012,                 -6583,                 20317,                 17737,                -62859,,                220000,                 10022,                 43755,,                     83,                -67365,,                 -9000,                              0,                              0,                112153,                    631,                165311,                165942,                165942,,,                    769,,,,,,                              0,                 -4294,                 -1616,               -124338,                139586,                133474,                              0,                -85342,
2611,2013年01月01日至2013年12月31日,,                 65547,                 65547,,,                 71962,                 14067,                 11887,                 30079,                -20084,                -17737,                 56755,                -14906,                  3850,               -140414,                              0,                    247,,,,                -70823,                 -7176,                -44655,                -14280,                 -8465,                  9404,                 29408,                  1553,                 10051,                -94983,,                -14147,                  2707,                -13663,                 -3038,                -22133,                 65165,                 14252,,                 27527,                -67456,                -71750,                 -6203,                -34099,                 -8022,                -48324,,               -103600,               -777389,                797598,,                              0,                 18297,               -127500,                -20002,                 -5002,                -54463,                 30233,                    449,                 -2012,                 -6583,                 20317,                 17737,                -63198,,                220000,                 10022,                 43755,,                     83,                -67365,,                 -9000,                              0,                              0,                112153,                    631,                165311,                165942,                165942,                              0,,                              0,,,,,,,                 -4294,                 -1616,               -124338,                139586,                133474,,,                -85342
2611,2013年01月01日至2013年09月30日,,                -12699,                -12699,,,                 55867,                 10557,                  4002,                 22530,                -15491,                -17737,                 17588,                -10213,                  3532,                -15003,                              0,                              0,,,,                -44832,                 -4524,                -60751,                 -8461,                -17018,                  7700,                 25456,                    578,                 10051,                -91801,,                 -1127,                  2962,                 37877,                 -2603,                -14582,                 64525,                 -1448,,                 79944,                -11857,                 43775,                 31076,                -22530,                -10161,                 -1615,,               -103600,               -514882,                499072,,                              0,                 18297,               -127500,                -20002,                 -5002,                -58029,                 24567,               -199814,                 -2306,                -11464,                 15491,                 17737,               -445600,,                394500,                 49961,                100255,                              0,                  1898,                -66710,,                              0,                              0,                              0,                479904,                 32689,                165311,                198000,                198000,,,,,,,,,,                 55632,                 -5660,,                 21835,,,,
