證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 短期借款減少,　　 發放現金股利,　　 取得子公司股權,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分無活絡市場之債券投資,　　 其他非流動資產減少,　　 其他非流動負債減少
2704,2015年01月01日至2015年09月30日,,                406815,                406815,,,                284165,                    -46,                 18049,                 -1631,                -97806,                 -9561,                   -130,                              0,                193040,,,                 10790,                -31264,                    529,                  4813,                -31518,                     42,                -46608,,                 12264,                 -9227,                -11566,                -20760,                -35011,                -64300,               -110908,                 82132,                488947,                  1575,                -94110,                396412,,                    -17,                              0,                -81000,               -273344,                    250,                  3575,                 97806,               -252730,,                -60000,                138000,                307000,               -475246,                 13777,                -19011,                -95480,                 48202,                398873,                447075,                447075,,,,,,,,,,,,,,,
2704,2015年01月01日至2015年06月30日,,                245739,                245739,,,                185988,                    -46,                 11534,                 -1059,,                  5944,                    -35,                              0,                202326,,,                  3812,                 -7251,                  2063,                 10800,                -46697,                    779,                -36494,,                 24690,                  3303,                -83605,                -20099,                  2014,                -73697,               -110191,                 92135,                337874,                  1049,                -60607,                278316,,                    -17,,                              0,               -215743,                     35,                  3435,,               -212290,,                 38000,                100500,                249000,               -370164,                  3015,                -12346,                  8005,                 74031,                398873,                472904,                472904,,,,,,,,,,,,,,,
2704,2015年01月01日至2015年03月31日,,                145255,                145255,,,                 92857,,                  5766,                   -508,,                  3419,                              0,,                101534,,,                  8656,                  5212,                  1246,                 16192,                -37898,                    810,                 -5782,,                 24411,                 -1664,                -90622,                -10446,                  1001,                -77320,                -83102,                 18432,                163687,                    477,                    -10,                164154,,                    -17,,,               -104765,                              0,                     83,,               -104699,,                 20000,                 73000,,               -135082,                    -34,                 -6405,                -48521,                 10934,                398873,                409807,                409807,,,,,,,,,,,,,,,
2704,2014年度,,                499004,                499004,,,                368641,                   -315,                 26120,                 -2375,                -91371,                    634,                    567,                    190,,,,                   -842,                 -1404,                 -3154,                -12476,                 -3615,                   -114,                -21605,,                 -5346,                  2999,                 34351,                  9428,,                 23453,                  1848,                303939,                802943,                  2390,                -75066,                730267,,,                  3067,                -80000,               -223036,                    274,                 -2023,                 91371,               -210364,,,                -39000,                 70000,               -390328,                 15533,                -26603,               -494009,                 25894,                372979,                398873,                398873,,                              0,                              0,                302091,                -17979,                              0,                    -17,                 60000,               -183461,                   -150,,,,,
2704,2014年01月01日至2014年09月30日,,                416968,                416968,,,                275775,                    -43,                 19639,                 -1679,                -91331,                 -2761,                    -26,                     11,                199585,,,                  3639,                 -3548,                 -3771,                 -7965,                -16759,                 -3712,                -32116,,                  5166,                 -9564,                -31652,                 -5080,                -19364,                -60494,                -92610,                106975,                523943,                  1675,                -74735,                450883,,                    -17,                  3066,                -80000,               -142849,                     85,                   -795,                 91331,               -129179,,                              0,                 47000,                 55000,               -415246,                  1157,                -19870,               -331959,                -10255,                372979,                362724,                362724,,,,,,,,,,,,,,,
2704,2014年01月01日至2014年06月30日,,                243912,                243912,,,                182918,                    -33,                 13219,                 -1116,,                  7409,                    -26,                     10,                202381,,,                  2343,                -11378,                 -2596,                 -3533,                -27673,                 -8678,                -51515,,                 16078,                  1868,                -64283,                 -9497,                -16022,                -71856,               -123371,                 79010,                322922,                  1139,                -45648,                278413,,                    -17,,                              0,                -82742,                     85,                   -880,,                -83554,,                              0,                -33000,                 28000,               -150164,                    413,                -13238,               -167989,                 26870,                372979,                399849,                399849,,,,,,,,,,,,,,,
2704,2014年01月01日至2014年03月31日,,                143072,                143072,,,                 90552,,                  6741,                   -479,,                  4670,                    -32,,                101452,,,                  2875,                -12692,                   -718,                 -1515,                -28778,                 -1406,                -42234,,                 24418,                -24755,                -84691,                 -2049,                    507,                -86570,               -128804,                -27352,                115720,                    438,                    -12,                116146,,                    -17,,,                -34844,                     67,                  1397,,                -33397,,                              0,                  5000,,                -85082,                    129,                 -6652,                -86605,                 -3856,                372979,                369123,                369123,,,,,,,,,,,,,,,
2704,2013年度,,                438523,                438523,,,                358814,                     13,                 49982,                 -1993,                -72529,                  1955,                  1902,                  2857,,,,                  1401,                 -1912,                  1466,                -16336,                 -6605,                   -973,                -22959,,                    472,                  9099,                 19188,                  5880,,                 22431,                   -528,                313490,                752013,                  1968,                -78866,                675115,,,                              0,               -130000,               -172061,                    984,                -19795,                 72529,               -239919,,,                  3008,              2056000,             -2190328,                 -1367,                -29115,               -326571,                108625,                264354,                372979,                372979,,                 -3918,                -23065,                314018,                -12208,                 28441,                -20017,                -18000,               -146769,                              0,,,,,
2704,2013年01月01日至2013年12月31日,,                438523,                438523,,,                358814,                     13,                 49982,                 -1993,                -72529,                  1955,                  1902,                  2857,,,,                  1401,                 -1912,                  1466,                -16336,                 -6605,                   -973,                -22959,,                    472,                  9099,                 30612,                  5880,,                 33855,                 10896,                324914,                763437,                  1968,                -78866,                686539,,,,               -130000,               -183650,                    984,                -19795,                 72529,               -251508,,,                  3008,              2056000,             -2190328,                 -1367,                -28950,               -326406,                108625,                264354,                372979,                372979,,                 -3918,                -23065,                314018,                -12208,                 28441,                -20017,                -18000,               -146769,,                              0,                              0,                              0,                              0,
2704,2013年01月01日至2013年09月30日,,                345100,                345100,,,                264941,                   -156,                 42378,                 -1269,                -65244,                 -2992,                    -64,                              0,,,,                  8837,                -13945,                 -5191,                -14281,                -15268,                -13550,                -53398,,                  5193,                 -5398,                -34263,                 -7101,,                -55151,               -108549,                102062,                447162,                  1224,                -78238,                370148,,,                              0,               -130000,               -127388,                    115,                 -9110,                 65244,               -172715,,                 -3000,                 48003,                830000,               -959246,                 -2067,                -21497,               -107807,                 89626,                264354,                353980,                353980,,                 -3918,                -23065,                210611,                -13582,                 28441,                    -17,,,,,,,,
