證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 處分採用權益法之投資
1582,2015年01月01日至2015年09月30日,,                930266,                930266,,,                 92239,                  7738,                 -3961,                    398,                 13103,                -51754,                 -9035,                  6661,                  4786,                 15156,                              0,                 -9574,                    201,                 65958,,,                    326,                -13257,                170232,                 -9849,                 10710,                158162,,               -146965,                -64040,                  2491,                 -1433,               -209947,                -51785,                 14173,                944439,                -14226,               -308709,                621504,,                              0,                -32924,                -66356,                 14178,                              0,                  5411,                 -5180,                              0,                216857,                 -9024,                 52094,                              0,                              0,                175056,,                              0,               -967789,                795850,                  2463,                              0,               -674354,               -843830,                -63463,               -110733,              2714813,              2604080,              2604080,,,,,,,,,
1582,2015年01月01日至2015年06月30日,,                511249,                511249,,,                 63190,                  4807,                 -5784,                   -155,                  9236,                -36841,                 -3562,                  5623,                  3710,                 16140,,                  3866,                    134,                 60364,,,               -178654,                 46673,                592901,                -31185,                 -6898,                422837,,               -284968,                 13957,                 -6098,                   -949,               -278058,                144779,                205143,                716392,                 -9944,               -137670,                568778,,                              0,                -32924,                -36659,                  3591,                -56779,,                 -2900,                              0,                185246,                 -9462,                 37553,,                              0,                 87666,,                              0,               -897514,                795850,                  2539,                              0,,                -99125,                -68830,                488489,              2714813,              3203302,              3203302,,,,,,,,,
1582,2015年01月01日至2015年03月31日,,                245028,                245028,,,                 32556,                  2359,                 -1461,                   -432,                  3707,                -15449,                 -1529,                    880,,                  4154,,                  2588,                     67,                 27440,,,               -184038,                 77640,                367273,                -92528,                -50411,                117936,,               -302262,                 -2724,                -10632,                   -465,               -316083,               -198147,               -170707,                 74321,                 -3025,                -68675,                  2621,,                              0,                -11000,                -21134,                    540,                -39411,                              0,                 -1900,                              0,                101873,                 -6876,                 16519,,,                 19813,,                              0,               -817369,                795850,                    120,,,                -21399,                -62168,                -61133,              2714813,              2653680,              2653680,                              0,                -18798,,,,,,,
1582,2014年度,,              1243981,              1243981,,,                131640,                  7994,                  2009,                   -312,                 17505,                -64554,                -16193,                  7578,                 18971,,,                  5475,                -43723,,,,,                 -9175,               -309015,                 33847,                -20325,               -304668,,                165199,                 73569,                    680,,                237548,                -67120,                 -2098,              1241883,                -15717,               -427894,                798272,,                              0,                 -9088,                -91051,                 28553,                -17593,                              0,                 -8534,                -91390,                              0,                 -4173,                 64559,                 30916,                              0,               -164461,,                584112,,,                     50,                              0,               -524497,                 59665,                140274,                833750,              1881063,              2714813,              2714813,,                -43952,,                 -1276,                    -92,                 65022,                 -1900,                -22800,                     92
1582,2014年01月01日至2014年09月30日,,                890472,                890472,,,                 98664,                  5682,                 -1373,                 -1364,                 12063,                -47124,                 -8950,                  5916,                 15617,                              0,                -22427,                  1998,                    193,                 58895,,,                              0,                 65163,               -456359,                  5582,                -18679,               -404293,,                277596,                 90908,                 11741,                 -1470,                378775,                -25518,                 33377,                923849,                -11503,               -342461,                569885,,                              0,                 -9088,                -66207,                 14320,                -10184,                              0,                 -7277,               -108342,                              0,                 -4711,                 47496,                 29640,                              0,               -114353,,                470258,                              0,                              0,                     49,                              0,               -524497,                -54190,                 39437,                440779,              1881063,              2321842,              2321842,,,,,,,,,
1582,2014年01月01日至2014年06月30日,,                543742,                543742,,,                 67309,                  3612,                   -871,                              0,                  4862,                -30156,                 -4748,                  4795,                  9182,                -28140,,                  7466,                    129,                 33440,,,                              0,                125720,               -198960,                 53605,                -14874,                -34509,,                 61938,                 82472,                 -4635,                   -894,                138881,                104372,                137812,                681554,                 -4002,               -226908,                450644,,                              0,                 -9088,                -52385,                 14128,                -39276,,                 -4034,                              0,                 60567,                 -6593,                 30886,,                              0,                 -5795,,                 50463,                              0,                              0,                              0,                              0,,                 50463,                 15022,                510334,              1881063,              2391397,              2391397,,,,,,,,,
1582,2014年01月01日至2014年03月31日,,                190590,                190590,,,                 33368,                  1776,                   -145,                              0,                  2774,                -10328,                 -1607,                  3030,,                -24197,,                 -1537,                     65,                  3199,,,                              0,                113640,                139130,                 33183,                  9436,                295389,,               -155981,                101270,               -131828,                   -621,               -187160,                108229,                111428,                302018,                 -2489,                -89500,                210029,,                              0,                 -6625,                -25489,                  5708,                 -3565,                              0,                 -2502,                              0,                 73249,                 -7086,                 11405,,,                 45095,,                 55027,                              0,                              0,                     24,,,                 55051,                 71835,                382010,              1881063,              2263073,              2263073,                              0,                              0,,,,,,,
1582,2013年度,,                986449,                986449,,,                130202,                  7183,                 -5411,                  1374,                  6492,                -43398,                -12929,                  1646,                              0,,,                  3726,                 29050,,,,,                -25436,               -614807,                -74567,                -59878,               -774688,,                333345,                  9306,                 -8964,,                331987,               -442701,               -324766,                661683,                 -3626,               -365057,                293000,,                -47740,                -21284,                -91532,                  3376,                              0,                  6932,                -11271,                              0,                  6246,                 -2888,                 42243,                              0,                              0,               -115918,,                335667,,,                              0,                   -329,               -586000,               -250662,                218882,                145302,              1735761,              1881063,              1881063,,                              0,,                              0,                              0,                117935,                 -1700,                              0,                              0
1582,2013年01月01日至2013年12月31日,,                986449,                986449,,,                130202,                  7183,                 -5411,                  1374,                  6492,                -43398,                -12929,                  1646,                              0,,,                  3726,                 29050,,,,,                -25436,               -614807,                -74567,                -59878,               -774688,,                248924,                 54858,                 29905,,                331987,               -442701,               -324766,                661683,                 -3626,               -365057,                293000,,                -47740,                -21284,                -91532,                  3376,                              0,                  6932,                -11271,                              0,                  6246,                 -2888,                 42243,                              0,                              0,               -115918,,                335667,,,                              0,                   -329,               -586000,               -250662,                218882,                145302,              1735761,              1881063,              1881063,,,,,,                117935,                 -1700,,
1582,2013年01月01日至2013年09月30日,,                751220,                751220,,,                 97826,                  5227,                  6821,                  1374,                  6506,                -39615,                 -8712,                    444,                              0,                 19285,                              0,                -12031,                    189,,,,,                 59595,               -585679,                -49763,                -63934,               -639781,,                422177,                 58586,                 35148,,                516098,               -123683,                -46369,                704851,                 -1075,               -301397,                402379,,                -47740,                              0,                -60150,                  1845,                              0,                 15845,                 -4697,                -23907,                              0,                -11900,                 38821,                              0,                              0,                -91883,,                425527,,,                              0,                 -1240,               -586000,               -161713,                162002,                310785,              1735761,              2046546,              2046546,,,,,,                 77314,                    187,,
