證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 存出保證金減少,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 處分投資性不動產,　　　　　 其他金融資產（增加）減少,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　　　 處分無形資產損失（利益）,　　　　　 預付款項（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款減少,　　　　　 其他應付款－關係人增加（減少）,　　 取得待出售非流動資產,　　 存入保證金增加,　　　　　 遞延貸項增加（減少）
3041,2015年01月01日至2015年09月30日,,               -116675,               -116675,,,                 37122,                 98093,                              0,                 -3451,                     91,                -42093,                    -42,                 73140,                              0,                    223,                              0,                -23371,                  4479,                 19044,                 -2334,                  8039,                168940,,,                -38025,                              0,                -64197,                 66701,                122920,                 61266,                148665,,               -161491,                -92213,                  5293,                 -4354,               -252765,               -104100,                 64840,                -51835,                 44540,                     42,                    -91,                -37131,                -44475,,                -12291,                 39382,                              0,                712727,                              0,                -32178,                     44,                    -39,                -23893,                    507,                    562,                684821,,                              0,               -239526,                -41433,               -280959,                 -2800,                356587,                418878,                775465,                775465,,,,,,,,,,,,,,,,,,,,,,
3041,2015年01月01日至2015年06月30日,,               -151044,               -151044,,,                 24027,                 65318,                              0,                    799,                     87,                -29626,,                 54611,                              0,                    220,                              0,                 -2968,,                 39527,                  1046,                  2867,                155908,,,                -40990,                              0,                   -510,                124517,                -30484,                 49377,                101910,,               -186673,                -91336,                  5249,                -25944,               -298704,               -196794,                -40886,               -191930,                 30253,,                    -87,                -35355,               -197119,,                 -8178,                  7117,                              0,                427148,                              0,                 -8884,                     43,                              0,                -36132,                    507,                    213,                381987,,                              0,,,                              0,                -10321,                174547,                418878,                593425,                593425,                              0,                    153,,,,,,,,,,,,,,,,,,,,
3041,2015年01月01日至2015年03月31日,,                  5560,                  5560,,,                 11787,                 33378,                              0,                    134,                     21,                -15196,,                 26867,                              0,                     29,                              0,                 -2991,,,                  1472,                              0,                 72992,,,                 54043,                              0,                -20105,                 81041,                  8463,                 49734,                173176,,                -58333,                -41778,                  3059,                 -7361,               -104413,                 68763,                141755,                147315,                 18057,,                    -21,                 -4083,                161268,,                 -8241,                  7172,                              0,                208271,,                 -6281,                     10,                              0,                -35303,,                    632,                166704,,,,,,                -10051,                317921,                418878,                736799,                736799,                 17491,                    444,                              0,,,,,,,,,,,,,,,,,,,
3041,2014年度,,                312656,                312656,,,                 45369,                118657,                     97,                 -2515,                     42,                -61703,                    -50,                 93694,                              0,                  1512,,                 -1702,                 25965,                  5269,                 -2426,,,,,               -146016,                      4,                433405,               -371728,               -168741,                -84580,               -337656,,                 18690,                -92691,                  5436,                 11329,                -57236,               -394892,               -129507,                183149,                 63441,                     50,                    -42,               -108199,                138399,,                -20083,                  3485,,,                              0,                -29339,                    185,                   -414,               -124719,,,               -620564,,                  1126,               -688910,,               -687784,                 11460,             -1158489,              1577367,                418878,                418878,                 43176,,                   -683,,                              0,                265385,               -403134,                -45862,                              0,,,,,,,,,,,,,
3041,2014年01月01日至2014年09月30日,,                275721,                275721,,,                 34009,                 87079,                    521,                 -2179,                     26,                -46579,                    -50,                 68228,                              0,                    637,                              0,                 -1690,                 25965,                 38574,                  1013,                    156,                205710,,,                -24290,                      4,                308020,               -498834,               -161594,                -34693,               -411387,,                112408,               -108883,                  1392,                -10041,                 -5124,               -416511,               -210801,                 64920,                 45210,                     50,                    -26,               -103294,                  6860,,                -19728,                  3459,               -323436,                              0,                              0,                -18675,                     23,                     66,                -16190,                              0,                              0,               -374481,,                              0,               -688910,                              0,               -688910,                  4532,             -1051999,              1577367,                525368,                525368,,,,,,,,,,,,,,,,,,,,,,
3041,2014年01月01日至2014年06月30日,,                141581,                141581,,,                 22834,                 60130,                    643,                 -2647,                     24,                -32056,,                 33737,                              0,                    520,                              0,                              0,,                 14052,                  3176,                    156,                100569,,,                -16917,                      4,                392239,               -204686,               -188481,                -18348,                -36189,,                 -6003,               -116273,                  6793,                 -5572,               -121055,               -157244,                -56675,                 84906,                 31269,,                    -24,                -67527,                 48624,,                 -9927,                              0,               -185419,                              0,                              0,                -14675,                     20,                              0,                -10376,                              0,                    -51,               -220365,,                              0,,,                              0,                 -4027,               -175768,              1577367,              1401599,              1401599,                              0,                     63,,,,,,,,,,,,,,,,,,,,
3041,2014年01月01日至2014年03月31日,,                 92991,                 92991,,,                 11611,                 31676,                    645,                  4010,                     16,                -15385,,                 16868,                              0,                     45,                              0,                              0,,,                    190,                     10,                 56346,,,                 -6272,                      4,                358523,               -248016,                -50358,                  4007,                 57888,,                 61482,                -90643,                    869,                  5364,                -22928,                 34960,                 91306,                184297,                 17789,,                    -16,                 -1239,                200831,,                              0,                              0,             -1003136,                              0,,                -10944,                     20,                    -15,                 -3302,,                              0,             -1017428,,,,,,                   -173,               -816770,              1577367,                760597,                760597,                  6660,                              0,                    -51,,,,,,,,,,,,,,,,,,,
3041,2013年度,,              1003654,              1003654,,,                 46665,                120290,                  2927,                  6465,                     80,                -54189,                    -91,                 55411,                   -282,                  1875,,                              0,                  1140,                              0,                 -1492,,,,,                 -4173,                     -4,                  6656,                -30213,                 95917,                 -8737,                 59446,,               -151039,                  1409,                  1845,                 18795,               -128990,                -69544,               -766729,                236925,                 53708,                     91,                    -80,               -149582,                141062,,                -47698,                              0,,,                -10250,                -46357,                     13,                 -4094,                -98143,,,                 57574,,                 -6731,               -595053,,               -601784,                 17075,               -386073,              1963440,              1577367,              1577367,                 21127,,                              0,,               -897111,               -697185,             -1439536,                              0,              1703639,,,,,,,,,,,,,
3041,2013年01月01日至2013年12月31日,,              1003654,              1003654,,,                 46665,                120290,,                  6465,                     80,                -54189,                    -91,                 55411,                   -282,                  1875,,                              0,                  1140,,                 -1492,,,,,                 -4173,                     -4,                  9583,                -30213,                117044,                   -533,                 83500,,               -151039,                  1409,                  1845,                 18795,               -128990,                -45490,               -766729,                236925,                 53708,                     91,                    -80,               -149582,                141062,,                -47698,                              0,,,                -10250,                -46357,                     13,                 -4094,                -98143,,,                 57574,,                 -6731,               -595053,,               -601784,                 17075,               -386073,              1963440,              1577367,              1577367,,,,,               -897111,               -721239,             -1439536,,              1703639,,,                              0,                 -8204,                              0,                              0,                              0,                              0,                              0,,,,
3041,2013年01月01日至2013年09月30日,,                907953,                907953,,,                 36924,                 88340,                              0,                  4176,                     64,                -36699,                    -91,                 38511,                   -582,               -896899,                     -3,                              0,                              0,,                   -632,,,,,                 -5238,                              0,                108472,                 22851,                -12837,                 -8899,                -82695,,,               -185318,                    827,                  2620,               -181871,               -264566,               -973937,                -65984,                 37283,                     91,                    -64,               -147689,               -176363,,                -47698,                              0,,,                -10071,                -34904,                     13,                 -3910,                -57906,,,                552785,,                 -6731,               -595053,,               -601784,                  5102,               -220260,              1963440,              1743180,              1743180,                 57520,,                 -1762,,,               -709371,               -994616,,              1703639,               -187044,,,,,,,,,,,,
