證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 取得備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 其他非流動資產增加,　　 短期借款減少,　　 存入保證金增加,　　 非控制權益變動,　　 預付設備款減少,　　 其他金融資產增加,　　 其他籌資活動
3705,2015年01月01日至2015年09月30日,,                733372,                733372,,,                241026,                  7129,                  2487,                              0,                 16020,                 -5744,               -101894,                   -602,                  1035,                              0,                   -322,                  1653,                160788,,,                              0,                 -5282,                -59020,                -46587,                  3063,               -234688,                 -9551,                -77327,                 14551,               -414841,,                  4207,                 86787,                -31255,                  3452,                  4548,                 67739,               -347102,               -186314,                547058,                  6600,                 55180,                -16115,               -159367,                433356,,               -277340,                  1669,                   -707,                 -2744,                              0,                 -8647,                -66659,                              0,               -354428,,               -155159,                351300,                -10136,                 -8383,               -507472,               -329850,                 76539,               -174383,              1376793,              1202410,              1202410,,,,,,,,,,,,,,,
3705,2015年01月01日至2015年06月30日,,                464313,                464313,,,                159916,                  4774,                    345,                              0,                  9888,                 -3747,                -58854,                   -454,                    160,                              0,                              0,                  1096,                113124,,,,                 31719,                -63559,                -17693,                  3985,                -73615,                 -4345,                -49831,                  8686,               -164653,,                  3979,                 98203,                -10912,                  5100,                 -3111,                 93259,                -71394,                 41730,                506043,                  4377,                 24430,                -11908,                -63950,                458992,,               -179589,                  1277,                  2566,                 -1214,                              0,                 -6589,                -47859,                              0,               -231408,,                188991,                 46096,                 -5290,                 -8535,                              0,                221262,                -42006,                406840,              1376793,              1783633,              1783633,                              0,                              0,                              0,,,,,,,,,,,,
3705,2015年01月01日至2015年03月31日,,                246515,                246515,,,                 80019,                  2413,                  1255,                              0,                  5068,                 -1322,                -41083,                   -789,                              0,                              0,                              0,                    553,                 46114,,,,                 27702,                -45048,                 -6302,                  2218,                -20508,,                -51006,                -11968,               -104912,,                  1637,                 51667,                -87625,                 -2928,                   -225,                -37474,               -142386,                -96272,                150243,                    807,                              0,                 -4907,                 -4541,                141602,,               -104007,                  1279,                  1100,                   -719,,                   -901,                -23859,                 -3550,               -130657,,                107674,                 49400,                 -2815,                 -7744,                              0,                146515,                -28876,                128584,              1376793,              1505377,              1505377,,                              0,                              0,,,,,,,,,,,,
3705,2014年度,,                932301,                932301,,,                308165,                 12082,                  1254,                              0,                 19093,                 -8791,                -73515,                     56,                    931,                              0,                   -378,                 75371,,,,,                 14833,                -78944,                  3556,                -21967,                -75114,,                 84976,                  3501,                -39159,,                   -514,                 16538,                139399,                 -7060,                -41275,                107088,                 67929,                402197,              1334498,                  9001,                 46634,                -19367,               -177170,              1193596,,               -407309,                    160,                  1450,                 -7868,                              0,               -134915,                              0,                -16407,               -564889,,                 47390,                              0,                -19292,,               -507472,               -479374,                 37868,                187201,              1189592,              1376793,              1376793,                 30000,                              0,                              0,,                334268,,,,,,,,,,
3705,2014年01月01日至2014年09月30日,,                721157,                721157,,,                230440,                  9867,                  2153,                 -1132,                 15080,                 -5787,                -57892,                      5,                    761,                              0,                              0,                  1605,                195100,,,                 30754,                 15380,                -60598,                   -675,                 -4558,                -22286,                -13430,                 19963,                -13897,                -49347,,                    656,                 48325,                 34283,                -11983,                -37559,                 33722,                -15625,                179475,                900632,                  5866,                 46634,                -14422,               -177153,                761557,,               -336081,                    161,                  2870,                 -7525,                              0,                 11832,                -75148,                              0,               -403891,,                -26271,                              0,                -12031,                  7334,               -507472,               -538440,                 28289,               -152485,              1189592,              1037107,              1037107,,,,,,,,,,,,,,,
3705,2014年01月01日至2014年06月30日,,                473919,                473919,,,                152976,                  6787,                     87,                 -1132,                 10182,                 -4463,                -30851,                      5,                    166,                              0,                              0,                  1070,                134827,,,,                -37525,                -45314,                -17389,                  4445,                 63258,                -10978,                 23506,                  2644,                 13401,,                  3789,                 -3945,                 31927,                -15325,                  5153,                 21599,                 35000,                169827,                643746,                  4565,                              0,                 -9931,                -97811,                540569,,               -133442,                    161,                  2457,                 -6986,                              0,                 -1893,                -59822,                              0,               -199525,,                 -5234,                              0,                 -9215,                              0,                              0,                -14449,                 32670,                359265,              1189592,              1548857,              1548857,                 30754,                              0,                              0,,,,,,,,,,,,
3705,2014年01月01日至2014年03月31日,,                234523,                234523,,,                 76127,                  3185,                  2914,                   -646,                  5101,                 -1507,                -21370,                     -3,                    166,                              0,                              0,                    541,                 64508,,,,                 26733,                  6832,                 -9303,                  5726,                 24091,,                -34146,                 -4172,                 15761,,                 17493,                 -9832,                -62703,                -12864,                    806,                -67100,                -51339,                 13169,                247692,                  1513,                              0,                 -4150,                 -2683,                242372,,                -44728,                    149,                 -1513,                 -3779,,                 -3318,                -23996,                 -6914,                -84099,,                  2211,                              0,                 -4609,                 10373,                              0,                  7975,                 27502,                193750,              1189592,              1383342,              1383342,,                              0,                              0,,,,,,,,,,,,
3705,2013年度,,                755001,                755001,,,                359680,                 13874,                 -6184,                              0,                 20279,                 -5242,                -62376,                  3741,                    273,                              0,                    378,                 15285,,,,,                 86172,                 -8540,                 -5897,                 11686,                 74648,,                -63555,                -18275,                 46239,,                    334,                  3275,                 43376,                 29874,                 38692,                115551,                161790,                501498,              1256499,                  3907,                 48703,                -20056,                -95159,              1193894,,               -273368,                    422,                 -2970,                -21242,                   -607,                -65555,                              0,                 -6506,               -561865,,                167578,                              0,                -10432,,               -456725,               -299579,                 39627,                372077,                817515,              1189592,              1189592,                -30000,                   -310,               -191729,,                339708,,,,,,,,,,
3705,2013年01月01日至2013年12月31日,,                755001,                755001,,,                359680,                 13874,                 -6184,                    378,                 20279,                 -5242,                -62376,                  3741,                    273,                              0,                              0,                 15285,,,,,                 86172,                 -8540,                 -5897,                 11686,                 74648,,                -63555,                -18275,                 46239,,                    334,                  3275,                 43376,                 29874,                 38692,                115551,                161790,                501498,              1256499,                  3907,                 48703,                -20056,                -95159,              1193894,,               -273368,                    422,                 -2970,                -21242,                   -607,                -65555,,                 -6506,               -561865,,                167578,                              0,                -10432,,               -456725,               -299579,                 39627,                372077,                817515,              1189592,              1189592,                -30000,                   -310,               -191729,,                339708,,,,                              0,,                              0,,,                              0,                              0
3705,2013年01月01日至2013年09月30日,,                519183,                519183,,,                266192,                 10745,                 -5713,                              0,                 14565,                 -2160,                -49632,                    745,                    446,                              0,                    702,                              0,,,,,                 83856,                 19173,                 -6832,                 21654,                 67786,                 -3640,                -71201,                -14562,                 96234,,                  1475,                -44697,                 56954,                 29439,                    110,                 43281,                139515,                375405,                894588,                  2160,                 48704,                -13045,               -110526,                821881,,               -161526,                    136,                              0,                -21897,                   -606,                -63223,                              0,,               -473552,,                154691,                              0,                 -5564,,               -456725,               -307598,                 31129,                 71860,                817515,                889375,                889375,,                              0,               -191729,,                235890,                -30000,                              0,                 -4707,                              0,                              0,                              0,                              0,,,
