證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 備供出售金融資產之淨損失（利益）,　　　　 利息收入,　　　　 各項保險負債淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收保費（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付保險賠款與給付增加（減少）,　　　　　 應付佣金增加（減少）,　　　　　 應付再保往來款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　　　　 應付票據增加（減少）
2832,2014年度,,                780207,                780207,,,                 24693,                    525,                 -2169,                -65739,                -81928,                -59335,                227120,                    -99,                  3518,                              0,                   -641,                 45945,,,                 -2489,                -79569,                564047,               -207756,                -47110,                 14819,               -251736,               -560869,               -570663,,                 -2555,                 25546,                -31344,                  5537,                    995,                 61404,                 10003,                 69586,               -501077,               -455132,                325075,                 58537,                100979,               -124693,                359898,,                -98000,                 18015,                -15606,                    333,                -13537,                 -4019,                -15248,               -128062,,                              0,                 -1368,               -400199,               -401567,               -169731,              2712884,              2543153,              2543153,,,,,,,
2832,2014年01月01日至2014年09月30日,,                559837,                559837,,,                 18600,                    241,                 20970,                 -6596,                -81928,                -43728,                213477,                   -267,                  3518,,                   -608,                123679,,,                 -3594,                -45496,                  1287,               -227958,               -210280,                 46090,               -102927,                -13239,               -556117,,                  4231,                 18453,                 67743,                 -3345,                    796,                 30570,                  5880,                124328,               -431789,               -308110,                251727,                 40265,                 82627,               -122954,                251665,,,                 18015,                 -9840,                    333,,                 -3092,                -13702,                -21019,,                              0,                 -2388,               -400199,               -402587,               -171941,              2712884,              2540943,              2540943,                -12733,                              0,,,,,
2832,2014年01月01日至2014年06月30日,,                391435,                391435,,,                 12479,                     22,                 17728,                -16591,                -25489,                -28363,                153378,                   -267,,,                   -880,                112017,,,                -22722,               -213152,                 -1235,                 80936,                -26590,                 18240,               -101847,                -13953,               -280323,,                     11,                 28420,                222306,                -19582,                    599,                 30570,                  3073,                265397,                -14926,                 97091,                488526,                 15278,                  1359,                -67166,                437997,,,                 18015,                 -5404,                    333,                              0,                   -796,                -11612,                 -8825,,                              0,                 -2106,,                 -2106,                427066,              2712884,              3139950,              3139950,                 -9361,,,,,,
2832,2014年01月01日至2014年03月31日,,                246461,                246461,,,                  6319,,                  5202,                -28724,                -19030,                -12767,                 28241,                   -267,,                    222,,                -20804,,,                   -463,               -128386,                -89694,                  5697,                 12510,                -45337,                 -6325,                   -119,               -252117,,                 41347,                  7954,                141500,                -33781,                    417,                              0,                  7659,                165096,                -87021,               -107825,                138636,                  4258,,                   -423,                142471,,,,                 -4165,                    333,                 -4463,,                -11611,                -19906,,                 -2125,,,                 -2125,                120440,              2712884,              2833324,              2833324,,,,,,,
2832,2013年度,,                933388,                933388,,,                 25184,                              0,                -15254,               -170746,               -112208,                -50764,                  2884,                              0,                              0,                  1270,                              0,               -319634,,,                 29584,                 84258,                 11009,                -38359,                 55720,                -18827,                 43726,                   -460,                166651,,                  1898,                  3674,                -33358,                 37696,                 -4468,                157882,                 -2956,                160368,                327019,                  7385,                940773,                 67885,                 84531,                -76142,              1017047,,                              0,                 15900,                 -4546,                              0,                 -3683,                              0,                -19803,                -12132,,                    571,                              0,               -400199,               -399628,                605287,              2107597,              2712884,              2712884,,,,,,,
2832,2013年01月01日至2013年12月31日,,                933388,                933388,,,                 25184,,                -15254,               -170746,               -112208,                -50764,                  2884,,,                  1270,,               -326939,,,                 29584,                 84258,                 11009,                -38359,                 55720,                -18827,,                   -460,                122925,,                  1898,                  3674,                -33358,                 37696,                  1337,                157882,                 -2956,                166173,                289098,                -37841,                895547,                 67885,                 84531,                -76142,                971821,,                              0,                 15900,                 -4546,,                 -3683,,                -19803,                 33094,,                    571,,               -400199,               -399628,                605287,              2107597,              2712884,              2712884,,,                 -1500,                 -5805,               -313269,                358495,
2832,2013年01月01日至2013年09月30日,,                701501,                701501,,,                 18875,                              0,                -16354,               -111852,               -104751,                -36855,                 -2175,                              0,                              0,,                              0,               -253112,,,                 25034,                 40457,                 21537,               -108434,                 56470,                  8640,                 92375,                   -844,                135235,,                  4372,                  8705,                 10484,                 44128,                 -4656,                 95132,                  1167,                159332,                294567,                 41455,                742956,                 46375,                 78141,                -74540,                792932,,,                 15900,                 -1687,                              0,,                              0,                -17855,                -10044,,                    404,                              0,               -400199,               -399795,                383093,              2107597,              2490690,              2490690,                 -6402,                              0,,,,,
2832,2013年01月01日至2013年06月30日,,                411679,                411679,,,                 12624,                              0,                -12448,                -52095,                     60,                -24835,                 78959,                              0,,,                              0,                  2265,,,                 12270,               -178032,                -10867,                -54747,                 61150,                -36527,                 28323,                  2375,               -176055,,                 14736,                 21307,                190271,                 -1706,                 -2670,                 62949,                 -2014,                282873,                106818,                109083,                520762,                 16681,                              0,                -34019,                503424,,,                 15900,                   -843,                              0,                  2328,                              0,                 -9552,                  7833,,                    328,                              0,,                    328,                511585,              2107597,              2619182,              2619182,                              0,,,,,,
2832,2013年01月01日至2013年03月31日,,                202297,                202297,,,                  6341,,                  8203,                -75142,                    529,                -11810,                208711,                              0,,                              0,,                136832,,,                 12859,               -155632,                  8752,                190103,                 83010,               -280899,                 86229,                 -6382,                -61960,,                 17628,                 21786,                144170,                -24390,                 -3065,                 32250,                 -1050,                187329,                125369,                262201,                464498,                 12939,,                   -799,                476638,,,,                    -23,                              0,                  4298,,                 -5731,                 -1456,,                    -84,,,                    -84,                475098,              2107597,              2582695,              2582695,,,,,,,
2832,2012年01月01日至2012年12月31日,,                774628,                774628,,,                 25621,,                -21312,               -220252,                -72295,                -51581,                -22918,,,                              0,,               -384670,,,                -17709,                -49029,                 29772,                246953,                -13834,                125976,,               -141819,                180310,,                -14911,                    550,                -36401,                 16380,                  1899,                375394,                  5088,                347999,                528309,                143639,                918267,                 52488,                 98007,               -142197,                926565,,                -60000,                 10000,                 -3457,,                 -9589,,                -10058,               -262363,,                   -108,,               -422028,               -422136,                242066,              1865531,              2107597,              2107597,,,                              0,                -21933,               -277954,                 88695,
