證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 應付短期票券減少,　　 處分無活絡市場之債務工具投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他非流動資產增加,　　　　 攤銷費用,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　　　 股利收入,　　 預付設備款增加,　　　　 其他項目,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1521,2015年01月01日至2015年09月30日,,                440061,                440061,,,                104396,                  1898,                    636,                   -958,                -34049,                    462,                    -19,                              0,                  1113,                 -8884,                 -6381,                 58214,,,                 -2438,                 67662,                -99585,                  5031,                -50552,                 74983,                 -8788,                -13687,,                 13213,                    112,                -30698,                -11339,                -48159,                -62136,                  5106,                -11532,               -145433,               -159120,               -100906,                339155,                    958,                 16916,                   -522,                -83237,,,                273270,                273270,,                -40000,                 40019,                              0,                -71046,                 -3245,                    731,                -73541,,                 66915,                              0,                              0,                    -40,                     47,               -327789,               -260867,                   -641,                -61779,                155360,                 93581,                 93581,,,,,,,,,,,,,,,,,,
1521,2015年01月01日至2015年06月30日,,                315762,                315762,,,                 68089,                  2169,                    333,                   -830,                -31329,                    185,                     -6,                              0,                  1056,                 -7223,                  8515,                 40959,,,                 -2520,                -25669,                -42847,                 -4066,                  8435,                 83594,                 -2069,                 14858,,                -24269,,                -14364,                 -1105,                -40148,                -20322,                  7151,                 -8288,               -101345,                -86487,                -45528,                270234,                    830,,                   -187,                -39997,,,,                230880,,                -40000,                 30006,                              0,                -50447,                 -1864,                    136,                -62169,,                339016,                 30000,                              0,,,,                118445,                   -776,                286380,                155360,                441740,                441740,               -220571,                -30000,,,,,,,,,,,,,,,,
1521,2015年01月01日至2015年03月31日,,                204324,                204324,,,                 32327,                  1418,                    135,                   -471,                -17357,                              0,                     -5,,                    695,                 -2938,                 10090,                 23894,,,                 -5766,                -37236,                -85901,                  4249,                 62908,                 72488,                 -7414,                  3328,,                -23020,,                -34275,                 -9335,                -87271,                -39842,                  3806,                 -5043,               -194980,               -191652,               -167758,                 36566,                    471,,                   -135,                 -1353,,,,                 35549,,                -39950,                 39955,,                -27391,                    -14,                              0,                -27400,,                234151,,,,,,                 93445,                   -442,                101152,                155360,                256512,                256512,               -140706,,                              0,,,,,,,,,,,,,,,
1521,2014年度,,                453396,                453396,,,                106113,                  5226,                    803,                 -1600,                -24538,                    561,                    -76,                  2419,                 11915,                 -2198,                 -9195,,,,                  2789,                -45056,                -43125,                 15421,                -90747,                -47203,                 -6185,               -214106,,                     -4,                 -5031,                115604,                 19468,                    829,                -42227,                     92,,                 77778,               -136328,                -46898,                406498,                  1600,                 16354,                   -803,                -52347,,,,                371302,,                -70000,                 70076,,               -178533,                 -5551,                  9220,               -166198,,                748328,,                     89,,,               -282051,               -281962,                     70,                -76788,                232148,                155360,                155360,               -748328,,,,                 89430,                              0,                -10953,                              0,                -24934,                 33524,,,,,,,,
1521,2014年01月01日至2014年09月30日,,                346264,                346264,,,                 78640,                  1946,                    683,                 -1242,                -19703,                    149,                    -76,                  1315,                  8140,                 -1598,                 -3572,                 64682,,,                 -1566,                 34058,                 12475,                 22168,                -22410,                -67338,                 -4370,                -26983,,                -17888,                   -894,                -11425,                 -1145,                -61714,                -27578,                    409,                 -8759,               -128994,               -155977,                -91295,                254969,                  1242,                 16354,                   -505,                -52287,,,                219773,                219773,,                -70000,                 70076,                -16251,               -106190,                 -2656,                  4956,               -120065,,                101765,                 29997,                     90,                              0,                     22,               -282051,               -150177,                   -592,                -51061,                232148,                181087,                181087,,,,,,,,,,,,,,,,,,
1521,2014年01月01日至2014年06月30日,,                236704,                236704,,,                 51831,                  2276,                    359,                   -985,                -17545,                    149,                    -76,                  1315,                  3662,                 -1028,                   -670,                 39288,,,                  1780,                 -6459,                 14248,                 10489,                -43367,                -52790,                 -3292,                -79391,,                -27819,,                -13893,                 -9052,                -54880,                 40972,                  2188,                 -6407,                -68891,               -148282,               -108994,                127710,                    985,,                   -284,                -21867,,,,                106544,,                -60000,                 60076,                -15576,                -64039,                 -1275,                  3056,                -77758,,                354950,                 30000,                    100,,,,                 90295,                    491,                119572,                232148,                351720,                351720,               -264755,                -30000,,,,,,,,,,,,,,,,
1521,2014年01月01日至2014年03月31日,,                127856,                127856,,,                 26029,                  1182,                    223,                   -483,                 -9436,                    143,                     -9,,                  3329,                   -507,                  6355,                 26826,,,                 -1858,                 83241,                -37827,                 12432,                -16864,                -41692,                 -8850,                -11418,,                -37763,,                 -7757,                -11365,               -114012,                 47926,                    288,                 -4056,               -126739,               -138157,               -111331,                 16525,                    483,,                   -223,                 -1895,,,,                 14890,,                -10000,                 10009,,                -35062,                    -76,                    750,                -30712,,                200380,,,,,,                100380,                   -792,                 83766,                232148,                315914,                315914,               -100000,,                  3667,,,,,,,,,,,,,,,
1521,2013年度,,                367306,                367306,,,                113878,                 -1174,                    952,                   -765,                -59750,                    222,                  2021,                              0,                  5684,                 -2011,                 -6753,,,,                 -4008,               -151055,                 25377,                -13748,               -117174,                  2711,                  1729,               -256168,,                 11026,                 50504,                 98797,                 -7907,                 97074,                 26038,                   -690,,                263616,                  7448,                 59752,                427058,                    765,                 15952,                   -952,                -47128,,,,                395695,,               -185000,                186139,,               -111465,                 -1388,                    460,               -117054,,                873352,,                              0,,,               -266805,               -266805,                     31,                 11867,                220281,                232148,                232148,               -873352,,,,                 52304,                    423,                -11649,                  2790,                 -8590,                              0,,,,,,,,
1521,2013年01月01日至2013年12月31日,,                367306,                367306,,,                113878,                 -1167,                    952,                   -765,                -59750,                    222,                  2021,,                  5684,                 -2011,,,,,                 -4008,               -151796,                 17233,                -13704,               -117174,                  2711,                  1729,               -265009,,                 61530,,                 98870,                 -5899,                 97074,                 26038,                   -690,,                265697,                    688,                 59752,                427058,                    765,                 15952,                   -952,                -47128,,,,                395695,,               -185000,                186139,,               -111465,                   -928,,               -117054,,,,,,,               -266805,               -266805,                     31,                 11867,                220281,                232148,                232148,                              0,,,,                 59064,                    423,                -11649,                  2790,                 -8590,                              0,,                              0,                              0,                              0,,,,
1521,2013年01月01日至2013年09月30日,,                227457,                227457,,,                 88118,                     96,                    709,                   -541,                -42862,                    145,                    -97,                              0,                  5675,                 -1494,                   -170,,,,                 -7767,                -41195,                 13676,                  6996,                -45929,                -77578,                 -2928,               -154725,,                  3848,,                 -9607,                -23983,                  2330,                 78251,                   -560,,                 41522,               -113203,                -63624,                163833,                    541,                 15952,                   -709,                -50862,,,,                128755,,               -185000,                180097,,                -36212,                   -928,                              0,                -50504,,                109478,                              0,                              0,,                              0,               -266805,               -157327,                     45,                -79031,                220281,                141250,                141250,,,,,                 49579,,                 -8757,,                 -8450,                              0,                    -11,,,,,,,
