證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　　　　 負債準備增加（減少）,　　 存入保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　　 其他應收款（增加）減少,　　 其他投資活動,　　 其他借款增加,　　 舉借長期借款
3011,2015年度,,               -112571,               -112571,,,                 68292,                    233,                  4801,                  4365,                 -4738,                  1621,                 -2016,                              0,                              0,                 19601,                  4300,                  1005,                 97464,,,                  4783,                   -395,                -31436,                 17754,                    260,                 -9034,,                    842,                 64027,                 -8064,                  2735,                 -3603,                 -3550,                 52387,                 43353,                140817,                 28246,                 -3575,                    -74,                 24597,,                              0,                 58006,                              0,                -24472,                  6610,                 -1522,                              0,                              0,                  1168,                  4738,                 44528,,                              0,                 -6503,                    685,                              0,                              0,                 -5818,                -46674,                 16633,                444225,                460858,                460858,,,,,,,,,,,,,,,,,,
3011,2015年01月01日至2015年09月30日,,               -105428,               -105428,,,                 50170,                    239,                 -4105,                  3345,                 -3879,                  1457,                   -226,,,                 27208,                -16920,                    540,                 57829,,,                  2957,                 -3056,                -53614,                 14905,                   -498,                -39306,,                    653,                 51921,                 -6364,                 -5459,                     48,                 -3558,                 37241,                 -2065,                 55764,                -49664,                 -3345,                   -769,                -53778,,                              0,                 56839,                              0,                -15784,                  5451,                   -808,                              0,                              0,                  1834,                  4013,                 51545,,                  9108,,                    541,                              0,,                  9649,                -19037,                -11621,                444225,                432604,                432604,,,,,,,,,,,,,,,,,,
3011,2015年01月01日至2015年06月30日,,                -62518,                -62518,,,                 34098,                    587,                 -3935,                  2354,                 -2890,                    599,                   -203,,,                 21612,                 -3455,                    618,                 49385,,,                  3520,                 25080,                -51351,                  9527,                   -493,                -13717,,                   -205,                 18865,                 -3816,                 -2430,                     31,                 -1573,                 10872,                 -2845,                 46540,                -15978,                 -2354,                   -137,                -18469,,                              0,                 58058,,                 -8349,                  4246,,                    139,                              0,                  1014,                  3024,                 58132,,                 -5894,,                    305,,,                 -5589,                -33075,                    999,                444225,                445224,                445224,,,,,,,,,,,,,,,,,,
3011,2015年01月01日至2015年03月31日,,                -15761,                -15761,,,                 17085,                    307,                 -6030,                  1078,                 -1331,                    427,                   -205,,,                  2291,                   -665,                    312,                 13269,,,                  1913,                 68018,                -16282,                 12511,                      4,                 66164,,                   -189,                -32681,                 -7155,                 -2726,                     13,                     96,                -42642,                 23522,                 36791,                 21030,                 -1078,                   -890,                 19062,,                              0,                 21888,,                 -1293,                  2975,,                     49,                              0,                    528,                  1428,                 25575,,                              0,                 -2623,                    954,,,                 -1669,                -10197,                 32771,                444225,                476996,                476996,,,,,,,,,,,,,,,,,,
3011,2014年度,,                -79966,                -79966,,,                 71681,                     59,                 23512,                  3898,                 -5075,                  1958,                    412,                 13502,                   -171,                 19674,                -11328,                    877,                118999,,,                 -4389,                131318,                   -979,                  6382,                     93,                132425,,                 -1710,                -64193,                -20656,                    542,                    253,                  3169,                -82595,                 49830,                168829,                 88863,                 -4118,                 -1728,                 83017,,                -46249,                              0,                -11000,                -40769,                 24884,                              0,                 21635,                 -2285,                              0,                  5075,                -48709,,                 38546,                              0,                  3199,                              0,                              0,                 41745,                 37978,                114031,                330194,                444225,                444225,,,,,,,,,,,,,,,,,,
3011,2014年01月01日至2014年09月30日,,                -41514,                -41514,,,                 54315,                     29,                 12300,                  2889,                 -3314,                  1553,                    389,,,                 22723,                    470,                    864,                 92218,,,                 -4536,                 77606,                 20161,                  8843,                    305,                102379,,                 -1545,                -39753,                -20657,                  1617,                    189,                  3069,                -57080,                 45299,                137517,                 96003,                 -2889,                 -1724,                 91390,,               -159361,                              0,                 -5000,                -24844,                  1563,                              0,                 24517,                 -1243,                              0,                  4111,               -160257,,                 44633,,                    426,                              0,,                 45059,                 23209,                   -599,                330194,                329595,                329595,,,,,,,,,,,,,,,,,,
3011,2014年01月01日至2014年06月30日,,                -27941,                -27941,,,                 37576,                    208,                  8389,                  1829,                 -2336,                   -370,                              0,,,                 17625,                    361,                    578,                 63860,,,                 -6516,                 84659,                 37154,                 10102,                   -123,                125276,,                 -1783,                -55526,                 -8020,                 -4256,                    122,                  1697,                -67766,                 57510,                121370,                 93429,                 -1829,                              0,                 91600,,                -85666,                              0,,                -12659,                              0,,                 24591,                 -1502,                              0,                  3338,                -71898,,                 40898,,                    857,,,                 41755,                  1094,                 62551,                330194,                392745,                392745,,,,,,,,,,,,,,,,,,
3011,2014年01月01日至2014年03月31日,,                -11402,                -11402,,,                 18879,                    169,                  6354,                    861,                 -1255,                   -499,                              0,,,                  8354,                  3843,                    292,                 36998,,,                   -375,                 67492,                 19094,                   -813,                    -18,                 85380,,                    740,                -94614,                -12837,                  3554,                     60,                    -27,               -103124,                -17744,                 19254,                  7852,                   -861,                              0,                  6991,,                -83309,                              0,,                 -7288,                              0,,                 24067,                    -42,                              0,                  1129,                -65443,,                 46095,                              0,                    260,,,                 46355,                 11676,                   -421,                330194,                329773,                329773,,,,,,,,,,,,,,,,,,
3011,2013年度,,                -97897,                -97897,,,                 75770,                 13816,                  8960,                  3908,                 -3065,                   -522,                   -460,                              0,                              0,                 56018,                 -1174,                  1088,,,,                    733,                 24839,                 62521,                  7848,                              0,                 95941,,                 -7770,                -52688,                 -8161,                 -1471,,                  3158,                -66734,                 29207,                183485,                 85588,                 -3908,                              0,                 81680,,,,                 -3000,                -30765,                    865,                -51744,                              0,                              0,                  3161,                  1732,                -40468,,,                   -747,                    722,                 -3904,                 -7368,                -11297,                 10849,                 40764,                289430,                330194,                330194,,                    -61,                154278,                    198,                              0,                 15002,                -16651,                 -7622,                 48554,,,,,,,,,
3011,2013年01月01日至2013年12月31日,,                -97897,                -97897,,,                 75770,                 14866,                  8960,                  3908,                 -3065,                   -522,                   -460,,,                 56018,                 -1174,                     38,,,,                    733,                 24839,                 62521,                  7848,                              0,                 95941,,                 -7770,                -52688,                 -8161,                 -1471,,                  3158,                -66734,                 29207,                183485,                 85588,                 -3908,,                 81680,,,,                 -3000,                -30765,                    865,                -51744,,                              0,                  3161,                  1732,                -40468,,,                   -747,                    722,                 -3904,                 -7368,                -11297,                 10849,                 40764,                289430,                330194,                330194,,                    -61,                154278,                    198,                              0,                 15002,                -16651,                 -7622,                 48554,,,                              0,                              0,                              0,,,,
3011,2013年01月01日至2013年09月30日,,                -83178,                -83178,,,                 57488,                 12423,                  6938,                  3026,                 -4128,                    391,                   -378,,,                 67007,                 -1201,                    805,,,,                    983,                 14493,                 57515,                 -2743,                     35,                 70283,,                 -6931,                -98441,                 -3739,                  9786,,                  2414,                -96765,                -26482,                115828,                 32650,                 -3026,                              0,                 29624,,,,                              0,                -17640,                    695,                -50502,                              0,                              0,                  3163,                  3228,                 -2479,,                 56647,,                    390,                 -3904,,                 53133,                 13135,                 93413,                289430,                382843,                382843,,                    -61,                142310,                    146,                              0,                 17645,,                 -7622,                 48554,,,,,,,,,
3011,2013年01月01日至2013年06月30日,,                -54999,                -54999,,,                 38736,                  9755,                    514,                  1693,                 -2433,                     84,                   -170,,,                 45953,                  5783,                    507,,,,                  1483,                 10537,                 48262,                -12094,                   -268,                 47920,,                 -6233,                -74779,                  8659,                  9757,,                  2219,                -60280,                -12360,                 88001,                 33002,                 -1693,,                 31309,,,,,                -12218,                    261,                              0,                -50982,                              0,                  3161,                  2077,                -58636,,                 65666,,                    346,,,                 66012,                 18285,                 56970,                289430,                346400,                346400,,                    -61,                100361,                     97,                -41867,,,                 -7622,                 48554,,,,,,,,,
3011,2013年01月01日至2013年03月31日,,                -33246,                -33246,,,                 18985,                  5469,                  3139,                    915,                 -1047,                              0,                     19,,,                 13653,                 -3217,                    285,,,,                  1324,                 45552,                 31825,                 -6403,                 -4127,                 68171,,                   -963,                -63703,                  1208,                  4906,,                              0,                -58499,                  9672,                 47873,                 14627,                   -915,,                 13712,,,,,                 -7456,                     70,,                              0,                              0,                    624,                  1047,                -94835,,                  5931,,                              0,,,                  5898,                 32823,                -42402,                289430,                247028,                247028,,,                 38201,,                -89120,,,,,                     53,                    -33,,,,,,,
3011,2012年01月01日至2012年12月31日,,                 14358,                 14358,,,                 78950,                 25221,                  6619,                  3976,                 -3501,                              0,                   -537,,,                 31188,                  4134,                     37,,,,                    -45,                 28393,                -46109,                 45732,                -42509,                -14538,,                   -139,                 88399,                -19548,                -54097,,                              0,                 15061,                    523,                141918,                156276,                 -3976,,                152300,,,,                              0,                -23815,                  8216,                              0,,                 -3249,                              0,                  3501,                 55704,,,                -31244,                  1129,                -11272,                              0,                -41387,                -31877,                134740,                154690,                289430,                289430,,                              0,                141395,                    446,                 10210,                              0,                              0,                              0,                              0,,,                   -780,                 -3912,                 60841,,,,
3011,2012年01月01日至2012年09月30日,,                 14548,                 14548,,,                 58744,                 22532,                  5758,                  3287,                 -2314,                              0,                   -540,,,                 -3085,                  4131,                    829,,,,                    527,                  5902,                 -3574,                 39279,,                   -331,,                    801,                 70187,                 -9318,                -52557,,                              0,                  9419,                  9088,                 94176,                108724,                 -3548,                   -792,                104384,,,,,                -20430,                  5758,                              0,,                              0,,                  2314,                 -6638,,                -24209,,                    761,                -12529,,                -35977,                -29874,                 31895,                154690,                186585,                186585,,                              0,                 85088,,                -55125,                              0,,                              0,,                    306,,                   -784,                 -3470,                 60845,                -42465,                              0,,
3011,2012年01月01日至2012年06月30日,,                  9750,                  9750,,,                 38449,                 12993,                  2267,                  1987,                 -1706,                              0,                   -110,,,                   -676,                   -106,                    502,,,,                    828,                -52059,                 34401,                -19621,,                -35851,,                  4268,                 93332,                   -480,                 13155,,                              0,                110456,                 74605,                123951,                133701,                 -1987,                   -791,                130923,,,,,                 -9369,                  1738,                              0,,                              0,                     -1,                  1706,                -63626,,                              0,                -27281,                    301,,,                -26980,                -20893,                 19424,                154690,                174114,                174114,,                              0,                 49346,,               -118545,,                              0,                              0,,                    181,,                   -784,                 -3470,                 60845,                    600,                              0,                              0,
3011,2012年01月01日至2012年03月31日,,                 -9076,                 -9076,,,                 18466,                  7528,                 -1282,                  1196,                   -211,,                              0,,,                 14451,                  2366,                    277,,,,                     91,                 35601,                 23599,                -12440,,                 49181,,                    -83,                 37530,                 -8359,                 19988,,,                 49165,                 98346,                140636,                131560,                 -1220,                 -1527,                128813,,,,,                 -3073,                  1869,,,                   -361,                              0,                    211,                -23465,,,,                    255,,,                 31184,                -15685,                120847,                154690,                275537,                275537,,,                 42290,,                -45166,,,,,                     89,                              0,                   -501,,                 23055,                  2330,,,                 30929
