證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 償還公司債,　　　　　 遞延貸項增加（減少）,　　 取得無活絡市場之債券投資,　　 其他應收款增加,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金減少,　　　　　 其他金融負債增加（減少）
3038,2015年01月01日至2015年09月30日,,                252361,                252361,,,                 98536,                    689,                 -1061,                -11675,                 12722,                 -4106,                -13481,                   -844,                -20197,                -28963,                 31620,,,                              0,                -95119,                 -2716,                 32378,                 -8546,                -74003,,                              0,                  1047,                 -8584,                 21697,                  4174,                 -1472,                    -11,                 16851,                -57152,                -25532,                226829,                  4143,                 11581,                -11794,                 -7104,                223655,,                -57130,                 61201,               -478968,                355992,                     -2,                              0,                -29991,                  1152,                 -1434,                              0,                    259,                 -7320,               -156241,,                305735,                              0,               -345800,                -73762,                              0,               -113827,                 21650,                -24763,                767063,                742300,                742300,,,,,,,,,,,,,,,,,
3038,2015年01月01日至2015年06月30日,,                127769,                127769,,,                 66991,                    450,                   -531,                    671,                  8668,                 -2899,                              0,,                -17721,                  7710,                 62365,,,                              0,               -109554,                 -3335,                 37635,                 -4880,                -79858,,                              0,                     36,                -28407,                -30387,                  4725,                   -987,                    -11,                -55031,               -134889,                -72524,                 55245,                  2865,                              0,                 -7979,                 -5102,                 45029,,                -57130,                              0,               -252320,                318510,                     -1,                              0,                -22129,                  1056,                   -247,                     -3,                              0,                 -6443,                -18707,,                277100,                              0,                -36400,,,                240700,                 -4380,                262642,                767063,              1029705,              1029705,                   -974,                    276,,,,,,,,,,,,,,,
3038,2015年01月01日至2015年03月31日,,                 71422,                 71422,,,                 33673,                    227,                   -818,                   -732,                  4264,                 -1495,                              0,,                 -8838,                   -332,                 25955,,,                              0,                -70511,                 -3970,                -43861,                   -318,               -118660,,                              0,                    163,                 43546,                -46037,                  6478,                   -483,                    -11,                  3656,               -115004,                -89049,                -17627,                  1567,                              0,                 -3850,                 -1240,                -21150,,                -57130,,                -65733,                130347,,,                 -3234,,                              0,                     -2,                              0,                 -5060,                   -812,,                165883,                              0,                -36400,,,                129483,                  1054,                108575,                767063,                875638,                875638,                      6,,                              0,,,,,,,,,,,,,,
3038,2014年度,,                213155,                213155,,,                191419,                    946,                 19641,                 -3722,                 19572,                 -7355,                 -8637,,                -35707,                -23716,,,,                 11896,                196121,                 13798,                 59669,                   -886,                280598,,                 -9872,                  2069,               -131243,                 11228,                -21549,,                   -137,               -151263,                129335,                280271,                493426,                  7394,                  8637,                -17215,                 -5296,                486946,,                  2408,,               -718798,                468947,,,                -48663,                  1629,                   -769,                              0,                  1004,                 -8474,               -293391,,                              0,               -160859,                -23000,,                              0,               -183859,                 10938,                 20634,                746429,                767063,                767063,                 -1505,,,,                              0,                150936,                 -1759,                  9325,                              0,                              0,,,,,,,
3038,2014年01月01日至2014年09月30日,,                142899,                142899,,,                157084,                    705,                 19474,                 -1197,                 14995,                 -6102,                 -8637,                 -1505,                -17445,                 -8904,                148468,,,                 11896,                -13729,                 13177,                 44004,                   -322,                 55026,,                 -9872,                  2207,                -38286,                 22284,                -19374,                 -1356,                   -103,                -44500,                 10526,                158994,                301893,                  6018,                  8637,                -12955,                 -4250,                299343,,                              0,                 61525,               -560622,                322227,                              0,                  9298,                -43366,                    229,                   -717,                              0,                  1006,                 -7746,               -218166,,                              0,                -86228,                              0,                              0,                              0,                -86228,                    436,                 -4615,                746429,                741814,                741814,,,,,,,,,,,,,,,,,
3038,2014年01月01日至2014年06月30日,,                 93988,                 93988,,,                108360,                    464,                   -690,                 -1062,                  9983,                 -4279,                 -1964,,                 -6011,                  2125,                106741,,,                 11896,                 46456,                 12653,                 41444,                -11329,                101120,,                 -9777,                   -558,                 -3563,                -14643,                -18157,                   -917,                    -69,                -47684,                 53436,                160177,                254165,                  4000,                    614,                 -8313,                 -3262,                247204,,                              0,                  2180,               -356179,                180649,                              0,                  9498,                -31334,                    229,                   -385,                              0,                  1027,                 -7746,               -202061,,                              0,                -25189,                              0,,,                -25189,                 -7423,                 12531,                746429,                758960,                758960,                   -185,                              0,,,,,,,,,,,,,,,
3038,2014年01月01日至2014年03月31日,,                 55285,                 55285,,,                 54309,                    230,                    215,                   -460,                  5247,                 -1880,                   -296,,                 -2354,                 -6892,                 48123,,,                 11896,                -17570,                 12766,                 -4277,                  5607,                  8422,,                 -9730,                     24,                 72959,                -21403,                -15239,                   -446,                    -34,                 26131,                 34553,                 82676,                137961,                  1187,                    296,                 -3932,                   -946,                134566,,                              0,,               -182639,                 43704,,,                 -5459,,                   -183,                              0,                  1029,                 -7746,               -151294,,                              0,                -94517,                              0,,,                -94517,                     47,               -111198,                746429,                635231,                635231,                      4,,                              0,,,,,,,,,,,,,,
3038,2013年度,,                 61147,                 61147,,,                227290,                    913,                    763,                 -3666,                 19222,                 -3046,                 -5825,,                 -4521,                 -8144,,,,                 -1896,                -86319,                -11328,                -25136,                -13242,               -137921,,                  9436,                    609,                 52594,                -20438,                 38676,,                   -137,                 78540,                -59381,                165457,                226604,                  2649,                  5825,                -16512,                -12750,                205816,,                -58619,,                -94987,                309069,,,                -64679,                  1446,                   -493,                    -12,                              0,                   -536,                  2226,,                179093,                              0,               -120000,,                 76000,                 66784,                  6947,                281773,                464656,                746429,                746429,                   -157,,,,                  2009,                224838,                 -2200,                 61037,               -150000,                -68309,,,,,,,
3038,2013年01月01日至2013年12月31日,,                 61147,                 61147,,,                227290,                    913,                    763,                 -3666,                 19222,                 -3046,                 -5825,,                 -4521,                 -8144,,,,                 -1896,                -86319,                -11328,                -25136,                -13242,               -137921,,                  9436,                    609,                 52594,                -20438,                 38676,,                   -137,                 78540,                -59381,                165457,                226604,                  2649,                  5825,                -16512,                -12750,                205816,,,,                -94987,                309069,,,                -64679,                  1446,                   -493,                    -12,,                   -536,                  2226,,                179093,,               -120000,,                 76000,                 66784,                  6947,                281773,                464656,                746429,                746429,                   -157,,,,                  2009,                224838,                 -2200,,               -150000,                -68309,,                 61037,,,                -58619,,
3038,2013年01月01日至2013年09月30日,,                 42166,                 42166,,,                170868,                    689,                  3762,                 -2658,                 14142,                 -1658,                 -4602,                   -157,                 -3008,                  2546,,,,                 -1896,                -67844,                -18228,                -19132,                -26948,               -134048,,                 19621,                    456,                -26210,                -39697,                 10809,,                   -102,                -36755,               -170803,                  9121,                 51287,                  1062,                  2364,                -12083,                 -7149,                 35481,,                -29479,                              0,                -94053,                260315,,,                -44493,                  1446,                   -455,                   -109,                              0,                              0,               -112078,,                205480,                              0,               -120000,,                 76000,                161480,                   -995,                 83888,                464656,                548544,                548544,,,,,,                179924,                 -1632,,               -150000,,                              0,                -48630,                 -6620,,,,
