證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　 其他項目,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 其他應付款－關係人減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 現金減資,　　　　 處分投資損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 處分子公司,　　 處分待出售非流動資產,　　 處分無形資產,　　　　　 其他營業資產（增加）減少,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　　 持有供交易之金融資產（增加）減少
1467,2015年01月01日至2015年09月30日,,                 34256,                 34256,,,                154285,                 12392,                 14531,                    598,                 48301,                 -7844,                    179,                  7577,                  4779,                  9061,                243859,,,                 -7299,               -196860,                -87832,               -190090,                -27098,                 -1893,                 -1645,               -512717,,                -11406,                170120,                -68635,                 26219,                 12078,                 -8201,                              0,                120175,               -392542,               -148683,               -114427,                  7844,                -48411,                 -3650,               -158644,,                 -8079,               -192467,                 20939,                -14949,                125781,                -41501,                              0,               -110276,,              1304289,             -1212637,                270000,               -290183,                960000,             -1037780,               -105131,                              0,                  1177,                  2749,               -107516,                -30152,               -406588,              1583517,              1176929,              1176929,,,,,,,,,,,,,,,,,,,,,,,,
1467,2015年01月01日至2015年06月30日,,                 -2852,                 -2852,,,                102580,                  9607,                  4356,                     98,                 31929,                 -2930,                    180,                  6527,                  1816,                  6161,                161724,,,                  4565,                -15511,                 83255,               -233840,               -147271,                  2106,                 -2458,               -309154,,                -19737,                104640,                -30122,                -28132,                  6728,                 -5900,                              0,                 27477,               -281677,               -119953,               -122805,                  2930,                -31592,                 -7319,               -158786,,                   -490,               -153850,                 15979,                -10826,                 48794,,                   -682,               -101075,,              1132991,             -1144943,                240000,               -290000,                960000,               -998868,,                              0,                  1176,                  4520,                -95124,                -52164,               -407149,              1583517,              1176368,              1176368,                  1400,                              0,,,,,,,,,,,,,,,,,,,,,,
1467,2015年01月01日至2015年03月31日,,                  1031,                  1031,,,                 52115,                  5289,                  3844,                     18,                 16276,                 -2795,,                  1059,                    417,                  1500,                 79123,,,                 -3311,                268839,                -60718,                -14627,                -92081,                 -6203,                 -7466,                 84433,,                -18337,                  6296,                -40009,                  4673,                 15570,                 -1887,                              0,                -33694,                 50739,                129862,                130893,                  2795,                -16182,                    -32,                117474,,,               -118197,                  2338,                 -6248,,,                   -682,               -140066,,                670367,               -690839,                100000,               -190000,                              0,                -14464,,,,,               -124936,                -40578,               -188106,              1583517,              1395411,              1395411,                  1400,                              0,                -17277,,,,,,,,,,,,,,,,,,,,,
1467,2014年度,,                124376,                124376,,,                202624,                 11265,                 28325,                    282,                 68191,                 -9075,                    590,                  1842,                -13231,                 10362,,,,                 -8926,               -342706,                110729,               -173900,                     -8,                 -3840,                -56129,               -474780,,                 -5813,                 56461,                 51176,                  7969,                   -678,,                  1177,                102316,               -372464,                -71185,                 53191,                  9075,                -68286,                 -8368,                -14238,,                -19288,               -283812,                 30539,                -10079,                 51463,,                -55035,               -295225,,              3117028,             -3247616,              1894000,             -1984000,                789088,               -434175,                -42052,                538271,                  3430,                115635,                749609,                 38683,                478829,              1104688,              1583517,              1583517,,                              0,,,                   -150,                    254,                301279,                 -7976,                    150,                              0,                 -9013,                              0,                              0,                              0,,,,,,,,,,
1467,2014年01月01日至2014年09月30日,,                 80616,                 80616,,,                149014,                  7252,                 10247,                    399,                 44133,                 -5330,                              0,                    841,                   -989,                  5450,                211017,,,                  1668,               -340618,                 39068,               -289269,               -113390,                 -9308,                 20386,               -691463,,                  6915,                158455,                 74565,                  1788,                 12157,                 -6917,                    -23,                246940,               -444523,               -233506,               -152890,                  5330,                -44511,                -13997,               -206068,,                   -850,               -193295,                 16426,                 -7666,                              0,                              0,                -47541,               -232926,,              2493715,             -2862365,              1703868,             -1604000,                548460,               -363075,                -42052,                538271,                  3430,                115344,                531596,                 -9687,                 82915,              1104688,              1187603,              1187603,,,,,,,,,,,,,,,,,,,,,,,,
1467,2014年01月01日至2014年06月30日,,                  8078,                  8078,,,                 96650,                  4518,                 13309,                     72,                 33169,                 -3273,                              0,                    839,                   -729,                  2300,                149475,,,                  1207,                 -7304,                -29966,               -323948,                -90084,                 -2946,                 30956,               -422085,,                 14817,                 47403,                  1301,                 21476,                 18218,                 -4530,                    -23,                 98662,               -323423,               -173948,               -165870,                  3273,                -33506,                 -4729,               -200832,,                              0,               -153405,                 12916,                 -2573,                -24740,,                -47541,               -215343,,              1844829,             -2139820,              1051461,               -951682,                395258,               -360584,,                538271,                              0,                119523,                497256,                 -9361,                 71720,              1104688,              1176408,              1176408,                              0,                  2620,,,,,,,,,,,,,,,,,,,,,,
1467,2014年01月01日至2014年03月31日,,                  8504,                  8504,,,                 48775,                  2143,                 10647,                     23,                 17389,                 -1647,,                    200,                   -276,                              0,                 75193,,,                 18158,                 12396,                 61152,               -210472,                -89880,                    -39,                 28527,               -180158,,                  4245,                164286,                -45560,                  2062,                 17693,                 -2157,                      1,                140570,                -39588,                 35605,                 44109,                  1647,                -17522,                     -3,                 28231,,,               -103050,                 11560,                   -860,,,                -47541,               -143759,,              1066022,             -1051653,                390801,               -340706,                300244,               -130045,,,,,                234663,                 10542,                129677,              1104688,              1234365,              1234365,                              0,                 -2061,                 -3868,,,,,,,,,,,,,,,,,,,,,
1467,2013年度,,                178223,                178223,,,                191869,                 34803,                  2819,                   -763,                 58903,                 -4210,                    535,                  1113,                -22815,                 12527,,,,                 23239,                  5506,               -144821,                -78544,                -35094,                  4131,                106782,               -118801,,                 -7391,               -109684,                 30183,                  6939,                -29177,,                 -2816,               -124306,               -243107,                 45983,                224206,                  4210,                -57377,                 -2568,                168471,,                 -2000,               -268113,                 32379,                 -3345,                  3180,,                              0,                110107,,              3807478,             -3756302,              1370000,             -1300000,              1393095,             -1143280,                -67284,                              0,                              0,               -148893,                  8928,                -29075,                258431,                846257,              1104688,              1104688,,                 14309,,,                              0,                              0,                289090,                -12360,                              0,                    117,                 -1000,                348889,               -145886,                              0,,,,,,,,,,
1467,2013年01月01日至2013年12月31日,,                178223,                178223,,,                191869,                 34803,                  2819,                   -763,                 58903,                 -4210,,                  1113,                -22815,                 12527,,,,                 23239,                  5506,               -144821,                -78544,                -35094,                  4131,                106782,               -118801,,                 -7391,               -109684,                 30183,                  6939,                -29177,,                 -2816,               -124306,               -243107,                 45983,                224206,                  4210,                -57377,                 -2568,                168471,,                 -2000,               -268113,                 32379,                 -3345,                  3180,,,                110107,,                 31062,,                 70055,,                269874,                              0,                -67284,,,               -148893,                  8928,                -29075,                258431,                846257,              1104688,              1104688,,                 14844,                              0,,,,                289090,                -12360,,                    117,                 -1000,                348889,               -145886,,,,                              0,                              0,                              0,                              0,                              0,,,
1467,2013年01月01日至2013年09月30日,,                181438,                181438,,,                137687,                 35140,                 29293,                   -644,                 32728,                 -3726,,                    464,                 -1353,                 12527,,,,                 15994,               -528360,                -86084,               -247109,                 -2230,                  2270,                 99086,               -746433,,                 -1757,                282507,                 14411,                 13411,                -12646,,                 -1979,                293947,               -452486,               -210370,                -28932,                  3726,                -30960,                 -2568,                -58734,,                 -1500,               -176213,                  9189,                 -3342,,,                              0,                176082,,              3177398,             -2935094,              1000000,               -990000,              1240000,               -937094,                -67284,                              0,                  3470,               -146185,                234429,                -24602,                327175,                846257,              1173432,              1173432,,,,,,,                242116,                              0,,,                 -1000,                348889,               -110782,                              0,                     59,,,,,,,,,
