證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
1626,2015年01月01日至2015年09月30日,,                  5877,                  5877,,,                392112,                 15107,                 26605,                 17673,                 71551,                -21780,                 -4018,                   -683,                    482,                 10349,                 -9491,                -13329,                              0,                484578,,,                 19702,                138248,                -68767,                  2733,                737883,                 31975,                861774,,                -13267,               -233875,               -326234,                  2823,                  4353,                  1400,               -164092,                    -27,                  4628,                 -1227,               -725518,                136256,                620834,                626711,                 21780,                -72680,                -35768,                540043,,               -592435,                 15226,                 -3783,                              0,                              0,                -21402,                              0,               -602394,,              4475640,             -4713250,                              0,               -181941,                 46611,                              0,                              0,                              0,                              0,                              0,               -372940,                 57522,               -377769,                523194,                145425,                145425,                              0,,,
1626,2015年01月01日至2015年06月30日,,                178634,                178634,,,                242217,                 10004,                    832,                 -3246,                 58555,                -21780,                 -3999,                   -714,                    250,                 11206,                 -9453,                              0,                              0,                283872,,,                 12477,                489935,             -1004098,                -44633,                800424,                    -70,                254035,,                 -7895,               -273446,                199918,                188570,                   -718,                  6609,               -201846,                    -29,                    265,                 -2680,                -91252,                162783,                446655,                625289,                 21780,                -59571,                -31872,                555626,,               -440528,                  6813,                 -1486,                              0,                              0,                              0,                -16351,               -451552,,                              0,               -298903,                              0,                              0,                 76276,                              0,                              0,                              0,                              0,                              0,               -222627,                 -8555,               -127108,                523194,                396086,                396086,                              0,,,
1626,2015年01月01日至2015年03月31日,,                 23165,                 23165,,,                121493,                  5042,                    733,                  9411,                 31758,                -11409,                   -222,                   -457,                    128,                 11300,                 -9533,                              0,                              0,                158244,,,                  4400,                347660,               -614718,                 -1674,                244068,                 16885,                 -3379,,                 -7205,                -32150,               -104741,                 75829,                    468,                 17984,               -158196,                    -16,                    419,                 -1207,               -208815,               -212194,                -53950,                -30785,                 11409,                -31677,                -10111,                -61164,,               -424095,                  1366,                   -148,                              0,                              0,                              0,                -18406,               -441283,,                              0,                539591,                              0,                              0,                 29197,                              0,                              0,                              0,                              0,                              0,                568788,                 -2209,                 64132,                523194,                587326,                587326,                              0,,,
1626,2014年度,,               -328356,               -328356,,,                421144,                 18726,                 66971,                151052,                 71071,                -64292,                 -4893,                  3431,                    716,                  9278,                -12475,                 -4656,                              0,,,,                 33978,                279895,               -271590,                 44639,               -544162,               -161200,               -618440,,                -83776,                303113,               -147989,                 75447,                  3264,                 56624,                -21371,                    -12,,                 49660,                239761,               -378679,                277394,                -50962,                 64292,                -84870,                -89437,               -160977,,               -991154,                  3381,                -20393,                              0,,                -51643,,             -1059809,,                              0,                415130,              1294191,                -47891,                 12407,                              0,                              0,                              0,               -312360,                              0,              1361477,                 39407,                180098,                343096,                523194,                523194,                              0,,                656073,                  4801
1626,2014年01月01日至2014年09月30日,,               -233319,               -233319,,,                310146,                 13858,                 61670,                148559,                 43716,                -45850,                 -4363,                    -39,                    523,                  9725,                -12393,                   -542,                              0,                525010,,,                 40847,                267064,                -17995,                 37896,               -117473,                -66054,                144285,,                -71639,                 89453,                -38012,                103596,                 -3955,                 18040,               -242756,                    249,                  2542,                 48732,                -93750,                 50535,                575545,                342226,                 45850,                -57618,                -84050,                246408,,               -375124,                  1629,                -13099,                              0,                              0,               -247842,                              0,               -634436,,              3328549,             -3880519,              1294191,                -10425,                  5015,                              0,                              0,                              0,               -312360,                              0,                424451,                 31856,                 68279,                343096,                411375,                411375,                              0,,,
1626,2014年01月01日至2014年06月30日,,               -205235,               -205235,,,                206819,                  9307,                 63017,                242520,                 29598,                -33150,                 -4129,                   -315,                    367,                  9974,                -12416,                              0,                              0,                511592,,,                 35853,                 53319,             -1207141,                 -1930,                  8492,                -47837,             -1159244,,                -80924,                785163,                460426,                175580,                 -2197,                 11833,               -244369,                    155,                  1135,                 47458,              1154260,                 -4984,                506608,                301373,                 33150,                -43776,                -89293,                201454,,               -262870,                    598,                -11964,                              0,                              0,                              0,                -71722,               -345958,,                433949,                              0,                              0,                              0,                              0,                 -9124,                              0,                              0,                              0,                              0,                424825,                 -5036,                275285,                343096,                618381,                618381,                              0,,,
1626,2014年01月01日至2014年03月31日,,               -259055,               -259055,,,                101192,                  4636,                 -3106,                204680,                 11506,                -17125,                 -1472,                   -327,                    188,                 12454,                -12405,                              0,                              0,                300221,,,                 17455,                256032,               -583612,                -22751,               -307032,                -63879,               -703787,,                -17501,                246415,                154891,                162344,                 -2725,                 28372,               -183250,                     46,                    954,                   -249,                389297,               -314490,                -14269,               -273324,                 17125,                -25125,                -23437,               -304761,,               -143106,                    594,                 -4142,                              0,               -139178,                              0,                 -1901,               -287733,,                              0,                615859,                              0,                              0,                              0,                 -3884,                              0,                              0,                              0,                              0,                611975,                  4714,                 24195,                343096,                367291,                367291,                              0,,,
1626,2013年度,,                723382,                723382,,,                363615,                 14971,                 -5404,               -493856,                 45648,                -86653,                 -8180,                  4926,                  1056,                 12208,                -10706,                              0,                  1201,,,,                676600,               -407333,               -391382,                  7042,               -144957,                  7626,               -252404,,               -142970,                218679,                  2865,                  3157,                  3226,                 31191,               -130175,                     40,,                 -1064,                -12257,               -264661,               -425835,                297547,                 86653,                -45551,                -63630,                275019,,               -520838,                  3709,                -29423,                              0,,                  6074,,               -540478,,                              0,                -73621,                              0,                              0,                 12688,                              0,                              0,                -11898,               -306236,                717515,                338448,                 -7414,                 65575,                277521,                343096,                343096,                              0,,               -161174,                  2794
1626,2013年01月01日至2013年09月30日,,                655154,                655154,,,                265840,                 11775,                 -4827,               -361360,                 39843,                -71077,                 -7085,                  1022,                  1161,                  8584,                -10696,                              0,                     39,,,,                558783,               -430810,               -362633,                 40775,                322698,                    418,                129231,,               -115158,                284930,                -62598,                 24537,                  8596,                 15372,               -341171,                     64,,                -10394,               -194317,                -65086,               -191867,                463287,                 71077,                -39641,                -65921,                428802,,               -373905,                  3045,                -18889,                              0,,                   -798,,               -390547,,                              0,               -395448,                              0,                              0,,                 -2798,                              0,,               -306236,                717515,                 13033,                 -7551,                 43737,                277521,                321258,                321258,                              0,,               -126781,                  1505
1626,2013年01月01日至2013年06月30日,,                589742,                589742,,,                171374,                  7210,                  2056,               -367916,                 34386,                -41427,                 -6056,                  1300,                    672,                  7685,                -10584,,                     39,,,,                421986,                -75901,             -1122807,                 21429,                575398,                -49337,               -229232,,                -59747,                481974,                360629,                219170,                  2723,                 16402,               -436676,                      5,,                 -6531,                579881,                350649,                149388,                739130,                 41427,                -35198,                -50737,                694622,,               -247055,                  2662,                -10544,                              0,,                -17040,,               -271977,,               -658699,,,,,                 17391,                              0,,,                717515,                 76207,                -37587,                461265,                277521,                738786,                738786,                              0,,               -201261,                  1932
