證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 長期應收租賃款減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產重分類淨損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　　 應付票據－關係人增加（減少）,　　　　　 遞延貸項增加（減少）,　　 取得無形資產,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　 因合併產生之現金流入,　　 收取之股利,　　 發行特別股負債,　　 現金增資,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　　　　 其他金融負債增加（減少）,　　 其他投資活動
3576,2015年01月01日至2015年09月30日,,             -1657545,             -1657545,,,              1549716,                  2947,                311141,                -12754,                185471,                -75308,                 39714,                  4281,                    111,                     29,                  2387,                    955,                 98826,                 21256,                -12515,                -22734,                -47096,                 -1082,              2045345,,,                              0,               -270205,                 92636,                -25114,                221326,             -1936720,               -116867,              1048088,               -986856,,                257749,                -84667,               -190719,                 44076,                 69755,                  3292,                 99486,               -887370,              1157975,               -499570,                  6899,               -492671,,                              0,                  2956,                              0,                              0,                -39754,                 -9314,                              0,                 20871,             -1091073,             -1106550,              1019063,                 58047,                196983,                -17298,                 19351,                 75455,               -871263,,             13270307,            -10385958,                              0,                100000,             -1070532,                              0,                   -343,               -171271,                  2750,               -127459,                187261,                              0,              1804755,                 68872,                509693,              8721777,              9231470,              9231470,,,,,,,,,,,,,,,,,
3576,2015年01月01日至2015年06月30日,,             -1282018,             -1282018,,,              1037405,                  1958,                174543,                -19913,                123127,                -44287,                 24690,                  2807,,                     29,                  2387,                    955,                              0,                 13837,                 22161,,                -15687,                 -1082,              1300609,,,,                 -7775,                176169,                -31874,                142373,               -560541,                 48841,              1027568,                794761,,                269044,                 -3597,               -237319,                 21904,                 20334,                 12687,                 72036,                866797,              2167406,                885388,                 -1642,                883746,,,                  2956,,,,                 -9314,                              0,,             -1048458,                -39943,                175006,                 52217,                 68019,                -14555,                 13039,                 43915,               -757118,,              6683828,             -5989363,,                100000,               -716301,                              0,                 -1026,,                              0,                -83139,                193985,,                187984,                -46609,                268003,              8721777,              8989780,              8989780,                              0,                -22321,                              0,                -11017,,,,,,,,,,,,,
3576,2015年01月01日至2015年03月31日,,               -497004,               -497004,,,                516518,                    963,                    -19,                -34372,                 62211,                -12866,                 14244,                    525,,                     29,,                    955,,,                 67204,,                 30022,,                645326,,,,                548295,                 17248,                 18667,               -125088,               -610732,                -41751,                 80488,               -112873,,               -103910,                 -1066,               -257190,                  9486,               -161160,                 -1149,               -514989,               -627862,                 17464,               -479540,                    717,               -478823,,,                  2956,,,,,,,               -314718,                -38826,                 56288,                 23759,                 -8418,                 -4519,                  3606,                 12865,               -267007,,              3276871,             -3071805,,                100000,               -312534,                              0,                 -1023,,                              0,                -35564,                175418,,                131363,                -31999,               -646466,              8721777,              8075311,              8075311,,                    -88,,,                              0,,,,,,,,,,,,
3576,2014年度,,                221989,                221989,,,              2010938,                 47688,                    -52,                 14620,                245238,               -115444,                 80394,                 42694,                              0,                 22470,                -73933,                 14072,                              0,                 69338,                  7999,,                -10100,,,,,                              0,               -685135,                130346,               -274915,               -679975,               -564812,                115492,                -31291,             -1990290,,               -888913,,                -80067,                 62402,                479525,                    219,               -118315,             -2108605,                 39735,                261724,                 -8696,                253028,,                              0,                 12695,                -42500,               -104024,,                -11995,                451742,                410000,             -2123341,               -229182,                 13649,                 75046,               -485484,                -10841,                 41280,                115446,             -1887586,,             15688300,            -15492318,              3496104,                560605,             -2142579,                     49,,               -236003,                              0,               -204992,                105624,,              3967290,                 16433,              2349165,              6372612,              8721777,              8721777,,               -207582,                308519,,                    -77,,                              0,              2148340,                              0,                              0,                470000,              1722500,,,,,
3576,2014年01月01日至2014年09月30日,,                599260,                599260,,,              1494232,                 45327,                    267,                   -558,                176284,                -99963,                 50096,                 27036,                              0,                 18189,                -73933,                -26181,                              0,                 29918,                 80482,               -172243,                 11959,                              0,              1560912,,,                              0,             -1097159,               -123867,               -246006,               -250243,               -922501,                -19987,                -53326,             -2713089,,               -785224,                312937,               -167249,                 48135,                242247,                 23595,               -325559,             -3038648,             -1477736,               -878476,                 -7292,               -885768,,                              0,                              0,                -42500,                 -7305,                              0,                -11995,                 64856,                410000,             -2126714,                -96113,                 13624,                 65066,                -67222,                -19657,                 40222,                100009,             -1677729,,             13029238,            -12483581,              3496104,                824686,             -1055873,                     49,                              0,               -236003,                              0,               -159959,                242171,                              0,              3656832,                 -1955,              1091380,              6372612,              7463992,              7463992,,,,,,,,,,,,,,,,,
3576,2014年01月01日至2014年06月30日,,                762266,                762266,,,                986659,                 45370,                    235,                 -2647,                106920,                -58402,                 33445,                      6,,                 17997,                              0,                -28582,                              0,                              0,                 15212,,                -11328,                              0,              1104885,,,,               -913210,                160483,                 -4168,                              0,               -999798,                -68963,               -194560,             -2020216,,                180927,                 21559,               -201191,                 32052,                 -4931,                 56296,                100308,             -1919908,               -815023,                -52757,                 -7248,                -60005,,,                              0,,,,                -11995,                -12984,,             -1461136,                -42723,                 10002,                 38865,                324236,                -18338,                 30295,                 57737,             -1086041,,              8501678,             -6381519,,                209620,               -765247,                     24,                              0,,                              0,                -81298,                242171,,              1725429,                 -2570,                576813,              6372612,              6949425,              6949425,                              0,                              0,                              0,                 15596,,,,,,,,,,,,,
3576,2014年01月01日至2014年03月31日,,                383551,                383551,,,                485114,                 27235,                    271,                  1197,                 54202,                -21600,                 16993,                              0,,                 14561,,                              0,,,                -22161,,                -47992,,                507820,,,,               -899422,               -207531,                -26150,                              0,               -742240,                 30692,               -152905,             -1997556,,                307829,                 -8039,               -281635,                 16134,                 72636,                 85422,                192347,             -1805209,             -1297389,               -913838,                  3393,               -910445,,,                              0,,,,,,,               -681351,                -39794,                              0,                 11366,                307756,                -11703,                 17777,                 21855,               -374094,,              3520874,             -2671989,,                234797,               -138669,                     24,                              0,,                              0,                -53405,                 42626,,                934258,                 23916,               -326365,              6372612,              6046247,              6046247,,                              0,,,                              0,,,,,,,,,,,,
3576,2013年度,,                499419,                499419,,,              1732639,                 62891,                -11388,                    539,                189174,                -60034,                117471,                  1582,                     31,                              0,                              0,               -266584,                 88950,                244556,               -189805,,                 29550,,,,,                    238,             -1345318,                230863,                 20324,                              0,               -261438,                429191,               -207393,             -1133533,,                496682,,               -550150,                 21291,                 35413,                 -8716,                -32671,             -1166204,                766168,              1265587,                 -3361,              1262226,,                -88950,                              0,                 -1858,                              0,,                              0,                              0,                              0,             -2751230,                -42131,                 10969,                  7318,               -370367,                -47260,                 57627,                 60023,             -1856905,,             18081051,            -20022106,                998830,                607639,             -1554684,                      8,,                              0,                  7746,               -175519,                126155,,              1176120,                -28352,                553089,              5819523,              6372612,              6372612,,                              0,                -27191,,                              0,,                 -7200,              1932372,              1301754,                  7200,                              0,              3107000,,,,,
3576,2013年01月01日至2013年12月31日,,                499419,                499419,,,              1732639,                 62891,                -11388,                    539,                189174,                -60034,                117471,                  1582,                     31,,,,                 88950,                244556,               -189805,,                 29550,,,,,                    238,             -1345318,                230863,                 20324,,               -261438,                429191,               -207393,             -1133533,,                496682,                -27191,               -550150,                 21291,                 35413,                 -8716,                -32671,             -1166204,                766168,              1265587,                 -3361,              1262226,,                -88950,,                 -1858,                              0,                              0,,,,             -2751230,                -42131,                 10969,                  7318,               -370367,                -47260,                 57627,                 60023,             -1856905,,             18081051,            -20022106,                998830,                607639,             -1554684,                      8,                              0,,                  7746,               -175519,                126155,,              1176120,                -28352,                553089,              5819523,              6372612,              6372612,               -266584,,,,,,                 -7200,              1932372,              1301754,                  7200,,              3107000,                              0,                              0,                              0,,
3576,2013年01月01日至2013年09月30日,,                193289,                193289,,,              1266797,                 35567,                 91668,                 -3222,                136163,                -33985,                 98673,                  1244,,                              0,                              0,               -266584,                 88950,                 50530,               -213507,                 12432,                -10430,,,,,                    238,             -1628060,               -747496,                -10372,                              0,               -410332,                143238,               -126168,             -2778952,,                695476,,               -778937,                 13951,                 23893,                  2084,                -50177,             -2829129,             -1574833,             -1381544,                 -5187,             -1386731,,                -88950,,                 -1259,                              0,,              1301754,                              0,                              0,             -1454459,                -66409,                 12277,                  3783,               -438951,                -40221,                 56019,                 34325,               -682091,,             15513009,            -13992612,                              0,                744077,             -1742120,                              0,                    -12,                              0,                  2021,               -125126,                107270,                998830,              1505337,                 55130,               -508355,              5819523,              5311168,              5311168,,,                 -6644,,,,,              1254296,,,,,,,,,
