證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動負債減少,　　　　 金融資產減損損失
1471,2015年01月01日至2015年09月30日,,               -234469,               -234469,,,                116698,                 10245,                  2596,                  1128,                 -5925,                 -8734,                      4,                              0,                              0,                116012,,,                236947,                  8161,                102568,                -11002,                     18,                336692,,                   -439,               -204681,                -11301,                  8110,               -208311,                128381,                244393,                  9924,                  5851,                  8734,                 -1236,                 -3897,                 19376,,                              0,                              0,                              0,                 -6582,                              0,                -93761,                              0,               -100343,,                              0,               -150000,                  2038,               -147962,                  6218,               -222711,                755436,                532725,                532725,,,,,,,,
1471,2015年01月01日至2015年06月30日,,               -190107,               -190107,,,                 78509,                  7079,                 -6516,                    823,                 -4531,                              0,                      4,                              0,                              0,                 75368,,,                280356,                 16144,                 76166,                   -647,                    -13,                372006,,                   -137,               -243878,                -22987,                  5306,               -261696,                110310,                185678,                 -4429,                  3118,                              0,                   -863,                 -3766,                 -5940,,                              0,                              0,                              0,                 -6200,                              0,                -40934,                              0,                -47134,,                -60000,,                  1995,                -58005,                -11188,               -122267,                755436,                633169,                633169,,,,,,,,
1471,2015年01月01日至2015年03月31日,,                -84748,                -84748,,,                 40258,                  3878,                 -2483,                    690,                 -2318,                              0,                              0,                              0,                              0,                 40025,,,                212853,                 18511,                 16299,                 -5021,                              0,                242642,,                   -562,               -160235,                -16538,                   -731,               -178066,                 64576,                104601,                 19853,                  2202,                              0,                   -572,                 -3125,                 18358,,                              0,                              0,                              0,                   -276,                              0,                -41644,                              0,                -41920,,                 85000,,                    -12,                 84988,                 -7476,                 53950,                755436,                809386,                809386,                              0,,,,,,,
1471,2014年度,,                -69194,                -69194,,,                173292,                 21684,                -21511,                  3288,                 -7173,                   -402,                -14161,                              0,                              0,,,,                138496,                 -7203,                108867,                 -3035,                     24,                237149,,                    127,               -158668,                -22392,                  1298,               -179635,                 57514,                212531,                143337,                  8807,                    402,                 -3307,                 -2146,                147093,,                -17786,,                              0,                -71491,                 20666,                 -4191,                -17852,                -90654,,                -60000,,                              0,                -60000,                 24251,                 20690,                734746,                755436,                755436,,,                155017,                              0,,,,
1471,2014年01月01日至2014年09月30日,,                -55928,                -55928,,,                130320,                 16954,                -13412,                  2324,                 -5744,                   -402,                -14169,                              0,                              0,                115871,,,               -153972,                  3206,                 36630,                 -7759,                    -17,               -121912,,                    -42,                107888,                -26968,                   -168,                 80710,                -41202,                 74669,                 18741,                  7385,                    402,                 -2333,                 -1508,                 22687,,                -17786,                              0,                              0,                -42118,                 18995,                 -3627,                -15347,                -59883,,                 60000,                              0,                              0,                 60000,                  5502,                 28306,                734746,                763052,                763052,,,,,,,,
1471,2014年01月01日至2014年06月30日,,                -62943,                -62943,,,                 88483,                 11935,                -11444,                  2111,                 -3893,                              0,                  1496,                              0,                              0,                 88688,,,               -131256,                  2494,                 -2183,                -30234,                     25,               -161154,,                      4,                105654,                -28948,                   -727,                 75983,                -85171,                  3517,                -59426,                  5540,                              0,                 -2199,                   -958,                -57043,,                              0,                              0,                              0,                -32370,                  2051,                 58291,                -10100,                 17872,,               -150000,,                    -33,               -150033,                -17744,               -206948,                734746,                527798,                527798,,,,,,,,
1471,2014年01月01日至2014年03月31日,,                -45425,                -45425,,,                 45481,                  6296,                  1098,                  1074,                 -1744,                              0,                    -79,                              0,                              0,                 52126,,,                 11927,                    379,                -26400,                -19330,                     10,                -33778,,                  3860,                 19240,                -24124,                   -278,                 -1302,                -35080,                 17046,                -28379,                  3346,                              0,                   -993,                   -485,                -26511,,                              0,                              0,                              0,                 -5053,                    -94,                 59562,                 -9365,                 45050,,                130000,,                     -7,                129993,                 -3756,                144776,                734746,                879522,                879522,                   -364,,,,,,,
1471,2013年度,,                 34803,                 34803,,,                183113,                 28108,                 15833,                  3507,                 -5261,                              0,                 -5320,                              0,                              0,,,,                512157,                 13269,                165559,                 11198,                  4605,                706788,,                   -513,               -535178,                 -7609,                 -8903,               -552203,                154585,                374565,                409368,                  3434,                              0,                 -3501,                -10032,                399269,,                              0,,                              0,               -141735,                 16213,                -61119,                -13769,               -200410,,                 25000,,                     75,                 25075,                 33418,                257352,                477394,                734746,                734746,,,                219980,                              0,,,,
1471,2013年01月01日至2013年12月31日,,                 34803,                 34803,,,                183113,                 28108,                 15833,                  3507,                 -5261,,                 -5320,                              0,,,,,                512157,                 13269,                165559,                 11198,                  4605,                706788,,                   -513,               -535178,                 -7609,                 -8903,               -552203,                154585,                374565,                409368,                  3434,,                 -3501,                -10032,                399269,,,,                              0,               -141735,                 16213,                -61119,                -13769,               -200410,,                 25000,,                     75,                 25075,                 33418,                257352,                477394,                734746,                734746,,,                219980,                              0,,,,                              0
1471,2013年01月01日至2013年09月30日,,                  5824,                  5824,,,                137522,                 21643,                 12228,                  2613,                 -3464,,                 -5462,                              0,,,,,                189605,                  8157,                113875,                 -3401,                  4831,                314082,,                   -221,               -402591,                -21072,                 -9932,               -433816,               -119734,                 44908,                 50732,                  2149,,                 -2527,                 -8888,                 41466,,,,                              0,               -110898,                 15622,                -61289,                 -9054,               -165619,,                 90000,,                     47,                 90047,                 13149,                -20957,                477394,                456437,                456437,,,                164642,                              0,                   -438,                  1015,,                              0
