證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得待出售非流動資產,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分無形資產損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 其他應收款增加,　　 處分投資性不動產,　　 其他投資活動,　　 償還公司債,　　 現金增資,　　 其他金融資產減少,　　 非控制權益變動,　　 其他籌資活動,　　 存入保證金減少,　　　　 股份基礎給付酬勞成本
2601,2015年01月01日至2015年09月30日,,               -607556,               -607556,,,                755041,                 29906,              1321744,                226257,               -174763,                              0,                -52886,                  7995,                -76351,                  2524,                              0,                              0,                 41826,              2081293,,,             -1444816,               -344400,                -49188,                 29608,                -36624,             -1845420,,             -2143725,                -60256,               -307865,                    212,             -2511634,             -4357054,             -2275761,             -2883317,                179617,               -211873,               -390739,             -3306312,,               -270513,                558878,             -3994415,              4069684,                              0,                283803,                -77521,               -199097,                  1274,             -1018983,              1527968,             -1354299,                              0,               -280275,                   -186,                    -61,               -728153,                   -505,               -286983,                131228,             -1638156,,              5153317,             -3356575,                 11998,              3000000,              1576515,             -3061053,                114735,               -286067,                -19156,                -38028,                  2616,              3098302,                 16319,             -1829847,              7312574,              5482727,              5482727,,,,,,,,,,,,,,,,,,,,,
2601,2015年01月01日至2015年06月30日,,                762755,                762755,,,                499749,                 20835,                 93666,                139124,                -80431,                              0,                -51279,                  4250,                -61685,,                  1179,,                 29763,                595171,,,             -1125944,               -125019,                 29032,                 27210,               -115620,             -1310341,,             -1298771,                153445,               -218615,                    255,             -1363686,             -2674027,             -2078856,             -1316101,                 81778,               -140938,               -442693,             -1817954,,               -286155,                618508,             -2737635,              2799231,                              0,                              0,                -77521,               -199097,                              0,,                532027,               -960787,                     22,               -400984,                   -185,,               -251572,                   -394,               -283584,                108255,             -1139871,,              2278347,             -1485569,,              3000000,                950677,             -2764926,                 45849,,,                 -2219,,              2022159,               -164035,             -1099701,              7312574,              6212873,              6212873,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,
2601,2015年01月01日至2015年03月31日,,                511651,                511651,,,                250883,                 10560,                  4935,                 69175,                -35015,                              0,                -22036,                  2500,                -35009,,,,                 16210,                262203,,,               -852065,                 25380,                  1745,                -32693,                -40532,               -898165,,               -726960,                -67045,               -220653,                    127,             -1014531,             -1912696,             -1650493,             -1138842,                 34281,                -66369,               -139246,             -1310176,,               -209892,                153748,             -1982510,              2017474,                              0,                              0,                -77521,,,               -385203,,               -839414,                              0,,                   -185,,               -162957,                   -220,               -134060,                  3850,             -1616890,,              1762935,             -1001436,,              1000000,              1409908,             -1462261,                    577,,,                 -2219,,              1707504,               -218378,             -1437940,              7312574,              5874634,              5874634,                              0,,,                              0,,,,,,,,,,,,,,,,,
2601,2014年度,,              1045186,              1045186,,,                960303,                 63500,                567053,                236804,               -133531,                  1750,                -82232,                 12383,               -123614,,                 49197,,                167479,,,,               -299897,               -403101,                 -2077,                 28964,                              0,               -676111,,               -628893,                 76051,                 52096,,               -507403,             -1183514,                537757,              1582943,                129080,               -224440,               -513597,                973986,,               -976703,                636931,             -4399592,              4519168,                -97442,                645633,,                -98756,,,,             -1910913,                168734,               -661768,                -13864,                   -689,             -1274726,                -58289,               -181512,                 56433,             -3844867,,              1447990,               -571342,                              0,,              4041789,             -2310230,                 58789,               -282436,                              0,                -72614,                 70856,              2276297,                366300,               -228284,              7540858,              7312574,              7312574,                              0,                              0,                              0,,,                  5212,                              0,                 -3033,              1721271,                 -6657,                              0,                -49378,                              0,               -148134,               -106505,                              0,,,,,
2601,2014年01月01日至2014年09月30日,,                861308,                861308,,,                710585,                 45614,                148050,                166081,               -112747,                  1750,                -57244,                    668,                -80692,                              0,                 49197,                 25511,                133411,              1030184,,,                254937,               -381928,                 10550,                169725,               -394003,               -340719,,             -2319363,               -198869,                145790,                    562,             -2371880,             -2712599,             -1682415,               -821107,                108064,               -155885,               -385834,             -1254762,,               -325309,                306321,             -1760706,              1837429,                -96818,                189434,                              0,                              0,                              0,                              0,                              0,             -1885697,                  1031,               -639357,                 -1945,                   -623,               -338405,                -31712,               -279888,                 52335,             -2973910,,              5855228,             -6121042,                              0,                              0,              6182677,             -3465185,                 67537,                              0,                              0,                -49049,                 70728,              2540894,                 51507,             -1636271,              7540858,              5904587,              5904587,,,,,,,,,,,,,,,,,,,,,
2601,2014年01月01日至2014年06月30日,,              1015715,              1015715,,,                465792,                 27789,               -207666,                108031,                -79036,                   -210,                -38385,                    523,                -56541,,                 49197,,                101980,                371474,,,                120392,               -166379,                 22074,                 44983,               -217401,               -196331,,             -1697839,               -373344,                 26616,                    358,             -2044097,             -2240428,             -1868954,               -853239,                 79036,               -104775,               -301903,             -1180881,,               -225206,                121493,            -12287493,             12340135,                -97018,                153789,                              0,                              0,                              0,,                              0,               -104223,                    982,               -706650,                   -199,,               -367664,                -13032,               -449496,                 48768,             -1535867,,              3447727,             -2980899,,                              0,              2704670,             -1912346,                 45287,,,                              0,,              1304439,                -51370,             -1463679,              7540858,              6077179,              6077179,                    112,                 -1150,                 51097,,,,,,,,,,,,,,,,,,
2601,2014年01月01日至2014年03月31日,,                591486,                591486,,,                235163,                 14242,               -104842,                 50552,                -38755,                  1925,                -19779,                    524,                -29916,,,,                 48836,                157950,,,                -10056,                -48403,                  6407,                -24189,                -54619,               -130860,,             -1415860,               -110781,                -24773,                    168,             -1551134,             -1681994,             -1524044,               -932558,                 20840,                -49260,               -154333,             -1115311,,               -168481,                 97075,             -1099078,              1127068,                -50994,                 90589,                              0,,,                              0,,                -57258,                    112,,                              0,,               -839694,                -11850,                              0,                  3711,               -974178,,              1507677,             -1471218,,                              0,                733400,               -811774,                 40224,,,                              0,,                 -1691,                 76191,             -2014989,              7540858,              5525869,              5525869,                    112,,,                -65378,,,,,,,,,,,,,,,,,
2601,2013年度,,                759387,                759387,,,                936532,                 50624,               -122491,                224329,               -145914,                 41198,                -53701,                 31783,                -81155,,                475797,,                 59936,,,,               -435871,                  9268,                 29324,                 27311,                119489,               -250479,,               -190557,                 61801,                 54507,,                -33373,               -283852,              1318822,              2078209,                145914,               -173456,               -646191,              1404476,,               -306581,                178194,               -503552,                581570,                -44821,                              0,,             -1192436,,,,             -1147013,                  3138,                              0,                -12249,                   -418,               -230492,                -43782,                              0,                 13354,             -3184798,,              1640776,               -223756,                 49992,,              4514488,             -2961444,                 18090,               -399828,               -253101,                              0,                              0,              2696638,                370559,              1286875,              6253983,              7540858,              7540858,                 40208,               -340954,                 60000,,,                              0,                  1405,                184331,              1602674,                    668,                 53616,               -245453,                              0,                 -6919,             -1888579,              2200000,,,,,
2601,2013年01月01日至2013年12月31日,,                759387,                759387,,,                936532,                 50624,               -122491,                224329,               -145914,                 41198,                -53701,                 31783,                -81155,,                475797,,                 59936,,,,               -435871,                  9268,                 29324,                 27311,                119489,               -250479,,               -190557,                 61801,                 54507,,                -33373,               -283852,              1318822,              2078209,                145914,               -173456,               -646191,              1404476,,               -306581,                178194,            -31790898,             31868916,                -44821,,                              0,             -1192436,,,,             -1147013,                  3138,                              0,                -12249,                   -418,               -230492,                -43782,,                 13354,             -3184798,,              3056201,             -2118061,                 49992,                              0,              7420054,             -5388130,                 18090,               -399828,               -253101,,,              2696638,                370559,              1286875,              6253983,              7540858,              7540858,                 40208,               -340954,                 60000,,,,                  1405,                184331,              1602674,                    668,                 53616,               -245453,,                 -6919,             -1888579,              2200000,,,,,                              0
2601,2013年01月01日至2013年09月30日,,                441268,                441268,,,                703931,                 41788,                -29451,                147351,               -105004,                 82100,                -41962,                 24660,                -61125,,                246223,                              0,                -38155,,,,               -362318,                 22571,                 56594,                127038,                 -9645,               -165760,,             -2424345,               -203839,                 94141,,             -2528841,             -2694601,             -1510710,             -1069442,                105004,               -115706,               -494962,             -1575106,,               -277259,                 74358,            -24470312,             24405732,                -44680,                              0,,             -1192436,,,,               -584339,                  3116,                              0,                 -7398,                   -373,,                -26483,               -218798,                 10251,             -2237972,,              1853190,               -661542,,,              3575771,             -1840726,                 12102,               -387109,               -138487,                              0,                              0,              2491865,                221096,             -1100117,              6253983,              5153866,              5153866,,,                 60000,,,,                  1401,                212134,              1183891,                  5202,,,,                 -6867,,              2200000,                 37516,               -430376,             -1690958,,
