證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入（含財務收入）,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 附賣回債券投資（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 轉融通保證金（增加）減少,　　　　　 應收轉融通擔保價款（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 應收期貨交易保證金（增加）減少,　　　　　 借券擔保價款（增加）減少,　　　　　 借券保證金－存出（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 附買回債券負債增加（減少）,　　　　　 附買回票券負債增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 借券保證金－存入增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 代收款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 營業保證金減少,　　 交割結算基金增加,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付商業本票減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款－關係人增加（減少）,　　 應付商業本票增加,　　　　 其他項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金減少,　　 交割結算基金減少,　　　　　 其他金融資產（增加）減少,　　 支付之股利,　　 其他投資活動,　　 存入保證金減少
2856,2015年度,,              1794925,              1794925,,,                116677,                 56430,                241920,             -1284874,                -70418,                   -605,                -61686,             -1002556,,,            -17927311,             -2068793,              3932774,                  1218,                    602,             -1255222,                     -1,                -80706,               -585034,                 -5142,                              0,              1715913,                  3096,                 -1132,                 -2186,                    542,             -1699872,                   -901,            -17972155,,             14265589,                310255,                -32105,                -42948,               -100872,               -145073,              1254980,                              0,               -384058,                    380,              1722851,                266105,                    137,                  2663,              2426770,                  2434,                -13242,             19533866,              1561711,                559155,              2354080,              1238858,                433839,               -236042,                -67581,              3723154,,               -324794,                463889,               -164006,                 74000,                139533,                -38658,                    944,                270000,                -15316,               -134255,                -16504,                 -7176,                              0,                247657,,                              0,               -540940,               -899482,               -708350,               -296856,             -2445628,                 27264,              1552447,              4452077,              6004524,              6004524,,,,,,,,,,,
2856,2015年01月01日至2015年09月30日,,                720198,                720198,,,                 87578,                 42685,,               -790823,                -70418,                   -586,                -39030,               -770594,,,             -5101604,              2182205,              5337767,                -19535,                -15049,               -587530,,               -278374,             -1201429,                 -5797,                              0,               -526981,                  2469,                 11367,                 -3021,                   -304,               -427823,                   -207,               -633846,,              1058538,                110346,                398615,                170470,               -145740,               -429195,                585651,                              0,                141109,                    181,                 -5238,                -97086,                  2254,                  4942,              3827289,                 -6849,,              5665338,              5031492,              4260898,              4981096,              1021991,                317071,               -178459,                -70169,              6071530,,               -199030,                 16436,                 87309,,,                -25824,                    853,                270000,                -16641,               -138815,                -10582,                 -5872,,                -22166,,,               -482487,             -2199293,               -708350,                -29423,             -3419553,                 41946,              2671757,              4452077,              7123834,              7123834,                 50051,,,,,,,,,,
2856,2015年01月01日至2015年06月30日,,                608310,                608310,,,                 58393,                 28627,,               -545059,                -23589,                   -582,                -21478,               -503688,,,             -1516602,              2683023,              1565677,                  3741,                  2946,                    888,,                  1867,               -598799,                 -5970,                              0,               -294128,               -355613,                  3902,                -20169,                    204,             -1403445,                 -3727,                 63795,,             -3689839,                109983,                -39648,               -531781,               -591560,                251421,                 -1113,,              2775462,                    106,                 -2779,               -111382,                     73,                  3086,              4318898,                 -5982,,              2484945,              2548740,              2045052,              2653362,                712614,                 32655,               -121173,                -59743,              3217715,,                -82713,                 99031,                 58960,,,                -18036,                    853,                270000,                -18686,               -120522,                 -2326,                 -1426,                              0,                185135,,                              0,                152450,               -400080,,,               -247630,                -14445,              3140775,              4452077,              7592852,              7592852,,                              0,,,,,,,,,
2856,2015年01月01日至2015年03月31日,,                402124,                402124,,,                 29326,                 14507,,               -270331,,                   -714,                -11082,               -238294,,,             -2546038,              1598541,               -268579,                 -4791,                 -6451,               -163701,,                249781,                352132,                    253,                              0,             -1363264,                   -426,                  5292,                 -2043,                   -215,             -1909647,                     29,             -4059127,,               -258875,                209244,               -705624,               -778099,               -864177,               -520221,                163756,,              1474055,                   -326,              2250835,               -217517,                  1159,                    131,              1273832,                 -2541,,              2075651,             -1983476,             -2221770,             -1819646,                324100,,                -65835,                 17751,             -1543630,,                -51774,                 91924,                -51827,,,                 -2235,                    802,                240000,                -19414,                -65772,                   -992,                 -5157,                              0,                135555,,,                816425,,,,              1616101,                 -5384,                202642,              4452077,              4654719,              4654719,                 50019,                799676,                              0,,,,,,,,
2856,2014年度,,              1626993,              1626993,,,                101057,                 53800,                227373,             -1272400,                -46191,                     71,               -343259,             -1279549,,,             -1552851,             -2006400,               -869556,                 41860,                 34634,               -318482,                              0,               -174293,                266585,                   -170,                     96,                849401,                 -1575,                   -680,                 16119,                   -189,                -58571,                   -227,             -3774299,,              4249411,                199323,              1079900,                 -8199,               -101354,               -604932,                317216,                     -9,             -2205948,                 -1733,               -595173,                284342,                    -20,                 -1922,              5362104,                  1141,                -13826,              7960321,              4186022,              2906473,              4533466,              1201248,                491381,               -228251,               -161962,              5835882,,               -772414,                269276,               -239091,                284404,                130251,               -163832,                    781,                              0,                 -4515,               -192879,                -52004,                              0,                 26126,               -713897,,                548733,                              0,             -5397756,               -502138,                              0,             -5351161,                 28883,               -200293,              4652370,              4452077,              4452077,,,,,,,,,,,
2856,2014年01月01日至2014年09月30日,,              1107063,              1107063,,,                 75529,                 40373,,               -780702,                -59485,                    493,                -16683,               -740475,,,              1137025,             -3356867,             -1274588,                 40639,                 31430,               -120280,,                 41126,               -143935,                    214,                     96,               -558610,                 -5063,                 10571,                 14603,                   -663,             -2135589,                  1275,             -6318616,,                539912,               -199053,              3936349,               -304107,               -318642,             -1010923,                118918,                     -9,               -749026,                 -1199,              1820557,                126525,                    610,                  1063,              4008292,                 -9204,,              7960063,              1641447,                900972,              2008035,                906007,                480149,               -175923,                -57342,              3160926,,               -184030,                111327,                 66669,,,                -44328,                    359,                              0,                 -3976,               -150191,                -19339,                 -2873,,               -226382,,,              1221225,             -3598394,               -502138,                              0,             -2879307,                  8539,                 63776,              4652370,              4716146,              4716146,                              0,,,,,,,,,,
2856,2014年01月01日至2014年06月30日,,                972129,                972129,,,                 49929,                 26987,,               -510650,                -10692,                    554,                -15644,               -459516,,,             -5475335,             -3034003,             -1521357,                 44866,                 37940,                102576,,                185905,                643433,                    224,                     96,             -1346129,                 -3595,                 13963,                 15519,                    -21,                560221,                    -77,             -9775774,,              2858717,               -249221,              1133650,               -545615,               -652251,               -834068,               -102560,,              3556362,                 -1005,               -586159,                142849,                      7,                   -382,              2374687,                 -4115,,              7090896,             -2684878,             -3144394,             -2172265,                588015,                167862,               -116685,                -36226,             -1569299,,                              0,                102561,                -27650,,,                -32806,                    294,                              0,                 -4878,               -128679,                -16495,                              0,                 26272,                -81381,,               -215487,                              0,                              0,,,              1183833,                   -165,               -467012,              4652370,              4185358,              4185358,,              1399320,,,,,,,,,
2856,2014年01月01日至2014年03月31日,,                353740,                353740,,,                 24821,                 13408,,               -248442,,                    -77,                -12916,               -223206,,,             -1469681,             -2285852,               -761738,                 41337,                 33774,                 81904,,                 32489,                 34086,                      2,                     96,               -156402,                 -2553,                  8735,                 15255,                 -1133,                205493,                   -113,             -4224301,,              2606650,                    -68,                996664,               -505756,               -625159,             -1094918,                -82208,,                346251,                 -1272,               -589643,                -97938,                  1184,                 -3183,                555492,                 -4050,,              1551866,             -2672435,             -2895641,             -2541901,                277008,,                -58061,                 49944,             -2273010,,                              0,                 65151,                 26698,,,                 -3478,                     78,                              0,                 -6093,                -40736,                 -5496,                              0,                  2906,                 39030,,,                 50000,,,,              1999431,                  8961,               -225588,              4652370,              4426782,              4426782,                 49820,              1949431,                              0,,,,,,,,
2856,2013年度,,                963464,                963464,,,                104183,                 52678,                234775,             -1057626,                -72799,                   -607,                  8823,,,,               -100813,              1922303,             -2399463,                -36662,                -29363,               -149790,,                -60793,                252964,                    736,                  4904,              2783325,                 -1335,                 -2542,                -11355,                    388,               -133453,                    158,              2039209,,             -5349950,               -699350,                438077,               -112327,               -165854,                108340,                151263,                    -37,             -2801005,                   -766,                599972,                120002,                   -358,                  4572,              2501245,                 -8720,,             -5214896,             -3175687,             -3895958,             -2932494,              1112579,                322976,               -233015,               -431490,             -2161444,,                -97396,                166056,               -237671,,,                -89864,                  1220,,                -19311,                              0,                -35609,                -23437,                              0,               -331467,,                              0,               -634998,                              0,               -491983,,              1921199,                  8582,               -563130,              5215500,              4652370,              4652370,,              3048180,                 10302,,               -720271,                  4545,,,,,
2856,2013年01月01日至2013年12月31日,,                963464,                963464,,,                104183,                 52678,                234775,             -1057626,                -72799,                   -607,                  8823,,,,               -100813,              1922303,             -2399463,                -36662,                -29363,               -149790,,                -60793,                252964,                    736,                  4904,              2783325,                 -1335,                 -2542,                -11355,                    388,               -133453,                    158,              2039209,,             -5349950,               -699350,                438077,               -112327,               -165854,                108340,                151263,                    -37,             -2801005,                   -766,                599972,                120002,                   -358,                  4572,              2501245,                 -8720,,             -5214896,             -3175687,             -3895958,             -2932494,              1112579,                322976,               -233015,               -431490,             -2161444,,                -97396,                166056,               -237671,,,                -89864,                  1220,                              0,                -19311,                              0,                -35609,                -23437,                              0,               -331467,,                              0,               -634998,,               -491983,,              1921199,                  8582,               -563130,              5215500,              4652370,              4652370,,              3048180,                 10302,,               -720271,                  4545,                              0,                              0,,,
