證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　　　 不動產、廠房及設備轉列費用數,　　　　　 應付票據增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款－關係人增加,　　 其他應付款－關係人增加,　　 處分子公司股權（未喪失控制力）
3450,2015年01月01日至2015年09月30日,,              1229692,              1229692,,,                354800,                 44152,                  1558,                              0,                    721,                 -1923,                              0,                    254,                 -5904,                  9506,                  9468,                              0,                 -2406,                -45508,                364718,,,                              0,                      8,               -173346,                  1457,               -148532,                 23449,                 -9385,                   -307,               -306656,,                -43354,                105154,                  1135,                 66837,                    634,                 41496,                171902,               -134754,                229964,              1459656,                  1680,                   -944,               -213873,              1246519,,                -97197,                -54361,                              0,                   -750,                   -943,                 -3944,               -349923,                  4373,               -502745,,                              0,                              0,                -40059,                              0,               -344890,                 30473,               -354476,                 14810,                404108,              1180601,              1584709,              1584709,,,,,,,,,,,,
3450,2015年01月01日至2015年06月30日,,                722507,                722507,,,                239201,                 30236,                   -447,                              0,                    517,                 -1092,                              0,                    254,                 -3747,                  8884,                  4572,,                 -8836,                -29627,                239915,,,                              0,                      8,               -181315,                  1132,                  3511,                 -7266,                 -3181,                  7159,               -179952,,                139763,                 20149,,                  4590,,                 41545,                206047,                 26095,                266010,                988517,                  1044,                   -737,               -138826,                849998,,,                -51243,                              0,                   -726,                   -943,,               -209922,                              0,               -262834,,                              0,                              0,                -36769,                              0,,                 30473,                 -6296,                -23857,                557011,              1180601,              1737612,              1737612,                              0,,,,,,,,,,,
3450,2015年01月01日至2015年03月31日,,                319090,                319090,,,                122487,                 15772,                  1577,                              0,                    290,                   -211,                              0,,                 -1557,                     19,                 13225,,                    -12,                -14811,                136779,,,                              0,                   -186,                -74511,                    800,                  5636,                 36513,                  3926,                 14951,                -12871,,                -37772,                -27491,,                    807,,                 41496,                -22960,                -35831,                100948,                420038,                    197,                   -513,                -15906,                403816,,,                -43757,                              0,                              0,                    -76,,               -108967,                              0,               -153250,,                              0,                              0,                -32055,                              0,,,                -32055,                 -7733,                210778,              1180601,              1391379,              1391379,,                   -450,,,,,,,,,,
3450,2014年度,,              1192251,              1192251,,,                541881,                 48375,                  3758,                   -415,                 11394,                 -4128,                   -192,                 23548,                -14179,                 21133,                 -4417,                              0,                -13206,                -49687,,,,                250473,                     -8,                -40721,                   -238,                -14827,                -80442,                 48590,                    884,                163711,,                 -8991,                117811,,                 12049,,                              0,                120869,                284580,                848445,              2040696,                -12096,               -115100,                  4419,              1917919,,,               -309627,                  6380,                    -76,                 -8098,,               -388763,                    192,               -699992,,                 -8590,                 49505,               -853314,                    -37,               -344890,                  9860,             -1146119,                 20913,                 92721,              1087880,              1180601,              1180601,                  1347,,,                              0,                563865,                              0,,,,,,
3450,2014年01月01日至2014年09月30日,,                915010,                915010,,,                418718,                 31734,                  1321,                   -415,                  8692,                 -3201,                   -192,                 23676,                -11907,                  6690,                 -3416,                  1338,                -13322,                -38245,                421471,,,                250473,                    -84,               -162250,                  1446,                -12352,                -51564,                 33554,                 -3121,                 56102,,                  2976,                 72483,                    981,                 12951,                     17,                              0,                 89408,                145510,                566981,              1481991,                  3490,                 -9327,               -108348,              1367806,,                              0,               -109476,                  2964,                    191,                 -8003,                 -1249,               -380151,                    192,               -495532,,                 15626,                118375,               -458767,                    -37,               -344890,                    144,               -669549,                  2948,                205673,              1087880,              1293553,              1293553,,,,,,,,,,,,
3450,2014年01月01日至2014年06月30日,,                573019,                573019,,,                289722,                 20849,                  1651,                   -406,                  6114,                 -1825,                   -192,                              0,                 -6267,                  2965,                 -4347,,                 -2717,                -24854,                280693,,,                220379,                              0,               -253700,                  1507,                 20911,                -75663,                 12845,                  2288,                -71433,,                169319,                 65005,,                 16208,,                              0,                250532,                179099,                459792,              1032811,                  1921,                 -6813,                -68348,                959571,,,                -48952,                  2145,                     42,                 -7547,,               -206041,                    192,               -260161,,                 33749,                 36995,               -447660,                    -37,,                              0,               -376953,                 -2570,                319887,              1087880,              1407767,              1407767,                              0,,,,,,,,,,,
3450,2014年01月01日至2014年03月31日,,                258191,                258191,,,                145738,                 10267,                   -661,                   -308,                  3841,                   -218,                   -192,,                 -2290,                    138,                 -9072,,                 -1798,                -12451,                132994,,,                150217,                              0,               -107550,                    320,                 -5946,                -25712,                 27407,                -33472,                  5264,,                 -9968,                 13317,,                    121,,                              0,                  3470,                  8734,                141728,                399919,                    251,                 -4478,                              0,                395692,,,                 -9709,                     14,                     42,                 -7547,,                -52944,                    192,                -69952,,                 19968,                 12313,               -459221,                    -23,,,               -426963,                  7133,                -94090,              1087880,                993790,                993790,,                              0,,,,,,,,,,
3450,2013年度,,                678592,                678592,,,                574632,                 51240,                 -6386,                   -114,                 27876,                 -1422,                   -759,                 34428,                -17106,                -12704,                    819,                 -4174,                 -8001,                -49162,,,,               -249944,                              0,               -129961,                  7237,                -14766,                -25583,                -12122,                -43477,               -468616,,                171884,                143349,,                 -2322,,                265713,                578624,                110008,                716981,              1395573,                -28313,                -65533,                  1418,              1303145,,,               -214195,                 21384,                    309,                 -9294,,               -195951,                    759,               -380073,,                   -501,                 70000,               -650714,                    -86,               -153284,                 27188,               -707254,                 22249,                238067,                849813,              1087880,              1087880,                    143,,,                 17806,                606973,                 16915,,,,,,
3450,2013年01月01日至2013年12月31日,,                678592,                678592,,,                574632,                 51240,                 -6386,                   -114,                 27876,                 -1422,                   -759,                 34428,                -17106,                -12704,                    819,                 -4174,                 -8001,                  3134,,,,               -249944,                              0,               -129961,                  7237,                  1043,                -25583,                -27931,                -43477,               -468616,,                171884,                143349,,                 -2322,,                213417,                526328,                 57712,                716981,              1395573,                -28313,                -65533,                  1418,              1303145,,,               -214195,                 21384,                    309,                 -9294,,               -195951,                    759,               -380073,,                   -501,                 70000,               -650714,                    -86,               -153284,                 27188,               -707254,                 22249,                238067,                849813,              1087880,              1087880,                    143,,,                 17806,                659269,                 16915,                              0,                              0,                              0,                              0,                              0,
3450,2013年01月01日至2013年09月30日,,                476321,                476321,,,                433715,                 40102,                 -4867,                    -56,                 23026,                   -846,                   -636,                              0,                -14315,                   -653,                  5081,                 -6690,                   -617,                  2448,,,,                     56,                              0,               -206059,                 12156,                 -4491,                 -8147,                -24839,                -35242,               -266566,,                 91649,                 92136,,                  1407,,                235657,                420849,                154283,                639253,              1115574,                    846,                -23355,                -65420,              1027645,,,               -151230,                  9896,                    545,                 -3870,,               -212304,                    636,               -356327,,                 -2091,                 70000,               -485980,                    -64,               -153284,                 27720,               -543584,                 22207,                149941,                849813,                999754,                999754,                    115,,,                  9278,                484970,,,,,,,
