證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債務工具投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　 非金融資產減損損失,　　 取得無活絡市場之債務工具投資,　　 存出保證金減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他預付款項減少,　　 存入保證金減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 預付款項（增加）減少
2443,2015年01月01日至2015年09月30日,,               -213004,               -213004,,,                 54927,                  1444,                  2228,                  8110,                              0,                -15700,                              0,                 22535,                              0,                  6033,                  7887,                 87464,,,                 -6921,                -52274,                 -5864,                 27141,               -228894,               -266812,,                  1930,                 48118,                -15343,                -53523,                -18818,               -285630,               -198166,               -411170,                 15700,                   -594,                -44344,               -440408,,             -1203259,              1092959,                              0,                     60,                              0,                -11730,                 11515,                              0,                              0,                              0,               -159314,                              0,                              0,                 -2081,               -271850,,                              0,                 -7604,                 -1011,                 -8615,                -11429,               -732302,              1412194,                679892,                679892,,,,,,,,,,,,,,,,,,,,,
2443,2015年01月01日至2015年06月30日,,               -138478,               -138478,,,                 36860,                    506,                              0,                  2630,                    412,                -11466,,                   -252,                              0,                 -4795,                  5665,                 29560,,,                 -8495,                 -8439,                -11256,                -35758,               -194292,               -258240,,                  1335,                 -1290,                -13380,                 -4582,                -17917,               -276157,               -246597,               -385075,                 11466,                   -412,                -44237,               -418258,,               -320505,                308766,,                  1434,,                -10394,                    524,                 -1696,                   -161,                              0,               -110854,,,,               -132886,,,                 -5069,                 -2855,                 -7924,                -18337,               -577405,              1412194,                834789,                834789,                              0,                              0,,,,,,,,,,,,,,,,,,,
2443,2015年01月01日至2015年03月31日,,                -78350,                -78350,,,                 18372,                    253,                    215,                    876,                    214,                 -6105,,                   -252,,                -14175,                  2835,                  2233,,,                 -2086,                 -2368,                 -4957,                -82315,               -222953,               -314679,,                  3697,                 -4257,                -19642,                   -933,                -21135,               -335814,               -333581,               -411931,                  6105,                   -214,                 -2618,               -408658,,                -48664,,,                    880,,                 -8145,                    524,                   -186,                    -31,                              0,                -45752,                              0,,,               -101374,,,                 -2535,                 -2420,                 -4955,                  8485,               -506502,              1412194,                905692,                905692,,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
2443,2014年度,,                -12974,                -12974,,,                 69472,                    476,                 16198,                  4843,                    412,                -41513,                 -1633,                -40584,                   -379,                  3146,                  4077,,,,                              0,                  9324,                186697,                -91366,                 13792,                118447,,                   -463,                 -5038,               -145199,                 59609,               -127391,                 -8944,                  5569,                 -7405,                 41513,                   -412,                -68486,                -34790,,               -190593,                              0,,,                -94888,               -105061,                240364,                   -960,                    -80,                 37039,                              0,                 84159,                  1633,,                 -2167,,                -20000,                 -3380,               -125949,               -149329,                 73537,               -112749,              1524943,              1412194,              1412194,,,                              0,,,,,                              0,                     -2,                 14513,                              0,                -36300,                -26000,                 26002,                              0,                 26218,                              0,                              0,                              0,,
2443,2014年01月01日至2014年09月30日,,                 -1297,                 -1297,,,                 50155,                    320,                  1690,                  7857,                              0,                -30595,                              0,                -39720,                              0,                  8148,                  1126,                 -1019,,,                     78,                  1211,                186442,                -61876,               -217758,                -91903,,                  4049,                 -8862,               -142998,                 45333,               -102478,               -194381,               -195400,               -196697,                 30595,                   -181,                -65447,               -231730,,                -35421,                              0,                              0,                 33785,                -94888,                -92738,                240355,                              0,                              0,                 37039,                              0,                117050,                              0,                   -472,                204710,,                -20000,                   -845,               -129037,               -149882,                 25877,               -151025,              1524943,              1373918,              1373918,,,,,,,,,,,,,,,,,,,,,
2443,2014年01月01日至2014年06月30日,,                -17340,                -17340,,,                 31474,                    216,                  2206,                  2979,                     53,                -19043,,                    -62,                   -378,                  6021,                    286,                 23752,,,                    208,                -18766,                186084,                 -4516,                -17605,                145405,,                  4998,                  1756,                 -7074,                 -3827,                 -4147,                141258,                165010,                147670,                 19043,                    -53,                -17758,                148902,,                -35421,                              0,,                 34735,,                 -3264,                     62,                 -1831,                              0,                 37039,                -41229,,,,                 -9909,,,                              0,               -132224,               -132224,                  8921,                 15690,              1524943,              1540633,              1540633,                              0,                              0,,,,,,,,,,,,,,,,,,,
2443,2014年01月01日至2014年03月31日,,                 -8231,                 -8231,,,                 15825,                     24,                  2202,                    459,                              0,                 -8767,,                    -53,,                  9138,                    144,                 19142,,,                              0,                   -359,                187349,                     50,                 -5143,                181897,,                  4816,                 -3380,                -28975,                     59,                -27480,                154417,                173559,                165328,                  8767,                              0,                              0,                174095,,                -35421,,,                              0,,                 -2654,                     53,                              0,                              0,                 37039,                              0,                  1979,,,                    298,,,                              0,                  6096,                  8096,                 13018,                195507,              1524943,              1720450,              1720450,,,                    170,                 -1125,                    427,                  2000,,,,,,,,,,,,,,,
2443,2013年度,,                782018,                782018,,,                 83159,                    546,                    357,                   -360,                  5378,                -14995,                   -265,               -746046,                 -3966,                  2678,               -179622,,,,                   -305,                 42702,                 -2862,                 10165,                -39156,                 10544,,                    -81,                    580,                -18686,                  2300,               -134367,               -123823,               -976959,               -194941,                 14995,                 -5378,                   -951,               -186275,,                              0,                  2092,,,                              0,                -73852,                793772,                   -475,                   -187,                 -4289,                 -2042,                              0,                    265,,                729777,,                              0,                -58500,                 13887,                -44623,                 19994,                518873,              1006070,              1524943,              1524943,,,                              0,,,,,                              0,                              0,               -853136,               -118480,                              0,                   -338,                              0,                              0,                 14831,                              0,                              0,                    -10,,
2443,2013年01月01日至2013年12月31日,,                782018,                782018,,,                 83159,                    972,                    357,                   -360,                  5378,                -14995,                   -265,               -746046,                 -3966,                  2678,               -180048,,,,                   -305,                 42702,                 -2862,                 10165,                -39156,                 10544,,                    -81,                    580,                -18686,                  2300,               -134367,               -123823,               -976959,               -194941,                 14995,                 -5378,                   -951,               -186275,,,                  2092,,,,                -73852,                793772,,                   -187,                 -4289,                 -2042,,                    265,,                729777,,                              0,                -58500,                 13887,                -44623,                 19994,                518873,              1006070,              1524943,              1524943,,,                              0,,                   -475,,,                              0,,               -853136,               -118480,,                   -338,,                              0,                 14831,                              0,                              0,                    -10,,
2443,2013年01月01日至2013年09月30日,,                -41098,                -41098,,,                 60142,                  1189,                    352,                   -360,                  2382,                 -5187,,                -59598,                   -529,                  2678,,,,,,                -22046,                -22788,                -16791,                -55558,               -117183,,                  4014,                 10097,                -49349,                268467,                233229,                116046,                137341,                 96243,                  5187,                 -2382,                 -1088,                 97960,,                              0,                  2092,,,                              0,                -47714,                 59786,                              0,                   -414,                              0,                 -7507,                              0,,,                -30670,,                              0,                -15000,                  7042,                 -7968,                 17812,                 77134,              1006070,              1083204,              1083204,,,,,                  1450,,,                 20226,,                 21295,,,,,                -38363,                              0,,,                    -10,,
