證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 非控制權益變動,　　 預付設備款減少,　　 處分採用權益法之投資,　　 其他非流動資產減少,　　　　 非金融資產減損損失,　　 處分透過其他綜合損益按公允價值衡量之金融資產
3010,2015年01月01日至2015年09月30日,,              1196612,              1196612,,,                 59426,                  9684,                127174,                  6420,                 77797,                -50312,                -12213,               -338319,                   -866,                 -1447,                 98631,                113396,                105604,                194975,,,                    -61,               -344306,                 92673,                 -3429,                -50348,                  2095,               -541935,                 -9860,               -855171,,                -34183,                  1097,                351038,                 29655,               -134917,                  2679,                140332,                 -2056,                353645,               -501526,               -306551,                890061,                 50312,                220063,                -64820,               -303340,                792276,,               -309343,                138479,               -122503,               -368229,                  1236,               -141901,                161569,                 -3382,               -243106,                999493,                  5742,                 -9757,                108298,,             10450720,            -11175278,               -150000,                              0,              2120245,             -1034903,                              0,               -763587,               -552803,                 87953,                435724,              2486882,              2922606,              2922606,,,,,,,,,,,,,
3010,2015年01月01日至2015年06月30日,,                778284,                778284,,,                 38954,                  6295,                 65946,                 -3647,                 50616,                -38898,                   -340,               -280851,                   -831,                 -2060,                 98631,                -13158,                 51664,                -27679,,,                  1534,                -64022,              1146024,                 19811,                -61280,                  2259,               -169929,                  5388,                879785,,                -29430,                -17228,                -16299,                 45984,                -24481,                 17735,                167975,                 -1324,                142932,              1022717,                995038,              1773322,                 38898,                 70640,                -43985,               -208029,              1630846,,               -154121,                119072,,               -187113,                  1196,               -125447,                160137,                 -2258,,                826311,                  9792,,                647569,,              6572644,             -8139769,               -150000,,              1190797,             -1029124,,,             -1555452,               -236228,                486735,              2486882,              2973617,              2973617,                              0,,,,,,,,,,,,
3010,2015年01月01日至2015年03月31日,,                378933,                378933,,,                 19247,                  2790,                 20279,                 -1248,                 28210,                -23540,,                -67338,                   -881,                     -5,,                -35266,                 22572,                -35180,,,,                 12018,                750069,                  9039,                 25728,                  1838,               -104809,                 25650,                719533,,                 38201,                -27824,               -107666,                 36675,                -28846,                 -4599,                 33461,                   -661,                -61259,                658274,                623094,              1002027,                 23540,,                -24386,                -52165,                949016,,                -59653,                      5,,               -112701,                  1230,               -112387,                 45085,                 -1174,                719344,,                   -237,                 -4586,                474926,,              3409361,             -4201381,,,              1011600,             -1023674,,,               -904094,               -126144,                393704,              2486882,              2880586,              2880586,                              0,               -100000,,,,,,,,,,,
3010,2014年度,,              1763324,              1763324,,,                 77871,                 20479,                 52318,                  1761,                107271,               -111625,                -15212,               -332253,                -12875,                -92985,,                 15598,                 53976,,,,,               -459035,             -1244803,                -25586,                  6867,                   -603,               -532118,               -215122,             -2470400,,                 35097,                    400,                155035,                 -4637,                166359,                 22386,                 58570,,                433644,             -2036756,             -2272432,               -509108,                111625,                198604,                -99522,               -333361,               -631762,,               -491678,                305418,                 -3000,               -558807,                 15364,                -53815,                 33169,                 -9591,               -372261,,                -15329,                 16529,             -1134001,,             16509406,            -15179359,,                994380,              1346567,             -1815247,                              0,               -694171,              1161336,                106716,               -497711,              2984593,              2486882,              2486882,                   -240,                              0,,               -235676,                    434,                              0,                              0,                              0,,,,,
3010,2014年01月01日至2014年09月30日,,              1293388,              1293388,,,                 58694,                 11314,                 59866,                              0,                 77257,                -85479,                -13645,               -237349,                -12514,                -92985,                              0,                  4815,                 49993,               -180033,,,                              0,               -334890,             -1687143,                -45610,                 16916,                  1712,               -398671,               -325671,             -2773357,,                 55599,                 22570,                648917,                 -7948,                 37600,                 53621,                 91888,                 -1385,                900862,             -1872495,             -2052528,               -759140,                 85479,                197037,                -74635,               -282569,               -833828,,               -491678,                306077,                              0,               -309179,                 15003,                -48703,                 22699,                 -9591,             -1019184,                409040,                 -4516,                -25032,             -1155064,,             12435119,            -11028909,                100000,                994380,                296108,               -910284,                  6170,               -694171,              1198413,                 77779,               -712700,              2984593,              2271893,              2271893,,,,,,,,,,,,,
3010,2014年01月01日至2014年06月30日,,                804660,                804660,,,                 38711,                  7208,                 12365,                              0,                 50529,                -59183,                   -381,               -154635,                    134,                -92323,                              0,                -20818,                 48187,               -170206,,,                              0,                -86450,               -801062,                -44180,                  1432,                -66794,               -189646,               -138681,             -1325381,,                 25313,                 32767,                 90178,                  1191,                121880,                 62295,                 57653,                   -899,                390378,               -935003,             -1105209,               -300549,                 59183,                 59381,                -50615,               -195013,               -427613,,               -411638,                140360,,               -296757,                    110,                -42115,                 20126,                 -8567,,                 48821,                 -7824,,               -557484,,              7598416,             -7349140,                100000,,                278955,                 -4517,,,                623473,                -17652,               -379276,              2984593,              2605317,              2605317,                   -241,,,,,,,,,,,,
3010,2014年01月01日至2014年03月31日,,                366323,                366323,,,                 19516,                  3101,                 -7384,                              0,                 22910,                -28123,,                -81652,                              0,                -44871,,                -21408,                 16619,               -121292,,,,                -46261,               -290681,                -21243,                   -349,                    243,               -215722,               -118267,               -692280,,                -13150,                -10708,               -198209,                -11486,                 54866,                 70652,                 -9640,                    -71,               -117746,               -810026,               -931318,               -564995,                 28123,,                -22526,                -31338,               -590736,,               -114287,                 51782,,                -31179,                              0,                 -5412,                  7153,                 -7605,               -303500,,                              0,                 -6532,               -409580,,              3332324,             -2893126,,,                 27782,                 -2258,,,                364721,                121904,               -513691,              2984593,              2470902,              2470902,                     -1,               -100000,,,,,,,,,,,
3010,2013年度,,              1638799,              1638799,,,                 73665,                 11392,                 16911,                  3285,                 80565,                -89232,                -12410,               -304762,                 -1049,                -74509,,                -47526,                 49609,,,,,               -255773,               -681374,                  5393,                 26972,                    466,               -466361,                 41498,             -1329179,,                 91387,                 30387,                683393,                -40330,                150487,                  6779,                -29013,,                895051,               -434128,               -728189,                910610,                 89232,                180386,                -78324,               -227823,                874081,,               -262413,                301440,                              0,               -429336,                  2549,                -51835,                 42175,                 -3214,                747350,,                 -3032,                -92087,                 55446,,             11008538,            -10600551,,                              0,                250897,                 -9034,                     17,               -578475,                251240,                227430,              1408197,              1576396,              2984593,              2984593,                              0,                150000,,               -294061,                  1961,                 90000,               -286151,                 29848,,,,,
3010,2013年01月01日至2013年12月31日,,              1638799,              1638799,,,                 73665,                 11392,                 16911,                  3285,                 80565,                -89232,                -12410,               -304762,                 -1049,                -74509,                              0,                -47526,                 31519,,,,,               -255773,               -681374,                  5393,                 26972,                    466,               -466361,                 41498,             -1329179,,                 91387,                 30387,                683393,                -40330,                150487,                  6779,                -29013,,                895051,               -434128,               -746279,                892520,                 89232,                180386,                -78324,               -227823,                855991,,               -262413,                301440,,               -429336,                  2549,                -51835,                 42175,                 -3214,                747350,,                 16501,                -92087,                 74979,,             11008538,            -10600551,,,                250897,                 -9034,                     17,               -578475,                251240,                225987,              1408197,              1576396,              2984593,              2984593,                              0,                150000,,               -312151,                  1961,                 90000,               -286151,                 29848,,                              0,,,
3010,2013年01月01日至2013年09月30日,,              1213111,              1213111,,,                 55905,                  8352,                 10809,                  3285,                 58793,                -66862,                -11404,               -268993,                   -638,                 -8127,,                -41993,                 36441,,,,,               -337759,               -752446,                  5071,                -43312,                  1754,               -167048,                 14195,             -1279545,,                 71957,                 26559,                328633,                -21833,                 98284,                 -4332,                  6708,,                507066,               -772479,               -996911,                216200,                 66862,                179380,                -57665,               -164730,                240047,,               -215170,                128820,,               -316075,                    836,                -27801,                 14955,                 -3451,,                309043,,                -61185,               -357966,,             10313249,             -9891427,                150000,                              0,                133870,                 -6776,                     30,               -578475,                150319,                217261,                249661,              1576396,              1826057,              1826057,,,,               -224432,                  1090,                 90000,               -277938,                 29848,,,,,
