證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 投資性不動產公允價值調整損失(利益),　　 處分不動產、廠房及設備,　　　　 處分投資性不動產損失（利益）,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分子公司,　　 處分待出售非流動資產,　　 其他應收款減少,　　 處分投資性不動產,　　 短期借款減少,　　 現金增資,　　　　 其他項目,　　 應收款項減少,　　　　 金融資產減損損失,　　 其他應收款－關係人減少,　　　　　 持有供交易之金融資產（增加）減少
2466,2015年01月01日至2015年09月30日,,                -27436,                -27436,,,                113469,                  2620,                    229,                              0,                 26194,                 -2549,                 12349,                152312,,,                    128,                -60786,                -27517,                 70196,                 15900,                 20698,                -11599,                 -4474,                  2546,,                -30127,                 -2975,                 -4386,                    784,                 -2045,                -38749,                -36203,                116109,                 88673,                  2549,                 -7601,                 83621,,                -54141,                    155,                    -76,                              0,                  1217,                -57220,                 -1484,               -111549,,                103804,                 22000,                -56028,                     13,                -27377,                 -6000,                 36412,                 26553,                 35037,                498753,                533790,                533790,,,,,,,,,,,,,,,,,,,,,,,
2466,2015年01月01日至2015年06月30日,,                -52509,                -52509,,,                 75296,                  1732,,                              0,                 17651,                 -1903,                  7464,                100240,,,                 -2904,                 74803,                -11880,                 36519,                 15414,                -32208,                -20308,                 -3443,                 55993,,                -29116,                  9319,                 -2837,                  2712,                 -2014,                -21936,                 34057,                134297,                 81788,                  1903,                 -7491,                 76200,,                -20345,                  1622,                    -57,                              0,                    717,                -54015,                 -1472,                -73550,,                 86789,                              0,                -56028,                     13,                -19693,                 -6000,                  5081,                -32849,                -25118,                498753,                473635,                473635,                              0,                              0,,,,,,,,,,,,,,,,,,,,,
2466,2015年01月01日至2015年03月31日,,                -28075,                -28075,,,                 37659,                    868,,                              0,                  9015,                   -946,                   -970,                 45626,,,                   -123,                 76055,                 -9232,                 34557,                 12931,                 -2211,                    418,                 -1360,                111035,,                -25719,                  1280,                    690,                  3346,                 -2017,                -22420,                 88615,                134241,                106166,                    946,                 -4335,                102777,,                 -9868,,,                              0,                   -322,                -23809,,                -23254,,                 15282,                              0,                              0,                     13,                -10412,                              0,                  4883,                -17433,                 66973,                498753,                565726,                565726,,                              0,                              0,                 10745,,,,,,,,,,,,,,,,,,,
2466,2014年度,,               -111814,               -111814,,,                150293,                  3355,                  1453,                    -89,                 40387,                 -3148,                 21546,,,,                  9113,                -43409,                  3732,                 75648,                -22022,                 -1732,                -20579,                 -2282,                 -1531,,                 -9369,                 22144,                -17823,                  3765,,                 -1473,                 -3004,                215880,                104066,                  3148,                 -5299,                101915,,               -106370,                 -4551,                              0,                              0,                  2266,               -111903,,               -219502,,                 17072,                              0,                -46000,                     -6,                -38647,                  6910,                147929,                 62335,                 92677,                406076,                498753,                498753,                  5388,                  1056,,,,                   -301,                              0,                              0,                218884,                              0,                              0,                   -190,                              0,                              0,                              0,                              0,                              0,                208600,,,,,
2466,2014年01月01日至2014年09月30日,,                -76518,                -76518,,,                110751,                  2216,                              0,                    -89,                 29860,                 -2067,                 19941,                160612,,,                  3679,               -172758,                 24466,                 57145,                 -7702,                 -6379,                -33832,                 -2231,               -137612,,                -17700,                 21802,                 -6755,                 31045,                    576,                 28968,               -108644,                 51968,                -24550,                  2067,                 -5369,                -27852,,                -72630,                 -3964,                              0,                 -1494,                  1807,                -93925,                              0,               -170206,,                149577,                417500,               -463500,                     -6,                -28914,                 10350,                 85007,                 23480,                -89571,                406076,                316505,                316505,,,,,,,,,,,,,,,,,,,,,,,
2466,2014年01月01日至2014年06月30日,,                -77204,                -77204,,,                 73853,                  1479,,                    -89,                 21359,                 -3753,                 19941,                104993,,,                 -9602,                -33186,                 13272,                 66032,                 -5514,                -84729,                -18397,                   -188,                -72312,,                -18670,                 56083,                 -7399,                  8805,                    183,                 39002,                -33310,                 71683,                 -5521,                  3753,                 -4230,                 -5998,,                -62248,                 -3349,                              0,                 -1186,                    246,                -64260,                              0,               -130797,,                 84930,                417500,               -451500,                     -6,                -20394,                 10350,                 40880,                 -9038,               -104953,                406076,                301123,                301123,                 -7797,                              0,,,,,,,,,,,,,,,,,,,,,
2466,2014年01月01日至2014年03月31日,,                -18855,                -18855,,,                 37208,                    839,,                    -24,                 10362,                   -965,                 12000,                 35965,,,                    207,                 -5262,                  6885,                 42647,                 -7350,                -47757,                -21050,                    535,                -31145,,                -28370,                 37511,                   -770,                 12249,                    867,                 21487,                 -9658,                 26307,                  7452,                    965,                    563,                  8980,,                -55897,,,                 -1186,                    618,                -35375,,                -86469,,                 77683,                116000,               -144000,                     -6,                 -9812,                 10350,                 50215,                 20443,                 -6831,                406076,                399245,                399245,,                              0,                -23455,                  5371,,,,,,,,,,,,,,,,,,,
2466,2013年度,,               -122957,               -122957,,,                143742,                  3097,                -11673,                   -463,                 34720,                 -4501,                 25000,,,,                 -7987,                 87554,                -51644,                 -4070,                 31435,               -124490,                 -8165,                 -1359,                -78726,,                -55331,                 -4486,                -12414,                    371,,                -89218,               -167944,                 82713,                -40244,                  4501,                    180,                -35563,,               -140503,                -14128,                -21641,                   -362,                 -3093,                -59935,,               -130519,,                125297,              1180877,             -1305859,                 -2407,                -33709,                 11710,                -24091,                  8247,               -181926,                588002,                406076,                406076,                 65860,                    711,,,,                    -28,                -12197,                  7100,                250657,                   -111,                -15917,                 -1330,                     85,                109956,                -53580,                 51971,                              0,                              0,,,,,
2466,2013年01月01日至2013年12月31日,,                -20136,                -20136,,,                151468,                 13936,                -11673,                   -463,                 34720,                 -4501,                 25000,,,,                 -7987,                 87554,                -51644,                 -4070,                 31435,               -124490,                 -8165,                 -1359,                -78726,,                -55331,                 -4486,                -12414,                    371,,                -87888,               -166614,                -25833,                -45969,                  4501,                 -1563,                -43031,,               -140503,                -14128,                -21641,                   -362,                 -3093,                -59935,,               -125155,,                125297,              1180877,             -1305859,                 -2407,                -33709,                 11710,                -24091,                 10351,               -181926,                588002,                406076,                406076,,                    711,,,,                    -28,                -55204,                -17230,                140781,                   -111,                -15917,,                     85,                109956,                -53580,                 57335,                              0,,                 -1330,,                  6086,                              0,
2466,2013年01月01日至2013年09月30日,,               -147829,               -147829,,,                107540,                  3618,                 -5452,                   -383,                 24679,                 -2389,                 15000,,,,                  1794,                -43842,                 -7795,                -41869,                 22509,               -138042,                -23759,                   -936,               -231940,,                -26186,                 15901,                -26098,                -11512,,                -46123,               -278063,                -73216,               -221045,                    873,                   -979,               -221151,,                -62055,                 -6948,                -13277,                              0,                    666,                -78230,,                -67539,,                183305,                341000,               -463000,                 -2413,                -24676,                  7160,                 41376,                 -5039,               -252353,                588002,                335649,                335649,                 65896,                    104,,,,                    -28,                -12197,                  7100,                204847,                   -111,,                  1883,                 -4375,                109956,,,,,                  1463,                -13380,,,
