證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分投資性不動產,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 存出保證金減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 預付設備款增加,　　　　　 應付建造合約款（增加）減少,　　 處分以成本衡量之金融資產
1603,2015年01月01日至2015年09月30日,,                310298,                310298,,,                 26785,                  1333,                 -1819,                 10637,                 -6109,                -20892,                  3133,               -145807,                -74135,                 14790,                 13235,                  2470,               -176379,,,                 37561,                              0,               -401000,                              0,                -55634,                 -6834,                    -93,                192382,                 -7023,                -19782,               -260423,,                 -1411,                 -3709,                -73973,                 13333,                 -9755,                  9437,                              0,                -28065,                 -8457,               -102600,               -363023,               -539402,               -229104,                  6086,                -10816,                -35455,               -269289,,                -25530,                357480,               -421663,                              0,                -20996,                -14335,                   -182,                268671,                 20892,                164337,,                214052,                 94914,                              0,                    116,                              0,                   -469,                308613,                    908,                204569,                 19691,                224260,                224260,,,,,,,,,,,,,,
1603,2015年01月01日至2015年06月30日,,                151659,                151659,,,                 17815,                    897,                 -3070,                  6567,                 -2236,,                  3064,                -98119,                    217,                 10075,                 -1089,                  2216,                -63663,,,                 18184,                              0,               -303984,                              0,                -11300,                    151,,                171040,                -45507,                 -5449,               -176865,,                 23384,                    612,                -72450,                  9328,                   -665,                 -3497,                              0,                 -1226,                 -5583,                -50097,               -226962,               -290625,               -138966,                  2177,                 -7033,                -27712,               -171534,,                 -7023,                  6051,                -18409,                              0,                -11273,                 -9740,                   -182,                181963,,                141387,,                143447,                              0,               -114983,                     64,,                   -565,                 27963,                 -1074,                 -3258,                 19691,                 16433,                 16433,                              0,                              0,                              0,,,,,,,,,,,
1603,2015年01月01日至2015年03月31日,,                114352,                114352,,,                  8933,                    445,                 -4001,                  3382,                 -1113,,                     85,                -98119,                    -66,                  1311,                  2619,                  2292,                -84232,,,                 27964,                              0,                -18838,                              0,                 -6244,                    -26,,                 42025,                -18995,                   -892,                 24994,,                 13033,                -11445,                 -2960,                  1756,                -11307,                 -3279,,                -75026,                 -2765,                -91993,                -66999,               -151231,                -36879,                  1088,                 -3679,                   -106,                -39576,,                 -4000,                  4068,                 -3402,                              0,                 -4394,                -26540,,                181963,,                147695,,               -147896,                 49965,,                     82,                    -27,,                -97876,                   -445,                  9798,                 19691,                 29489,                 29489,,,,,,,,,,,,,,
1603,2014年度,,                291597,                291597,,,                 35350,                  1868,                  2604,                 17482,                 -3133,                -26615,                  3235,               -177363,                -16939,                  2475,                  8147,                  1997,,,,                 65147,                     33,                260285,                    256,                 77040,                   -314,,               -185319,                -15341,                    621,                202408,,                -33140,                 -4055,                  5969,                -14700,                -30697,                  9984,                              0,                -88256,,               -164121,                 38287,                -64925,                226672,                  3108,                -17334,                   -255,                238806,,                 -6980,                 48019,,                -55500,                 -9857,                   -610,                    -49,                334440,                 26615,                117747,,               -301210,                -64949,,                   -668,                     98,,               -366729,                    760,                 -9416,                 29107,                 19691,                 19691,                 47680,,,,                              0,               -103212,                 -9226,               -191716,                              0,                              0,                              0,,,
1603,2014年01月01日至2014年09月30日,,                153447,                153447,,,                 26479,                  1396,                  2086,                 13761,                 -1040,                -26615,                  2710,                              0,                -16892,                  4615,                 -2430,                  4957,                  9027,,,                 83028,                     33,                199815,                    256,                 94011,                   -769,                              0,                -35714,                -34571,                  1884,                307973,,                -17846,                -14130,                -10429,                -17541,                -37850,                  5622,                  5651,                -90382,                 -6640,               -183545,                124428,                133455,                286902,                  1015,                -13631,                    -90,                274196,,                 -6980,                 45974,               -159686,                -19500,                 -6856,                    277,                    -49,                              0,                 24406,               -122414,,                 20624,                              0,               -180024,                   -663,                      8,                              0,               -160055,                   -721,                 -8994,                 29107,                 20113,                 20113,,,,,,,,,,,,,,
1603,2014年01月01日至2014年06月30日,,                103606,                103606,,,                 17669,                    917,                  3201,                  9117,                   -636,,                  2570,                              0,                -16891,                  3718,                 -3892,                  3945,                 19718,,,                104825,                     33,                 43279,                    256,                 94904,                   -273,,                116998,                -55254,                   -437,                304331,,                -18133,                -11739,                 54825,                -14057,                -10392,                -12616,                    -62,                -89062,                 -4036,               -105272,                199059,                218777,                322383,                    560,                 -9053,                    -55,                313835,,                 -2980,                 43972,               -157681,                -19500,                 -5650,                              0,                              0,                              0,,               -141554,,                302671,                              0,               -479913,                              0,,                              0,               -177326,                 -1829,                 -6874,                 29107,                 22233,                 22233,                              0,                    285,                    -84,,,,,,,,,,,
1603,2014年01月01日至2014年03月31日,,                 44244,                 44244,,,                  8850,                    458,                  4084,                  4404,                   -342,,                    112,                              0,                    -73,                  5676,                  6547,                  2247,                 31963,,,                112742,                   -157,                -52131,                    256,                 99525,                   -157,,                112313,                -50624,                 -1921,                219846,,                -23930,                -18935,                 93078,                -13260,                 40731,                -14868,,               -115067,                 -1437,                -53688,                166158,                198121,                242365,                    342,                 -4384,                    -34,                238289,,                 -2980,                  4058,               -107697,                -19500,                 -4868,                    504,,                              0,,               -130483,,                368670,               -479913,,                     -5,                              0,,               -111248,                   -110,                 -3552,                 29107,                 25555,                 25555,,,,,,,,,,,,,,
1603,2013年度,,                291512,                291512,,,                 35844,                    618,                  7767,                 15726,                   -211,                -27311,                  1967,                    144,                              0,                  4804,                  1766,                    711,,,,                -91498,                    -33,               -350209,                   -256,                -65290,                   -203,,               -139676,                 69179,                   -342,               -578328,,                 -8352,                 18746,                 45245,                  4802,                 67955,                 15796,                 -3171,                  1978,,                131496,               -446832,               -380666,                -89154,                    235,                -15365,                 -5957,                -82930,,                -10270,                              0,,                -58400,                -10452,                   -613,                 -4226,                  1370,                 27311,               -493675,,                557305,                 32925,,                    -33,                 -4474,,                585723,                  5220,                 14338,                 14769,                 29107,                 29107,                 24351,,,,                    -10,                 66166,                -11503,               -149847,                  7000,                     10,               -268247,,,
1603,2013年01月01日至2013年12月31日,,                291512,                291512,,,                 35844,                    618,                  7767,                 15726,                   -211,                -27311,                  1967,                    144,                              0,                  4804,                  1766,                    711,,,,                -91498,                    -33,               -350209,                   -256,                -65290,                   -203,,               -139676,                 69179,                   -342,               -578328,,                 -8352,                 18746,                 45245,                  4802,,                 15796,                 -3171,                  1978,,                131496,               -446832,               -380666,                -89154,                    235,                -15365,                 -5957,                -82930,,                -10270,                              0,,                -58400,                -10452,                   -613,                 -4226,                  1370,                 27311,               -493675,,                557305,                 32925,,                    -33,                 -4474,,                585723,                  5220,                 14338,                 14769,                 29107,                 29107,                 24351,,,,                    -10,                 66166,                -11503,               -149847,                  7000,                     10,               -268247,,                 67955,                              0
1603,2013年01月01日至2013年09月30日,,                191726,                191726,,,                 27082,                    380,                  3429,                 11061,                   -179,                -26982,                  1456,,                              0,                  4970,                 -5083,                    688,,,,                  7343,                              0,                -16364,                              0,                -16510,                   -187,,               -131875,                 49314,                    916,               -107363,,                -39966,                  4081,                -47134,                 -7287,                 51871,                  3214,                 -3171,               -118171,,               -165729,               -273092,               -256280,                -64554,                    203,                -10173,                 -5954,                -80478,,                -10270,                              0,,                -58400,                 -4259,                   -607,                   -278,,                 24224,               -142595,,                506067,               -247004,,                     91,                    166,,                259320,                  1441,                 37688,                 14769,                 52457,                 52457,,,,,                    -10,                 16812,                 -9166,                -99835,                  7000,                     10,,                   -180,,
1603,2013年01月01日至2013年06月30日,,                 98293,                 98293,,,                 18370,                    250,                  3321,                  7150,                   -170,,                     60,,                              0,                  5759,                  4098,                     90,,,,                -15377,                              0,                 21117,                    -17,                 -6145,                 -2755,,               -112464,                 18079,                   -884,                -98446,,                -45108,                  8424,                -20272,                   -803,                 21056,                  2324,                 -3171,               -120639,,               -165017,               -263463,               -224535,               -126242,                    194,                 -6660,                 -6295,               -139003,,                 -9618,                              0,,                -58400,                 -2168,                   -130,                   -278,,,                -78640,,                159701,                 62990,                              0,                     56,                    208,,                222955,                  1787,                  7099,                 14769,                 21868,                 21868,                              0,                              0,                              0,,,                 38928,                 -6828,                -15046,                  7000,,,,,
1603,2013年01月01日至2013年03月31日,,                 14621,                 14621,,,                  9495,                    120,                  2910,                  3393,                   -151,,                     20,,                              0,                  5338,                  4906,                     63,,,,                -14343,                              0,                  3307,                              0,                 -4951,                   -588,,               -133870,                 31685,                    972,               -117788,,                -32400,                  5807,                -29459,                 -4655,                  6076,                -18030,,                 -5094,,                -77636,               -195424,               -169330,               -154709,                    151,                 -3522,                    -14,               -158094,,                              0,                              0,,                -58400,                   -153,                 -1223,                   -277,,,                -53090,,                149310,                 62990,,                     37,                  1440,,                213777,                    979,                  3572,                 14769,                 18341,                 18341,,,,,,                 26094,                    119,                              0,                  6963,,,,,
1603,2012年01月01日至2012年12月31日,,                403070,                403070,,,                 37949,                    308,                -29747,                 17078,                -11952,                -24371,                   -122,                              0,                -85631,                -27538,                  4560,                  1523,,,,                  6793,                              0,               -112581,                     69,                -36921,                    127,,                162118,                -38030,                 61912,                 43487,,                 -4724,                -10956,                -15821,                 18332,,                 -2264,                  3171,                147358,,                153275,                196762,                111639,                514709,                 11952,                -19253,                 -1189,                530590,,                -18555,                  3024,,                              0,                -17672,                     26,                   -570,                              0,                 24371,                 60345,,               -530762,                -62983,,                     99,                    340,,               -593306,                   -954,                 -3325,                 18094,                 14769,                 14769,                 33163,,,,                   -343,                -85123,                 -7640,                -24552,                              0,                    368,                              0,,                 25819,                118276
1603,2012年01月01日至2012年09月30日,,                302947,                302947,,,                 28431,                    215,                -25410,                 13773,                -11927,,                    -44,,,                -28889,                 -1310,                -79831,,,,                 -7785,,               -150200,                     37,                -41460,                 -2311,,                 -3530,                 24450,                 60489,               -120310,,                 30549,                -12329,                 18719,                 10909,,                  1693,                  4382,                 90354,,                189165,                 68855,                 -2974,                299973,                 11925,                -15000,                 -6948,                289950,,                -18555,                  3024,,                              0,                -16488,                     21,                   -570,,,                 61158,,               -349124,                     19,,                     98,                    339,,               -348668,                   -955,                  1485,                 18094,                 19579,                 19579,                 33163,,,,                              0,                -71829,                 -5674,                -24550,                              0,                              0,,                              0,                 50562,                118276
1603,2012年01月01日至2012年06月30日,,                113408,                113408,,,                 18957,                    123,                -24205,                  9305,                    -51,,                     18,,,                -19294,                  1463,                  2842,,,,                 16805,                   -191,                -74309,                     69,                -38384,                 -3226,,                127200,                  4723,                 61218,                 93905,,                -16899,                -12329,                -41871,                 20507,,                -16267,                  5523,                 74805,,                 32130,                126035,                148356,                261764,                    220,                -11463,                              0,                250521,,                -18222,,,                              0,                 -7435,                     24,                   -570,,,                -26203,,               -278680,                   -289,,                    109,                 48177,,               -230683,                   -673,                 -7038,                 18094,                 11056,                 11056,                 33163,,,,,                 22321,                 -3591,                              0,                              0,,,,                 22252,
1603,2012年01月01日至2012年03月31日,,                 71883,                 71883,,,                  9635,                     46,                  5221,                  5220,                    -34,,                     15,,,                -16904,                 -6662,                  1533,,,,                  4920,,                  8330,                     16,                -33501,                   -473,,                129634,                 20523,                 54770,                184219,,                -14873,                -12329,                -15899,                  3463,,                -12503,,                 82461,,                 71831,                256050,                254120,                326003,                     34,                 -6194,                              0,                319843,,                -11456,,,                              0,                 -1800,                     63,                              0,,,                -13193,,               -361441,                    -30,,                     59,                 53497,,               -307915,                   -779,                 -2044,                 18094,                 16050,                 16050,,,,,,                 -1930,                 -1738,,                              0,,,,                 43249,
