證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 短期借款增加,　　 取得子公司股權,　　　　 金融資產減損損失,　　　　 應付公司債匯率影響數
9905,2015年01月01日至2015年09月30日,,                768275,                768275,,,                263012,                    651,                              0,                 -3134,                  7413,                -33725,                 -5982,                -24750,                -18421,                  3301,                 22012,                  1044,                211421,,,               -418974,                -45770,               -628564,                 23747,                266117,                -71484,                 -3797,               -878725,,                 76847,                230071,                  2926,                    -30,                 27928,                 -4655,                333087,               -545638,               -334217,                434058,                 28764,                -15313,               -165875,                281634,,             -1711639,              1783290,             -2078076,              2625171,                  2609,               -180483,                 28681,                  1225,                              0,                -48680,                  5982,                428080,,               -411761,                              0,                 -9908,               -610000,             -1031669,                 23426,               -298529,                890303,                591774,                591774,,,,,,,,,,,,
9905,2015年01月01日至2015年06月30日,,                460237,                460237,,,                171958,                    440,                              0,                 -1620,                  5053,                -24996,,                -24696,                -11040,,                  1982,                 12546,                129627,,,               -353164,                -37857,               -563813,                 27598,                333040,                -22813,                 -8813,               -625822,,                300239,                294100,                 21854,                 -1143,                 56708,                 -3125,                668633,                 42811,                172438,                632675,                 22203,                 -5396,                -92705,                556777,,             -1108020,                989145,             -1249963,              1512478,                              0,               -135020,                 28617,                    239,                              0,                -22057,,                 15419,,               -330854,                              0,                 -9912,,               -340766,                -40743,                190687,                890303,              1080990,              1080990,                              0,,,,,,,,,,,
9905,2015年01月01日至2015年03月31日,,                129131,                129131,,,                 86508,                    227,                              0,                   -617,                  2648,                 -7708,,                 -1826,                 -4594,,                  3219,                  9187,                 87044,,,               -141233,                -31283,               -244822,                 15124,                251617,                -10169,                 -2515,               -163281,,                 30039,                157011,                 13570,                   -499,                 29889,                 -1576,                228434,                 65153,                152197,                281328,                  5777,                 -3137,                 -4480,                279488,,               -425533,                461530,               -558799,                924994,,                -80499,                  2052,,                              0,                 -5429,,                314575,,               -267335,                              0,                 -9910,,               -277245,                -16800,                300018,                890303,              1190321,              1190321,                 -3371,                   -370,,,,,,,,,,
9905,2014年度,,                968593,                968593,,,                333768,                    882,                 -3158,                              0,                 14019,                -30803,                 -5631,                 -5722,                -36023,,                 -5469,                 13430,,,,                 18894,                 74510,                159399,                -15877,                 76659,                371523,                   -316,                684792,,                   -656,               -263147,                -18640,                    394,                -15684,,               -306136,                378656,                653949,              1622542,                 31183,                -14539,               -182477,              1456709,,,              2938866,,,                  2319,               -347498,                  6881,                  5245,                 -3954,               -427090,                  5631,               -689072,,                -24537,                    -16,,               -610000,               -634553,                 58396,                191480,                698823,                890303,                890303,,,,                275293,                 -8403,             -2597481,             -2101036,              1829045,                              0,                              0,,
9905,2014年01月01日至2014年09月30日,,                779287,                779287,,,                242422,                    800,                 -6800,                    251,                 10862,                -26966,                 -5564,                 -5600,                -34353,                  9463,                    749,                  2513,                187777,,,                 18090,                -34955,               -177303,                 -5549,                 43273,                166642,                -15780,                 -5582,,                -61650,                -76000,                -21352,                   -450,                  9156,                 -7033,               -157329,               -162911,                 24866,                804153,                 25446,                -11283,               -177679,                640637,,             -1992143,              2557778,             -1301081,              1386150,                  2319,               -304048,                  6747,                  5830,                 -3952,               -251610,                  5564,                111554,,                 57090,                     46,                              0,               -610000,               -552864,                  6962,                206289,                698823,                905112,                905112,,,,,,,,,,,,
9905,2014年01月01日至2014年06月30日,,                455578,                455578,,,                159746,                    437,                 -1641,                  1047,                  6984,                -18250,,                      1,                 -8441,,                 -7244,                 14276,                146915,,,                 16277,                 14592,               -266583,                 -5095,                249689,                  6583,                 -3128,                 12335,,               -133454,                -46596,                  8405,                 -1076,                 44934,                 -5327,               -133114,               -120779,                 26136,                481714,                 17625,                 -6921,               -108509,                383909,,             -1562543,              1503014,               -839095,                976587,                  2319,               -113140,                    508,                              0,                   -226,                              0,,                -33042,,                 93857,                     43,                              0,,                 93900,                -33887,                410880,                698823,              1109703,              1109703,                   -466,,,,,,,,,,,
9905,2014年01月01日至2014年03月31日,,                191651,                191651,,,                 80663,                    220,                 -2138,                 10278,                  5140,                 -7713,,                              0,                 -6181,,                    365,                  2967,                 83601,,,                  2655,                 40850,                -64249,                -57779,                165666,                 -6196,                 -2107,                 78840,,                 94065,                -43967,                -76952,                   -308,                 -2228,                 -3561,                -32951,                 45889,                129490,                321141,                  6640,                 -4169,                 -3688,                319924,,               -822983,                734205,               -112803,                              0,,                -29476,                              0,,                   -230,                              0,,               -242147,,               -198638,                     45,                              0,,               -198593,                 -4678,               -125494,                698823,                573329,                573329,                -10860,                              0,,,,,,,,,,
9905,2013年度,,              1106915,              1106915,,,                290228,                    852,                 -3132,                  2844,                 13654,                -23675,                 -5648,                    179,                -17076,,                -29178,                  1835,,,,                -19353,                 10558,               -225437,                 10299,               -189210,               -206491,                 11500,               -608134,,                341615,                294410,                -26884,                 32732,               -105478,,                528475,                -79659,                151224,              1258139,                 22956,                -13197,               -210830,              1057068,,,              1956793,,,                  3759,               -366359,                 30710,                  1434,                   -219,                -20842,                  5648,               -925069,,                              0,                     19,,               -610000,               -502742,                 73681,               -297062,                995885,                698823,                698823,,,,                230883,                 -7920,             -1983424,               -552569,                              0,                294165,               -186926,,
9905,2013年01月01日至2013年12月31日,,              1106915,              1106915,,,                290228,                    852,                 -3132,                  2844,                 13654,                -23675,                 -5648,                    179,                -17076,,                -29178,                  1835,,,,                -19353,                 10558,               -225437,                 10299,               -189210,               -206491,                 11500,               -608134,,                341615,                294410,                -26884,                 32732,               -105478,,                528475,                -79659,                151224,              1258139,                 22956,                -13197,               -210830,              1057068,,             -1983424,              1956793,,,                  3759,               -366359,                 30710,                  1434,                   -219,                -20842,                  5648,               -925069,,                              0,                     19,,               -610000,               -502742,                 73681,               -297062,                995885,                698823,                698823,,,,                230883,                 -7920,,               -552569,,                294165,               -186926,                              0,
9905,2013年01月01日至2013年09月30日,,                902630,                902630,,,                205097,                    643,                 -3927,                  2141,                 10124,                -17763,                 -5590,                  1320,                -13033,                  5015,                -25025,                  2477,,,,                 -6743,               -207657,               -277144,                  6224,                -74622,               -194052,                  4421,               -749573,,                343255,                203106,                -18574,                 47366,               -113562,,                455573,               -294000,               -132521,                770109,                 16295,                 -9448,               -197353,                579603,,             -1087209,              1350945,,,                              0,               -271746,                 10792,                  1265,                   -136,                -20863,                  5590,               -302082,,,                      8,,               -610000,               -504493,                 49771,               -177201,                995885,                818684,                818684,,,,                161479,                 -6018,,               -290720,                              0,                292425,               -186926,,
