證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　　　　 淨確定福利負債增加(減少),　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 存入保證金增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 應付公司債匯率影響數,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 預付設備款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　　　 金融資產重分類淨損失（利益）,　　　　 金融資產減損迴轉利益,　　 處分無活絡市場之債券投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股份基礎給付酬勞成本,　　 取得避險之衍生金融資產,　　 存出保證金減少
2426,2015年01月01日至2015年09月30日,,                304301,                304301,,,                153070,                  6901,                -19333,                 21963,                 16549,                 -3528,                 -4627,                  5312,                  9521,                              0,                -35737,                 -7364,                    461,                143188,,,                  7183,                 79311,                    986,                -31080,                -20945,                -14523,                 20932,,                -10749,                  3147,                -13594,                    614,                 35987,                    -15,                 15390,                 36322,                179510,                483811,                -13015,                -54308,                416488,,               -134241,                 51028,                  9607,                 -7765,                              0,                -61037,                 12979,                 13377,                 -5083,                -29893,                  3351,                  4627,               -143050,,                629869,               -572785,                294296,                              0,               -814234,               -248339,                460000,                   -281,               -251474,                 31990,                 53954,                603966,                657920,                657920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2015年01月01日至2015年06月30日,,                195485,                195485,,,                106639,                  4486,                -11330,                  3280,                 11075,                 -3155,                              0,                  4445,                   -354,,                -35872,                 48667,                    310,                128191,,,                  9238,                 18007,                 13803,                 29424,                -12219,                 13077,                 71330,,                  3721,                 10471,                -17225,                    -62,                  8602,,                  5184,                 76514,                204705,                400190,                 -9611,                -37745,                352834,,               -118190,                 51028,,                 -1671,                              0,                -36789,                    780,                 14017,                 -5083,                -16951,                  3022,,               -109837,,                339313,               -353415,                295018,                              0,               -819464,,                460000,,                -78681,                 -6370,                157946,                603966,                761912,                761912,                              0,                   -323,                    148,                              0,                   -281,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2014年01月01日至2014年09月30日,,                264039,                264039,,,                206159,                  5148,                -20562,                 27615,                 25134,                 -1128,                -30899,                 31848,                  5926,                  1603,                -36151,                -32889,                    121,                181925,,,                   -783,                107249,                 -1450,                -81586,                 69370,                 29216,                122016,,                -27170,               -185204,                  4922,                  2545,                -28689,                    306,               -233290,               -111274,                 70651,                334690,                -25224,                   -462,                309004,,               -766059,                703228,                              0,                -60601,                 12335,                -59587,                    381,                 -1126,                 -4006,                -14403,                    916,                 30899,               -158023,,                849500,               -878141,                              0,                 35776,               -115813,                              0,                              0,                  1194,               -107484,                 20578,                 64075,                565707,                629782,                629782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2014年01月01日至2014年06月30日,,                180027,                180027,,,                138588,                  3893,                -13239,                 -2593,                 17380,                   -785,                 -3373,                 16310,                  5923,,                -39002,                 17876,                    301,                140950,,,                 -3088,                180500,                 20989,                -71468,                 14586,                 30171,                171690,,                -18321,               -129060,                -23526,                  1426,                -26435,,               -195712,                -24022,                116928,                296955,                -17349,                   -304,                279302,,               -118587,                 84333,,               -117937,                 12335,                -49088,                    153,                 -1047,                 -4006,                 -1665,                    633,,               -194876,,                780552,               -884686,                              0,                 34886,               -103974,,                              0,,               -172028,                  5439,                -82163,                565707,                483544,                483544,                   -329,                    204,                              0,                  1194,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2013年01月01日至2013年12月31日,,             -1014498,             -1014498,,,                403479,                  9004,                 50437,                    585,                 43285,                 -3783,                 -5115,                  8693,                 -9283,                302900,                -20760,                   -272,                    603,,,,                 63543,               -493987,               -179476,                438233,                  5314,                  2111,               -164262,,                 52218,                418670,                 21626,                     93,                100394,,                592503,                428241,              1508792,                494294,                -43391,                -15463,                435440,,                -15892,                 24308,                  1846,,,               -110901,                 65377,                 -9179,                 -5324,                -16731,                  3683,                  5115,                114756,,              2263519,             -2245756,,                 61140,               -360453,,,,               -331486,                  4700,                223410,                342297,                565707,                565707,,,,                      8,,,                              0,               -287263,                120958,                    527,                466556,              1080551,                              0,                   -498,                              0,                185061,                -14252,                              0,                  1496,                    149,                              0,                              0,                -49944,                              0,,,,,,,
2426,2013年01月01日至2013年09月30日,,               -234191,               -234191,,,                314553,                  7202,                 31008,,                 30895,                 -1572,                 -5115,                  9231,                -22733,                 11627,                -55838,                 24979,                  1165,,,,                 24504,               -289471,               -165429,                354638,                -31803,                -51317,               -158878,,                 36864,                206947,                -42298,                  2759,                 37114,,                230181,                 71303,                353356,                119165,                -30553,                -14685,                 73927,,,,                  1746,,,               -692194,                705984,                 -7552,                 -3773,,                  1423,                  5115,                 52875,,                748030,               -636933,,                 61140,               -278677,,,,               -156647,                   -641,                -30486,                342297,                311811,                311811,,,,,                   -263,,                              0,               -287263,                 14214,                    527,                 54218,                282053,                -11684,                    479,                              0,                 94775,                -54294,                              0,                  1496,                    149,,                -49944,,,                    888,                154067,                              0,                              0,,,
2426,2013年01月01日至2013年06月30日,,               -228953,               -228953,,,                221010,                  5403,                 17679,,                 23534,                 -3622,,                  5042,                  2761,                176047,                -60762,                -16649,                  1016,,,,                -34890,               -278848,                    765,                308422,                -22121,                -19872,                -46544,,                 47592,                 12923,                -13942,                  1750,                 34724,,                 76882,                 30338,                183390,                -45563,                -20997,                -13425,                -79985,,,,                  1746,,,               -720416,                654810,                 -7826,                 -2179,,                  5973,,                -28552,,                240554,,,                 47327,               -232304,,,,                  5370,                   -738,               -103905,                342297,                238392,                238392,,,,,                   -263,,                              0,               -287263,                 13965,                    527,                 54218,                153052,                 -6662,                    497,                              0,                 93360,                -55665,                              0,                  1496,                    149,,                -49944,,,                    146,,                              0,                              0,                              0,,
2426,2013年01月01日至2013年03月31日,,               -121229,               -121229,,,                106334,                  2005,                  4513,,                 10104,                   -162,,                  2758,                  2769,                 11627,                 -9358,                 -3008,                 -3450,,,,                  3148,                 39357,                 -9762,                 15012,                -43112,                 14336,                 18979,,                 28464,                  9564,                -12447,                    932,                 43357,,                 70000,                 88979,                232165,                110936,                -10487,                              0,                100449,,,,,,,                -51481,                 69515,                              0,                    -86,,                     53,,                -44704,,                228870,               -129965,,                 15857,                -71552,,,,                 -6997,                    919,                 49667,                342297,                391964,                391964,,,,                              0,                   -263,,                              0,,                   -139,,                 21199,                143186,,                    130,                              0,                    736,                -52198,                              0,                              0,,,                -49944,,,                 -2006,,,,,                              0,                -11243
2426,2012年01月01日至2012年12月31日,,               -780214,               -780214,,,                399395,                  5878,                 57147,                -24690,                 30077,                 -2429,                 -4381,                  7408,                   -234,                 10000,                 -5187,                -17592,                    573,,,,                -16094,               -100844,                 -3794,                254893,                 75991,                -58818,                151334,,                -57426,                 47072,                 18724,                  1971,                 29181,,                 38820,                190154,                804223,                 24009,                -29606,                 -6725,                -12322,,                              0,                              0,                              0,,,               -481672,                 17601,                 -5732,                -12696,                              0,                  2429,                  4381,               -389381,,              2936550,             -3269344,,                560000,                 -3199,,,,                236554,                  5012,               -160137,                502434,                342297,                342297,,,,                      3,,,                    654,                              0,                -16686,                   -163,                174299,                614069,                    196,                   -898,                -12282,                 33913,                -35102,               -215018,                  1566,                              0,                313231,                 49944,                              0,                -37400,,,,,,,
2426,2012年01月01日至2012年09月30日,,               -566497,               -566497,,,                292697,                  5610,                 33694,,                 21008,                 -1562,                 -4381,                  6525,                   -237,                              0,                -39872,                 17019,                    433,,,,                  5841,               -216316,                -12946,                140543,                    809,                -10544,                -92613,,                 -1180,                    272,                 28136,                    759,                    303,,                 15983,                -76630,                405159,               -161338,                -20537,                 -6322,               -188197,,,,                              0,,,               -125413,                 22495,                 -6041,                 -9463,,                  1562,                  4381,               -310268,,                671240,               -881816,,                553619,                -16505,,,,                376193,                  5846,               -116426,                502434,                386008,                386008,,,,,                   -282,,                    674,                              0,                 -2614,                   -163,                170356,                481789,                -11596,                   -711,                -34965,                 50926,                              0,               -215018,                  1566,                              0,,                 49937,,,                -17398,                              0,                   -298,                              0,,,
