證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款減少,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 其他預付款項減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發放現金股利,　　 庫藏股票處分,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　　　　 預付費用（增加）減少,　　　　 其他項目
1723,2015年01月01日至2015年09月30日,,              1210883,              1210883,,,                201697,                  2469,                 16476,                  2183,                 -7600,                -21245,                -64842,                    417,                -66609,                  1100,                 12383,                 76429,,,                197666,                 -7589,                -43640,                137006,                 25595,                 27070,                -13533,                322575,,                213183,               -256098,                -80447,                  5260,                 -4657,               -122759,                199816,                276245,              1487128,               -296723,              1190405,,             -2550321,              2787056,                              0,                 13325,                  1350,                -45441,                              0,               -151224,                 98667,               -862694,                    647,                              0,                    885,                              0,                219690,                -10525,                 58700,                   -884,                              0,                              0,                  7082,                 96459,               -337228,,              2570899,             -2546870,                970000,               -195000,             -1918030,                107002,                 -2284,                              0,             -1014283,                  9123,               -151983,              1097928,                945945,                945945,,,,,,,,,,,,
1723,2015年01月01日至2015年06月30日,,                861208,                861208,,,                135459,                  1587,                -13602,                  1161,                 -5766,                              0,                -32074,                   -156,                -66609,                  1100,                  9392,                 30492,,,                267643,                 -2368,                -81455,                 22494,                 -2552,                 39933,                  1477,                245172,,                 -1513,                -67883,               -129632,                  3367,                 -2739,               -198400,                 46772,                 77264,                938472,               -181037,                757435,,             -1942151,                721050,                              0,                 13325,                              0,                -45441,                              0,               -151224,                 98667,                -98927,                    647,                    880,,                303265,,                -10525,                 58700,                   -718,                              0,,                  6534,                  2207,             -1043711,,              1785499,             -1839486,                240000,               -195000,                              0,                107002,                 -1328,,                 96687,                 -1739,               -191328,              1097928,                906600,                906600,,,,,,,,,,,,
1723,2015年01月01日至2015年03月31日,,                449198,                449198,,,                 71246,                    632,                -12416,                    781,                 -2306,,                -16559,                   -158,                -66609,                  1100,                  2787,                -21502,,,                225317,                 -5115,                -60297,                  9204,                -94011,                 20158,                  3783,                 99039,,                 32430,                -49938,                -42191,                  7993,                 -1295,                -53001,                 46038,                 24536,                473734,                   -459,                473275,,,,                              0,                 13325,,                -45441,                              0,,                 98667,                -50031,                    647,                    880,,,                303265,,                 50000,                   -724,                              0,,                  2665,,               -323884,,                996376,               -979558,                 85000,                -50000,                              0,                 22926,                   -702,,                 74042,                   -941,                222492,              1097928,              1320420,              1320420,             -1042177,                345040,,,,,,,,,,
1723,2014年度,,              2567847,              2567847,,,                282012,                  4241,                -31994,                  2797,                -17898,                -25268,               -111109,                  1394,,                -34305,                 19104,,,,                -84779,                 11771,                124908,                 40689,                -66059,                -89525,                -21822,                -84817,,                   -775,                -71183,                 31373,                    318,,                -45263,               -130080,                -41106,              2526741,               -406266,              2120475,,             -4162095,              4677239,               -120200,                 65310,                  1499,,,,,               -305011,                  3208,                 -1186,,                 -9942,,,                185764,                -37009,                -38221,                  3000,                 18548,                 92080,                358690,,              4996585,             -4968301,                195100,               -195100,             -1910364,                 31556,                 -2519,                -11760,             -1864803,                -25870,                588492,                509436,              1097928,              1097928,,,,                              0,                 88974,                 -4996,                -39155,                 24861,                              0,                              0,,
1723,2014年01月01日至2014年09月30日,,              2148465,              2148465,,,                209623,                  3161,                -24764,                  1973,                -13043,                -24007,                -85141,                   -171,                              0,                -34110,                 16455,                 49976,,,                -89625,                 11323,                -33817,                 17231,                -35675,               -102687,                -36212,               -269462,,                  6332,                 -2932,                -36820,                 -4111,                 -3513,                -41044,               -310506,               -260530,              1887935,               -397760,              1490175,,             -3399274,              3721931,               -120200,                 33754,                  1499,                -19853,                  9824,                              0,                              0,               -199364,                  3208,                   -246,                              0,                              0,                              0,                              0,                147464,                -25000,                -38221,                  3000,                 12625,                 90819,                221966,,              3759038,             -3784524,                195100,               -195100,             -1910296,                              0,                 -1991,                -11760,             -1949533,                  2560,               -234832,                509436,                274604,                274604,,,,,,,,,,,,
1723,2014年01月01日至2014年06月30日,,              1438565,              1438565,,,                138133,                  2113,                -32918,                  1174,                 -9794,                   -700,                -43237,                     81,                              0,                -34110,                 14109,                 34851,,,                 25397,                  9712,               -144508,                -13100,                280602,                -63061,                 -2269,                 92773,,                 17841,                -27403,                -95657,                    210,                 -2189,               -107198,                -14425,                 20426,              1458991,               -212971,              1246020,,             -2184366,              1083153,                -95100,                 33754,                  1499,                -15847,                  9824,                              0,                              0,               -111499,                    196,                   -246,,                              0,,                              0,                129464,                              0,                -35221,,                 10424,                  3622,             -1170343,,              2553995,             -2614418,                 35000,                              0,                     -7,                              0,                 -1198,,                -26628,                   -575,                 48474,                509436,                557910,                557910,,,,,,,,,,,,
1723,2014年01月01日至2014年03月31日,,                741914,                741914,,,                 67437,                              0,                 -4046,                    488,                 -4837,,                -19403,                    -67,                              0,                -34110,                  8826,                 14288,,,                 31068,                  6347,               -215873,                 19035,                -31844,                -12742,                -27878,               -231887,,                  4164,                 -9985,                 -8250,                  5187,                 -1102,                 -9986,               -241873,               -227585,                514329,                   -309,                514020,,,,                -57600,                 33754,,                 -9690,                  9824,,                              0,                -56905,                    196,                   -246,,,                              0,,                 29464,                              0,                -30981,,                  4179,,               -567612,,              1284141,             -1287097,                              0,                              0,                     -7,                              0,                   -496,,                 -3459,                  2827,                -54224,                509436,                455212,                455212,               -770117,                280510,,,,,,,,,,
1723,2013年度,,              2595434,              2595434,,,                234167,                              0,                -40099,                  2624,                -25473,                -10799,                -89671,                  1214,,                 -1373,                 32996,,,,                -27884,                 -5615,                -51923,                  9098,                  2331,                -35122,                -15786,               -124901,,                  1382,                 25604,                 37190,                  4176,,                 49166,                -75735,                 13213,              2608647,               -298181,              2310466,,             -3650499,              3125456,                -77175,                              0,                  5049,,,,,               -179585,                              0,                   -641,,               -300000,,,                301036,                              0,                 -3000,                              0,                 26254,                 77810,               -630104,,              4658896,             -4676662,                 20000,                -20000,             -1703006,                  3310,                 -2607,                              0,             -1720069,                  5030,                -34677,                544113,                509436,                509436,,,,                -14638,                 88948,                -19186,                -14488,                 29446,               -101465,                131698,,
1723,2013年01月01日至2013年09月30日,,              2016925,              2016925,,,                172593,                              0,                -25456,                  1889,                -18854,                -10614,                -70942,                    312,,                              0,                 28798,,,,                -28799,                  2842,               -115215,                 12473,                -12516,                -20402,                 -4750,               -166367,,                  3828,                -47308,                -18244,                 -2430,,                -67261,               -233628,               -170540,              1846385,               -297469,              1548916,,             -2486499,              2713091,                -77175,                              0,                  5049,,,,,               -104203,                              0,                   -641,,               -300000,,,                122752,                              0,                              0,                              0,                 15778,                 77626,                -43477,,              3643125,             -3411157,                 20000,                -20000,             -1702999,,                 -1409,                              0,             -1472440,                  3105,                 36104,                544113,                580217,                580217,,,,                -14638,                 63088,                 -3107,                -14488,                              0,               -101465,                106698,,
1723,2013年01月01日至2013年06月30日,,              1282765,              1282765,,,                113762,                              0,                 -7204,                  1326,                -11404,                 -2216,                -39350,                              0,,                              0,                 26775,,,,                -66139,                 -8264,               -293058,                 81449,                -15963,                -41256,                  2820,               -340411,,                124269,                  8483,                -74652,                  4271,,                 61024,               -279387,               -212336,              1070429,               -134192,                936237,,             -1556499,                737547,                              0,                              0,                  5049,,,,,                -65395,                              0,                   -641,,,,,                -56279,,                              0,,                 10092,                  7285,               -928096,,              2395296,             -2423356,                              0,,                     -8,,                 -1170,,                -29238,                  5585,                -15512,                544113,                528601,                528601,,,,                -14638,                 67051,                 -1347,                -14488,                              0,               -101465,                106698,                              0,
