證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預收款項增加－處分資產,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 處分待出售非流動資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分待出售非流動資產,　　 其他金融資產減少,　　　　 呆帳費用提列（轉列收入）數,　　　　 其他項目,　　 存入保證金增加,　　 存出保證金增加,　　 預付設備款減少
2104,2015年01月01日至2015年09月30日,,              1502306,              1502306,,,                694620,                 50811,                  8455,                256155,                -25452,               -347750,                  2202,                 -1033,                    950,                124316,                196792,                960066,,,               -148967,                 53541,                335095,                 20559,                761291,               -103944,                -15039,                902536,,               -153609,                -54990,                 91949,                 -5123,                   -260,               -122033,                780503,              1740569,              3242875,                 29182,               -601392,              2670665,,                  1473,               -389018,                              0,                -20140,                 -3447,                -10787,                347750,                -74169,,               -221466,                -22020,                275449,               -739814,                 -4259,                              0,               -259798,                     -3,               -971911,                129860,              1754445,              6266604,              8021049,              8021049,,,,,,,,,,,,,
2104,2015年01月01日至2015年06月30日,,                881703,                881703,,,                464540,                 34662,                   -750,                174712,                -14747,,                  2155,,                 -6625,                 85086,                 37344,                776377,,,               -148965,                 45854,                414123,                 13285,                704614,               -126218,                 41861,                944554,,               -171524,                -18230,                 19560,                 15661,                   -198,               -154731,                789823,              1566200,              2447903,                 14087,               -363628,              2098362,,,               -214442,                              0,                -48617,                 -7910,                -11717,,               -282686,,                 38877,                 27998,                              0,               -661833,                 -1666,,               -176119,                     -3,               -772746,                -46551,                996379,              6266604,              7262983,              7262983,                              0,,,,,,,,,,,,
2104,2015年01月01日至2015年03月31日,,                505039,                505039,,,                234201,                 17048,                   -380,                 88094,                 -8485,,                  1593,,                 -6476,                    661,                 52531,                378787,,,                 30160,                  6289,                147089,                 10832,                553570,               -139937,                  4048,                612051,,               -102789,                 -4526,                 33574,                 15434,                  2965,                -55342,                556709,                935496,              1440535,                  6079,                  4922,              1451536,,,                -87286,,               -139380,                    456,                -11018,,               -237228,,                408166,                 17985,                              0,               -459097,,,                -86763,,               -120305,                -35084,              1058919,              6266604,              7325523,              7325523,,                   -596,,,,,,,,,,,
2104,2014年度,,              3815133,              3815133,,,                879352,                 90181,                 -1313,                358989,                -20854,               -353036,             -2117884,                    295,                  9285,                715563,                 79318,,,,               -290000,                225135,               -129101,                    981,               -174998,                 68924,                -65287,               -364346,,               -111119,                -46511,                194060,                 44813,,                 78717,               -285629,               -645733,              3169400,                 18893,             -1021134,              2167159,,,               -624176,              2626651,,                -53945,                 -5104,                353036,              2305519,,                741520,                -54882,                 90918,             -1331293,,               -619697,               -353750,                 -3922,             -1528527,                159775,              3103926,              3162678,              6266604,              6266604,,                  2579,,                              0,               -360104,                 -2526,                              0,                  9057,,,,,
2104,2014年01月01日至2014年09月30日,,              3439414,              3439414,,,                659434,                 81151,                   -919,                274815,                -15318,               -353036,             -2138363,                              0,                  8326,                574739,                 69150,               -840021,,,               -290000,                193591,               -439873,                 -1829,               -185891,                -30696,             -1759358,             -2514056,,                141258,                -25091,                 74000,                  7136,                 -1441,                195862,             -2318194,             -3158215,                281199,                 13199,               -835509,               -541111,,                              0,               -391949,              2619401,                 34068,                -13374,                -39970,                353036,              2561212,,                362026,                -19929,                 90384,             -1157354,                 11581,               -619697,               -270364,                 -3919,             -1607272,                 54169,                466998,              3162678,              3629676,              3629676,,,,,,,,,,,,,
2104,2014年01月01日至2014年06月30日,,                971435,                971435,,,                444793,                 43952,                   -585,                182332,                 -6233,,                 12454,,                  5583,                 75906,                 37880,                796082,,,               -240000,                178041,               -500667,                -10675,               -186351,               -245207,                -41487,             -1046346,,                144040,                  5910,                 50257,                 -1401,                  5344,                204150,               -842196,                -46114,                925321,                  6233,               -452079,                479475,,,               -241420,                    107,                 29242,                -20091,                -33927,,              1038911,,               -311270,                  2005,                 90561,               -453967,                 11377,,               -173115,                     -4,               -834413,                  3808,                687781,              3162678,              3850459,              3850459,              1305000,,,,,,,,,,,,
2104,2014年01月01日至2014年03月31日,,                453653,                453653,,,                224327,                 22601,                   -270,                 89642,                 -2922,,                  3358,,                  6644,                 32621,                 28608,                404609,,,               -240000,                 40228,               -427446,                  7885,                 23455,                 16165,                 54027,               -525686,,                105067,                -15795,                  3528,                  8789,                  1609,                103198,               -422488,                -17879,                435774,                  2922,               -137338,                301358,,,                -80038,,                 34720,                -12268,                 -7755,,                -65341,,               -277068,                   -129,                 90810,               -111130,,,                -81459,,               -375178,                 16777,               -122384,              3162678,              3040294,              3040294,,                  3798,,,,,,,,,,,
2104,2013年度,,              1851962,              1851962,,,                880705,                 95787,                    479,                368939,                -17634,               -312163,                  4719,                  4203,                    775,                236378,                -21433,,,,                725414,               -139278,                 15229,                -22798,                488051,               -115078,                -50855,                900685,,               -114592,                 -6495,                -25882,                -35074,,               -208375,                692310,              1934841,              3786803,                 17997,             -1047554,              2757246,,,               -814180,                  3189,,                -16756,               -105996,                312163,               -537343,,                 45529,                142916,              2077219,             -2199049,,             -1185507,               -363149,                 -7311,             -1474961,                 59655,                804597,              2358081,              3162678,              3162678,,                 14391,,                  1776,              1242531,                -26332,                126319,                -42082,,,,,
2104,2013年01月01日至2013年12月31日,,              1851962,              1851962,,,                880705,                 95787,                    479,                368939,                -17634,               -312163,                  4719,                  4203,                    775,                236378,                -21433,,,,                725414,               -139278,                 15229,                -22798,                488051,               -115078,                -50855,                900685,,               -114592,                 -6495,                -25882,                -35074,,               -208375,                692310,              1934841,              3786803,                 17997,             -1047554,              2757246,,,               -814180,                  3189,,                -16756,               -105996,                312163,               -537343,,                 45529,                142916,              2077219,             -2199049,,             -1192818,               -363149,                 36799,             -1438162,                 22856,                804597,              2358081,              3162678,              3162678,,                 14391,,                  1776,              1242531,                -26332,                126319,                -42082,,,,,
2104,2013年01月01日至2013年09月30日,,              1390914,              1390914,,,                656636,                 72619,                    479,                276778,                 -8765,               -312163,                  2301,                  3998,,                 67975,                 46564,,,,                725619,               -100358,               -289712,                -11767,                561191,               -290477,               -106210,                488286,,               -231881,                 -9440,                102965,                -25114,,               -178025,                310261,              1120872,              2511786,                  8763,               -757745,              1762804,,,               -408172,                              0,                   -843,                 23770,               -173132,                312163,               -128880,,                408159,                 23041,                530138,               -396589,                  3189,             -1185507,               -266861,                 -7291,               -891721,                -26546,                715657,              2358081,              3073738,              3073738,,,,                  1814,                810611,                -14555,                117334,,                  2375,,,,
